# probe kind=primes M=48 K=15 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,16960933648.478,16960933669.639,16960939605.557,5934.587,5957.079,22.492,21.161,1.331,4042.921,0,0.000,0,15,48,0
1,16960943648.478,16960943665.895,16960949400.698,5734.214,5752.220,18.006,17.417,0.589,4247.780,0,0.000,0,15,48,0
2,16960953648.478,16960953665.691,16960959596.853,5930.499,5948.375,17.876,17.213,0.663,4051.625,0,0.000,0,15,48,0
3,16960963648.478,16960963666.293,16960969701.837,6034.907,6053.359,18.452,17.815,0.637,3946.641,0,0.000,0,15,48,0
4,16960973648.478,16960973667.151,16960979477.429,5809.560,5828.951,19.391,18.673,0.718,4171.049,0,0.000,0,15,48,0
5,16960983648.478,16960983667.003,16960989559.533,5891.910,5911.055,19.145,18.525,0.620,4088.945,0,0.000,0,15,48,0
6,16960993648.478,16960993668.828,16960999474.126,5804.567,5825.648,21.081,20.350,0.731,4174.352,0,0.000,0,15,48,0
7,16961003648.478,16961003666.711,16961009416.535,5749.123,5768.057,18.934,18.233,0.701,4231.943,0,0.000,0,15,48,0
8,16961013648.478,16961013666.574,16961019560.809,5893.538,5912.331,18.793,18.096,0.697,4087.669,0,0.000,0,15,48,0
9,16961023648.478,16961023665.659,16961029553.038,5886.586,5904.560,17.974,17.181,0.793,4095.440,0,0.000,0,15,48,0
10,16961033648.478,16961033667.175,16961039665.245,5997.396,6016.767,19.371,18.697,0.674,3983.233,0,0.000,0,15,48,0
11,16961043648.478,16961043667.604,16961049620.401,5951.937,5971.923,19.986,19.126,0.860,4028.077,0,0.000,0,15,48,0
12,16961053648.478,16961053666.113,16961059474.170,5807.361,5825.692,18.331,17.635,0.696,4174.308,0,0.000,0,15,48,0
13,16961063648.478,16961063670.293,16961069576.867,5906.037,5928.389,22.352,21.815,0.537,4071.611,0,0.000,0,15,48,0
14,16961073648.478,16961073665.580,16961079451.652,5785.254,5803.174,17.920,17.102,0.818,4196.826,0,0.000,0,15,48,0
15,16961083648.478,16961083666.569,16961089621.829,5954.646,5973.351,18.705,18.091,0.614,4026.649,0,0.000,0,15,48,0
16,16961093648.478,16961093667.760,16961099570.320,5901.948,5921.842,19.894,19.282,0.612,4078.158,0,0.000,0,15,48,0
17,16961103648.478,16961103666.225,16961109638.169,5971.194,5989.691,18.497,17.747,0.750,4010.309,0,0.000,0,15,48,0
18,16961113648.478,16961113666.465,16961119525.470,5858.255,5876.992,18.737,17.987,0.750,4123.008,0,0.000,0,15,48,0
19,16961123648.478,16961123665.684,16961129339.331,5672.954,5690.853,17.899,17.206,0.693,4309.147,0,0.000,0,15,48,0
20,16961133648.478,16961133667.511,16961139537.139,5869.039,5888.661,19.622,19.033,0.589,4111.339,0,0.000,0,15,48,0
21,16961143648.478,16961143667.388,16961149656.436,5988.298,6007.958,19.660,18.910,0.750,3992.042,0,0.000,0,15,48,0
22,16961153648.478,16961153667.134,16961159452.171,5784.138,5803.693,19.555,18.656,0.899,4196.307,0,0.000,0,15,48,0
23,16961163648.478,16961163668.766,16961169433.145,5763.414,5784.667,21.253,20.288,0.965,4215.333,0,0.000,0,15,48,0
24,16961173648.478,16961173666.747,16961179433.941,5766.382,5785.463,19.081,18.269,0.812,4214.537,0,0.000,0,15,48,0
25,16961183648.478,16961183667.577,16961189630.569,5962.293,5982.091,19.798,19.099,0.699,4017.909,0,0.000,0,15,48,0
26,16961193648.478,16961193667.842,16961199394.760,5726.145,5746.282,20.137,19.364,0.773,4253.718,0,0.000,0,15,48,0
27,16961203648.478,16961203667.652,16961209447.460,5779.004,5798.982,19.978,19.174,0.804,4201.018,0,0.000,0,15,48,0
28,16961213648.478,16961213670.706,16961219766.878,6095.574,6118.400,22.826,22.228,0.598,3881.600,0,0.000,0,15,48,0
29,16961223648.478,16961223667.954,16961229505.730,5837.088,5857.252,20.164,19.476,0.688,4142.748,0,0.000,0,15,48,0
30,16961233648.478,16961233671.645,16961239595.908,5923.687,5947.430,23.743,23.167,0.576,4052.570,0,0.000,0,15,48,0
31,16961243648.478,16961243667.566,16961249481.795,5813.651,5833.317,19.666,19.088,0.578,4166.683,0,0.000,0,15,48,0
32,16961253648.478,16961253665.837,16961259517.923,5851.497,5869.445,17.948,17.359,0.589,4130.555,0,0.000,0,15,48,0
33,16961263648.478,16961263666.172,16961269577.744,5910.984,5929.266,18.282,17.694,0.588,4070.734,0,0.000,0,15,48,0
34,16961273648.478,16961273664.653,16961279498.644,5833.422,5850.166,16.744,16.175,0.569,4149.834,0,0.000,0,15,48,0
35,16961283648.478,16961283665.409,16961289464.161,5798.160,5815.683,17.523,16.931,0.592,4184.317,0,0.000,0,15,48,0
