# probe kind=primes M=48 K=91 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,9846155203.734,9846155236.208,9846190540.524,35302.635,35336.790,34.155,32.474,1.681,64663.210,0,0.000,0,91,48,0
1,9846255203.734,9846255417.906,9846290918.716,35498.769,35714.982,216.213,214.172,2.041,64285.018,0,0.000,0,91,48,0
2,9846355203.734,9846355386.615,9846390861.665,35473.137,35657.931,184.794,182.881,1.913,64342.069,0,0.000,0,91,48,0
3,9846455203.734,9846455384.391,9846491468.645,36082.842,36264.911,182.069,180.657,1.412,63735.089,0,0.000,0,91,48,0
4,9846555203.734,9846555382.344,9846591052.134,35667.594,35848.400,180.806,178.610,2.196,64151.600,0,0.000,0,91,48,0
5,9846655203.734,9846655393.754,9846690399.251,35003.400,35195.517,192.117,190.020,2.097,64804.483,0,0.000,0,91,48,0
6,9846755203.734,9846755471.068,9846790929.454,35456.403,35725.720,269.317,267.334,1.983,64274.280,0,0.000,0,91,48,0
7,9846855203.734,9846855406.153,9846890837.431,35429.107,35633.697,204.590,202.419,2.171,64366.303,0,0.000,0,91,48,0
8,9846955203.734,9846955384.330,9846990654.898,35268.614,35451.164,182.550,180.596,1.954,64548.836,0,0.000,0,91,48,0
9,9847055203.734,9847055382.621,9847090878.489,35494.100,35674.755,180.655,178.887,1.768,64325.245,0,0.000,0,91,48,0
10,9847155203.734,9847155414.681,9847190791.565,35374.938,35587.831,212.893,210.947,1.946,64412.169,0,0.000,0,91,48,0
11,9847255203.734,9847255371.344,9847291016.551,35643.370,35812.817,169.447,167.610,1.837,64187.183,0,0.000,0,91,48,0
12,9847355203.734,9847355431.937,9847390530.699,35097.059,35326.965,229.906,228.203,1.703,64673.035,0,0.000,0,91,48,0
13,9847455203.734,9847455387.226,9847490836.647,35447.782,35632.913,185.131,183.492,1.639,64367.087,0,0.000,0,91,48,0
14,9847555203.734,9847555377.504,9847591128.235,35748.885,35924.501,175.616,173.770,1.846,64075.499,0,0.000,0,91,48,0
15,9847655203.734,9847655367.789,9847691033.209,35663.685,35829.475,165.790,164.055,1.735,64170.525,0,0.000,0,91,48,0
16,9847755203.734,9847755387.848,9847790606.682,35217.200,35402.948,185.748,184.114,1.634,64597.052,0,0.000,0,91,48,0
17,9847855203.734,9847855368.142,9847890545.891,35176.442,35342.157,165.715,164.408,1.307,64657.843,0,0.000,0,91,48,0
18,9847955203.734,9847955371.685,9847990819.705,35446.465,35615.971,169.506,167.951,1.555,64384.029,0,0.000,0,91,48,0
19,9848055203.734,9848055364.696,9848090856.601,35490.471,35652.867,162.396,160.962,1.434,64347.133,0,0.000,0,91,48,0
20,9848155203.734,9848155430.970,9848191108.725,35676.321,35904.991,228.670,227.236,1.434,64095.009,0,0.000,0,91,48,0
21,9848255203.734,9848255371.744,9848290633.937,35259.996,35430.203,170.207,168.010,2.197,64569.797,0,0.000,0,91,48,0
