# probe kind=ptrchase M=48 K=596 buf_kb=131072 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,27059158801.151,27059158834.358,27059193827.404,34991.331,35026.253,34.922,33.207,1.715,64973.747,0,0.000,0,596,48,0
1,27059258801.151,27059258961.876,27059293857.292,34894.010,35056.141,162.131,160.725,1.406,64943.859,0,0.000,0,596,48,0
2,27059358801.151,27059358970.345,27059393604.049,34632.696,34802.898,170.202,169.194,1.008,65197.102,0,0.000,0,596,48,0
3,27059458801.151,27059458962.531,27059493712.731,34749.061,34911.580,162.519,161.380,1.139,65088.420,0,0.000,0,596,48,0
4,27059558801.151,27059558954.150,27059593793.163,34837.992,34992.012,154.020,152.999,1.021,65007.988,0,0.000,0,596,48,0
5,27059658801.151,27059658959.706,27059693738.152,34777.239,34937.001,159.762,158.555,1.207,65062.999,0,0.000,0,596,48,0
6,27059758801.151,27059758965.089,27059793978.311,35011.895,35177.160,165.265,163.938,1.327,64822.840,0,0.000,0,596,48,0
7,27059858801.151,27059858955.895,27059894053.474,35096.635,35252.323,155.688,154.744,0.944,64747.677,0,0.000,0,596,48,0
8,27059958801.151,27059958961.507,27059994332.680,35370.157,35531.529,161.372,160.356,1.016,64468.471,0,0.000,0,596,48,0
9,27060058801.151,27060058966.935,27060094401.396,35432.943,35600.245,167.302,165.784,1.518,64399.755,0,0.000,0,596,48,0
10,27060158801.151,27060159029.318,27060194149.002,35118.350,35347.851,229.501,228.167,1.334,64652.149,0,0.000,0,596,48,0
11,27060258801.151,27060258843.936,27060294052.293,35207.064,35251.142,44.078,42.785,1.293,64748.858,0,0.000,0,596,48,0
12,27060358801.151,27060358958.368,27060393961.777,35002.191,35160.626,158.435,157.217,1.218,64839.374,0,0.000,0,596,48,0
13,27060458801.151,27060458965.339,27060494132.944,35166.430,35331.793,165.363,164.188,1.175,64668.207,0,0.000,0,596,48,0
14,27060558801.151,27060558844.777,27060593893.501,35047.548,35092.350,44.802,43.626,1.176,64907.650,0,0.000,0,596,48,0
15,27060658801.151,27060658962.516,27060694045.879,35082.042,35244.728,162.686,161.365,1.321,64755.272,0,0.000,0,596,48,0
16,27060758801.151,27060758968.299,27060794379.227,35409.433,35578.076,168.643,167.148,1.495,64421.924,0,0.000,0,596,48,0
17,27060858801.151,27060858973.081,27060893926.416,34952.203,35125.265,173.062,171.930,1.132,64874.735,0,0.000,0,596,48,0
18,27060958801.151,27060958976.860,27060994016.821,35038.938,35215.670,176.732,175.709,1.023,64784.330,0,0.000,0,596,48,0
19,27061058801.151,27061058959.699,27061093959.973,34999.183,35158.822,159.639,158.548,1.091,64841.178,0,0.000,0,596,48,0
20,27061158801.151,27061158961.672,27061193777.446,34814.589,34976.295,161.706,160.521,1.185,65023.705,0,0.000,0,596,48,0
21,27061258801.151,27061258955.748,27061293676.824,34719.904,34875.673,155.769,154.597,1.172,65124.327,0,0.000,0,596,48,0
22,27061358801.151,27061359037.571,27061393644.204,34605.625,34843.053,237.428,236.420,1.008,65156.947,0,0.000,0,596,48,0
23,27061458801.151,27061458959.923,27061493459.620,34498.656,34658.469,159.813,158.772,1.041,65341.531,0,0.000,0,596,48,0
24,27061558801.151,27061559018.656,27061593481.477,34461.783,34680.326,218.543,217.505,1.038,65319.674,0,0.000,0,596,48,0
25,27061658801.151,27061658963.257,27061693992.838,35028.466,35191.687,163.221,162.106,1.115,64808.313,0,0.000,0,596,48,0
26,27061758801.151,27061758961.265,27061794082.943,35120.398,35281.792,161.394,160.114,1.280,64718.208,0,0.000,0,596,48,0
27,27061858801.151,27061858963.458,27061893920.522,34955.957,35119.371,163.414,162.307,1.107,64880.629,0,0.000,0,596,48,0
28,27061958801.151,27061959017.489,27061993709.030,34690.410,34907.879,217.469,216.338,1.131,65092.121,0,0.000,0,596,48,0
29,27062058801.151,27062058982.316,27062094140.913,35157.300,35339.762,182.462,181.165,1.297,64660.238,0,0.000,0,596,48,0
30,27062158801.151,27062159018.249,27062193795.854,34776.642,34994.703,218.061,217.098,0.963,65005.297,0,0.000,0,596,48,0
31,27062258801.151,27062258966.589,27062293951.367,34983.684,35150.216,166.532,165.438,1.094,64849.784,0,0.000,0,596,48,0
32,27062358801.151,27062358835.332,27062393619.387,34782.911,34818.236,35.325,34.181,1.144,65181.764,0,0.000,0,596,48,0
33,27062458801.151,27062458959.083,27062493680.592,34720.437,34879.441,159.004,157.932,1.072,65120.559,0,0.000,0,596,48,0
34,27062558801.151,27062558961.954,27062593586.850,34623.857,34785.699,161.842,160.803,1.039,65214.301,0,0.000,0,596,48,0
35,27062658801.151,27062658953.240,27062693524.563,34570.191,34723.412,153.221,152.089,1.132,65276.588,0,0.000,0,596,48,0
36,27062758801.151,27062758964.785,27062794135.193,35168.895,35334.042,165.147,163.634,1.513,64665.958,0,0.000,0,596,48,0
37,27062858801.151,27062858966.391,27062893987.958,35020.274,35186.807,166.533,165.240,1.293,64813.193,0,0.000,0,596,48,0
38,27062958801.151,27062958952.094,27062993830.228,34877.050,35029.077,152.027,150.943,1.084,64970.923,0,0.000,0,596,48,0
39,27063058801.151,27063058955.231,27063093597.348,34641.051,34796.197,155.146,154.080,1.066,65203.803,0,0.000,0,596,48,0
40,27063158801.151,27063158960.211,27063194047.495,35086.214,35246.344,160.130,159.060,1.070,64753.656,0,0.000,0,596,48,0
41,27063258801.151,27063258964.381,27063293997.760,35032.174,35196.609,164.435,163.230,1.205,64803.391,0,0.000,0,596,48,0
42,27063358801.151,27063358957.759,27063394215.983,35256.738,35414.832,158.094,156.608,1.486,64585.168,0,0.000,0,596,48,0
43,27063458801.151,27063459014.505,27063494307.207,35291.195,35506.056,214.861,213.354,1.507,64493.944,0,0.000,0,596,48,0
44,27063558801.151,27063558969.173,27063594398.314,35427.882,35597.163,169.281,168.022,1.259,64402.837,0,0.000,0,596,48,0
45,27063658801.151,27063658966.389,27063694284.377,35316.800,35483.226,166.426,165.238,1.188,64516.774,0,0.000,0,596,48,0
46,27063758801.151,27063758958.094,27063793893.450,34934.209,35092.299,158.090,156.943,1.147,64907.701,0,0.000,0,596,48,0
47,27063858801.151,27063858979.825,27063893743.847,34762.814,34942.696,179.882,178.674,1.208,65057.304,0,0.000,0,596,48,0
48,27063958801.151,27063958963.250,27063993712.973,34748.679,34911.822,163.143,162.099,1.044,65088.178,0,0.000,0,596,48,0
49,27064058801.151,27064058959.174,27064093894.972,34934.469,35093.821,159.352,158.023,1.329,64906.179,0,0.000,0,596,48,0
50,27064158801.151,27064161183.756,27064196281.049,35096.130,37479.898,2383.768,2382.605,1.163,62520.102,0,0.000,0,596,48,0
51,27064258801.151,27064258827.386,27064293508.116,34680.388,34706.965,26.577,26.235,0.342,65293.035,0,0.000,0,596,48,0
52,27064358801.151,27064358964.109,27064393773.150,34807.998,34971.999,164.001,162.958,1.043,65028.001,0,0.000,0,596,48,0
53,27064458801.151,27064458956.772,27064493683.844,34725.961,34882.693,156.732,155.621,1.111,65117.307,0,0.000,0,596,48,0
54,27064558801.151,27064558959.233,27064593632.408,34672.071,34831.257,159.186,158.082,1.104,65168.743,0,0.000,0,596,48,0
55,27064658801.151,27064658966.586,27064693983.195,35015.227,35182.044,166.817,165.435,1.382,64817.956,0,0.000,0,596,48,0
56,27064758801.151,27064758975.672,27064794378.346,35400.952,35577.195,176.243,174.521,1.722,64422.805,0,0.000,0,596,48,0
57,27064858801.151,27064858967.687,27064894149.213,35179.906,35348.062,168.156,166.536,1.620,64651.938,0,0.000,0,596,48,0
58,27064958801.151,27064958971.419,27064994394.035,35421.067,35592.884,171.817,170.268,1.549,64407.116,0,0.000,0,596,48,0
59,27065058801.151,27065058973.616,27065094535.687,35560.527,35734.536,174.009,172.465,1.544,64265.464,0,0.000,0,596,48,0
60,27065158801.151,27065158961.097,27065194038.183,35075.686,35237.032,161.346,159.946,1.400,64762.968,0,0.000,0,596,48,0
61,27065258801.151,27065258849.226,27065294169.631,35319.020,35368.480,49.460,48.075,1.385,64631.520,0,0.000,0,596,48,0
62,27065358801.151,27065358966.328,27065394210.746,35242.828,35409.595,166.767,165.177,1.590,64590.405,0,0.000,0,596,48,0
63,27065458801.151,27065458832.416,27065493792.714,34959.668,34991.563,31.895,31.265,0.630,65008.437,0,0.000,0,596,48,0
64,27065558801.151,27065558959.624,27065593974.545,35013.838,35173.394,159.556,158.473,1.083,64826.606,0,0.000,0,596,48,0
65,27065658801.151,27065659033.674,27065693844.418,34809.637,35043.267,233.630,232.523,1.107,64956.733,0,0.000,0,596,48,0
66,27065758801.151,27065759027.835,27065793764.288,34735.383,34963.137,227.754,226.684,1.070,65036.863,0,0.000,0,596,48,0
