# probe kind=matmul M=48 K=346 buf_kb=0 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,1859546781.093,1859546943.434,1859561406.744,14462.036,14625.651,163.615,162.341,1.274,85374.349,0,0.000,0,346,48,0
1,1859646781.093,1859646936.127,1859661319.506,14381.916,14538.413,156.497,155.034,1.463,85461.587,0,0.000,0,346,48,0
2,1859746781.093,1859746943.669,1859761332.269,14386.653,14551.176,164.523,162.576,1.947,85448.824,0,0.000,0,346,48,0
3,1859846781.093,1859846953.579,1859861390.590,14435.216,14609.497,174.281,172.486,1.795,85390.503,0,0.000,0,346,48,0
4,1859946781.093,1859946939.988,1859961308.812,14367.267,14527.719,160.452,158.895,1.557,85472.281,0,0.000,0,346,48,0
5,1860046781.093,1860046943.832,1860061349.856,14404.222,14568.763,164.541,162.739,1.802,85431.237,0,0.000,0,346,48,0
6,1860146781.093,1860146947.207,1860161298.621,14349.667,14517.528,167.861,166.114,1.747,85482.472,0,0.000,0,346,48,0
7,1860246781.093,1860246950.087,1860261314.678,14362.562,14533.585,171.023,168.994,2.029,85466.415,0,0.000,0,346,48,0
8,1860346781.093,1860346940.639,1860361309.319,14367.081,14528.226,161.145,159.546,1.599,85471.774,0,0.000,0,346,48,0
9,1860446781.093,1860446944.270,1860461357.036,14411.116,14575.943,164.827,163.177,1.650,85424.057,0,0.000,0,346,48,0
10,1860546781.093,1860546945.434,1860561279.021,14331.836,14497.928,166.092,164.341,1.751,85502.072,0,0.000,0,346,48,0
11,1860646781.093,1860646986.984,1860661384.623,14396.367,14603.530,207.163,205.891,1.272,85396.470,0,0.000,0,346,48,0
12,1860746781.093,1860746823.856,1860761203.002,14377.433,14421.909,44.476,42.763,1.713,85578.091,0,0.000,0,346,48,0
13,1860846781.093,1860846940.612,1860861212.252,14270.160,14431.159,160.999,159.519,1.480,85568.841,0,0.000,0,346,48,0
14,1860946781.093,1860946829.153,1860961215.164,14384.641,14434.071,49.430,48.060,1.370,85565.929,0,0.000,0,346,48,0
15,1861046781.093,1861046937.943,1861061368.480,14429.031,14587.387,158.356,156.850,1.506,85412.613,0,0.000,0,346,48,0
16,1861146781.093,1861146948.126,1861161359.494,14409.922,14578.401,168.479,167.033,1.446,85421.599,0,0.000,0,346,48,0
17,1861246781.093,1861246931.978,1861261222.142,14288.807,14441.049,152.242,150.885,1.357,85558.951,0,0.000,0,346,48,0
18,1861346781.093,1861346825.628,1861361226.752,14399.841,14445.659,45.818,44.535,1.283,85554.341,0,0.000,0,346,48,0
