# probe kind=matmul M=48 K=122 buf_kb=0 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,8306500948.359,8306500972.065,8306506042.172,5068.573,5093.813,25.240,23.706,1.534,4906.187,0,0.000,0,122,48,0
1,8306510948.359,8306510967.061,8306516039.800,5072.029,5091.441,19.412,18.702,0.710,4908.559,0,0.000,0,122,48,0
2,8306520948.359,8306520965.692,8306525998.111,5031.758,5049.752,17.994,17.333,0.661,4950.248,0,0.000,0,122,48,0
3,8306530948.359,8306530964.265,8306536071.712,5106.862,5123.353,16.491,15.906,0.585,4876.647,0,0.000,0,122,48,0
4,8306540948.359,8306540964.136,8306546033.815,5069.022,5085.456,16.434,15.777,0.657,4914.544,0,0.000,0,122,48,0
5,8306550948.359,8306550966.245,8306556040.257,5073.128,5091.898,18.770,17.886,0.884,4908.102,0,0.000,0,122,48,0
6,8306560948.359,8306560966.617,8306566107.082,5139.581,5158.723,19.142,18.258,0.884,4841.277,0,0.000,0,122,48,0
7,8306570948.359,8306570965.402,8306576028.826,5062.657,5080.467,17.810,17.043,0.767,4919.533,0,0.000,0,122,48,0
8,8306580948.359,8306580965.496,8306586041.120,5074.851,5092.761,17.910,17.137,0.773,4907.239,0,0.000,0,122,48,0
9,8306590948.359,8306590966.286,8306596023.092,5055.853,5074.733,18.880,17.927,0.953,4925.267,0,0.000,0,122,48,0
10,8306600948.359,8306600964.519,8306606070.913,5105.498,5122.554,17.056,16.160,0.896,4877.446,0,0.000,0,122,48,0
11,8306610948.359,8306610966.590,8306616005.749,5038.251,5057.390,19.139,18.231,0.908,4942.610,0,0.000,0,122,48,0
12,8306620948.359,8306620965.456,8306625981.358,5015.147,5032.999,17.852,17.097,0.755,4967.001,0,0.000,0,122,48,0
13,8306630948.359,8306630967.322,8306636052.406,5084.356,5104.047,19.691,18.963,0.728,4895.953,0,0.000,0,122,48,0
14,8306640948.359,8306640966.641,8306646025.669,5058.067,5077.310,19.243,18.282,0.961,4922.690,0,0.000,0,122,48,0
15,8306650948.359,8306650967.373,8306656072.401,5104.314,5124.042,19.728,19.014,0.714,4875.958,0,0.000,0,122,48,0
16,8306660948.359,8306660968.440,8306666071.853,5102.734,5123.494,20.760,20.081,0.679,4876.506,0,0.000,0,122,48,0
17,8306670948.359,8306670965.915,8306676037.443,5070.937,5089.084,18.147,17.556,0.591,4910.916,0,0.000,0,122,48,0
18,8306680948.359,8306680964.799,8306686016.765,5051.273,5068.406,17.133,16.440,0.693,4931.594,0,0.000,0,122,48,0
19,8306690948.359,8306690965.750,8306696019.576,5053.335,5071.217,17.882,17.391,0.491,4928.783,0,0.000,0,122,48,0
20,8306700948.359,8306700965.243,8306706036.471,5070.577,5088.112,17.535,16.884,0.651,4911.888,0,0.000,0,122,48,0
21,8306710948.359,8306710969.206,8306716077.334,5107.242,5128.975,21.733,20.847,0.886,4871.025,0,0.000,0,122,48,0
22,8306720948.359,8306720965.171,8306725998.914,5032.939,5050.555,17.616,16.812,0.804,4949.445,0,0.000,0,122,48,0
23,8306730948.359,8306730965.565,8306736040.274,5074.116,5091.915,17.799,17.206,0.593,4908.085,0,0.000,0,122,48,0
24,8306740948.359,8306740966.584,8306746038.582,5071.256,5090.223,18.967,18.225,0.742,4909.777,0,0.000,0,122,48,0
25,8306750948.359,8306750966.595,8306756072.326,5104.769,5123.967,19.198,18.236,0.962,4876.033,0,0.000,0,122,48,0
26,8306760948.359,8306760967.066,8306766078.208,5110.116,5129.849,19.733,18.707,1.026,4870.151,0,0.000,0,122,48,0
27,8306770948.359,8306770966.077,8306776038.033,5071.150,5089.674,18.524,17.718,0.806,4910.326,0,0.000,0,122,48,0
28,8306780948.359,8306780964.466,8306785998.666,5033.478,5050.307,16.829,16.107,0.722,4949.693,0,0.000,0,122,48,0
29,8306790948.359,8306790968.648,8306796049.823,5080.405,5101.464,21.059,20.289,0.770,4898.536,0,0.000,0,122,48,0
30,8306800948.359,8306800965.154,8306806072.860,5107.089,5124.501,17.412,16.795,0.617,4875.499,0,0.000,0,122,48,0
31,8306810948.359,8306810966.151,8306816011.443,5044.677,5063.084,18.407,17.792,0.615,4936.916,0,0.000,0,122,48,0
32,8306820948.359,8306820966.370,8306826047.761,5080.645,5099.402,18.757,18.011,0.746,4900.598,0,0.000,0,122,48,0
33,8306830948.359,8306830966.942,8306836014.125,5046.385,5065.766,19.381,18.583,0.798,4934.234,0,0.000,0,122,48,0
34,8306840948.359,8306840966.643,8306846003.839,5032.489,5055.480,22.991,18.284,4.707,4944.520,0,0.000,0,122,48,0
35,8306850948.359,8306850967.983,8306856042.258,5073.706,5093.899,20.193,19.624,0.569,4906.101,0,0.000,0,122,48,0
36,8306860948.359,8306860964.862,8306866070.068,5104.493,5121.709,17.216,16.503,0.713,4878.291,0,0.000,0,122,48,0
37,8306870948.359,8306870965.102,8306876061.227,5095.465,5112.868,17.403,16.743,0.660,4887.132,0,0.000,0,122,48,0
38,8306880948.359,8306880964.827,8306886069.184,5103.753,5120.825,17.072,16.468,0.604,4879.175,0,0.000,0,122,48,0
39,8306890948.359,8306890964.915,8306896038.747,5073.246,5090.388,17.142,16.556,0.586,4909.612,0,0.000,0,122,48,0
40,8306900948.359,8306900965.855,8306906037.980,5071.542,5089.621,18.079,17.496,0.583,4910.379,0,0.000,0,122,48,0
41,8306910948.359,8306910964.851,8306916071.665,5105.999,5123.306,17.307,16.492,0.815,4876.694,0,0.000,0,122,48,0
42,8306920948.359,8306920965.810,8306925920.152,4953.722,4971.793,18.071,17.451,0.620,5028.207,0,0.000,0,122,48,0
43,8306930948.359,8306930966.799,8306936081.389,5113.802,5133.030,19.228,18.440,0.788,4866.970,0,0.000,0,122,48,0
44,8306940948.359,8306940966.529,8306946069.169,5102.074,5120.810,18.736,18.170,0.566,4879.190,0,0.000,0,122,48,0
45,8306950948.359,8306950965.524,8306956070.613,5104.515,5122.254,17.739,17.165,0.574,4877.746,0,0.000,0,122,48,0
46,8306960948.359,8306960966.523,8306966032.961,5065.804,5084.602,18.798,18.164,0.634,4915.398,0,0.000,0,122,48,0
47,8306970948.359,8306970965.483,8306976065.237,5099.152,5116.878,17.726,17.124,0.602,4883.122,0,0.000,0,122,48,0
48,8306980948.359,8306980965.909,8306986071.671,5105.194,5123.312,18.118,17.550,0.568,4876.688,0,0.000,0,122,48,0
49,8306990948.359,8306990965.683,8306996070.886,5104.361,5122.527,18.166,17.324,0.842,4877.473,0,0.000,0,122,48,0
50,8307000948.359,8307000965.998,8307006083.066,5116.429,5134.707,18.278,17.639,0.639,4865.293,0,0.000,0,122,48,0
51,8307010948.359,8307010966.352,8307016081.136,5113.675,5132.777,19.102,17.993,1.109,4867.223,0,0.000,0,122,48,0
52,8307020948.359,8307020967.650,8307026041.315,5073.040,5092.956,19.916,19.291,0.625,4907.044,0,0.000,0,122,48,0
53,8307030948.359,8307030965.360,8307035998.271,5032.210,5049.912,17.702,17.001,0.701,4950.088,0,0.000,0,122,48,0
54,8307040948.359,8307040966.334,8307046073.499,5106.302,5125.140,18.838,17.975,0.863,4874.860,0,0.000,0,122,48,0
55,8307050948.359,8307050965.543,8307056122.615,5156.296,5174.256,17.960,17.184,0.776,4825.744,0,0.000,0,122,48,0
56,8307060948.359,8307060967.211,8307066081.220,5113.261,5132.861,19.600,18.852,0.748,4867.139,0,0.000,0,122,48,0
57,8307070948.359,8307070965.644,8307076067.368,5100.983,5119.009,18.026,17.285,0.741,4880.991,0,0.000,0,122,48,0
58,8307080948.359,8307080965.841,8307085993.702,5027.195,5045.343,18.148,17.482,0.666,4954.657,0,0.000,0,122,48,0
59,8307090948.359,8307090967.027,8307096040.832,5073.144,5092.473,19.329,18.668,0.661,4907.527,0,0.000,0,122,48,0
60,8307100948.359,8307100965.260,8307106036.830,5070.858,5088.471,17.613,16.901,0.712,4911.529,0,0.000,0,122,48,0
61,8307110948.359,8307110965.955,8307116073.896,5107.313,5125.537,18.224,17.596,0.628,4874.463,0,0.000,0,122,48,0
62,8307120948.359,8307120970.136,8307126073.429,5102.544,5125.070,22.526,21.777,0.749,4874.930,0,0.000,0,122,48,0
63,8307130948.359,8307130965.158,8307136024.936,5059.099,5076.577,17.478,16.799,0.679,4923.423,0,0.000,0,122,48,0
64,8307140948.359,8307140964.330,8307146068.923,5104.036,5120.564,16.528,15.971,0.557,4879.436,0,0.000,0,122,48,0
65,8307150948.359,8307150966.552,8307156076.268,5109.054,5127.909,18.855,18.193,0.662,4872.091,0,0.000,0,122,48,0
66,8307160948.359,8307160965.814,8307166054.993,5088.483,5106.634,18.151,17.455,0.696,4893.366,0,0.000,0,122,48,0
67,8307170948.359,8307170966.361,8307176052.492,5085.382,5104.133,18.751,18.002,0.749,4895.867,0,0.000,0,122,48,0
68,8307180948.359,8307180965.192,8307186048.817,5082.929,5100.458,17.529,16.833,0.696,4899.542,0,0.000,0,122,48,0
69,8307190948.359,8307190966.175,8307196070.673,5103.913,5122.314,18.401,17.816,0.585,4877.686,0,0.000,0,122,48,0
