# probe kind=ptrchase M=48 K=112 buf_kb=131072 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,9983142744.013,9983142766.060,9983149316.975,6549.677,6572.962,23.285,22.047,1.238,3427.038,0,0.000,0,112,48,0
1,9983152744.013,9983152762.167,9983159318.596,6556.010,6574.583,18.573,18.154,0.419,3425.417,0,0.000,0,112,48,0
2,9983162744.013,9983162762.185,9983169298.143,6535.398,6554.130,18.732,18.172,0.560,3445.870,0,0.000,0,112,48,0
3,9983172744.013,9983172761.968,9983179296.501,6534.159,6552.488,18.329,17.955,0.374,3447.512,0,0.000,0,112,48,0
4,9983182744.013,9983182762.382,9983189264.004,6501.246,6519.991,18.745,18.369,0.376,3480.009,0,0.000,0,112,48,0
5,9983192744.013,9983192761.208,9983199263.737,6502.130,6519.724,17.594,17.195,0.399,3480.276,0,0.000,0,112,48,0
6,9983202744.013,9983202760.940,9983209259.236,6497.892,6515.223,17.331,16.927,0.404,3484.777,0,0.000,0,112,48,0
7,9983212744.013,9983212761.827,9983219253.211,6490.962,6509.198,18.236,17.814,0.422,3490.802,0,0.000,0,112,48,0
8,9983222744.013,9983222763.704,9983229257.983,6493.873,6513.970,20.097,19.691,0.406,3486.030,0,0.000,0,112,48,0
9,9983232744.013,9983232764.220,9983239265.169,6500.673,6521.156,20.483,20.207,0.276,3478.844,0,0.000,0,112,48,0
10,9983242744.013,9983242764.898,9983249213.298,6448.086,6469.285,21.199,20.885,0.314,3530.715,0,0.000,0,112,48,0
11,9983252744.013,9983252763.138,9983259189.060,6425.597,6445.047,19.450,19.125,0.325,3554.953,0,0.000,0,112,48,0
12,9983262744.013,9983262763.651,9983269191.496,6427.455,6447.483,20.028,19.638,0.390,3552.517,0,0.000,0,112,48,0
13,9983272744.013,9983272763.915,9983279164.674,6400.439,6420.661,20.222,19.902,0.320,3579.339,0,0.000,0,112,48,0
14,9983282744.013,9983282765.714,9983289196.898,6430.917,6452.885,21.968,21.701,0.267,3547.115,0,0.000,0,112,48,0
15,9983292744.013,9983292765.889,9983299201.168,6434.944,6457.155,22.211,21.876,0.335,3542.845,0,0.000,0,112,48,0
16,9983302744.013,9983302763.344,9983309224.696,6460.998,6480.683,19.685,19.331,0.354,3519.317,0,0.000,0,112,48,0
17,9983312744.013,9983312762.177,9983319270.847,6508.305,6526.834,18.529,18.164,0.365,3473.166,0,0.000,0,112,48,0
18,9983322744.013,9983322761.510,9983329267.433,6505.551,6523.420,17.869,17.497,0.372,3476.580,0,0.000,0,112,48,0
19,9983332744.013,9983332762.885,9983339281.760,6518.547,6537.747,19.200,18.872,0.328,3462.253,0,0.000,0,112,48,0
20,9983342744.013,9983342762.330,9983349256.516,6493.900,6512.503,18.603,18.317,0.286,3487.497,0,0.000,0,112,48,0
21,9983352744.013,9983352761.987,9983359246.434,6484.125,6502.421,18.296,17.974,0.322,3497.579,0,0.000,0,112,48,0
22,9983362744.013,9983362761.012,9983369264.241,6502.904,6520.228,17.324,16.999,0.325,3479.772,0,0.000,0,112,48,0
23,9983372744.013,9983372761.549,9983379264.443,6502.558,6520.430,17.872,17.536,0.336,3479.570,0,0.000,0,112,48,0
24,9983382744.013,9983382760.934,9983389227.395,6466.090,6483.382,17.292,16.921,0.371,3516.618,0,0.000,0,112,48,0
25,9983392744.013,9983392761.201,9983399231.267,6469.744,6487.254,17.510,17.188,0.322,3512.746,0,0.000,0,112,48,0
26,9983402744.013,9983402760.401,9983409236.684,6475.953,6492.671,16.718,16.388,0.330,3507.329,0,0.000,0,112,48,0
27,9983412744.013,9983412764.100,9983419226.003,6461.671,6481.990,20.319,20.087,0.232,3518.010,0,0.000,0,112,48,0
28,9983422744.013,9983422762.473,9983429208.233,6445.446,6464.220,18.774,18.460,0.314,3535.780,0,0.000,0,112,48,0
29,9983432744.013,9983432761.874,9983439185.701,6423.545,6441.688,18.143,17.861,0.282,3558.312,0,0.000,0,112,48,0
30,9983442744.013,9983442761.084,9983449165.560,6404.150,6421.547,17.397,17.071,0.326,3578.453,0,0.000,0,112,48,0
31,9983452744.013,9983452761.195,9983459189.749,6428.230,6445.736,17.506,17.182,0.324,3554.264,0,0.000,0,112,48,0
32,9983462744.013,9983462761.608,9983469165.669,6403.733,6421.656,17.923,17.595,0.328,3578.344,0,0.000,0,112,48,0
33,9983472744.013,9983472763.192,9983479189.911,6426.462,6445.898,19.436,19.179,0.257,3554.102,0,0.000,0,112,48,0
34,9983482744.013,9983482762.932,9983489218.581,6455.270,6474.568,19.298,18.919,0.379,3525.432,0,0.000,0,112,48,0
35,9983492744.013,9983492763.308,9983499214.994,6451.398,6470.981,19.583,19.295,0.288,3529.019,0,0.000,0,112,48,0
36,9983502744.013,9983502764.019,9983509230.562,6466.236,6486.549,20.313,20.006,0.307,3513.451,0,0.000,0,112,48,0
37,9983512744.013,9983512763.541,9983519217.563,6453.715,6473.550,19.835,19.528,0.307,3526.450,0,0.000,0,112,48,0
38,9983522744.013,9983522763.578,9983529294.751,6530.829,6550.738,19.909,19.565,0.344,3449.262,0,0.000,0,112,48,0
39,9983532744.013,9983532766.693,9983539304.511,6537.481,6560.498,23.017,22.680,0.337,3439.502,0,0.000,0,112,48,0
40,9983542744.013,9983542762.812,9983549339.539,6576.384,6595.526,19.142,18.799,0.343,3404.474,0,0.000,0,112,48,0
41,9983552744.013,9983552763.009,9983559339.922,6576.595,6595.909,19.314,18.996,0.318,3404.091,0,0.000,0,112,48,0
42,9983562744.013,9983562761.279,9983569325.337,6563.706,6581.324,17.618,17.266,0.352,3418.676,0,0.000,0,112,48,0
43,9983572744.013,9983572760.997,9983579317.033,6555.693,6573.020,17.327,16.984,0.343,3426.980,0,0.000,0,112,48,0
