# probe kind=matmul M=48 K=1607 buf_kb=0 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,30479807980.244,30479808012.835,30479872458.522,64444.960,64478.278,33.318,32.591,0.727,35521.722,0,0.000,0,1607,48,0
1,30479907980.244,30479908137.715,30479972662.073,64523.360,64681.829,158.469,157.471,0.998,35318.171,0,0.000,0,1607,48,0
2,30480007980.244,30480008005.445,30480072595.581,64590.323,64615.337,25.014,25.201,-0.187,35384.663,0,0.000,0,1607,48,0
3,30480107980.244,30480108006.591,30480172755.913,64749.588,64775.669,26.081,26.347,-0.266,35224.331,0,0.000,0,1607,48,0
4,30480207980.244,30480208005.669,30480272785.294,64779.862,64805.050,25.188,25.425,-0.237,35194.950,0,0.000,0,1607,48,0
5,30480307980.244,30480308005.086,30480372495.238,64490.038,64514.994,24.956,24.842,0.114,35485.006,0,0.000,0,1607,48,0
6,30480407980.244,30480408004.864,30480472651.071,64646.302,64670.827,24.525,24.620,-0.095,35329.173,0,0.000,0,1607,48,0
7,30480507980.244,30480508004.228,30480572487.965,64483.903,64507.721,23.818,23.984,-0.166,35492.279,0,0.000,0,1607,48,0
8,30480607980.244,30480608003.500,30480672859.397,64855.904,64879.153,23.249,23.256,-0.007,35120.847,0,0.000,0,1607,48,0
9,30480707980.244,30480708004.880,30480772781.063,64776.214,64800.819,24.605,24.636,-0.031,35199.181,0,0.000,0,1607,48,0
10,30480807980.244,30480808004.298,30480872508.437,64504.205,64528.193,23.988,24.054,-0.066,35471.807,0,0.000,0,1607,48,0
11,30480907980.244,30480908003.850,30480972686.772,64682.964,64706.528,23.564,23.606,-0.042,35293.472,0,0.000,0,1607,48,0
12,30481007980.244,30481008004.330,30481072562.982,64558.885,64582.738,23.853,24.086,-0.233,35417.262,0,0.000,0,1607,48,0
13,30481107980.244,30481108003.750,30481172624.614,64621.011,64644.370,23.359,23.506,-0.147,35355.630,0,0.000,0,1607,48,0
14,30481207980.244,30481208003.735,30481272559.961,64556.347,64579.717,23.370,23.491,-0.121,35420.283,0,0.000,0,1607,48,0
15,30481307980.244,30481307999.348,30481372622.057,64622.907,64641.813,18.906,19.104,-0.198,35358.187,0,0.000,0,1607,48,0
16,30481407980.244,30481408004.757,30481472667.441,64662.677,64687.197,24.520,24.513,0.007,35312.803,0,0.000,0,1607,48,0
17,30481507980.244,30481508004.705,30481572565.649,64561.065,64585.405,24.340,24.461,-0.121,35414.595,0,0.000,0,1607,48,0
18,30481607980.244,30481608004.769,30481672497.108,64492.284,64516.864,24.580,24.525,0.055,35483.136,0,0.000,0,1607,48,0
19,30481707980.244,30481708004.020,30481772706.737,64702.752,64726.493,23.741,23.776,-0.035,35273.507,0,0.000,0,1607,48,0
20,30481807980.244,30481807999.365,30481872640.316,64641.089,64660.072,18.983,19.121,-0.138,35339.928,0,0.000,0,1607,48,0
21,30481907980.244,30481908003.840,30481972444.701,64440.975,64464.457,23.482,23.596,-0.114,35535.543,0,0.000,0,1607,48,0
22,30482007980.244,30482008005.256,30482072624.052,64618.850,64643.808,24.958,25.012,-0.054,35356.192,0,0.000,0,1607,48,0
23,30482107980.244,30482108007.673,30482172481.712,64474.089,64501.468,27.379,27.429,-0.050,35498.532,0,0.000,0,1607,48,0
24,30482207980.244,30482208006.269,30482272572.837,64566.734,64592.593,25.859,26.025,-0.166,35407.407,0,0.000,0,1607,48,0
25,30482307980.244,30482308004.015,30482372566.409,64562.245,64586.165,23.920,23.771,0.149,35413.835,0,0.000,0,1607,48,0
26,30482407980.244,30482408005.866,30482472548.780,64543.044,64568.536,25.492,25.622,-0.130,35431.464,0,0.000,0,1607,48,0
