# probe kind=matmul M=48 K=18 buf_kb=0 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,31188516027.343,31188516048.448,31188516744.769,695.002,717.426,22.424,21.105,1.319,9282.574,0,0.000,0,18,48,0
1,31188526027.343,31188526045.047,31188526740.323,694.728,712.980,18.252,17.704,0.548,9287.020,0,0.000,0,18,48,0
2,31188536027.343,31188536044.759,31188536740.566,695.277,713.223,17.946,17.416,0.530,9286.777,0,0.000,0,18,48,0
3,31188546027.343,31188546045.800,31188546741.130,694.887,713.787,18.900,18.457,0.443,9286.213,0,0.000,0,18,48,0
4,31188556027.343,31188556044.395,31188556739.426,694.503,712.083,17.580,17.052,0.528,9287.917,0,0.000,0,18,48,0
5,31188566027.343,31188566044.620,31188566739.733,694.516,712.390,17.874,17.277,0.597,9287.610,0,0.000,0,18,48,0
6,31188576027.343,31188576046.051,31188576741.266,694.730,713.923,19.193,18.708,0.485,9286.077,0,0.000,0,18,48,0
7,31188586027.343,31188586043.694,31188586738.452,694.355,711.109,16.754,16.351,0.403,9288.891,0,0.000,0,18,48,0
8,31188596027.343,31188596044.472,31188596739.309,694.447,711.966,17.519,17.129,0.390,9288.034,0,0.000,0,18,48,0
9,31188606027.343,31188606045.369,31188606740.392,694.576,713.049,18.473,18.026,0.447,9286.951,0,0.000,0,18,48,0
10,31188616027.343,31188616045.593,31188616741.175,694.836,713.832,18.996,18.250,0.746,9286.168,0,0.000,0,18,48,0
11,31188626027.343,31188626048.956,31188626744.052,694.569,716.709,22.140,21.613,0.527,9283.291,0,0.000,0,18,48,0
12,31188636027.343,31188636045.973,31188636740.903,694.242,713.560,19.318,18.630,0.688,9286.440,0,0.000,0,18,48,0
13,31188646027.343,31188646046.704,31188646741.909,694.545,714.566,20.021,19.361,0.660,9285.434,0,0.000,0,18,48,0
14,31188656027.343,31188656045.378,31188656740.919,694.971,713.576,18.605,18.035,0.570,9286.424,0,0.000,0,18,48,0
15,31188666027.343,31188666047.316,31188666742.877,694.855,715.534,20.679,19.973,0.706,9284.466,0,0.000,0,18,48,0
16,31188676027.343,31188676046.533,31188676742.103,694.854,714.760,19.906,19.190,0.716,9285.240,0,0.000,0,18,48,0
17,31188686027.343,31188686046.902,31188686742.290,694.787,714.947,20.160,19.559,0.601,9285.053,0,0.000,0,18,48,0
18,31188696027.343,31188696045.013,31188696739.873,694.278,712.530,18.252,17.670,0.582,9287.470,0,0.000,0,18,48,0
19,31188706027.343,31188706044.473,31188706739.915,694.515,712.572,18.057,17.130,0.927,9287.428,0,0.000,0,18,48,0
20,31188716027.343,31188716045.798,31188716741.463,694.875,714.120,19.245,18.455,0.790,9285.880,0,0.000,0,18,48,0
21,31188726027.343,31188726045.081,31188726740.314,694.717,712.971,18.254,17.738,0.516,9287.029,0,0.000,0,18,48,0
22,31188736027.343,31188736045.154,31188736740.084,694.536,712.741,18.205,17.811,0.394,9287.259,0,0.000,0,18,48,0
23,31188746027.343,31188746045.567,31188746740.465,694.349,713.122,18.773,18.224,0.549,9286.878,0,0.000,0,18,48,0
24,31188756027.343,31188756046.241,31188756741.574,694.709,714.231,19.522,18.898,0.624,9285.769,0,0.000,0,18,48,0
25,31188766027.343,31188766045.375,31188766744.012,697.935,716.669,18.734,18.032,0.702,9283.331,0,0.000,0,18,48,0
26,31188776027.343,31188776046.076,31188776741.250,694.417,713.907,19.490,18.733,0.757,9286.093,0,0.000,0,18,48,0
27,31188786027.343,31188786050.857,31188786746.354,694.966,719.011,24.045,23.514,0.531,9280.989,0,0.000,0,18,48,0
28,31188796027.343,31188796047.583,31188796742.283,694.137,714.940,20.803,20.240,0.563,9285.060,0,0.000,0,18,48,0
29,31188806027.343,31188806046.469,31188806741.535,694.596,714.192,19.596,19.126,0.470,9285.808,0,0.000,0,18,48,0
30,31188816027.343,31188816045.131,31188816740.192,694.528,712.849,18.321,17.788,0.533,9287.151,0,0.000,0,18,48,0
31,31188826027.343,31188826045.598,31188826741.347,695.235,714.004,18.769,18.255,0.514,9285.996,0,0.000,0,18,48,0
32,31188836027.343,31188836045.517,31188836740.699,694.717,713.356,18.639,18.174,0.465,9286.644,0,0.000,0,18,48,0
33,31188846027.343,31188846047.092,31188846743.523,695.831,716.180,20.349,19.749,0.600,9283.820,0,0.000,0,18,48,0
34,31188856027.343,31188856046.389,31188856741.786,694.748,714.443,19.695,19.046,0.649,9285.557,0,0.000,0,18,48,0
35,31188866027.343,31188866046.996,31188866741.919,694.368,714.576,20.208,19.653,0.555,9285.424,0,0.000,0,18,48,0
36,31188876027.343,31188876046.576,31188876742.157,694.946,714.814,19.868,19.233,0.635,9285.186,0,0.000,0,18,48,0
37,31188886027.343,31188886046.807,31188886741.999,694.573,714.656,20.083,19.464,0.619,9285.344,0,0.000,0,18,48,0
38,31188896027.343,31188896047.511,31188896742.996,694.873,715.653,20.780,20.168,0.612,9284.347,0,0.000,0,18,48,0
39,31188906027.343,31188906045.463,31188906742.877,696.944,715.534,18.590,18.120,0.470,9284.466,0,0.000,0,18,48,0
40,31188916027.343,31188916044.722,31188916739.743,694.543,712.400,17.857,17.379,0.478,9287.600,0,0.000,0,18,48,0
41,31188926027.343,31188926045.819,31188926740.968,694.528,713.625,19.097,18.476,0.621,9286.375,0,0.000,0,18,48,0
42,31188936027.343,31188936045.115,31188936739.925,694.237,712.582,18.345,17.772,0.573,9287.418,0,0.000,0,18,48,0
43,31188946027.343,31188946045.508,31188946740.652,694.585,713.309,18.724,18.165,0.559,9286.691,0,0.000,0,18,48,0
44,31188956027.343,31188956046.383,31188956741.138,694.297,713.795,19.498,19.040,0.458,9286.205,0,0.000,0,18,48,0
45,31188966027.343,31188966044.454,31188966739.385,694.489,712.042,17.553,17.111,0.442,9287.958,0,0.000,0,18,48,0
46,31188976027.343,31188976044.382,31188976739.359,694.522,712.016,17.494,17.039,0.455,9287.984,0,0.000,0,18,48,0
47,31188986027.343,31188986043.902,31188986738.795,694.450,711.452,17.002,16.559,0.443,9288.548,0,0.000,0,18,48,0
48,31188996027.343,31188996046.043,31188996740.774,694.200,713.431,19.231,18.700,0.531,9286.569,0,0.000,0,18,48,0
49,31189006027.343,31189006046.014,31189006741.443,694.984,714.100,19.116,18.671,0.445,9285.900,0,0.000,0,18,48,0
50,31189016027.343,31189016045.112,31189016740.277,694.463,712.934,18.471,17.769,0.702,9287.066,0,0.000,0,18,48,0
51,31189026027.343,31189026044.930,31189026739.898,694.419,712.555,18.136,17.587,0.549,9287.445,0,0.000,0,18,48,0
52,31189036027.343,31189036045.667,31189036740.821,694.427,713.478,19.051,18.324,0.727,9286.522,0,0.000,0,18,48,0
53,31189046027.343,31189046044.924,31189046755.746,710.202,728.403,18.201,17.581,0.620,9271.597,0,0.000,0,18,48,0
