# probe kind=primes M=48 K=111 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,13777011532.500,13777011560.994,13777055406.877,43844.429,43874.377,29.948,28.494,1.454,56125.623,0,0.000,0,111,48,0
1,13777111532.500,13777111692.078,13777154342.063,42648.745,42809.563,160.818,159.578,1.240,57190.437,0,0.000,0,111,48,0
2,13777211532.500,13777211572.729,13777254365.198,42791.351,42832.698,41.347,40.229,1.118,57167.302,0,0.000,0,111,48,0
3,13777311532.500,13777311569.213,13777354890.495,43319.976,43357.995,38.019,36.713,1.306,56642.005,0,0.000,0,111,48,0
4,13777411532.500,13777411556.553,13777454205.817,42648.769,42673.317,24.548,24.053,0.495,57326.683,0,0.000,0,111,48,0
5,13777511532.500,13777511557.449,13777554369.273,42811.374,42836.773,25.399,24.949,0.450,57163.227,0,0.000,0,111,48,0
6,13777611532.500,13777611556.142,13777653853.565,42297.130,42321.065,23.935,23.642,0.293,57678.935,0,0.000,0,111,48,0
7,13777711532.500,13777711554.204,13777754709.999,43155.370,43177.499,22.129,21.704,0.425,56822.501,0,0.000,0,111,48,0
8,13777811532.500,13777811556.575,13777854230.490,42673.536,42697.990,24.454,24.075,0.379,57302.010,0,0.000,0,111,48,0
9,13777911532.500,13777911555.596,13777953702.100,42146.004,42169.600,23.596,23.096,0.500,57830.400,0,0.000,0,111,48,0
10,13778011532.500,13778011555.525,13778054673.334,43117.522,43140.834,23.312,23.025,0.287,56859.166,0,0.000,0,111,48,0
11,13778111532.500,13778111554.037,13778154130.698,42576.299,42598.198,21.899,21.537,0.362,57401.802,0,0.000,0,111,48,0
12,13778211532.500,13778211554.960,13778255097.821,43542.501,43565.321,22.820,22.460,0.360,56434.679,0,0.000,0,111,48,0
13,13778311532.500,13778311558.564,13778354789.106,43229.992,43256.606,26.614,26.064,0.550,56743.394,0,0.000,0,111,48,0
14,13778411532.500,13778411556.356,13778454820.538,43263.702,43288.038,24.336,23.856,0.480,56711.962,0,0.000,0,111,48,0
15,13778511532.500,13778511556.496,13778554081.737,42525.027,42549.237,24.210,23.996,0.214,57450.763,0,0.000,0,111,48,0
16,13778611532.500,13778611559.214,13778653768.031,42208.319,42235.531,27.212,26.714,0.498,57764.469,0,0.000,0,111,48,0
17,13778711532.500,13778711555.577,13778754153.030,42597.129,42620.530,23.401,23.077,0.324,57379.470,0,0.000,0,111,48,0
18,13778811532.500,13778811555.448,13778854389.248,42833.520,42856.748,23.228,22.948,0.280,57143.252,0,0.000,0,111,48,0
19,13778911532.500,13778911553.531,13778954489.398,42935.597,42956.898,21.301,21.031,0.270,57043.102,0,0.000,0,111,48,0
20,13779011532.500,13779011557.160,13779054374.927,42817.450,42842.427,24.977,24.660,0.317,57157.573,0,0.000,0,111,48,0
21,13779111532.500,13779111555.284,13779154540.298,42984.594,43007.798,23.204,22.784,0.420,56992.202,0,0.000,0,111,48,0
22,13779211532.500,13779211554.021,13779254535.891,42981.570,43003.391,21.821,21.521,0.300,56996.609,0,0.000,0,111,48,0
23,13779311532.500,13779311555.280,13779353858.944,42303.277,42326.444,23.167,22.780,0.387,57673.556,0,0.000,0,111,48,0
24,13779411532.500,13779411554.858,13779454763.547,43208.313,43231.047,22.734,22.358,0.376,56768.953,0,0.000,0,111,48,0
25,13779511532.500,13779511555.673,13779554803.887,43247.951,43271.387,23.436,23.173,0.263,56728.613,0,0.000,0,111,48,0
26,13779611532.500,13779611555.495,13779654477.631,42921.789,42945.131,23.342,22.995,0.347,57054.869,0,0.000,0,111,48,0
27,13779711532.500,13779711552.741,13779754811.759,43258.723,43279.259,20.536,20.241,0.295,56720.741,0,0.000,0,111,48,0
28,13779811532.500,13779811555.973,13779854006.050,42449.734,42473.550,23.816,23.473,0.343,57526.450,0,0.000,0,111,48,0
29,13779911532.500,13779911553.596,13779954808.496,43254.559,43275.996,21.437,21.096,0.341,56724.004,0,0.000,0,111,48,0
