# probe kind=primes M=48 K=6 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,5860698643.411,5860698672.544,5860701051.423,2377.012,2408.012,31.000,29.133,1.867,7591.988,0,0.000,0,6,48,0
1,5860708643.411,5860708830.591,5860711118.709,2286.571,2475.298,188.727,187.180,1.547,7524.702,0,0.000,0,6,48,0
2,5860718643.411,5860718663.944,5860720857.441,2192.802,2214.030,21.228,20.533,0.695,7785.970,0,0.000,0,6,48,0
3,5860728643.411,5860728663.575,5860730946.412,2282.013,2303.001,20.988,20.164,0.824,7696.999,0,0.000,0,6,48,0
4,5860738643.411,5860738663.424,5860740958.788,2294.555,2315.377,20.822,20.013,0.809,7684.623,0,0.000,0,6,48,0
5,5860748643.411,5860748664.972,5860750898.489,2232.681,2255.078,22.397,21.561,0.836,7744.922,0,0.000,0,6,48,0
6,5860758643.411,5860758664.248,5860760973.424,2308.478,2330.013,21.535,20.837,0.698,7669.987,0,0.000,0,6,48,0
7,5860768643.411,5860768663.451,5860771062.234,2397.967,2418.823,20.856,20.040,0.816,7581.177,0,0.000,0,6,48,0
8,5860778643.411,5860778665.381,5860780988.026,2321.679,2344.615,22.936,21.970,0.966,7655.385,0,0.000,0,6,48,0
9,5860788643.411,5860788664.492,5860790982.170,2316.514,2338.759,22.245,21.081,1.164,7661.241,0,0.000,0,6,48,0
10,5860798643.411,5860798792.317,5860801030.049,2236.250,2386.638,150.388,148.906,1.482,7613.362,0,0.000,0,6,48,0
11,5860808643.411,5860808662.123,5860810930.745,2267.945,2287.334,19.389,18.712,0.677,7712.666,0,0.000,0,6,48,0
12,5860818643.411,5860818663.311,5860820914.940,2250.739,2271.529,20.790,19.900,0.890,7728.471,0,0.000,0,6,48,0
13,5860828643.411,5860828663.616,5860830874.127,2209.515,2230.716,21.201,20.205,0.996,7769.284,0,0.000,0,6,48,0
14,5860838643.411,5860838664.419,5860841053.391,2388.240,2409.980,21.740,21.008,0.732,7590.020,0,0.000,0,6,48,0
15,5860848643.411,5860848663.466,5860850923.529,2259.270,2280.118,20.848,20.055,0.793,7719.882,0,0.000,0,6,48,0
16,5860858643.411,5860858664.301,5860860938.420,2273.420,2295.009,21.589,20.890,0.699,7704.991,0,0.000,0,6,48,0
17,5860868643.411,5860868664.133,5860870968.322,2303.214,2324.911,21.697,20.722,0.975,7675.089,0,0.000,0,6,48,0
18,5860878643.411,5860878663.388,5860880967.677,2303.451,2324.266,20.815,19.977,0.838,7675.734,0,0.000,0,6,48,0
19,5860888643.411,5860888664.509,5860890983.629,2318.375,2340.218,21.843,21.098,0.745,7659.782,0,0.000,0,6,48,0
20,5860898643.411,5860898663.450,5860901020.931,2356.916,2377.520,20.604,20.039,0.565,7622.480,0,0.000,0,6,48,0
21,5860908643.411,5860908796.321,5860911079.054,2281.194,2435.643,154.449,152.910,1.539,7564.357,0,0.000,0,6,48,0
22,5860918643.411,5860918662.757,5860921058.475,2394.979,2415.064,20.085,19.346,0.739,7584.936,0,0.000,0,6,48,0
23,5860928643.411,5860928664.061,5860930902.499,2237.728,2259.088,21.360,20.650,0.710,7740.912,0,0.000,0,6,48,0
24,5860938643.411,5860938662.920,5860940976.458,2312.877,2333.047,20.170,19.509,0.661,7666.953,0,0.000,0,6,48,0
25,5860948643.411,5860948664.619,5860951176.288,2510.802,2532.877,22.075,21.208,0.867,7467.123,0,0.000,0,6,48,0
26,5860958643.411,5860958663.783,5860960868.489,2203.831,2225.078,21.247,20.372,0.875,7774.922,0,0.000,0,6,48,0
27,5860968643.411,5860968664.441,5860971137.449,2472.021,2494.038,22.017,21.030,0.987,7505.962,0,0.000,0,6,48,0
28,5860978643.411,5860978663.916,5860980856.114,2191.501,2212.703,21.202,20.505,0.697,7787.297,0,0.000,0,6,48,0
29,5860988643.411,5860988663.219,5860991008.871,2344.812,2365.460,20.648,19.808,0.840,7634.540,0,0.000,0,6,48,0
30,5860998643.411,5860998664.326,5861000978.179,2312.944,2334.768,21.824,20.915,0.909,7665.232,0,0.000,0,6,48,0
31,5861008643.411,5861008822.621,5861011095.193,2271.057,2451.782,180.725,179.210,1.515,7548.218,0,0.000,0,6,48,0
32,5861018643.411,5861018663.681,5861020987.191,2322.638,2343.780,21.142,20.270,0.872,7656.220,0,0.000,0,6,48,0
33,5861028643.411,5861028663.840,5861030998.387,2333.828,2354.976,21.148,20.429,0.719,7645.024,0,0.000,0,6,48,0
34,5861038643.411,5861038672.203,5861040938.275,2264.661,2294.864,30.203,28.792,1.411,7705.136,0,0.000,0,6,48,0
35,5861048643.411,5861048663.146,5861051080.876,2417.018,2437.465,20.447,19.735,0.712,7562.535,0,0.000,0,6,48,0
36,5861058643.411,5861058839.523,5861061259.432,2418.597,2616.021,197.424,196.112,1.312,7383.979,0,0.000,0,6,48,0
37,5861068643.411,5861068663.851,5861070864.801,2200.345,2221.390,21.045,20.440,0.605,7778.610,0,0.000,0,6,48,0
38,5861078643.411,5861078664.222,5861080965.329,2300.266,2321.918,21.652,20.811,0.841,7678.082,0,0.000,0,6,48,0
39,5861088643.411,5861088662.365,5861091042.949,2379.891,2399.538,19.647,18.954,0.693,7600.462,0,0.000,0,6,48,0
40,5861098643.411,5861098662.910,5861100987.436,2323.900,2344.025,20.125,19.499,0.626,7655.975,0,0.000,0,6,48,0
41,5861108643.411,5861108663.477,5861110967.881,2303.762,2324.470,20.708,20.066,0.642,7675.530,0,0.000,0,6,48,0
42,5861118643.411,5861118852.201,5861121225.748,2372.065,2582.337,210.272,208.790,1.482,7417.663,0,0.000,0,6,48,0
43,5861128643.411,5861128662.918,5861130989.393,2325.492,2345.982,20.490,19.507,0.983,7654.018,0,0.000,0,6,48,0
44,5861138643.411,5861138813.547,5861141161.862,2346.860,2518.451,171.591,170.136,1.455,7481.549,0,0.000,0,6,48,0
45,5861148643.411,5861148663.793,5861150782.783,2118.224,2139.372,21.148,20.382,0.766,7860.628,0,0.000,0,6,48,0
46,5861158643.411,5861158664.222,5861161007.600,2342.466,2364.189,21.723,20.811,0.912,7635.811,0,0.000,0,6,48,0
47,5861168643.411,5861168663.736,5861171013.277,2348.564,2369.866,21.302,20.325,0.977,7630.134,0,0.000,0,6,48,0
48,5861178643.411,5861178664.401,5861181020.892,2355.661,2377.481,21.820,20.990,0.830,7622.519,0,0.000,0,6,48,0
49,5861188643.411,5861188663.281,5861190969.192,2305.202,2325.781,20.579,19.870,0.709,7674.219,0,0.000,0,6,48,0
50,5861198643.411,5861198665.026,5861201032.747,2367.062,2389.336,22.274,21.615,0.659,7610.664,0,0.000,0,6,48,0
51,5861208643.411,5861208663.353,5861210886.883,2222.446,2243.472,21.026,19.942,1.084,7756.528,0,0.000,0,6,48,0
52,5861218643.411,5861218665.251,5861221044.271,2378.357,2400.860,22.503,21.840,0.663,7599.140,0,0.000,0,6,48,0
53,5861228643.411,5861228662.804,5861230908.885,2244.949,2265.474,20.525,19.393,1.132,7734.526,0,0.000,0,6,48,0
54,5861238643.411,5861238664.146,5861241088.924,2423.981,2445.513,21.532,20.735,0.797,7554.487,0,0.000,0,6,48,0
55,5861248643.411,5861248663.660,5861251020.784,2356.386,2377.373,20.987,20.249,0.738,7622.627,0,0.000,0,6,48,0
56,5861258643.411,5861258664.529,5861261034.064,2368.698,2390.653,21.955,21.118,0.837,7609.347,0,0.000,0,6,48,0
57,5861268643.411,5861268663.487,5861270981.611,2316.906,2338.200,21.294,20.076,1.218,7661.800,0,0.000,0,6,48,0
58,5861278643.411,5861278665.470,5861280970.079,2303.545,2326.668,23.123,22.059,1.064,7673.332,0,0.000,0,6,48,0
59,5861288643.411,5861288665.828,5861290907.803,2241.073,2264.392,23.319,22.417,0.902,7735.608,0,0.000,0,6,48,0
60,5861298643.411,5861298664.830,5861300942.751,2277.258,2299.340,22.082,21.419,0.663,7700.660,0,0.000,0,6,48,0
61,5861308643.411,5861308665.050,5861310962.743,2296.584,2319.332,22.748,21.639,1.109,7680.668,0,0.000,0,6,48,0
62,5861318643.411,5861318663.694,5861321018.453,2354.055,2375.042,20.987,20.283,0.704,7624.958,0,0.000,0,6,48,0
63,5861328643.411,5861328662.766,5861330956.117,2292.641,2312.706,20.065,19.355,0.710,7687.294,0,0.000,0,6,48,0
64,5861338643.411,5861338664.250,5861340972.118,2307.130,2328.707,21.577,20.839,0.738,7671.293,0,0.000,0,6,48,0
65,5861348643.411,5861348662.573,5861350921.516,2258.375,2278.105,19.730,19.162,0.568,7721.895,0,0.000,0,6,48,0
66,5861358643.411,5861358663.130,5861360936.908,2272.862,2293.497,20.635,19.719,0.916,7706.503,0,0.000,0,6,48,0
67,5861368643.411,5861368665.149,5861371032.114,2366.387,2388.703,22.316,21.738,0.578,7611.297,0,0.000,0,6,48,0
68,5861378643.411,5861378664.228,5861380945.061,2279.927,2301.650,21.723,20.817,0.906,7698.350,0,0.000,0,6,48,0
69,5861388643.411,5861388662.620,5861390894.382,2230.946,2250.971,20.025,19.209,0.816,7749.029,0,0.000,0,6,48,0
70,5861398643.411,5861398663.520,5861401178.018,2513.761,2534.607,20.846,20.109,0.737,7465.393,0,0.000,0,6,48,0
71,5861408643.411,5861408665.290,5861410945.407,2279.410,2301.996,22.586,21.879,0.707,7698.004,0,0.000,0,6,48,0
72,5861418643.411,5861418664.185,5861420981.818,2316.738,2338.407,21.669,20.774,0.895,7661.593,0,0.000,0,6,48,0
73,5861428643.411,5861428663.830,5861431099.335,2434.671,2455.924,21.253,20.419,0.834,7544.076,0,0.000,0,6,48,0
74,5861438643.411,5861438673.180,5861440950.555,2275.747,2307.144,31.397,29.769,1.628,7692.856,0,0.000,0,6,48,0
75,5861448643.411,5861448662.604,5861450979.847,2316.573,2336.436,19.863,19.193,0.670,7663.564,0,0.000,0,6,48,0
76,5861458643.411,5861458662.885,5861461054.585,2391.019,2411.174,20.155,19.474,0.681,7588.826,0,0.000,0,6,48,0
77,5861468643.411,5861468662.067,5861470948.906,2286.273,2305.495,19.222,18.656,0.566,7694.505,0,0.000,0,6,48,0
78,5861478643.411,5861478663.705,5861481028.756,2364.421,2385.345,20.924,20.294,0.630,7614.655,0,0.000,0,6,48,0
79,5861488643.411,5861488663.281,5861490922.099,2258.175,2278.688,20.513,19.870,0.643,7721.312,0,0.000,0,6,48,0
80,5861498643.411,5861498664.216,5861500974.036,2309.111,2330.625,21.514,20.805,0.709,7669.375,0,0.000,0,6,48,0
81,5861508643.411,5861508663.402,5861511044.896,2380.879,2401.485,20.606,19.991,0.615,7598.515,0,0.000,0,6,48,0
82,5861518643.411,5861518665.033,5861521074.844,2409.129,2431.433,22.304,21.622,0.682,7568.567,0,0.000,0,6,48,0
83,5861528643.411,5861528661.276,5861530850.372,2188.347,2206.961,18.614,17.865,0.749,7793.039,0,0.000,0,6,48,0
84,5861538643.411,5861538662.768,5861540987.038,2323.556,2343.627,20.071,19.357,0.714,7656.373,0,0.000,0,6,48,0
85,5861548643.411,5861548662.537,5861550929.131,2265.773,2285.720,19.947,19.126,0.821,7714.280,0,0.000,0,6,48,0
86,5861558643.411,5861558803.005,5861561111.814,2307.386,2468.403,161.017,159.594,1.423,7531.597,0,0.000,0,6,48,0
87,5861568643.411,5861568662.044,5861570905.214,2242.501,2261.803,19.302,18.633,0.669,7738.197,0,0.000,0,6,48,0
88,5861578643.411,5861578662.325,5861580945.260,2282.036,2301.849,19.813,18.914,0.899,7698.151,0,0.000,0,6,48,0
89,5861588643.411,5861588662.959,5861590931.512,2267.750,2288.101,20.351,19.548,0.803,7711.899,0,0.000,0,6,48,0
90,5861598643.411,5861598664.229,5861600949.197,2284.152,2305.786,21.634,20.818,0.816,7694.214,0,0.000,0,6,48,0
91,5861608643.411,5861608663.187,5861610983.656,2319.094,2340.245,21.151,19.776,1.375,7659.755,0,0.000,0,6,48,0
92,5861618643.411,5861618663.606,5861620929.096,2264.780,2285.685,20.905,20.195,0.710,7714.315,0,0.000,0,6,48,0
93,5861628643.411,5861628663.733,5861630970.622,2305.761,2327.211,21.450,20.322,1.128,7672.789,0,0.000,0,6,48,0
94,5861638643.411,5861638663.335,5861640916.187,2252.047,2272.776,20.729,19.924,0.805,7727.224,0,0.000,0,6,48,0
95,5861648643.411,5861648663.567,5861650804.221,2139.703,2160.810,21.107,20.156,0.951,7839.190,0,0.000,0,6,48,0
96,5861658643.411,5861658663.402,5861660933.224,2269.002,2289.813,20.811,19.991,0.820,7710.187,0,0.000,0,6,48,0
97,5861668643.411,5861668662.531,5861670880.330,2216.688,2236.919,20.231,19.120,1.111,7763.081,0,0.000,0,6,48,0
98,5861678643.411,5861678665.953,5861681037.307,2370.578,2393.896,23.318,22.542,0.776,7606.104,0,0.000,0,6,48,0
99,5861688643.411,5861688663.109,5861690971.035,2306.981,2327.624,20.643,19.698,0.945,7672.376,0,0.000,0,6,48,0
100,5861698643.411,5861698663.921,5861701122.714,2457.929,2479.303,21.374,20.510,0.864,7520.697,0,0.000,0,6,48,0
101,5861708643.411,5861708663.195,5861710952.307,2288.159,2308.896,20.737,19.784,0.953,7691.104,0,0.000,0,6,48,0
102,5861718643.411,5861718664.394,5861720945.412,2280.061,2302.001,21.940,20.983,0.957,7697.999,0,0.000,0,6,48,0
103,5861728643.411,5861728663.904,5861731010.586,2345.980,2367.175,21.195,20.493,0.702,7632.825,0,0.000,0,6,48,0
104,5861738643.411,5861738665.075,5861741044.221,2378.367,2400.810,22.443,21.664,0.779,7599.190,0,0.000,0,6,48,0
105,5861748643.411,5861748664.703,5861750871.844,2206.224,2228.433,22.209,21.292,0.917,7771.567,0,0.000,0,6,48,0
106,5861758643.411,5861758664.277,5861760958.285,2292.998,2314.874,21.876,20.866,1.010,7685.126,0,0.000,0,6,48,0
107,5861768643.411,5861768661.660,5861770872.433,2209.894,2229.022,19.128,18.249,0.879,7770.978,0,0.000,0,6,48,0
108,5861778643.411,5861778664.503,5861780886.673,2220.958,2243.262,22.304,21.092,1.212,7756.738,0,0.000,0,6,48,0
109,5861788643.411,5861788664.753,5861791028.224,2362.811,2384.813,22.002,21.342,0.660,7615.187,0,0.000,0,6,48,0
110,5861798643.411,5861798663.101,5861800867.180,2203.250,2223.769,20.519,19.690,0.829,7776.231,0,0.000,0,6,48,0
111,5861808643.411,5861808663.078,5861810926.537,2262.768,2283.126,20.358,19.667,0.691,7716.874,0,0.000,0,6,48,0
112,5861818643.411,5861818663.651,5861820943.427,2278.620,2300.016,21.396,20.240,1.156,7699.984,0,0.000,0,6,48,0
113,5861828643.411,5861828663.029,5861830855.947,2192.172,2212.536,20.364,19.618,0.746,7787.464,0,0.000,0,6,48,0
114,5861838643.411,5861838662.956,5861841014.723,2350.804,2371.312,20.508,19.545,0.963,7628.688,0,0.000,0,6,48,0
115,5861848643.411,5861848664.732,5861851006.546,2341.063,2363.135,22.072,21.321,0.751,7636.865,0,0.000,0,6,48,0
116,5861858643.411,5861858664.622,5861860902.738,2237.372,2259.327,21.955,21.211,0.744,7740.673,0,0.000,0,6,48,0
117,5861868643.411,5861868663.428,5861870957.472,2293.220,2314.061,20.841,20.017,0.824,7685.939,0,0.000,0,6,48,0
118,5861878643.411,5861878663.228,5861880876.144,2211.927,2232.733,20.806,19.817,0.989,7767.267,0,0.000,0,6,48,0
119,5861888643.411,5861888662.972,5861890799.213,2135.500,2155.802,20.302,19.561,0.741,7844.198,0,0.000,0,6,48,0
120,5861898643.411,5861898662.561,5861900965.405,2302.068,2321.994,19.926,19.150,0.776,7678.006,0,0.000,0,6,48,0
121,5861908643.411,5861908663.192,5861911080.503,2416.179,2437.092,20.913,19.781,1.132,7562.908,0,0.000,0,6,48,0
122,5861918643.411,5861918664.353,5861920866.121,2201.126,2222.710,21.584,20.942,0.642,7777.290,0,0.000,0,6,48,0
123,5861928643.411,5861928664.572,5861930939.409,2273.894,2295.998,22.104,21.161,0.943,7704.002,0,0.000,0,6,48,0
124,5861938643.411,5861938664.177,5861940987.120,2321.949,2343.709,21.760,20.766,0.994,7656.291,0,0.000,0,6,48,0
125,5861948643.411,5861948666.375,5861951115.526,2448.270,2472.115,23.845,22.964,0.881,7527.885,0,0.000,0,6,48,0
126,5861958643.411,5861958797.650,5861961139.874,2340.761,2496.463,155.702,154.239,1.463,7503.537,0,0.000,0,6,48,0
127,5861968643.411,5861968663.349,5861970883.927,2219.881,2240.516,20.635,19.938,0.697,7759.484,0,0.000,0,6,48,0
128,5861978643.411,5861978664.014,5861980914.180,2249.531,2270.769,21.238,20.603,0.635,7729.231,0,0.000,0,6,48,0
129,5861988643.411,5861988663.784,5861990943.595,2278.989,2300.184,21.195,20.373,0.822,7699.816,0,0.000,0,6,48,0
130,5861998643.411,5861998664.775,5862001090.552,2425.174,2447.141,21.967,21.364,0.603,7552.859,0,0.000,0,6,48,0
131,5862008643.411,5862008662.809,5862010865.696,2201.932,2222.285,20.353,19.398,0.955,7777.715,0,0.000,0,6,48,0
132,5862018643.411,5862018661.634,5862020914.276,2251.943,2270.865,18.922,18.223,0.699,7729.135,0,0.000,0,6,48,0
133,5862028643.411,5862028662.313,5862031044.232,2381.413,2400.821,19.408,18.902,0.506,7599.179,0,0.000,0,6,48,0
134,5862038643.411,5862038664.599,5862040927.006,2261.727,2283.595,21.868,21.188,0.680,7716.405,0,0.000,0,6,48,0
135,5862048643.411,5862048662.119,5862050977.553,2314.618,2334.142,19.524,18.708,0.816,7665.858,0,0.000,0,6,48,0
136,5862058643.411,5862058664.073,5862060918.168,2253.330,2274.757,21.427,20.662,0.765,7725.243,0,0.000,0,6,48,0
137,5862068643.411,5862068662.680,5862070947.356,2283.742,2303.945,20.203,19.269,0.934,7696.055,0,0.000,0,6,48,0
138,5862078643.411,5862078663.355,5862081033.395,2369.400,2389.984,20.584,19.944,0.640,7610.016,0,0.000,0,6,48,0
139,5862088643.411,5862088663.692,5862090945.881,2280.995,2302.470,21.475,20.281,1.194,7697.530,0,0.000,0,6,48,0
140,5862098643.411,5862098665.289,5862101003.872,2333.741,2360.461,26.720,21.878,4.842,7639.539,0,0.000,0,6,48,0
141,5862108643.411,5862108662.630,5862110922.638,2259.275,2279.227,19.952,19.219,0.733,7720.773,0,0.000,0,6,48,0
142,5862118643.411,5862118662.363,5862121082.995,2419.929,2439.584,19.655,18.952,0.703,7560.416,0,0.000,0,6,48,0
143,5862128643.411,5862128663.280,5862130945.297,2281.289,2301.886,20.597,19.869,0.728,7698.114,0,0.000,0,6,48,0
144,5862138643.411,5862138663.917,5862140904.574,2239.919,2261.163,21.244,20.506,0.738,7738.837,0,0.000,0,6,48,0
145,5862148643.411,5862148909.092,5862151146.481,2235.941,2503.070,267.129,265.681,1.448,7496.930,0,0.000,0,6,48,0
146,5862158643.411,5862158664.389,5862161035.103,2370.015,2391.692,21.677,20.978,0.699,7608.308,0,0.000,0,6,48,0
147,5862168643.411,5862168664.227,5862170983.484,2318.202,2340.073,21.871,20.816,1.055,7659.927,0,0.000,0,6,48,0
148,5862178643.411,5862178664.246,5862180874.983,2209.932,2231.572,21.640,20.835,0.805,7768.428,0,0.000,0,6,48,0
149,5862188643.411,5862188663.059,5862191011.186,2347.484,2367.775,20.291,19.648,0.643,7632.225,0,0.000,0,6,48,0
150,5862198643.411,5862198665.295,5862200873.863,2207.623,2230.452,22.829,21.884,0.945,7769.548,0,0.000,0,6,48,0
151,5862208643.411,5862208663.622,5862210958.326,2293.852,2314.915,21.063,20.211,0.852,7685.085,0,0.000,0,6,48,0
152,5862218643.411,5862218664.481,5862220997.672,2332.294,2354.261,21.967,21.070,0.897,7645.739,0,0.000,0,6,48,0
153,5862228643.411,5862228664.264,5862230946.952,2281.746,2303.541,21.795,20.853,0.942,7696.459,0,0.000,0,6,48,0
154,5862238643.411,5862238664.126,5862241022.626,2357.367,2379.215,21.848,20.715,1.133,7620.785,0,0.000,0,6,48,0
155,5862248643.411,5862248663.738,5862250951.933,2287.288,2308.522,21.234,20.327,0.907,7691.478,0,0.000,0,6,48,0
156,5862258643.411,5862258664.049,5862260866.274,2201.430,2222.863,21.433,20.638,0.795,7777.137,0,0.000,0,6,48,0
157,5862268643.411,5862268663.448,5862270987.803,2323.408,2344.392,20.984,20.037,0.947,7655.608,0,0.000,0,6,48,0
