# probe kind=matmul M=48 K=527 buf_kb=0 period_us=100000 priority=90 cpu=1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,13515842417.549,13515842474.693,13515864947.733,22470.952,22530.184,59.232,57.144,2.088,77469.816,0,0.000,0,527,48,0
1,13515942417.549,13515942480.009,13515965770.648,23288.065,23353.099,65.034,62.460,2.574,76646.901,0,0.000,0,527,48,0
2,13516042417.549,13516042473.651,13516065134.408,22658.813,22716.859,58.046,56.102,1.944,77283.141,0,0.000,0,527,48,0
3,13516142417.549,13516142463.259,13516165858.764,23392.387,23441.215,48.828,45.710,3.118,76558.785,0,0.000,0,527,48,0
4,13516242417.549,13516242471.931,13516265519.480,23045.947,23101.931,55.984,54.382,1.602,76898.069,0,0.000,0,527,48,0
5,13516342417.549,13516342491.435,13516365500.646,23006.418,23083.097,76.679,73.886,2.793,76916.903,0,0.000,0,527,48,0
6,13516442417.549,13516442480.914,13516467562.553,25078.519,25145.004,66.485,63.365,3.120,74854.996,0,0.000,0,527,48,0
7,13516542417.549,13516542469.119,13516567061.665,24590.345,24644.116,53.771,51.570,2.201,75355.884,0,0.000,0,527,48,0
8,13516642417.549,13516642496.515,13516665629.624,23128.655,23212.075,83.420,78.966,4.454,76787.925,0,0.000,0,527,48,0
9,13516742417.549,13516742466.638,13516764985.240,22516.690,22567.691,51.001,49.089,1.912,77432.309,0,0.000,0,527,48,0
10,13516842417.549,13516842462.008,13516865051.134,22587.226,22633.585,46.359,44.459,1.900,77366.415,0,0.000,0,527,48,0
11,13516942417.549,13516942471.360,13516965679.010,23205.093,23261.461,56.368,53.811,2.557,76738.539,0,0.000,0,527,48,0
12,13517042417.549,13517042464.729,13517065254.024,22787.422,22836.475,49.053,47.180,1.873,77163.525,0,0.000,0,527,48,0
13,13517142417.549,13517142508.091,13517165413.084,22902.054,22995.535,93.481,90.542,2.939,77004.465,0,0.000,0,527,48,0
14,13517242417.549,13517242467.498,13517265294.105,22824.594,22876.556,51.962,49.949,2.013,77123.444,0,0.000,0,527,48,0
15,13517342417.549,13517342485.956,13517365504.525,23016.531,23086.976,70.445,68.407,2.038,76913.024,0,0.000,0,527,48,0
16,13517442417.549,13517442460.311,13517465884.593,23422.325,23467.044,44.719,42.762,1.957,76532.956,0,0.000,0,527,48,0
17,13517542417.549,13517542487.307,13517566346.411,23856.242,23928.862,72.620,69.758,2.862,76071.138,0,0.000,0,527,48,0
18,13517642417.549,13517642476.135,13517665263.036,22784.321,22845.487,61.166,58.586,2.580,77154.513,0,0.000,0,527,48,0
19,13517742417.549,13517742470.528,13517765029.883,22556.727,22612.334,55.607,52.979,2.628,77387.666,0,0.000,0,527,48,0
20,13517842417.549,13517842476.349,13517867546.028,25067.539,25128.479,60.940,58.800,2.140,74871.521,0,0.000,0,527,48,0
21,13517942417.549,13517942467.369,13517969053.988,26584.663,26636.439,51.776,49.820,1.956,73363.561,0,0.000,0,527,48,0
22,13518042417.549,13518042476.300,13518065120.546,22641.680,22702.997,61.317,58.751,2.566,77297.003,0,0.000,0,527,48,0
23,13518142417.549,13518142462.103,13518165255.788,22791.665,22838.239,46.574,44.554,2.020,77161.761,0,0.000,0,527,48,0
24,13518242417.549,13518242464.064,13518265126.601,22660.988,22709.052,48.064,46.515,1.549,77290.948,0,0.000,0,527,48,0
25,13518342417.549,13518342470.689,13518364943.061,22470.900,22525.512,54.612,53.140,1.472,77474.488,0,0.000,0,527,48,0
26,13518442417.549,13518442477.899,13518465085.238,22605.542,22667.689,62.147,60.350,1.797,77332.311,0,0.000,0,527,48,0
