# probe kind=ptrchase M=48 K=809 buf_kb=131072 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,4651260334.248,4651260365.469,4651308391.154,48024.970,48056.906,31.936,31.221,0.715,51943.094,0,0.000,0,809,48,0
1,4651360334.248,4651360548.424,4651408657.001,48107.141,48322.753,215.612,214.176,1.436,51677.247,0,0.000,0,809,48,0
2,4651460334.248,4651460500.371,4651508361.742,47860.153,48027.494,167.341,166.123,1.218,51972.506,0,0.000,0,809,48,0
3,4651560334.248,4651560500.989,4651608599.597,48097.438,48265.349,167.911,166.741,1.170,51734.651,0,0.000,0,809,48,0
4,4651660334.248,4651660505.178,4651708246.176,47739.902,47911.928,172.026,170.930,1.096,52088.072,0,0.000,0,809,48,0
5,4651760334.248,4651760504.400,4651808336.366,47831.089,48002.118,171.029,170.152,0.877,51997.882,0,0.000,0,809,48,0
6,4651860334.248,4651860496.022,4651908405.859,47908.894,48071.611,162.717,161.774,0.943,51928.389,0,0.000,0,809,48,0
7,4651960334.248,4651960498.172,4652008402.468,47903.349,48068.220,164.871,163.924,0.947,51931.780,0,0.000,0,809,48,0
8,4652060334.248,4652060502.926,4652108358.420,47854.250,48024.172,169.922,168.678,1.244,51975.828,0,0.000,0,809,48,0
9,4652160334.248,4652160544.317,4652208275.588,47730.320,47941.340,211.020,210.069,0.951,52058.660,0,0.000,0,809,48,0
10,4652260334.248,4652260514.522,4652308237.669,47722.485,47903.421,180.936,180.274,0.662,52096.579,0,0.000,0,809,48,0
11,4652360334.248,4652360507.652,4652408242.808,47734.295,47908.560,174.265,173.404,0.861,52091.440,0,0.000,0,809,48,0
12,4652460334.248,4652460518.441,4652508385.185,47865.874,48050.937,185.063,184.193,0.870,51949.063,0,0.000,0,809,48,0
13,4652560334.248,4652560515.225,4652608346.644,47830.158,48012.396,182.238,180.977,1.261,51987.604,0,0.000,0,809,48,0
14,4652660334.248,4652660503.676,4652708105.600,47601.145,47771.352,170.207,169.428,0.779,52228.648,0,0.000,0,809,48,0
15,4652760334.248,4652760507.068,4652808365.641,47857.580,48031.393,173.813,172.820,0.993,51968.607,0,0.000,0,809,48,0
16,4652860334.248,4652860500.355,4652908611.497,48110.167,48277.249,167.082,166.107,0.975,51722.751,0,0.000,0,809,48,0
17,4652960334.248,4652960511.646,4653008577.917,48065.450,48243.669,178.219,177.398,0.821,51756.331,0,0.000,0,809,48,0
18,4653060334.248,4653060511.326,4653108390.745,47878.541,48056.497,177.956,177.078,0.878,51943.503,0,0.000,0,809,48,0
19,4653160334.248,4653160497.082,4653208470.966,47973.036,48136.718,163.682,162.834,0.848,51863.282,0,0.000,0,809,48,0
20,4653260334.248,4653260495.684,4653308486.754,47990.134,48152.506,162.372,161.436,0.936,51847.494,0,0.000,0,809,48,0
21,4653360334.248,4653360498.099,4653408248.586,47749.567,47914.338,164.771,163.851,0.920,52085.662,0,0.000,0,809,48,0
22,4653460334.248,4653460512.770,4653508290.633,47776.875,47956.385,179.510,178.522,0.988,52043.615,0,0.000,0,809,48,0
23,4653560334.248,4653560495.803,4653608417.852,47921.000,48083.604,162.604,161.555,1.049,51916.396,0,0.000,0,809,48,0
24,4653660334.248,4653660515.190,4653708263.989,47747.819,47929.741,181.922,180.942,0.980,52070.259,0,0.000,0,809,48,0
25,4653760334.248,4653760499.322,4653808252.389,47751.943,47918.141,166.198,165.074,1.124,52081.859,0,0.000,0,809,48,0
26,4653860334.248,4653860512.599,4653908366.433,47852.874,48032.185,179.311,178.351,0.960,51967.815,0,0.000,0,809,48,0
27,4653960334.248,4653960505.858,4654008291.537,47784.688,47957.289,172.601,171.610,0.991,52042.711,0,0.000,0,809,48,0
28,4654060334.248,4654060505.871,4654108406.731,47899.588,48072.483,172.895,171.623,1.272,51927.517,0,0.000,0,809,48,0
29,4654160334.248,4654160539.047,4654208378.446,47838.468,48044.198,205.730,204.799,0.931,51955.802,0,0.000,0,809,48,0
30,4654260334.248,4654260499.113,4654308344.161,47844.172,48009.913,165.741,164.865,0.876,51990.087,0,0.000,0,809,48,0
31,4654360334.248,4654360535.625,4654408446.434,47909.857,48112.186,202.329,201.377,0.952,51887.814,0,0.000,0,809,48,0
32,4654460334.248,4654460490.898,4654507866.843,47375.046,47532.595,157.549,156.650,0.899,52467.405,0,0.000,0,809,48,0
33,4654560334.248,4654560515.910,4654608294.664,47777.877,47960.416,182.539,181.662,0.877,52039.584,0,0.000,0,809,48,0
34,4654660334.248,4654660500.052,4654708410.383,47909.092,48076.135,167.043,165.804,1.239,51923.865,0,0.000,0,809,48,0
35,4654760334.248,4654760501.824,4654808401.435,47898.862,48067.187,168.325,167.576,0.749,51932.813,0,0.000,0,809,48,0
36,4654860334.248,4654860578.383,4654908464.321,47885.095,48130.073,244.978,244.135,0.843,51869.927,0,0.000,0,809,48,0
37,4654960334.248,4654960497.682,4655008333.398,47834.856,47999.150,164.294,163.434,0.860,52000.850,0,0.000,0,809,48,0
38,4655060334.248,4655060577.925,4655108482.779,47903.827,48148.531,244.704,243.677,1.027,51851.469,0,0.000,0,809,48,0
39,4655160334.248,4655160534.309,4655209022.272,48486.768,48688.024,201.256,200.061,1.195,51311.976,0,0.000,0,809,48,0
40,4655260334.248,4655260503.844,4655308645.701,48140.869,48311.453,170.584,169.596,0.988,51688.547,0,0.000,0,809,48,0
41,4655360334.248,4655360564.138,4655408214.596,47649.725,47880.348,230.623,229.890,0.733,52119.652,0,0.000,0,809,48,0
42,4655460334.248,4655460498.842,4655508027.080,47527.339,47692.832,165.493,164.594,0.899,52307.168,0,0.000,0,809,48,0
43,4655560334.248,4655560498.420,4655608346.726,47847.489,48012.478,164.989,164.172,0.817,51987.522,0,0.000,0,809,48,0
44,4655660334.248,4655660497.967,4655708198.173,47699.260,47863.925,164.665,163.719,0.946,52136.075,0,0.000,0,809,48,0
45,4655760334.248,4655760499.043,4655808132.371,47632.381,47798.123,165.742,164.795,0.947,52201.877,0,0.000,0,809,48,0
46,4655860334.248,4655860516.869,4655908448.763,47930.818,48114.515,183.697,182.621,1.076,51885.485,0,0.000,0,809,48,0
47,4655960334.248,4655960499.712,4656008279.635,47778.911,47945.387,166.476,165.464,1.012,52054.613,0,0.000,0,809,48,0
48,4656060334.248,4656060583.486,4656108181.062,47596.443,47846.814,250.371,249.238,1.133,52153.186,0,0.000,0,809,48,0
49,4656160334.248,4656160524.035,4656208194.975,47669.858,47860.727,190.869,189.787,1.082,52139.273,0,0.000,0,809,48,0
50,4656260334.248,4656260494.788,4656308463.308,47967.653,48129.060,161.407,160.540,0.867,51870.940,0,0.000,0,809,48,0
51,4656360334.248,4656360496.614,4656408388.939,47891.382,48054.691,163.309,162.366,0.943,51945.309,0,0.000,0,809,48,0
52,4656460334.248,4656460500.076,4656508768.538,48267.747,48434.290,166.543,165.828,0.715,51565.710,0,0.000,0,809,48,0
53,4656560334.248,4656560514.317,4656608373.265,47858.039,48039.017,180.978,180.069,0.909,51960.983,0,0.000,0,809,48,0
54,4656660334.248,4656660505.384,4656708404.601,47898.411,48070.353,171.942,171.136,0.806,51929.647,0,0.000,0,809,48,0
