# probe kind=ptrchase M=48 K=35 buf_kb=131072 period_us=10000 priority=90 cpu=1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,29239472397.881,29239472424.528,29239474563.589,2137.695,2165.708,28.013,26.647,1.366,7834.292,0,0.000,0,35,48,0
1,29239482397.881,29239482430.306,29239484605.486,2174.481,2207.605,33.124,32.425,0.699,7792.395,0,0.000,0,35,48,0
2,29239492397.881,29239492422.261,29239494569.000,2145.878,2171.119,25.241,24.380,0.861,7828.881,0,0.000,0,35,48,0
3,29239502397.881,29239502427.664,29239504554.907,2126.286,2157.026,30.740,29.783,0.957,7842.974,0,0.000,0,35,48,0
4,29239512397.881,29239512416.237,29239514538.163,2121.161,2140.282,19.121,18.356,0.765,7859.718,0,0.000,0,35,48,0
5,29239522397.881,29239522423.302,29239524598.858,2174.224,2200.977,26.753,25.421,1.332,7799.023,0,0.000,0,35,48,0
6,29239532397.881,29239532418.142,29239534546.673,2127.416,2148.792,21.376,20.261,1.115,7851.208,0,0.000,0,35,48,0
7,29239542397.881,29239542416.796,29239544546.912,2129.508,2149.031,19.523,18.915,0.608,7850.969,0,0.000,0,35,48,0
8,29239552397.881,29239552415.579,29239554532.755,2116.307,2134.874,18.567,17.698,0.869,7865.126,0,0.000,0,35,48,0
9,29239562397.881,29239562420.702,29239564540.400,2118.762,2142.519,23.757,22.821,0.936,7857.481,0,0.000,0,35,48,0
10,29239572397.881,29239572421.665,29239574563.786,2141.361,2165.905,24.544,23.784,0.760,7834.095,0,0.000,0,35,48,0
11,29239582397.881,29239582430.972,29239584586.863,2155.220,2188.982,33.762,33.091,0.671,7811.018,0,0.000,0,35,48,0
12,29239592397.881,29239592422.832,29239594573.937,2150.557,2176.056,25.499,24.951,0.548,7823.944,0,0.000,0,35,48,0
13,29239602397.881,29239602417.440,29239604557.641,2139.224,2159.760,20.536,19.559,0.977,7840.240,0,0.000,0,35,48,0
14,29239612397.881,29239612418.377,29239614653.184,2233.750,2255.303,21.553,20.496,1.057,7744.697,0,0.000,0,35,48,0
15,29239622397.881,29239622419.790,29239624596.791,2176.356,2198.910,22.554,21.909,0.645,7801.090,0,0.000,0,35,48,0
16,29239632397.881,29239632425.419,29239634552.731,2126.128,2154.850,28.722,27.538,1.184,7845.150,0,0.000,0,35,48,0
17,29239642397.881,29239642417.363,29239644554.422,2136.526,2156.541,20.015,19.482,0.533,7843.459,0,0.000,0,35,48,0
18,29239652397.881,29239652423.721,29239654560.178,2135.713,2162.297,26.584,25.840,0.744,7837.703,0,0.000,0,35,48,0
19,29239662397.881,29239662413.981,29239664537.134,2122.379,2139.253,16.874,16.100,0.774,7860.747,0,0.000,0,35,48,0
20,29239672397.881,29239672417.835,29239674538.558,2119.846,2140.677,20.831,19.954,0.877,7859.323,0,0.000,0,35,48,0
21,29239682397.881,29239682424.112,29239684574.274,2149.278,2176.393,27.115,26.231,0.884,7823.607,0,0.000,0,35,48,0
22,29239692397.881,29239692415.947,29239694544.968,2128.202,2147.087,18.885,18.066,0.819,7852.913,0,0.000,0,35,48,0
23,29239702397.881,29239702417.503,29239704519.695,2101.472,2121.814,20.342,19.622,0.720,7878.186,0,0.000,0,35,48,0
24,29239712397.881,29239712416.016,29239714518.792,2102.146,2120.911,18.765,18.135,0.630,7879.089,0,0.000,0,35,48,0
25,29239722397.881,29239722415.598,29239724553.252,2137.142,2155.371,18.229,17.717,0.512,7844.629,0,0.000,0,35,48,0
26,29239732397.881,29239732416.963,29239734657.087,2238.738,2259.206,20.468,19.082,1.386,7740.794,0,0.000,0,35,48,0
27,29239742397.881,29239742421.148,29239744591.943,2170.127,2194.062,23.935,23.267,0.668,7805.938,0,0.000,0,35,48,0
28,29239752397.881,29239752431.632,29239754598.957,2166.709,2201.076,34.367,33.751,0.616,7798.924,0,0.000,0,35,48,0
29,29239762397.881,29239762421.656,29239764555.329,2132.734,2157.448,24.714,23.775,0.939,7842.552,0,0.000,0,35,48,0
30,29239772397.881,29239772429.102,29239774610.389,2180.234,2212.508,32.274,31.221,1.053,7787.492,0,0.000,0,35,48,0
31,29239782397.881,29239782430.503,29239784556.890,2125.548,2159.009,33.461,32.622,0.839,7840.991,0,0.000,0,35,48,0
32,29239792397.881,29239792416.333,29239794550.111,2133.188,2152.230,19.042,18.452,0.590,7847.770,0,0.000,0,35,48,0
33,29239802397.881,29239802431.080,29239804738.257,2306.295,2340.376,34.081,33.199,0.882,7659.624,0,0.000,0,35,48,0
34,29239812397.881,29239812430.603,29239814616.169,2184.830,2218.288,33.458,32.722,0.736,7781.712,0,0.000,0,35,48,0
35,29239822397.881,29239822431.928,29239824612.485,2179.619,2214.604,34.985,34.047,0.938,7785.396,0,0.000,0,35,48,0
36,29239832397.881,29239832427.519,29239834593.153,2164.644,2195.272,30.628,29.638,0.990,7804.728,0,0.000,0,35,48,0
37,29239842397.881,29239842414.329,29239844691.147,2275.843,2293.266,17.423,16.448,0.975,7706.734,0,0.000,0,35,48,0
38,29239852397.881,29239852419.505,29239854636.360,2216.066,2238.479,22.413,21.624,0.789,7761.521,0,0.000,0,35,48,0
39,29239862397.881,29239862417.161,29239864672.480,2254.427,2274.599,20.172,19.280,0.892,7725.401,0,0.000,0,35,48,0
40,29239872397.881,29239872422.801,29239874650.039,2225.702,2252.158,26.456,24.920,1.536,7747.842,0,0.000,0,35,48,0
41,29239882397.881,29239882421.604,29239884712.277,2288.983,2314.396,25.413,23.723,1.690,7685.604,0,0.000,0,35,48,0
42,29239892397.881,29239892418.082,29239894628.282,2208.499,2230.401,21.902,20.201,1.701,7769.599,0,0.000,0,35,48,0
43,29239902397.881,29239902419.260,29239904602.506,2182.217,2204.625,22.408,21.379,1.029,7795.375,0,0.000,0,35,48,0
44,29239912397.881,29239912417.936,29239914671.360,2252.588,2273.479,20.891,20.055,0.836,7726.521,0,0.000,0,35,48,0
45,29239922397.881,29239922425.771,29239924654.452,2227.669,2256.571,28.902,27.890,1.012,7743.429,0,0.000,0,35,48,0
46,29239932397.881,29239932415.834,29239934618.508,2201.809,2220.627,18.818,17.953,0.865,7779.373,0,0.000,0,35,48,0
47,29239942397.881,29239942429.165,29239944722.938,2292.799,2325.057,32.258,31.284,0.974,7674.943,0,0.000,0,35,48,0
48,29239952397.881,29239952425.454,29239954671.514,2244.909,2273.633,28.724,27.573,1.151,7726.367,0,0.000,0,35,48,0
49,29239962397.881,29239962416.926,29239964660.138,2242.580,2262.257,19.677,19.045,0.632,7737.743,0,0.000,0,35,48,0
50,29239972397.881,29239972415.268,29239974609.176,2193.361,2211.295,17.934,17.387,0.547,7788.705,0,0.000,0,35,48,0
51,29239982397.881,29239982433.150,29239984684.980,2250.281,2287.099,36.818,35.269,1.549,7712.901,0,0.000,0,35,48,0
52,29239992397.881,29239992424.608,29239994634.568,2209.052,2236.687,27.635,26.727,0.908,7763.313,0,0.000,0,35,48,0
53,29240002397.881,29240002427.974,29240004592.452,2163.588,2194.571,30.983,30.093,0.890,7805.429,0,0.000,0,35,48,0
54,29240012397.881,29240012424.774,29240014575.422,2149.872,2177.541,27.669,26.893,0.776,7822.459,0,0.000,0,35,48,0
55,29240022397.881,29240022423.469,29240024639.612,2215.590,2241.731,26.141,25.588,0.553,7758.269,0,0.000,0,35,48,0
56,29240032397.881,29240032429.705,29240034591.605,2161.044,2193.724,32.680,31.824,0.856,7806.276,0,0.000,0,35,48,0
57,29240042397.881,29240042426.918,29240044676.363,2248.799,2278.482,29.683,29.037,0.646,7721.518,0,0.000,0,35,48,0
58,29240052397.881,29240052424.713,29240054581.484,2155.870,2183.603,27.733,26.832,0.901,7816.397,0,0.000,0,35,48,0
59,29240062397.881,29240062431.142,29240064639.182,2206.950,2241.301,34.351,33.261,1.090,7758.699,0,0.000,0,35,48,0
60,29240072397.881,29240072424.484,29240074607.968,2182.736,2210.087,27.351,26.603,0.748,7789.913,0,0.000,0,35,48,0
61,29240082397.881,29240082435.628,29240084663.003,2226.008,2265.122,39.114,37.747,1.367,7734.878,0,0.000,0,35,48,0
62,29240092397.881,29240092420.616,29240094610.427,2188.662,2212.546,23.884,22.735,1.149,7787.454,0,0.000,0,35,48,0
63,29240102397.881,29240102428.321,29240104616.723,2187.482,2218.842,31.360,30.440,0.920,7781.158,0,0.000,0,35,48,0
64,29240112397.881,29240112432.670,29240114623.305,2189.766,2225.424,35.658,34.789,0.869,7774.576,0,0.000,0,35,48,0
65,29240122397.881,29240122425.614,29240124575.773,2149.083,2177.892,28.809,27.733,1.076,7822.108,0,0.000,0,35,48,0
66,29240132397.881,29240132428.343,29240134568.889,2139.678,2171.008,31.330,30.462,0.868,7828.992,0,0.000,0,35,48,0
