# probe kind=matmul M=48 K=1406 buf_kb=0 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,7621091501.802,7621091536.053,7621148136.168,56598.432,56634.366,35.934,34.251,1.683,43365.634,0,0.000,0,1406,48,0
1,7621191501.802,7621191668.921,7621248106.641,56435.899,56604.839,168.940,167.119,1.821,43395.161,0,0.000,0,1406,48,0
2,7621291501.802,7621291682.602,7621348576.297,56891.615,57074.495,182.880,180.800,2.080,42925.505,0,0.000,0,1406,48,0
3,7621391501.802,7621391676.834,7621448162.886,56484.179,56661.084,176.905,175.032,1.873,43338.916,0,0.000,0,1406,48,0
4,7621491501.802,7621491676.819,7621548547.421,56868.696,57045.619,176.923,175.017,1.906,42954.381,0,0.000,0,1406,48,0
5,7621591501.802,7621591669.066,7621648175.762,56504.977,56673.960,168.983,167.264,1.719,43326.040,0,0.000,0,1406,48,0
6,7621691501.802,7621691673.060,7621748162.165,56487.602,56660.363,172.761,171.258,1.503,43339.637,0,0.000,0,1406,48,0
7,7621791501.802,7621791676.622,7621848507.594,56829.159,57005.792,176.633,174.820,1.813,42994.208,0,0.000,0,1406,48,0
8,7621891501.802,7621891667.313,7621948200.602,56531.429,56698.800,167.371,165.511,1.860,43301.200,0,0.000,0,1406,48,0
9,7621991501.802,7621991671.317,7622048328.432,56655.479,56826.630,171.151,169.515,1.636,43173.370,0,0.000,0,1406,48,0
10,7622091501.802,7622091735.001,7622148454.567,56717.632,56952.765,235.133,233.199,1.934,43047.235,0,0.000,0,1406,48,0
11,7622191501.802,7622191675.236,7622248166.794,56489.667,56664.992,175.325,173.434,1.891,43335.008,0,0.000,0,1406,48,0
12,7622291501.802,7622291689.037,7622348609.583,56918.746,57107.781,189.035,187.235,1.800,42892.219,0,0.000,0,1406,48,0
13,7622391501.802,7622391672.021,7622448236.022,56562.023,56734.220,172.197,170.219,1.978,43265.780,0,0.000,0,1406,48,0
14,7622491501.802,7622491683.729,7622548233.039,56547.216,56731.237,184.021,181.927,2.094,43268.763,0,0.000,0,1406,48,0
