# probe kind=matmul M=48 K=18 buf_kb=0 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,9742017881.863,9742017905.031,9742018635.313,728.832,753.450,24.618,23.168,1.450,9246.550,0,0.000,0,18,48,0
1,9742027881.863,9742027913.318,9742028646.048,731.037,764.185,33.148,31.455,1.693,9235.815,0,0.000,0,18,48,0
2,9742037881.863,9742037903.696,9742038625.814,721.358,743.951,22.593,21.833,0.760,9256.049,0,0.000,0,18,48,0
3,9742047881.863,9742047903.457,9742048643.571,739.512,761.708,22.196,21.594,0.602,9238.292,0,0.000,0,18,48,0
4,9742057881.863,9742057901.500,9742058629.243,726.828,747.380,20.552,19.637,0.915,9252.620,0,0.000,0,18,48,0
5,9742067881.863,9742067901.953,9742068630.477,727.398,748.614,21.216,20.090,1.126,9251.386,0,0.000,0,18,48,0
6,9742077881.863,9742077901.962,9742078634.685,731.841,752.822,20.981,20.099,0.882,9247.178,0,0.000,0,18,48,0
7,9742087881.863,9742087901.712,9742088665.084,762.546,783.221,20.675,19.849,0.826,9216.779,0,0.000,0,18,48,0
8,9742097881.863,9742097901.625,9742098654.046,751.344,772.183,20.839,19.762,1.077,9227.817,0,0.000,0,18,48,0
9,9742107881.863,9742107904.279,9742108637.154,732.043,755.291,23.248,22.416,0.832,9244.709,0,0.000,0,18,48,0
10,9742117881.863,9742117908.568,9742118643.442,733.980,761.579,27.599,26.705,0.894,9238.421,0,0.000,0,18,48,0
11,9742127881.863,9742127902.147,9742128630.511,727.531,748.648,21.117,20.284,0.833,9251.352,0,0.000,0,18,48,0
12,9742137881.863,9742137902.549,9742138620.216,716.633,738.353,21.720,20.686,1.034,9261.647,0,0.000,0,18,48,0
13,9742147881.863,9742147902.430,9742148635.577,732.133,753.714,21.581,20.567,1.014,9246.286,0,0.000,0,18,48,0
14,9742157881.863,9742157903.943,9742158637.183,732.305,755.320,23.015,22.080,0.935,9244.680,0,0.000,0,18,48,0
15,9742167881.863,9742167903.803,9742168609.581,704.647,727.718,23.071,21.940,1.131,9272.282,0,0.000,0,18,48,0
16,9742177881.863,9742177903.001,9742178635.735,731.508,753.872,22.364,21.138,1.226,9246.128,0,0.000,0,18,48,0
17,9742187881.863,9742187903.562,9742188636.493,732.027,754.630,22.603,21.699,0.904,9245.370,0,0.000,0,18,48,0
18,9742197881.863,9742197903.710,9742198637.085,732.341,755.222,22.881,21.847,1.034,9244.778,0,0.000,0,18,48,0
19,9742207881.863,9742207903.290,9742208619.306,715.126,737.443,22.317,21.427,0.890,9262.557,0,0.000,0,18,48,0
20,9742217881.863,9742217903.705,9742218625.018,720.223,743.155,22.932,21.842,1.090,9256.845,0,0.000,0,18,48,0
21,9742227881.863,9742227903.948,9742228637.194,732.377,755.331,22.954,22.085,0.869,9244.669,0,0.000,0,18,48,0
22,9742237881.863,9742237901.099,9742238633.751,731.576,751.888,20.312,19.236,1.076,9248.112,0,0.000,0,18,48,0
23,9742247881.863,9742247902.038,9742248622.064,719.103,740.201,21.098,20.175,0.923,9259.799,0,0.000,0,18,48,0
24,9742257881.863,9742257902.111,9742258630.483,726.995,748.620,21.625,20.248,1.377,9251.380,0,0.000,0,18,48,0
25,9742267881.863,9742267902.922,9742268608.856,704.825,726.993,22.168,21.059,1.109,9273.007,0,0.000,0,18,48,0
26,9742277881.863,9742277903.408,9742278636.739,732.206,754.876,22.670,21.545,1.125,9245.124,0,0.000,0,18,48,0
27,9742287881.863,9742287903.537,9742288637.169,732.549,755.306,22.757,21.674,1.083,9244.694,0,0.000,0,18,48,0
28,9742297881.863,9742297903.833,9742298636.456,731.953,754.593,22.640,21.970,0.670,9245.407,0,0.000,0,18,48,0
29,9742307881.863,9742307903.622,9742308645.403,741.028,763.540,22.512,21.759,0.753,9236.460,0,0.000,0,18,48,0
30,9742317881.863,9742317902.633,9742318664.347,760.948,782.484,21.536,20.770,0.766,9217.516,0,0.000,0,18,48,0
31,9742327881.863,9742327903.173,9742328608.877,704.867,727.014,22.147,21.310,0.837,9272.986,0,0.000,0,18,48,0
32,9742337881.863,9742337901.909,9742338608.723,706.128,726.860,20.732,20.046,0.686,9273.140,0,0.000,0,18,48,0
33,9742347881.863,9742347903.485,9742348632.831,728.342,750.968,22.626,21.622,1.004,9249.032,0,0.000,0,18,48,0
34,9742357881.863,9742357902.007,9742358634.224,731.448,752.361,20.913,20.144,0.769,9247.639,0,0.000,0,18,48,0
35,9742367881.863,9742367907.820,9742368631.793,722.980,749.930,26.950,25.957,0.993,9250.070,0,0.000,0,18,48,0
36,9742377881.863,9742377908.982,9742378641.194,731.226,759.331,28.105,27.119,0.986,9240.669,0,0.000,0,18,48,0
37,9742387881.863,9742387931.781,9742388663.802,731.338,781.939,50.601,49.918,0.683,9218.061,0,0.000,0,18,48,0
38,9742397881.863,9742397901.615,9742398613.907,711.504,732.044,20.540,19.752,0.788,9267.956,0,0.000,0,18,48,0
39,9742407881.863,9742407902.203,9742408646.260,743.006,764.397,21.391,20.340,1.051,9235.603,0,0.000,0,18,48,0
40,9742417881.863,9742417901.712,9742418634.118,731.287,752.255,20.968,19.849,1.119,9247.745,0,0.000,0,18,48,0
41,9742427881.863,9742427901.423,9742428639.468,737.146,757.605,20.459,19.560,0.899,9242.395,0,0.000,0,18,48,0
