# probe kind=ptrchase M=48 K=60 buf_kb=131072 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,677702285.024,677702306.673,677705878.162,3569.905,3593.138,23.233,21.649,1.584,6406.862,0,0.000,0,60,48,0
1,677712285.024,677712442.015,677716042.610,3599.197,3757.586,158.389,156.991,1.398,6242.414,0,0.000,0,60,48,0
2,677722285.024,677722304.828,677725873.323,3567.660,3588.299,20.639,19.804,0.835,6411.701,0,0.000,0,60,48,0
3,677732285.024,677732304.424,677735882.268,3576.787,3597.244,20.457,19.400,1.057,6402.756,0,0.000,0,60,48,0
4,677742285.024,677742305.614,677745877.248,3570.809,3592.224,21.415,20.590,0.825,6407.776,0,0.000,0,60,48,0
5,677752285.024,677752305.132,677755877.636,3571.714,3592.612,20.898,20.108,0.790,6407.388,0,0.000,0,60,48,0
6,677762285.024,677762302.532,677765831.400,3527.944,3546.376,18.432,17.508,0.924,6453.624,0,0.000,0,60,48,0
7,677772285.024,677772303.710,677775829.193,3524.729,3544.169,19.440,18.686,0.754,6455.831,0,0.000,0,60,48,0
8,677782285.024,677782304.822,677785830.068,3524.340,3545.044,20.704,19.798,0.906,6454.956,0,0.000,0,60,48,0
9,677792285.024,677792303.643,677795842.925,3538.423,3557.901,19.478,18.619,0.859,6442.099,0,0.000,0,60,48,0
10,677802285.024,677802302.928,677805837.976,3534.342,3552.952,18.610,17.904,0.706,6447.048,0,0.000,0,60,48,0
11,677812285.024,677812306.740,677815846.832,3539.187,3561.808,22.621,21.716,0.905,6438.192,0,0.000,0,60,48,0
12,677822285.024,677822304.993,677825872.280,3566.500,3587.256,20.756,19.969,0.787,6412.744,0,0.000,0,60,48,0
13,677832285.024,677832304.324,677835862.501,3557.439,3577.477,20.038,19.300,0.738,6422.523,0,0.000,0,60,48,0
14,677842285.024,677842304.805,677845848.294,3542.438,3563.270,20.832,19.781,1.051,6436.730,0,0.000,0,60,48,0
15,677852285.024,677852305.018,677855864.149,3557.921,3579.125,21.204,19.994,1.210,6420.875,0,0.000,0,60,48,0
16,677862285.024,677862305.041,677865912.156,3605.791,3627.132,21.341,20.017,1.324,6372.868,0,0.000,0,60,48,0
17,677872285.024,677872306.602,677875859.342,3551.841,3574.318,22.477,21.578,0.899,6425.682,0,0.000,0,60,48,0
18,677882285.024,677882304.633,677885860.042,3554.197,3575.018,20.821,19.609,1.212,6424.982,0,0.000,0,60,48,0
19,677892285.024,677892304.961,677895876.160,3570.087,3591.136,21.049,19.937,1.112,6408.864,0,0.000,0,60,48,0
20,677902285.024,677902304.879,677905842.780,3536.687,3557.756,21.069,19.855,1.214,6442.244,0,0.000,0,60,48,0
21,677912285.024,677912304.692,677915849.643,3544.144,3564.619,20.475,19.668,0.807,6435.381,0,0.000,0,60,48,0
22,677922285.024,677922302.429,677925828.723,3525.350,3543.699,18.349,17.405,0.944,6456.301,0,0.000,0,60,48,0
23,677932285.024,677932303.413,677935829.614,3525.373,3544.590,19.217,18.389,0.828,6455.410,0,0.000,0,60,48,0
24,677942285.024,677942302.986,677945846.167,3542.070,3561.143,19.073,17.962,1.111,6438.857,0,0.000,0,60,48,0
25,677952285.024,677952304.239,677955872.864,3567.746,3587.840,20.094,19.215,0.879,6412.160,0,0.000,0,60,48,0
26,677962285.024,677962304.082,677965837.304,3532.218,3552.280,20.062,19.058,1.004,6447.720,0,0.000,0,60,48,0
27,677972285.024,677972302.790,677975847.723,3543.937,3562.699,18.762,17.766,0.996,6437.301,0,0.000,0,60,48,0
28,677982285.024,677982305.560,677985870.693,3564.280,3585.669,21.389,20.536,0.853,6414.331,0,0.000,0,60,48,0
29,677992285.024,677992303.307,677995881.046,3576.942,3596.022,19.080,18.283,0.797,6403.978,0,0.000,0,60,48,0
30,678002285.024,678002304.920,678005866.485,3560.640,3581.461,20.821,19.896,0.925,6418.539,0,0.000,0,60,48,0
31,678012285.024,678012305.521,678015879.375,3573.036,3594.351,21.315,20.497,0.818,6405.649,0,0.000,0,60,48,0
32,678022285.024,678022305.115,678025866.117,3560.331,3581.093,20.762,20.091,0.671,6418.907,0,0.000,0,60,48,0
33,678032285.024,678032305.103,678035823.986,3518.103,3538.962,20.859,20.079,0.780,6461.038,0,0.000,0,60,48,0
34,678042285.024,678042303.898,678045857.428,3552.569,3572.404,19.835,18.874,0.961,6427.596,0,0.000,0,60,48,0
35,678052285.024,678052305.002,678055864.546,3558.710,3579.522,20.812,19.978,0.834,6420.478,0,0.000,0,60,48,0
36,678062285.024,678062304.175,678065857.152,3551.898,3572.128,20.230,19.151,1.079,6427.872,0,0.000,0,60,48,0
37,678072285.024,678072304.327,678075867.207,3562.096,3582.183,20.087,19.303,0.784,6417.817,0,0.000,0,60,48,0
38,678082285.024,678082304.464,678085856.866,3551.423,3571.842,20.419,19.440,0.979,6428.158,0,0.000,0,60,48,0
39,678092285.024,678092305.368,678095843.887,3537.706,3558.863,21.157,20.344,0.813,6441.137,0,0.000,0,60,48,0
40,678102285.024,678102302.753,678105862.367,3558.603,3577.343,18.740,17.729,1.011,6422.657,0,0.000,0,60,48,0
41,678112285.024,678112304.673,678115845.799,3539.886,3560.775,20.889,19.649,1.240,6439.225,0,0.000,0,60,48,0
42,678122285.024,678122304.348,678125863.761,3558.159,3578.737,20.578,19.324,1.254,6421.263,0,0.000,0,60,48,0
43,678132285.024,678132304.529,678135859.569,3554.208,3574.545,20.337,19.505,0.832,6425.455,0,0.000,0,60,48,0
44,678142285.024,678142303.885,678145853.917,3549.194,3568.893,19.699,18.861,0.838,6431.107,0,0.000,0,60,48,0
45,678152285.024,678152306.477,678155891.723,3584.234,3606.699,22.465,21.453,1.012,6393.301,0,0.000,0,60,48,0
46,678162285.024,678162303.584,678165848.301,3543.891,3563.277,19.386,18.560,0.826,6436.723,0,0.000,0,60,48,0
47,678172285.024,678172303.909,678175869.194,3563.982,3584.170,20.188,18.885,1.303,6415.830,0,0.000,0,60,48,0
48,678182285.024,678182306.312,678185899.678,3592.202,3614.654,22.452,21.288,1.164,6385.346,0,0.000,0,60,48,0
49,678192285.024,678192306.338,678195860.796,3553.464,3575.772,22.308,21.314,0.994,6424.228,0,0.000,0,60,48,0
50,678202285.024,678202306.032,678205878.338,3571.123,3593.314,22.191,21.008,1.183,6406.686,0,0.000,0,60,48,0
51,678212285.024,678212305.575,678215886.390,3579.842,3601.366,21.524,20.551,0.973,6398.634,0,0.000,0,60,48,0
52,678222285.024,678222305.573,678225851.350,3544.783,3566.326,21.543,20.549,0.994,6433.674,0,0.000,0,60,48,0
53,678232285.024,678232308.489,678235940.245,3630.807,3655.221,24.414,23.465,0.949,6344.779,0,0.000,0,60,48,0
54,678242285.024,678242310.099,678245914.791,3603.417,3629.767,26.350,25.075,1.275,6370.233,0,0.000,0,60,48,0
55,678252285.024,678252311.307,678255916.222,3603.508,3631.198,27.690,26.283,1.407,6368.802,0,0.000,0,60,48,0
56,678262285.024,678262309.331,678265900.339,3590.029,3615.315,25.286,24.307,0.979,6384.685,0,0.000,0,60,48,0
57,678272285.024,678272308.125,678275905.351,3596.356,3620.327,23.971,23.101,0.870,6379.673,0,0.000,0,60,48,0
58,678282285.024,678282308.868,678285949.994,3639.748,3664.970,25.222,23.844,1.378,6335.030,0,0.000,0,60,48,0
59,678292285.024,678292311.223,678295947.386,3634.851,3662.362,27.511,26.199,1.312,6337.638,0,0.000,0,60,48,0
60,678302285.024,678302307.513,678305930.038,3621.146,3645.014,23.868,22.489,1.379,6354.986,0,0.000,0,60,48,0
61,678312285.024,678312308.178,678315942.597,3633.266,3657.573,24.307,23.154,1.153,6342.427,0,0.000,0,60,48,0
62,678322285.024,678322309.039,678325919.112,3609.121,3634.088,24.967,24.015,0.952,6365.912,0,0.000,0,60,48,0
63,678332285.024,678332311.508,678335946.842,3633.709,3661.818,28.109,26.484,1.625,6338.182,0,0.000,0,60,48,0
64,678342285.024,678342308.314,678345895.625,3585.807,3610.601,24.794,23.290,1.504,6389.399,0,0.000,0,60,48,0
65,678352285.024,678352307.270,678355881.063,3572.747,3596.039,23.292,22.246,1.046,6403.961,0,0.000,0,60,48,0
66,678362285.024,678362306.889,678365896.343,3588.284,3611.319,23.035,21.865,1.170,6388.681,0,0.000,0,60,48,0
67,678372285.024,678372308.161,678375903.909,3594.629,3618.885,24.256,23.137,1.119,6381.115,0,0.000,0,60,48,0
68,678382285.024,678382306.042,678385890.816,3583.604,3605.792,22.188,21.018,1.170,6394.208,0,0.000,0,60,48,0
69,678392285.024,678392306.633,678395901.980,3594.036,3616.956,22.920,21.609,1.311,6383.044,0,0.000,0,60,48,0
70,678402285.024,678402306.880,678405973.490,3665.426,3688.466,23.040,21.856,1.184,6311.534,0,0.000,0,60,48,0
71,678412285.024,678412309.006,678415951.782,3641.152,3666.758,25.606,23.982,1.624,6333.242,0,0.000,0,60,48,0
72,678422285.024,678422309.043,678425967.907,3657.490,3682.883,25.393,24.019,1.374,6317.117,0,0.000,0,60,48,0
73,678432285.024,678432445.420,678436126.357,3678.444,3841.333,162.889,160.396,2.493,6158.667,0,0.000,0,60,48,0
74,678442285.024,678442309.135,678446009.844,3699.701,3724.820,25.119,24.111,1.008,6275.180,0,0.000,0,60,48,0
75,678452285.024,678452309.204,678455915.941,3605.276,3630.917,25.641,24.180,1.461,6369.083,0,0.000,0,60,48,0
76,678462285.024,678462307.928,678465944.720,3635.394,3659.696,24.302,22.904,1.398,6340.304,0,0.000,0,60,48,0
77,678472285.024,678472309.184,678475944.451,3634.067,3659.427,25.360,24.160,1.200,6340.573,0,0.000,0,60,48,0
78,678482285.024,678482308.399,678485981.259,3671.509,3696.235,24.726,23.375,1.351,6303.765,0,0.000,0,60,48,0
79,678492285.024,678492309.457,678495944.972,3634.375,3659.948,25.573,24.433,1.140,6340.052,0,0.000,0,60,48,0
80,678502285.024,678502453.743,678506149.700,3694.006,3864.676,170.670,168.719,1.951,6135.324,0,0.000,0,60,48,0
81,678512285.024,678512309.196,678515947.569,3637.330,3662.545,25.215,24.172,1.043,6337.455,0,0.000,0,60,48,0
