# matmul M=48 K=1167 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,31533850613.343,31533850640.151,31533970782.995,90515.809,120169.652,29653.843,26.808,29627.035,-20169.652,1,20169.652,1,1167,48,1
1,31534050613.343,31534050634.223,31534169502.827,89251.358,118889.484,29638.126,20.880,29617.246,-18889.484,1,18889.484,1,1167,48,1
2,31534250613.343,31534250627.751,31534371951.249,91711.340,121337.906,29626.566,14.408,29612.158,-21337.906,1,21337.906,1,1167,48,1
3,31534450613.343,31534450629.798,31534574594.239,94350.681,123980.896,29630.215,16.455,29613.760,-23980.896,1,23980.896,1,1167,48,1
4,31534650613.343,31534650633.822,31534770182.637,89934.260,119569.294,29635.034,20.479,29614.555,-19569.294,1,19569.294,1,1167,48,1
5,31534850613.343,31534850640.186,31534969465.664,89201.085,118852.321,29651.236,26.843,29624.393,-18852.321,1,18852.321,1,1167,48,1
6,31535050613.343,31535050626.898,31535169690.980,89452.542,119077.637,29625.095,13.555,29611.540,-19077.637,1,19077.637,1,1167,48,1
7,31535250613.343,31535250627.823,31535375386.029,95147.360,124772.686,29625.326,14.480,29610.846,-24772.686,1,24772.686,1,1167,48,1
8,31535450613.343,31535450645.329,31535572053.663,91782.309,121440.320,29658.011,31.986,29626.025,-21440.320,1,21440.320,1,1167,48,1
9,31535650613.343,31535650634.193,31535770796.183,90543.375,120182.840,29639.465,20.850,29618.615,-20182.840,1,20182.840,1,1167,48,1
10,31535850613.343,31535850647.323,31535970896.420,90621.587,120283.077,29661.490,33.980,29627.510,-20283.077,1,20283.077,1,1167,48,1
11,31536050613.343,31536050640.562,31536172062.613,91796.016,121449.270,29653.254,27.219,29626.035,-21449.270,1,21449.270,1,1167,48,1
12,31536250613.343,31536250635.440,31536373431.429,93174.997,122818.086,29643.089,22.097,29620.992,-22818.086,1,22818.086,1,1167,48,1
13,31536450613.343,31536450638.955,31536573498.000,93236.543,122884.657,29648.114,25.612,29622.502,-22884.657,1,22884.657,1,1167,48,1
14,31536650613.343,31536650629.825,31536771308.324,91063.391,120694.981,29631.590,16.482,29615.108,-20694.981,1,20694.981,1,1167,48,1
15,31536850613.343,31536850640.708,31536971034.960,90769.605,120421.617,29652.012,27.365,29624.647,-20421.617,1,20421.617,1,1167,48,1
16,31537050613.343,31537050630.813,31537172243.313,91995.170,121629.970,29634.800,17.470,29617.330,-21629.970,1,21629.970,1,1167,48,1
17,31537250613.343,31537250645.209,31537374486.178,94214.269,123872.835,29658.566,31.866,29626.700,-23872.835,1,23872.835,1,1167,48,1
18,31537450613.343,31537450634.180,31537571301.748,91050.558,120688.405,29637.847,20.837,29617.010,-20688.405,1,20688.405,1,1167,48,1
19,31537650613.343,31537650644.917,31537770394.245,90120.879,119780.902,29660.023,31.574,29628.449,-19780.902,1,19780.902,1,1167,48,1
20,31537850613.343,31537850640.615,31537972451.440,92182.534,121838.097,29655.563,27.272,29628.291,-21838.097,1,21838.097,1,1167,48,1
21,31538050613.343,31538050644.566,31538169332.255,89059.170,118718.912,29659.742,31.223,29628.519,-18718.912,1,18718.912,1,1167,48,1
22,31538250613.343,31538250641.217,31538372870.560,92603.083,122257.217,29654.134,27.874,29626.260,-22257.217,1,22257.217,1,1167,48,1
23,31538450613.343,31538450632.984,31538571090.404,90841.818,120477.061,29635.243,19.641,29615.602,-20477.061,1,20477.061,1,1167,48,1
24,31538650613.343,31538650637.778,31538771146.554,90887.889,120533.211,29645.322,24.435,29620.887,-20533.211,1,20533.211,1,1167,48,1
25,31538850613.343,31538850627.509,31538971554.504,91315.301,120941.161,29625.860,14.166,29611.694,-20941.161,1,20941.161,1,1167,48,1
26,31539050613.343,31539050633.055,31539168522.457,88271.624,117909.114,29637.490,19.712,29617.778,-17909.114,1,17909.114,1,1167,48,1
27,31539250613.343,31539250643.880,31539373619.112,93351.696,123005.769,29654.073,30.537,29623.536,-23005.769,1,23005.769,1,1167,48,1
28,31539450613.343,31539450628.501,31539569882.360,89641.025,119269.017,29627.992,15.158,29612.834,-19269.017,1,19269.017,1,1167,48,1
29,31539650613.343,31539650631.462,31539773957.144,93709.539,123343.801,29634.262,18.119,29616.143,-23343.801,1,23343.801,1,1167,48,1
30,31539850613.343,31539850641.720,31539971468.957,91212.312,120855.614,29643.302,28.377,29614.925,-20855.614,1,20855.614,1,1167,48,1
