# probe kind=ptrchase M=48 K=94 buf_kb=131072 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,25980680326.959,25980680353.533,25980686834.639,6479.539,6507.680,28.141,26.574,1.567,3492.320,0,0.000,0,94,48,0
1,25980690326.959,25980690347.342,25980696736.911,6388.212,6409.952,21.740,20.383,1.357,3590.048,0,0.000,0,94,48,0
2,25980700326.959,25980700348.750,25980706717.599,6367.681,6390.640,22.959,21.791,1.168,3609.360,0,0.000,0,94,48,0
3,25980710326.959,25980710350.231,25980716747.038,6395.576,6420.079,24.503,23.272,1.231,3579.921,0,0.000,0,94,48,0
4,25980720326.959,25980720348.875,25980726744.785,6394.381,6417.826,23.445,21.916,1.529,3582.174,0,0.000,0,94,48,0
5,25980730326.959,25980730348.597,25980736747.619,6397.946,6420.660,22.714,21.638,1.076,3579.340,0,0.000,0,94,48,0
6,25980740326.959,25980740349.254,25980746785.978,6435.495,6459.019,23.524,22.295,1.229,3540.981,0,0.000,0,94,48,0
7,25980750326.959,25980750348.933,25980756750.894,6401.084,6423.935,22.851,21.974,0.877,3576.065,0,0.000,0,94,48,0
8,25980760326.959,25980760349.081,25980766729.098,6378.671,6402.139,23.468,22.122,1.346,3597.861,0,0.000,0,94,48,0
9,25980770326.959,25980770347.137,25980776764.499,6416.217,6437.540,21.323,20.178,1.145,3562.460,0,0.000,0,94,48,0
10,25980780326.959,25980780347.288,25980786732.943,6384.246,6405.984,21.738,20.329,1.409,3594.016,0,0.000,0,94,48,0
11,25980790326.959,25980790347.828,25980796788.092,6438.964,6461.133,22.169,20.869,1.300,3538.867,0,0.000,0,94,48,0
12,25980800326.959,25980800348.984,25980806765.497,6415.080,6438.538,23.458,22.025,1.433,3561.462,0,0.000,0,94,48,0
13,25980810326.959,25980810346.927,25980816769.755,6421.957,6442.796,20.839,19.968,0.871,3557.204,0,0.000,0,94,48,0
14,25980820326.959,25980820347.282,25980826701.972,6353.592,6375.013,21.421,20.323,1.098,3624.987,0,0.000,0,94,48,0
15,25980830326.959,25980830348.352,25980836709.425,6359.923,6382.466,22.543,21.393,1.150,3617.534,0,0.000,0,94,48,0
16,25980840326.959,25980840348.876,25980846744.808,6394.770,6417.849,23.079,21.917,1.162,3582.151,0,0.000,0,94,48,0
17,25980850326.959,25980850346.972,25980856740.723,6392.825,6413.764,20.939,20.013,0.926,3586.236,0,0.000,0,94,48,0
18,25980860326.959,25980860348.129,25980866714.983,6365.510,6388.024,22.514,21.170,1.344,3611.976,0,0.000,0,94,48,0
19,25980870326.959,25980870347.873,25980876767.943,6419.138,6440.984,21.846,20.914,0.932,3559.016,0,0.000,0,94,48,0
20,25980880326.959,25980880348.124,25980886782.732,6433.591,6455.773,22.182,21.165,1.017,3544.227,0,0.000,0,94,48,0
21,25980890326.959,25980890347.185,25980896740.774,6392.365,6413.815,21.450,20.226,1.224,3586.185,0,0.000,0,94,48,0
22,25980900326.959,25980900348.035,25980906721.367,6371.906,6394.408,22.502,21.076,1.426,3605.592,0,0.000,0,94,48,0
23,25980910326.959,25980910347.088,25980916707.101,6358.682,6380.142,21.460,20.129,1.331,3619.858,0,0.000,0,94,48,0
24,25980920326.959,25980920349.086,25980926734.332,6384.068,6407.373,23.305,22.127,1.178,3592.627,0,0.000,0,94,48,0
25,25980930326.959,25980930348.020,25980936762.493,6413.611,6435.534,21.923,21.061,0.862,3564.466,0,0.000,0,94,48,0
26,25980940326.959,25980940350.190,25980946756.010,6404.672,6429.051,24.379,23.231,1.148,3570.949,0,0.000,0,94,48,0
27,25980950326.959,25980950347.475,25980956747.355,6398.908,6420.396,21.488,20.516,0.972,3579.604,0,0.000,0,94,48,0
28,25980960326.959,25980960346.683,25980966763.177,6415.521,6436.218,20.697,19.724,0.973,3563.782,0,0.000,0,94,48,0
29,25980970326.959,25980970348.270,25980976729.157,6379.797,6402.198,22.401,21.311,1.090,3597.802,0,0.000,0,94,48,0
