# matmul M=48 K=1371 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,48032744522.580,48032744566.219,48032801645.440,57079.754,57122.860,43.106,43.639,-0.533,42877.140,0,0.000,0,1371,48,0
1,48032844522.580,48032844564.718,48032903225.876,58661.880,58703.296,41.416,42.138,-0.722,41296.704,0,0.000,0,1371,48,0
2,48032944522.580,48032944548.480,48033000705.243,56157.716,56182.663,24.947,25.900,-0.953,43817.337,0,0.000,0,1371,48,0
3,48033044522.580,48033044552.673,48033100979.659,56427.908,56457.079,29.171,30.093,-0.922,43542.921,0,0.000,0,1371,48,0
4,48033144522.580,48033144562.251,48033200839.281,56277.627,56316.701,39.074,39.671,-0.597,43683.299,0,0.000,0,1371,48,0
5,48033244522.580,48033244556.204,48033301672.580,57117.122,57150.000,32.878,33.624,-0.746,42850.000,0,0.000,0,1371,48,0
6,48033344522.580,48033344548.035,48033402054.047,57507.096,57531.467,24.371,25.455,-1.084,42468.533,0,0.000,0,1371,48,0
7,48033444522.580,48033444550.952,48033500980.091,56430.610,56457.511,26.901,28.372,-1.471,43542.489,0,0.000,0,1371,48,0
8,48033544522.580,48033544546.188,48033600355.698,55810.567,55833.118,22.551,23.608,-1.057,44166.882,0,0.000,0,1371,48,0
9,48033644522.580,48033644555.957,48033699996.269,55441.215,55473.689,32.474,33.377,-0.903,44526.311,0,0.000,0,1371,48,0
10,48033744522.580,48033744540.549,48033801232.156,56692.784,56709.576,16.792,17.969,-1.177,43290.424,0,0.000,0,1371,48,0
11,48033844522.580,48033844552.219,48033901802.058,57250.919,57279.478,28.559,29.639,-1.080,42720.522,0,0.000,0,1371,48,0
12,48033944522.580,48033944551.049,48034001116.359,56567.085,56593.779,26.694,28.469,-1.775,43406.221,0,0.000,0,1371,48,0
