model,scale,U,n,miss_rate,R_p50,R_p99,R_p999,R_max,C_p50,C_p99,RoverD_p50,RoverD_p99,RoverD_p999,alpha_p50,alpha_p99,delta_p50,delta_p99
model3_sep,tight,0.1,5000,0.0002,384.11,635.0499700000001,759.1794090000056,10047.89,364.43399999999997,613.6488600000008,0.038411,0.06350499700000001,0.07591794090000056,0.36443400000000004,0.6136488600000009,0.0008428055555555542,0.0018175855555555567
model3_sep,tight,0.2,5000,0.009,1404.4144999999999,1903.9413500000076,10044.297345,10870.194,1391.8575,1856.5748200000048,0.14044145,0.19039413500000077,1.0044297345,0.69592875,0.9282874100000024,0.0006631874999999993,0.0023600012500000762
model3_sep,tight,0.3,5000,0.0062,2107.7005,2791.2261400000007,10043.991051,11226.454,2097.328,2738.6706600000075,0.21077005,0.2791226140000001,1.0043991051,0.6991093333333334,0.9128902200000026,0.0007062857142857086,0.002141318571428609
model3_sep,tight,0.4,5000,0.0036,2818.306,3260.105280000002,10034.343682,10188.322,2806.4030000000002,3248.2452000000008,0.28183060000000004,0.3260105280000002,1.0034343682,0.70160075,0.8120613000000001,0.0008984999999999938,0.0023570691666666773
model3_sep,tight,0.5,5000,0.005,3453.7015,4233.3822500000015,10408.705890000001,10504.138,3441.8284999999996,4211.67876,0.34537015,0.4233382250000001,1.0408705890000003,0.6883657,0.842335752,0.0010562999999999875,0.003192224000000003
model3_sep,tight,0.6,5000,0.005,4248.1485,5454.623890000001,10577.846639000009,11312.682,4237.87,5446.325220000001,0.42481485,0.5454623890000001,1.057784663900001,0.7063116666666667,0.9077208700000002,0.0012161249999999768,0.0032087012500000983
model3_sep,tight,0.7,5000,0.0036,4937.339,6084.389510000001,10567.326402000013,11747.524,4926.2275,6075.44089,0.4937339,0.6084389510000001,1.0567326402000012,0.7037467857142857,0.8679201271428572,0.0015449166666666467,0.0043963533333333735
model3_sep,tight,0.8,5000,0.003,5505.112499999999,6681.891310000002,10028.950453000012,10822.59,5494.8095,6671.593550000001,0.55051125,0.6681891310000002,1.0028950453000012,0.6868511875000001,0.8339491937500002,0.0023342499999999974,0.005942752500000067
model3_sep,tight,0.9,5000,0.0034,6428.8724999999995,7566.298350000001,10585.075225000015,11890.721,6417.9130000000005,7551.389370000001,0.64288725,0.7566298350000001,1.0585075225000016,0.7131014444444445,0.8390432633333335,0.005104000000000042,0.010912369999999368
model3_sep,tight,0.94,5000,0.003,6670.3375,7941.557890000001,10487.135147000023,13995.233,6660.1155,7929.15262,0.6670337500000001,0.7941557890000001,1.0487135147000022,0.7085229255319149,0.843526874468085,0.00825583333333346,0.01890239166666651
model3_sep,soft,0.1,5000,0.001,6857.0585,7582.817930000009,9690.632074018424,100118.095,6832.486,7568.406290000005,0.068570585,0.0758281793000001,0.09690632074018424,0.6832486,0.7568406290000005,0.00012678888888888954,0.00028118961111111386
model3_sep,soft,0.2,5000,0.0,14073.3835,15301.843830000003,18415.360332,19026.584,14044.624,15264.076710000005,0.14073383500000003,0.15301843830000003,0.18415360332,0.7022311999999999,0.7632038355000003,0.00018214062499999952,0.0003106938125000071
model3_sep,soft,0.3,5000,0.0,20868.767,22786.1065,25837.96196700002,29214.629,20839.430500000002,22760.15739,0.20868767,0.22786106500000003,0.25837961967000017,0.6946476833333334,0.758671913,0.00020872857142858266,0.00034229092857144194
model3_sep,soft,0.4,5000,0.0,27515.403,29995.848010000005,33006.635179000055,35979.643,27486.413500000002,29947.233860000008,0.27515403000000005,0.29995848010000004,0.3300663517900005,0.6871603375,0.7486808465000001,0.00022824166666666012,0.0003981034166666722
model3_sep,soft,0.5,5000,0.0002,34406.754,38260.51145000002,45882.282757000066,100019.936,34379.4205,38233.08285000001,0.34406753999999995,0.3826051145000002,0.45882282757000065,0.68758841,0.7646616570000003,0.0002492399999999907,0.0009218412000000399
model3_sep,soft,0.6,5000,0.0014,41339.824,47635.847630000004,102869.33637100016,114242.83,41311.6095,47605.297040000005,0.41339824000000003,0.47635847630000006,1.0286933637100015,0.688526825,0.7934216173333334,0.00028188124999996945,0.0012760443749999801
model3_sep,soft,0.7,5000,0.0,48287.605,52720.967820000005,55307.884976,59766.755,48265.0125,52704.06399,0.48287605,0.5272096782000001,0.5530788497600001,0.6895001785714285,0.7529151998571428,0.00033056666666664877,0.0010839880000000175
model3_sep,soft,0.8,5000,0.0002,56970.593,61821.15658,75035.63790800008,102487.189,56955.941,61802.07824,0.56970593,0.6182115658,0.7503563790800009,0.7119492625,0.7725259780000001,0.000370824999999877,0.0007895967499999683
model3_sep,soft,0.9,5000,0.0,62288.883499999996,67160.70893,72331.7089000003,75667.0,62276.93,67137.71457000001,0.622888835,0.6716070893,0.723317089000003,0.6919658888888889,0.7459746063333335,0.0005199749999997949,0.0013352424999998956
model3_sep,soft,0.94,5000,0.0,65615.804,70537.09138000001,74332.53624700003,77622.009,65604.3925,70523.95067000002,0.65615804,0.7053709138000002,0.7433253624700004,0.6979190691489361,0.7502547943617024,0.0009705000000000534,0.002461460833332739
