# matmul M=48 K=103 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,50616766812.593,50616766831.091,50616771975.626,5142.877,5163.033,20.156,18.498,1.658,4836.967,0,0.000,0,103,48,0
1,50616776812.593,50616776826.063,50616781137.068,4310.606,4324.475,13.869,13.470,0.399,5675.525,0,0.000,0,103,48,0
2,50616786812.593,50616786828.043,50616791170.049,4341.468,4357.456,15.988,15.450,0.538,5642.544,0,0.000,0,103,48,0
3,50616796812.593,50616796823.828,50616801020.293,4195.941,4207.700,11.759,11.235,0.524,5792.300,0,0.000,0,103,48,0
4,50616806812.593,50616806820.338,50616810937.180,4116.225,4124.587,8.362,7.745,0.617,5875.413,0,0.000,0,103,48,0
5,50616816812.593,50616816822.875,50616821133.031,4309.772,4320.438,10.666,10.282,0.384,5679.562,0,0.000,0,103,48,0
6,50616826812.593,50616826825.894,50616831037.705,4211.174,4225.112,13.938,13.301,0.637,5774.888,0,0.000,0,103,48,0
7,50616836812.593,50616836822.666,50616841319.059,4496.220,4506.466,10.246,10.073,0.173,5493.534,0,0.000,0,103,48,0
8,50616846812.593,50616846830.944,50616851227.106,4395.405,4414.513,19.108,18.351,0.757,5585.487,0,0.000,0,103,48,0
9,50616856812.593,50616856829.056,50616861099.128,4269.581,4286.535,16.954,16.463,0.491,5713.465,0,0.000,0,103,48,0
10,50616866812.593,50616866828.141,50616871204.698,4375.756,4392.105,16.349,15.548,0.801,5607.895,0,0.000,0,103,48,0
11,50616876812.593,50616876822.494,50616880962.510,4139.640,4149.917,10.277,9.901,0.376,5850.083,0,0.000,0,103,48,0
12,50616886812.593,50616886827.329,50616891355.921,4527.940,4543.328,15.388,14.736,0.652,5456.672,0,0.000,0,103,48,0
13,50616896812.593,50616896825.149,50616901814.845,4988.981,5002.252,13.271,12.556,0.715,4997.748,0,0.000,0,103,48,0
14,50616906812.593,50616906824.334,50616911663.242,4838.130,4850.649,12.519,11.741,0.778,5149.351,0,0.000,0,103,48,0
15,50616916812.593,50616916832.116,50616922454.357,5621.087,5641.764,20.677,19.523,1.154,4358.236,0,0.000,0,103,48,0
16,50616926812.593,50616926833.513,50616931996.015,5161.555,5183.422,21.867,20.920,0.947,4816.578,0,0.000,0,103,48,0
17,50616936812.593,50616936824.276,50616941213.992,4389.461,4401.399,11.938,11.683,0.255,5598.601,0,0.000,0,103,48,0
18,50616946812.593,50616946836.571,50616952746.499,5908.438,5933.906,25.468,23.978,1.490,4066.094,0,0.000,0,103,48,0
19,50616956812.593,50616956826.476,50616961303.158,4475.779,4490.565,14.786,13.883,0.903,5509.435,0,0.000,0,103,48,0
20,50616966812.593,50616966830.834,50616971722.655,4890.871,4910.062,19.191,18.241,0.950,5089.938,0,0.000,0,103,48,0
21,50616976812.593,50616976830.794,50616981703.106,4871.521,4890.513,18.992,18.201,0.791,5109.487,0,0.000,0,103,48,0
22,50616986812.593,50616986831.076,50616991399.195,4567.209,4586.602,19.393,18.483,0.910,5413.398,0,0.000,0,103,48,0
23,50616996812.593,50616996824.521,50617001544.719,4719.558,4732.126,12.568,11.928,0.640,5267.874,0,0.000,0,103,48,0
24,50617006812.593,50617006825.231,50617011147.907,4322.314,4335.314,13.000,12.638,0.362,5664.686,0,0.000,0,103,48,0
25,50617016812.593,50617016840.552,50617027436.033,6773.531,10623.440,3849.909,27.959,3821.950,-623.440,1,623.440,1,103,48,1
26,50617036812.593,50617036834.336,50617047124.014,6468.251,10311.421,3843.170,21.743,3821.427,-311.421,1,311.421,1,103,48,1
27,50617056812.593,50617056826.059,50617061135.944,4309.229,4323.351,14.122,13.466,0.656,5676.649,0,0.000,0,103,48,0
28,50617066812.593,50617066821.111,50617071012.143,4190.802,4199.550,8.748,8.518,0.230,5800.450,0,0.000,0,103,48,0
29,50617076812.593,50617076825.839,50617081534.324,4707.955,4721.731,13.776,13.246,0.530,5278.269,0,0.000,0,103,48,0
30,50617086812.593,50617086830.657,50617092259.559,5427.952,5446.966,19.014,18.064,0.950,4553.034,0,0.000,0,103,48,0
31,50617096812.593,50617096827.587,50617102525.402,5697.129,5712.809,15.680,14.994,0.686,4287.191,0,0.000,0,103,48,0
