# probe kind=matmul M=48 K=1607 buf_kb=0 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,7769461666.597,7769461692.005,7769529446.590,67754.137,67779.993,25.856,25.408,0.448,32220.007,0,0.000,0,1607,48,0
1,7769561666.597,7769561692.295,7769629936.700,68244.065,68270.103,26.038,25.698,0.340,31729.897,0,0.000,0,1607,48,0
2,7769661666.597,7769661689.068,7769729484.821,67795.291,67818.224,22.933,22.471,0.462,32181.776,0,0.000,0,1607,48,0
3,7769761666.597,7769761692.156,7769829548.048,67855.673,67881.451,25.778,25.559,0.219,32118.549,0,0.000,0,1607,48,0
4,7769861666.597,7769861688.977,7769929397.206,67708.075,67730.609,22.534,22.380,0.154,32269.391,0,0.000,0,1607,48,0
5,7769961666.597,7769961687.050,7770029826.266,68138.501,68159.669,21.168,20.453,0.715,31840.331,0,0.000,0,1607,48,0
6,7770061666.597,7770061686.697,7770130398.237,68711.220,68731.640,20.420,20.100,0.320,31268.360,0,0.000,0,1607,48,0
7,7770161666.597,7770161694.068,7770230470.884,68776.247,68804.287,28.040,27.471,0.569,31195.713,0,0.000,0,1607,48,0
8,7770261666.597,7770261687.656,7770330158.486,68470.773,68491.889,21.116,21.059,0.057,31508.111,0,0.000,0,1607,48,0
9,7770361666.597,7770361687.545,7770429920.886,68232.786,68254.289,21.503,20.948,0.555,31745.711,0,0.000,0,1607,48,0
10,7770461666.597,7770461687.986,7770529220.127,67531.833,67553.530,21.697,21.389,0.308,32446.470,0,0.000,0,1607,48,0
11,7770561666.597,7770561689.765,7770629018.480,67328.590,67351.883,23.293,23.168,0.125,32648.117,0,0.000,0,1607,48,0
12,7770661666.597,7770661688.728,7770730149.790,68460.920,68483.193,22.273,22.131,0.142,31516.807,0,0.000,0,1607,48,0
13,7770761666.597,7770761695.668,7770830013.693,68317.596,68347.096,29.500,29.071,0.429,31652.904,0,0.000,0,1607,48,0
14,7770861666.597,7770861691.927,7770930114.639,68422.310,68448.042,25.732,25.330,0.402,31551.958,0,0.000,0,1607,48,0
15,7770961666.597,7770961689.250,7771030011.144,68321.741,68344.547,22.806,22.653,0.153,31655.453,0,0.000,0,1607,48,0
16,7771061666.597,7771061687.222,7771129816.788,68129.428,68150.191,20.763,20.625,0.138,31849.809,0,0.000,0,1607,48,0
17,7771161666.597,7771161694.477,7771229900.128,68205.431,68233.531,28.100,27.880,0.220,31766.469,0,0.000,0,1607,48,0
18,7771261666.597,7771261691.270,7771331296.505,69605.055,69629.908,24.853,24.673,0.180,30370.092,0,0.000,0,1607,48,0
19,7771361666.597,7771361691.540,7771430534.516,68842.725,68867.919,25.194,24.943,0.251,31132.081,0,0.000,0,1607,48,0
20,7771461666.597,7771461692.194,7771529470.535,67778.108,67803.938,25.830,25.597,0.233,32196.062,0,0.000,0,1607,48,0
21,7771561666.597,7771561693.337,7771629509.694,67816.136,67843.097,26.961,26.740,0.221,32156.903,0,0.000,0,1607,48,0
22,7771661666.597,7771661687.700,7771730065.831,68377.796,68399.234,21.438,21.103,0.335,31600.766,0,0.000,0,1607,48,0
23,7771761666.597,7771761687.969,7771828818.677,67130.425,67152.080,21.655,21.372,0.283,32847.920,0,0.000,0,1607,48,0
24,7771861666.597,7771861690.454,7771929221.089,67530.435,67554.492,24.057,23.857,0.200,32445.508,0,0.000,0,1607,48,0
25,7771961666.597,7771961690.198,7772029140.758,67450.307,67474.161,23.854,23.601,0.253,32525.839,0,0.000,0,1607,48,0
26,7772061666.597,7772061686.552,7772130455.652,68768.818,68789.055,20.237,19.955,0.282,31210.945,0,0.000,0,1607,48,0
27,7772161666.597,7772161694.954,7772229795.527,68100.268,68128.930,28.662,28.357,0.305,31871.070,0,0.000,0,1607,48,0
28,7772261666.597,7772261687.690,7772329500.587,67812.786,67833.990,21.204,21.093,0.111,32166.010,0,0.000,0,1607,48,0
29,7772361666.597,7772361686.832,7772429808.926,68121.120,68142.329,21.209,20.235,0.974,31857.671,0,0.000,0,1607,48,0
30,7772461666.597,7772461689.666,7772531014.117,69324.356,69347.520,23.164,23.069,0.095,30652.480,0,0.000,0,1607,48,0
31,7772561666.597,7772561691.018,7772629406.200,67714.736,67739.603,24.867,24.421,0.446,32260.397,0,0.000,0,1607,48,0
32,7772661666.597,7772661687.116,7772730228.682,68541.462,68562.085,20.623,20.519,0.104,31437.915,0,0.000,0,1607,48,0
33,7772761666.597,7772761691.784,7772829872.721,68180.729,68206.124,25.395,25.187,0.208,31793.876,0,0.000,0,1607,48,0
34,7772861666.597,7772861689.548,7772929725.248,68035.533,68058.651,23.118,22.951,0.167,31941.349,0,0.000,0,1607,48,0
35,7772961666.597,7772961688.502,7773029924.482,68235.700,68257.885,22.185,21.905,0.280,31742.115,0,0.000,0,1607,48,0
36,7773061666.597,7773061687.682,7773130222.425,68534.429,68555.828,21.399,21.085,0.314,31444.172,0,0.000,0,1607,48,0
