model,scale,U,n,miss_rate,R_p50,R_p99,R_p999,R_max,C_p50,C_p99,RoverD_p50,RoverD_p99,RoverD_p999,alpha_p50,alpha_p99,delta_p50,delta_p99
model3_sib_cfs,tight,0.1,5000,0.0056,752.207,802.9964600000012,10185.5301,11537.786,744.9935,787.6995000000004,0.0752207,0.08029964600000013,1.01855301,0.7449935000000001,0.7876995000000004,0.0004145277777777778,0.0010381761111111119
model3_sib_cfs,tight,0.2,5000,0.005,1463.9865,1545.65075,10664.182138000006,17641.831,1456.077,1532.8200500000003,0.14639865,0.154565075,1.0664182138000007,0.7280385,0.7664100250000002,0.0004745000000000061,0.0009917712500000023
model3_sib_cfs,tight,0.3,5000,0.604,10012.0555,10479.249820000006,11750.015284000012,20743.775,3077.873,3947.012180000005,1.0012055499999999,1.0479249820000005,1.175001528400001,1.0259576666666668,1.3156707266666683,0.4818568571428571,0.49976668714285705
model3_sib_cfs,tight,0.4,5000,0.0318,3837.1710000000003,10013.10577,11520.935095,20528.217,3828.948,4057.033320000001,0.38371710000000003,1.001310577,1.1520935095,0.9572369999999999,1.0142583300000003,0.0006362499999999992,0.500351235
model3_sib_cfs,tight,0.5,5000,0.0052,3615.748,3744.4497800000004,11568.708419,11577.642,3596.2844999999998,3715.6513500000015,0.36157480000000003,0.37444497800000004,1.1568708419,0.7192569,0.7431302700000003,0.0019207999999999855,0.002739624000000019
model3_sib_cfs,tight,0.6,5000,0.069,5513.598,10332.02442,13208.416379000118,18380.718,5505.505,6428.018000000001,0.5513598,1.033202442,1.3208416379000116,0.9175841666666666,1.0713363333333334,0.0009597499999999855,0.4883395225
model3_sib_cfs,tight,0.7,5000,0.0062,5061.2744999999995,6134.314490000005,14872.846455000044,20287.732,5052.893,6120.613660000004,0.5061274499999999,0.6134314490000006,1.4872846455000046,0.7218418571428571,0.8743733800000005,0.001283333333333303,0.0042720816666667535
model3_sib_cfs,tight,0.8,5000,0.0594,7808.8845,10015.61939,12968.224859000024,23609.255,7800.887000000001,8086.08337,0.78088845,1.001561939,1.2968224859000024,0.9751108749999999,1.01076042125,0.0018793750000000954,0.5026537749999999
model3_sib_cfs,tight,0.9,5000,0.0068,7139.8975,7898.656260000001,13035.311863,13295.685,7130.9794999999995,7883.309760000001,0.7139897500000001,0.7898656260000001,1.3035311863,0.7923310555555556,0.8759233066666668,0.004551749999999856,0.009864145000000216
model3_sib_cfs,tight,0.94,5000,0.1778,8775.559000000001,11050.55317,13231.266142000002,17494.712,8757.586500000001,10921.04264,0.8775558999999999,1.105055317,1.3231266142000002,0.9316581382978724,1.1618130468085106,0.01505083333333308,0.17069271666666966
model3_sib_cfs,soft,0.1,5000,0.0162,7225.2935,100401.82751000002,101793.28108500001,102258.604,7166.0315,10919.073810000007,0.07225293499999999,1.0040182751,1.0179328108499999,0.7166031500000001,1.0919073810000006,0.00022754166666666658,0.49707929900000003
model3_sib_cfs,soft,0.2,5000,0.0,14347.752,14673.45813,14865.516569000038,16957.281,14163.033,14472.44472,0.14347751999999997,0.1467345813,0.14865516569000037,0.70815165,0.723622236,0.0010986312499999997,0.001658050312500003
model3_sib_cfs,soft,0.3,5000,0.0,21590.3715,21911.56868,22155.356805000014,22573.244,21569.594,21890.55417,0.215903715,0.2191156868,0.22155356805000015,0.7189864666666668,0.729685139,0.00014835357142857383,0.0001764515714285797
model3_sib_cfs,soft,0.4,5000,0.0006,38149.8315,39024.73689,39263.842715,114391.655,37965.0925,38829.969039999996,0.381498315,0.3902473689,0.39263842715,0.9491273125,0.9707492259999999,0.001486566666666628,0.002379207416666659
model3_sib_cfs,soft,0.5,5000,0.589,103395.43549999999,104287.1836,104547.61782500001,106068.426,53816.000499999995,54699.85143,1.033954355,1.042871836,1.04547617825,1.0763200099999999,1.0939970286,0.49577716,0.49588939430000006
model3_sib_cfs,soft,0.6,5000,0.0006,55771.301999999996,57821.65000000001,59209.94902100003,101066.129,55757.107,57802.43328000001,0.55771302,0.5782165000000001,0.5920994902100003,0.9292851166666667,0.9633738880000002,0.0001490187500000047,0.0002718018749999847
model3_sib_cfs,soft,0.7,5000,0.0,61943.344,62705.86949,63962.645474000004,67665.78,61920.701,62683.16386,0.6194334400000001,0.6270586949,0.63962645474,0.8845814428571429,0.8954737694285714,0.0003902166666666744,0.0004781349999999123
model3_sib_cfs,soft,0.8,5000,0.0,76144.898,77700.79604000002,79084.088782,86344.917,76134.1565,77665.78666,0.7614489799999999,0.7770079604000001,0.7908408878200001,0.9516769562499999,0.97082233325,0.00024032500000012078,0.0005302159999999679
model3_sib_cfs,soft,0.9,5000,0.0,68896.30900000001,69684.58518,71252.92419100001,79247.831,68871.89499999999,69658.3915,0.6889630900000001,0.6968458518,0.71252924191,0.7652432777777778,0.7739821277777779,0.0011988000000004832,0.0015056619999998806
model3_sib_cfs,soft,0.94,5000,0.0,68450.442,71041.38463999999,71873.47387100001,72387.178,68426.42749999999,71019.18025,0.68450442,0.7104138463999999,0.71873473871,0.7279407180851063,0.7555231941489362,0.0019313333333332897,0.0024815150000004607
