model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model3_sib_cfs,soft,0.1,5000,81,0.0162,2258.6,842.0,2,1.0919,1.2805,0.4971,0.5003
model3_sib_cfs,soft,0.2,5000,0,0.0,0.0,0.0,0,0.7236,0.8261,0.0017,0.0178
model3_sib_cfs,soft,0.3,5000,0,0.0,0.0,0.0,0,0.7297,0.7517,0.0002,0.0049
model3_sib_cfs,soft,0.4,5000,3,0.0006,14391.7,4941.7,1,0.9707,1.1068,0.0024,0.5843
model3_sib_cfs,soft,0.5,5000,2945,0.589,6068.4,3681.6,2945,1.094,1.1024,0.4959,0.5185
model3_sib_cfs,soft,0.6,5000,3,0.0006,1066.1,562.9,1,0.9634,1.0221,0.0003,0.4978
model3_sib_cfs,soft,0.7,5000,0,0.0,0.0,0.0,0,0.8955,0.9664,0.0005,0.0052
model3_sib_cfs,soft,0.8,5000,0,0.0,0.0,0.0,0,0.9708,0.9919,0.0005,0.2416
model3_sib_cfs,soft,0.9,5000,0,0.0,0.0,0.0,0,0.774,0.8803,0.0015,0.0025
model3_sib_cfs,soft,0.94,5000,0,0.0,0.0,0.0,0,0.7555,0.7698,0.0025,0.006
model3_sib_cfs,tight,0.1,5000,28,0.0056,1537.8,179.8,25,0.7877,1.5858,0.001,0.5708
model3_sib_cfs,tight,0.2,5000,25,0.005,7641.8,892.7,24,0.7664,1.454,0.001,0.9303
model3_sib_cfs,tight,0.3,5000,3020,0.604,10743.8,34.5,686,1.3157,1.8759,0.4998,1.247
model3_sib_cfs,tight,0.4,5000,159,0.0318,10528.2,360.4,26,1.0143,1.4427,0.5004,1.3127
model3_sib_cfs,tight,0.5,5000,26,0.0052,1577.6,1435.4,26,0.7431,1.4175,0.0027,0.4494
model3_sib_cfs,tight,0.6,5000,345,0.069,8380.7,449.9,29,1.0713,1.9287,0.4883,1.4336
model3_sib_cfs,tight,0.7,5000,31,0.0062,10287.7,3426.9,30,0.8744,2.0683,0.0043,0.9684
model3_sib_cfs,tight,0.8,5000,297,0.0594,13609.3,349.0,30,1.0108,1.432,0.5027,3.7402
model3_sib_cfs,tight,0.9,5000,34,0.0068,3295.7,2695.7,33,0.8759,1.4176,0.0099,0.5001
model3_sib_cfs,tight,0.94,5000,889,0.1778,7494.7,723.8,31,1.1618,1.4086,0.1707,6.7917
