# probe kind=matmul M=48 K=87 buf_kb=0 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,9115724449.215,9115724474.031,9115728076.165,3600.082,3626.950,26.868,24.816,2.052,6373.050,0,0.000,0,87,48,0
1,9115734449.215,9115734480.731,9115738048.764,3566.699,3599.549,32.850,31.516,1.334,6400.451,0,0.000,0,87,48,0
2,9115744449.215,9115744471.841,9115748039.275,3566.621,3590.060,23.439,22.626,0.813,6409.940,0,0.000,0,87,48,0
3,9115754449.215,9115754470.884,9115758099.626,3627.925,3650.411,22.486,21.669,0.817,6349.589,0,0.000,0,87,48,0
4,9115764449.215,9115764467.141,9115768149.551,3681.676,3700.336,18.660,17.926,0.734,6299.664,0,0.000,0,87,48,0
5,9115774449.215,9115774466.166,9115778070.687,3603.837,3621.472,17.635,16.951,0.684,6378.528,0,0.000,0,87,48,0
6,9115784449.215,9115784468.296,9115788077.099,3608.139,3627.884,19.745,19.081,0.664,6372.116,0,0.000,0,87,48,0
7,9115794449.215,9115794469.314,9115798059.241,3589.243,3610.026,20.783,20.099,0.684,6389.974,0,0.000,0,87,48,0
8,9115804449.215,9115804468.976,9115808068.398,3598.666,3619.183,20.517,19.761,0.756,6380.817,0,0.000,0,87,48,0
9,9115814449.215,9115814467.317,9115818137.195,3669.191,3687.980,18.789,18.102,0.687,6312.020,0,0.000,0,87,48,0
10,9115824449.215,9115824470.450,9115828101.688,3630.590,3652.473,21.883,21.235,0.648,6347.527,0,0.000,0,87,48,0
11,9115834449.215,9115834467.875,9115837995.559,3526.923,3546.344,19.421,18.660,0.761,6453.656,0,0.000,0,87,48,0
12,9115844449.215,9115844468.954,9115848135.197,3665.563,3685.982,20.419,19.739,0.680,6314.018,0,0.000,0,87,48,0
13,9115854449.215,9115854467.472,9115858016.003,3547.913,3566.788,18.875,18.257,0.618,6433.212,0,0.000,0,87,48,0
14,9115864449.215,9115864468.784,9115868065.868,3596.363,3616.653,20.290,19.569,0.721,6383.347,0,0.000,0,87,48,0
15,9115874449.215,9115874468.502,9115878058.567,3589.375,3609.352,19.977,19.287,0.690,6390.648,0,0.000,0,87,48,0
16,9115884449.215,9115884471.215,9115888031.825,3560.041,3582.610,22.569,22.000,0.569,6417.390,0,0.000,0,87,48,0
17,9115894449.215,9115894470.048,9115898062.988,3592.270,3613.773,21.503,20.833,0.670,6386.227,0,0.000,0,87,48,0
18,9115904449.215,9115904468.240,9115908044.817,3575.734,3595.602,19.868,19.025,0.843,6404.398,0,0.000,0,87,48,0
19,9115914449.215,9115914469.060,9115918096.889,3626.971,3647.674,20.703,19.845,0.858,6352.326,0,0.000,0,87,48,0
20,9115924449.215,9115924469.282,9115928059.898,3590.008,3610.683,20.675,20.067,0.608,6389.317,0,0.000,0,87,48,0
21,9115934449.215,9115934472.685,9115938157.849,3684.451,3708.634,24.183,23.470,0.713,6291.366,0,0.000,0,87,48,0
22,9115944449.215,9115944470.410,9115948070.064,3599.028,3620.849,21.821,21.195,0.626,6379.151,0,0.000,0,87,48,0
23,9115954449.215,9115954466.423,9115958086.771,3619.449,3637.556,18.107,17.208,0.899,6362.444,0,0.000,0,87,48,0
24,9115964449.215,9115964469.970,9115968063.352,3592.651,3614.137,21.486,20.755,0.731,6385.863,0,0.000,0,87,48,0
25,9115974449.215,9115974470.187,9115978071.121,3600.272,3621.906,21.634,20.972,0.662,6378.094,0,0.000,0,87,48,0
26,9115984449.215,9115984468.298,9115988034.673,3565.672,3585.458,19.786,19.083,0.703,6414.542,0,0.000,0,87,48,0
27,9115994449.215,9115994469.063,9115998094.422,3624.704,3645.207,20.503,19.848,0.655,6354.793,0,0.000,0,87,48,0
28,9116004449.215,9116004473.497,9116008096.075,3621.901,3646.860,24.959,24.282,0.677,6353.140,0,0.000,0,87,48,0
29,9116014449.215,9116014470.851,9116018091.302,3619.640,3642.087,22.447,21.636,0.811,6357.913,0,0.000,0,87,48,0
30,9116024449.215,9116024469.307,9116028095.764,3625.748,3646.549,20.801,20.092,0.709,6353.451,0,0.000,0,87,48,0
31,9116034449.215,9116034467.268,9116037994.738,3526.626,3545.523,18.897,18.053,0.844,6454.477,0,0.000,0,87,48,0
32,9116044449.215,9116044777.162,9116048329.892,3551.531,3880.677,329.146,327.947,1.199,6119.323,0,0.000,0,87,48,0
33,9116054449.215,9116054470.591,9116058105.327,3633.900,3656.112,22.212,21.376,0.836,6343.888,0,0.000,0,87,48,0
34,9116064449.215,9116064469.361,9116068072.541,3602.416,3623.326,20.910,20.146,0.764,6376.674,0,0.000,0,87,48,0
35,9116074449.215,9116074469.470,9116078103.987,3633.546,3654.772,21.226,20.255,0.971,6345.228,0,0.000,0,87,48,0
36,9116084449.215,9116084468.792,9116088094.013,3624.640,3644.798,20.158,19.577,0.581,6355.202,0,0.000,0,87,48,0
37,9116094449.215,9116094472.280,9116098058.910,3585.934,3609.695,23.761,23.065,0.696,6390.305,0,0.000,0,87,48,0
38,9116104449.215,9116104468.346,9116108078.314,3609.285,3629.099,19.814,19.131,0.683,6370.901,0,0.000,0,87,48,0
39,9116114449.215,9116114467.270,9116118064.253,3596.253,3615.038,18.785,18.055,0.730,6384.962,0,0.000,0,87,48,0
40,9116124449.215,9116124471.468,9116128051.146,3578.728,3601.931,23.203,22.253,0.950,6398.069,0,0.000,0,87,48,0
41,9116134449.215,9116134477.780,9116138080.795,3602.207,3631.580,29.373,28.565,0.808,6368.420,0,0.000,0,87,48,0
42,9116144449.215,9116144472.086,9116148085.382,3612.716,3636.167,23.451,22.871,0.580,6363.833,0,0.000,0,87,48,0
43,9116154449.215,9116154471.470,9116158059.669,3587.473,3610.454,22.981,22.255,0.726,6389.546,0,0.000,0,87,48,0
44,9116164449.215,9116164471.660,9116168054.608,3582.243,3605.393,23.150,22.445,0.705,6394.607,0,0.000,0,87,48,0
45,9116174449.215,9116174471.269,9116178095.307,3623.111,3646.092,22.981,22.054,0.927,6353.908,0,0.000,0,87,48,0
46,9116184449.215,9116184472.012,9116188074.024,3601.331,3624.809,23.478,22.797,0.681,6375.191,0,0.000,0,87,48,0
47,9116194449.215,9116194469.917,9116198096.484,3625.991,3647.269,21.278,20.702,0.576,6352.731,0,0.000,0,87,48,0
48,9116204449.215,9116204470.502,9116208133.931,3662.893,3684.716,21.823,21.287,0.536,6315.284,0,0.000,0,87,48,0
49,9116214449.215,9116214469.904,9116218110.452,3639.893,3661.237,21.344,20.689,0.655,6338.763,0,0.000,0,87,48,0
50,9116224449.215,9116224469.316,9116228089.109,3619.210,3639.894,20.684,20.101,0.583,6360.106,0,0.000,0,87,48,0
51,9116234449.215,9116234471.504,9116238035.593,3563.321,3586.378,23.057,22.289,0.768,6413.622,0,0.000,0,87,48,0
52,9116244449.215,9116244468.540,9116248083.477,3614.257,3634.262,20.005,19.325,0.680,6365.738,0,0.000,0,87,48,0
53,9116254449.215,9116254472.109,9116258181.460,3708.661,3732.245,23.584,22.894,0.690,6267.755,0,0.000,0,87,48,0
54,9116264449.215,9116264470.368,9116268053.249,3582.196,3604.034,21.838,21.153,0.685,6395.966,0,0.000,0,87,48,0
55,9116274449.215,9116274473.831,9116278101.312,3626.685,3652.097,25.412,24.616,0.796,6347.903,0,0.000,0,87,48,0
56,9116284449.215,9116284473.408,9116288093.984,3619.984,3644.769,24.785,24.193,0.592,6355.231,0,0.000,0,87,48,0
57,9116294449.215,9116294471.041,9116298019.345,3547.723,3570.130,22.407,21.826,0.581,6429.870,0,0.000,0,87,48,0
58,9116304449.215,9116304469.405,9116308087.819,3617.877,3638.604,20.727,20.190,0.537,6361.396,0,0.000,0,87,48,0
59,9116314449.215,9116314469.032,9116317999.835,3530.054,3550.620,20.566,19.817,0.749,6449.380,0,0.000,0,87,48,0
60,9116324449.215,9116324471.162,9116328051.426,3579.668,3602.211,22.543,21.947,0.596,6397.789,0,0.000,0,87,48,0
61,9116334449.215,9116334472.538,9116338037.286,3564.086,3588.071,23.985,23.323,0.662,6411.929,0,0.000,0,87,48,0
62,9116344449.215,9116344470.125,9116348026.461,3555.727,3577.246,21.519,20.910,0.609,6422.754,0,0.000,0,87,48,0
63,9116354449.215,9116354470.022,9116358099.983,3629.370,3650.768,21.398,20.807,0.591,6349.232,0,0.000,0,87,48,0
64,9116364449.215,9116364471.445,9116368051.245,3579.207,3602.030,22.823,22.230,0.593,6397.970,0,0.000,0,87,48,0
65,9116374449.215,9116374471.097,9116378084.872,3613.250,3635.657,22.407,21.882,0.525,6364.343,0,0.000,0,87,48,0
66,9116384449.215,9116384471.599,9116388099.124,3626.831,3649.909,23.078,22.384,0.694,6350.091,0,0.000,0,87,48,0
67,9116394449.215,9116394470.613,9116397974.264,3502.988,3525.049,22.061,21.398,0.663,6474.951,0,0.000,0,87,48,0
68,9116404449.215,9116404469.835,9116408073.620,3603.023,3624.405,21.382,20.620,0.762,6375.595,0,0.000,0,87,48,0
69,9116414449.215,9116414471.279,9116418102.026,3630.050,3652.811,22.761,22.064,0.697,6347.189,0,0.000,0,87,48,0
70,9116424449.215,9116424470.489,9116427969.781,3498.583,3520.566,21.983,21.274,0.709,6479.434,0,0.000,0,87,48,0
71,9116434449.215,9116434470.024,9116438036.123,3565.447,3586.908,21.461,20.809,0.652,6413.092,0,0.000,0,87,48,0
72,9116444449.215,9116444470.722,9116448012.980,3541.592,3563.765,22.173,21.507,0.666,6436.235,0,0.000,0,87,48,0
73,9116454449.215,9116454469.708,9116457933.885,3463.345,3484.670,21.325,20.493,0.832,6515.330,0,0.000,0,87,48,0
74,9116464449.215,9116464468.248,9116468097.980,3628.831,3648.765,19.934,19.033,0.901,6351.235,0,0.000,0,87,48,0
75,9116474449.215,9116474515.646,9116478064.466,3548.238,3615.251,67.013,66.431,0.582,6384.749,0,0.000,0,87,48,0
76,9116484449.215,9116484472.698,9116488095.933,3622.620,3646.718,24.098,23.483,0.615,6353.282,0,0.000,0,87,48,0
77,9116494449.215,9116494471.381,9116498096.745,3624.741,3647.530,22.789,22.166,0.623,6352.470,0,0.000,0,87,48,0
78,9116504449.215,9116504469.832,9116507951.463,3480.689,3502.248,21.559,20.617,0.942,6497.752,0,0.000,0,87,48,0
79,9116514449.215,9116514468.923,9116518097.116,3627.568,3647.901,20.333,19.708,0.625,6352.099,0,0.000,0,87,48,0
80,9116524449.215,9116524473.239,9116528033.016,3559.113,3583.801,24.688,24.024,0.664,6416.199,0,0.000,0,87,48,0
81,9116534449.215,9116534470.342,9116538029.028,3558.073,3579.813,21.740,21.127,0.613,6420.187,0,0.000,0,87,48,0
82,9116544449.215,9116544478.708,9116555912.516,6969.264,11463.301,4494.037,29.493,4464.544,-1463.301,1,1463.301,1,87,48,1
83,9116564449.215,9116564479.235,9116575755.611,6814.087,11306.396,4492.309,30.020,4462.289,-1306.396,1,1306.396,1,87,48,1
84,9116584449.215,9116584478.111,9116596017.921,7078.091,11568.706,4490.615,28.896,4461.719,-1568.706,1,1568.706,1,87,48,1
85,9116604449.215,9116604478.160,9116616020.340,7081.259,11571.125,4489.866,28.945,4460.921,-1571.125,1,1571.125,1,87,48,1
86,9116624449.215,9116624477.429,9116636026.857,7087.337,11577.642,4490.305,28.214,4462.091,-1577.642,1,1577.642,1,87,48,1
87,9116644449.215,9116644478.334,9116656026.060,7084.624,11576.845,4492.221,29.119,4463.102,-1576.845,1,1576.845,1,87,48,1
88,9116664449.215,9116664478.180,9116676022.675,7084.499,11573.460,4488.961,28.965,4459.996,-1573.460,1,1573.460,1,87,48,1
89,9116684449.215,9116684478.776,9116695988.338,7047.752,11539.123,4491.371,29.561,4461.810,-1539.123,1,1539.123,1,87,48,1
90,9116704449.215,9116704475.894,9116715858.421,6918.837,11409.206,4490.369,26.679,4463.690,-1409.206,1,1409.206,1,87,48,1
91,9116724449.215,9116724476.982,9116736026.640,7087.309,11577.425,4490.116,27.767,4462.349,-1577.425,1,1577.425,1,87,48,1
92,9116744449.215,9116744476.348,9116755991.932,7054.563,11542.717,4488.154,27.133,4461.021,-1542.717,1,1542.717,1,87,48,1
93,9116764449.215,9116764478.108,9116775951.560,7012.451,11502.345,4489.894,28.893,4461.001,-1502.345,1,1502.345,1,87,48,1
94,9116784449.215,9116784473.890,9116795812.620,6874.834,11363.405,4488.571,24.675,4463.896,-1363.405,1,1363.405,1,87,48,1
95,9116804449.215,9116804475.648,9116815969.920,7032.570,11520.705,4488.135,26.433,4461.702,-1520.705,1,1520.705,1,87,48,1
96,9116824449.215,9116824475.028,9116835940.638,7004.557,11491.423,4486.866,25.813,4461.053,-1491.423,1,1491.423,1,87,48,1
97,9116844449.215,9116844475.209,9116856014.110,7079.319,11564.895,4485.576,25.994,4459.582,-1564.895,1,1564.895,1,87,48,1
98,9116864449.215,9116864475.809,9116875653.659,6716.915,11204.444,4487.529,26.594,4460.935,-1204.444,1,1204.444,1,87,48,1
99,9116884449.215,9116884476.031,9116895972.193,7034.163,11522.978,4488.815,26.816,4461.999,-1522.978,1,1522.978,1,87,48,1
100,9116904449.215,9116904473.218,9116915859.890,6926.087,11410.675,4484.588,24.003,4460.585,-1410.675,1,1410.675,1,87,48,1
101,9116924449.215,9116924471.945,9116935829.254,6896.196,11380.039,4483.843,22.730,4461.113,-1380.039,1,1380.039,1,87,48,1
102,9116944449.215,9116944477.622,9116955716.077,6776.353,11266.862,4490.509,28.407,4462.102,-1266.862,1,1266.862,1,87,48,1
103,9116964449.215,9116964475.276,9116975971.816,7033.521,11522.601,4489.080,26.061,4463.019,-1522.601,1,1522.601,1,87,48,1
104,9116984449.215,9116984472.770,9116995670.427,6736.081,11221.212,4485.131,23.555,4461.576,-1221.212,1,1221.212,1,87,48,1
105,9117004449.215,9117004476.786,9117015724.324,6787.352,11275.109,4487.757,27.571,4460.186,-1275.109,1,1275.109,1,87,48,1
106,9117024449.215,9117024474.042,9117035584.852,6649.666,11135.637,4485.971,24.827,4461.144,-1135.637,1,1135.637,1,87,48,1
107,9117044449.215,9117044474.309,9117055681.654,6746.798,11232.439,4485.641,25.094,4460.547,-1232.439,1,1232.439,1,87,48,1
108,9117064449.215,9117064602.482,9117068282.283,3678.496,3833.068,154.572,153.267,1.305,6166.932,0,0.000,0,87,48,0
109,9117074449.215,9117074468.243,9117078009.132,3540.264,3559.917,19.653,19.028,0.625,6440.083,0,0.000,0,87,48,0
110,9117084449.215,9117084467.067,9117088076.337,3608.499,3627.122,18.623,17.852,0.771,6372.878,0,0.000,0,87,48,0
111,9117094449.215,9117094467.280,9117098091.592,3623.589,3642.377,18.788,18.065,0.723,6357.623,0,0.000,0,87,48,0
112,9117104449.215,9117104466.947,9117107991.073,3523.446,3541.858,18.412,17.732,0.680,6458.142,0,0.000,0,87,48,0
113,9117114449.215,9117114467.899,9117118103.461,3634.959,3654.246,19.287,18.684,0.603,6345.754,0,0.000,0,87,48,0
114,9117124449.215,9117124468.639,9117128046.043,3576.725,3596.828,20.103,19.424,0.679,6403.172,0,0.000,0,87,48,0
115,9117134449.215,9117134466.795,9117138059.207,3591.822,3609.992,18.170,17.580,0.590,6390.008,0,0.000,0,87,48,0
116,9117144449.215,9117144467.748,9117148094.953,3626.483,3645.738,19.255,18.533,0.722,6354.262,0,0.000,0,87,48,0
117,9117154449.215,9117154469.683,9117158038.239,3567.976,3589.024,21.048,20.468,0.580,6410.976,0,0.000,0,87,48,0
