# probe kind=matmul M=48 K=95 buf_kb=0 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,30977872254.660,30977872453.445,30977879476.308,7020.947,7221.648,200.701,198.785,1.916,92778.352,0,0.000,0,95,48,0
1,30977972254.660,30977972432.065,30977979455.472,7021.589,7200.812,179.223,177.405,1.818,92799.188,0,0.000,0,95,48,0
2,30978072254.660,30978072453.363,30978079466.525,7011.285,7211.865,200.580,198.703,1.877,92788.135,0,0.000,0,95,48,0
3,30978172254.660,30978172315.278,30978179338.944,7021.692,7084.284,62.592,60.618,1.974,92915.716,0,0.000,0,95,48,0
4,30978272254.660,30978272536.621,30978279560.160,7021.636,7305.500,283.864,281.961,1.903,92694.500,0,0.000,0,95,48,0
5,30978372254.660,30978372410.683,30978379429.168,7016.606,7174.508,157.902,156.023,1.879,92825.492,0,0.000,0,95,48,0
6,30978472254.660,30978472515.221,30978479525.554,7008.945,7270.894,261.949,260.561,1.388,92729.106,0,0.000,0,95,48,0
7,30978572254.660,30978572464.506,30978579476.870,7010.568,7222.210,211.642,209.846,1.796,92777.790,0,0.000,0,95,48,0
8,30978672254.660,30978672304.254,30978679858.591,7552.533,7603.931,51.398,49.594,1.804,92396.069,0,0.000,0,95,48,0
9,30978772254.660,30978772311.965,30978779329.020,7015.418,7074.360,58.942,57.305,1.637,92925.640,0,0.000,0,95,48,0
10,30978872254.660,30978872318.823,30978879350.693,7030.364,7096.033,65.669,64.163,1.506,92903.967,0,0.000,0,95,48,0
11,30978972254.660,30978972305.132,30978979381.047,7074.083,7126.387,52.304,50.472,1.832,92873.613,0,0.000,0,95,48,0
12,30979072254.660,30979072431.298,30979079448.666,7015.091,7194.006,178.915,176.638,2.277,92805.994,0,0.000,0,95,48,0
