# probe kind=primes M=48 K=145 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,34730073723.665,34730073781.262,34730129865.940,56082.980,56142.275,59.295,57.597,1.698,43857.725,0,0.000,0,145,48,0
1,34730173723.665,34730173769.918,34730230155.165,56383.714,56431.500,47.786,46.253,1.533,43568.500,0,0.000,0,145,48,0
2,34730273723.665,34730273773.379,34730328698.402,54923.720,54974.737,51.017,49.714,1.303,45025.263,0,0.000,0,145,48,0
3,34730373723.665,34730373778.911,34730442088.653,68307.857,68364.988,57.131,55.246,1.885,31635.012,0,0.000,0,145,48,0
4,34730473723.665,34730473770.727,34730534622.017,60848.864,60898.352,49.488,47.062,2.426,39101.648,0,0.000,0,145,48,0
5,34730573723.665,34730573782.521,34730632042.842,58258.061,58319.177,61.116,58.856,2.260,41680.823,0,0.000,0,145,48,0
6,34730673723.665,34730673774.981,34730729152.977,55376.091,55429.312,53.221,51.316,1.905,44570.688,0,0.000,0,145,48,0
7,34730773723.665,34730773764.148,34730829179.202,55413.651,55455.537,41.886,40.483,1.403,44544.463,0,0.000,0,145,48,0
8,34730873723.665,34730873768.900,34730933944.511,60174.238,60220.846,46.608,45.235,1.373,39779.154,0,0.000,0,145,48,0
9,34730973723.665,34730973776.973,34731029540.297,55761.806,55816.632,54.826,53.308,1.518,44183.368,0,0.000,0,145,48,0
10,34731073723.665,34731073772.365,34731129074.804,55300.568,55351.139,50.571,48.700,1.871,44648.861,0,0.000,0,145,48,0
11,34731173723.665,34731173776.907,34731229281.024,55502.330,55557.359,55.029,53.242,1.787,44442.641,0,0.000,0,145,48,0
12,34731273723.665,34731273771.461,34731329491.399,55718.634,55767.734,49.100,47.796,1.304,44232.266,0,0.000,0,145,48,0
13,34731373723.665,34731373773.983,34731428816.864,55042.320,55093.199,50.879,50.318,0.561,44906.801,0,0.000,0,145,48,0
14,34731473723.665,34731473766.844,34731528776.534,55007.873,55052.869,44.996,43.179,1.817,44947.131,0,0.000,0,145,48,0
15,34731573723.665,34731573768.523,34731629950.202,56179.711,56226.537,46.826,44.858,1.968,43773.463,0,0.000,0,145,48,0
