# probe kind=primes M=48 K=12 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,37491777069.598,37491777106.865,37491782964.826,5856.509,5895.228,38.719,37.267,1.452,4104.772,0,0.000,0,12,48,0
1,37491787069.598,37491787188.466,37491797938.681,7665.142,10869.083,3203.941,118.868,3085.073,-869.083,1,869.083,1,12,48,1
2,37491807069.598,37491807118.959,37491812966.404,5845.747,5896.806,51.059,49.361,1.698,4103.194,0,0.000,0,12,48,0
3,37491817069.598,37491817093.023,37491822223.644,5130.047,5154.046,23.999,23.425,0.574,4845.954,0,0.000,0,12,48,0
4,37491827069.598,37491827091.015,37491832274.159,5182.451,5204.561,22.110,21.417,0.693,4795.439,0,0.000,0,12,48,0
5,37491837069.598,37491837090.433,37491842205.197,5114.039,5135.599,21.560,20.835,0.725,4864.401,0,0.000,0,12,48,0
6,37491847069.598,37491847101.497,37491852262.886,5159.688,5193.288,33.600,31.899,1.701,4806.712,0,0.000,0,12,48,0
7,37491857069.598,37491857094.963,37491862370.082,5273.633,5300.484,26.851,25.365,1.486,4699.516,0,0.000,0,12,48,0
8,37491867069.598,37491867100.754,37491877711.713,7516.880,10642.115,3125.235,31.156,3094.079,-642.115,1,642.115,1,12,48,1
9,37491887069.598,37491887103.579,37491892499.287,5394.084,5429.689,35.605,33.981,1.624,4570.311,0,0.000,0,12,48,0
10,37491897069.598,37491897100.564,37491909411.385,7985.071,12341.787,4356.716,30.966,4325.750,-2341.787,1,2341.787,1,12,48,1
11,37491917069.598,37491917104.540,37491927453.547,7255.118,10383.949,3128.831,34.942,3093.889,-383.949,1,383.949,1,12,48,1
12,37491937069.598,37491937105.593,37491948615.468,8419.722,11545.870,3126.148,35.995,3090.153,-1545.870,1,1545.870,1,12,48,1
13,37491957069.598,37491957104.275,37491962284.335,5177.923,5214.737,36.814,34.677,2.137,4785.263,0,0.000,0,12,48,0
14,37491967069.598,37491967100.772,37491972126.029,5024.106,5056.431,32.325,31.174,1.151,4943.569,0,0.000,0,12,48,0
15,37491977069.598,37491977095.662,37491982414.137,5317.471,5344.539,27.068,26.064,1.004,4655.461,0,0.000,0,12,48,0
16,37491987069.598,37491987092.328,37491992396.349,5302.557,5326.751,24.194,22.730,1.464,4673.249,0,0.000,0,12,48,0
17,37491997069.598,37491997163.332,37492007107.755,6303.071,10038.157,3735.086,93.734,3641.352,-38.157,1,38.157,1,12,48,1
18,37492017069.598,37492017106.963,37492022183.084,5060.147,5113.486,53.339,37.365,15.974,4886.514,0,0.000,0,12,48,0
19,37492027069.598,37492027093.905,37492032398.247,5303.199,5328.649,25.450,24.307,1.143,4671.351,0,0.000,0,12,48,0
20,37492037069.598,37492037089.932,37492042480.892,5389.971,5411.294,21.323,20.334,0.989,4588.706,0,0.000,0,12,48,0
21,37492047069.598,37492047281.305,37492052370.273,5087.632,5300.675,213.043,211.707,1.336,4699.325,0,0.000,0,12,48,0
22,37492057069.598,37492057242.506,37492062412.101,5168.612,5342.503,173.891,172.908,0.983,4657.497,0,0.000,0,12,48,0
23,37492067069.598,37492067270.577,37492072591.275,5319.589,5521.677,202.088,200.979,1.109,4478.323,0,0.000,0,12,48,0
24,37492077069.598,37492077230.227,37492082626.653,5395.457,5557.055,161.598,160.629,0.969,4442.945,0,0.000,0,12,48,0
25,37492087069.598,37492087090.581,37492092203.917,5112.675,5134.319,21.644,20.983,0.661,4865.681,0,0.000,0,12,48,0
26,37492097069.598,37492097329.846,37492102864.874,5533.813,5795.276,261.463,260.248,1.215,4204.724,0,0.000,0,12,48,0
27,37492107069.598,37492107479.154,37492117286.096,5798.725,10216.498,4417.773,409.556,4008.217,-216.498,1,216.498,1,12,48,1
28,37492127069.598,37492127089.775,37492132267.418,5176.663,5197.820,21.157,20.177,0.980,4802.180,0,0.000,0,12,48,0
29,37492137069.598,37492137088.272,37492142245.397,5156.388,5175.799,19.411,18.674,0.737,4824.201,0,0.000,0,12,48,0
30,37492147069.598,37492147280.219,37492152513.587,5231.788,5443.989,212.201,210.621,1.580,4556.011,0,0.000,0,12,48,0
31,37492157069.598,37492157391.635,37492162930.322,5537.469,5860.724,323.255,322.037,1.218,4139.276,0,0.000,0,12,48,0
32,37492167069.598,37492167276.109,37492172655.729,5377.461,5586.131,208.670,206.511,2.159,4413.869,0,0.000,0,12,48,0
33,37492177069.598,37492177104.964,37492187581.837,7385.840,10512.239,3126.399,35.366,3091.033,-512.239,1,512.239,1,12,48,1
34,37492197069.598,37492197102.252,37492202436.106,5332.480,5366.508,34.028,32.654,1.374,4633.492,0,0.000,0,12,48,0
35,37492207069.598,37492207091.488,37492212068.882,4976.415,4999.284,22.869,21.890,0.979,5000.716,0,0.000,0,12,48,0
36,37492217069.598,37492217093.233,37492222569.796,5475.627,5500.198,24.571,23.635,0.936,4499.802,0,0.000,0,12,48,0
37,37492227069.598,37492227290.477,37492232539.340,5246.452,5469.742,223.290,220.879,2.411,4530.258,0,0.000,0,12,48,0
38,37492237069.598,37492237093.912,37492243026.013,5931.058,5956.415,25.357,24.314,1.043,4043.585,0,0.000,0,12,48,0
39,37492247069.598,37492247096.194,37492257967.837,7782.793,10898.239,3115.446,26.596,3088.850,-898.239,1,898.239,1,12,48,1
40,37492267069.598,37492267094.779,37492272271.784,5175.938,5202.186,26.248,25.181,1.067,4797.814,0,0.000,0,12,48,0
41,37492277069.598,37492277107.800,37492282432.267,5322.769,5362.669,39.900,38.202,1.698,4637.331,0,0.000,0,12,48,0
42,37492287069.598,37492287091.998,37492292404.469,5311.714,5334.871,23.157,22.400,0.757,4665.129,0,0.000,0,12,48,0
43,37492297069.598,37492297094.158,37492302297.014,5201.958,5227.416,25.458,24.560,0.898,4772.584,0,0.000,0,12,48,0
44,37492307069.598,37492307092.356,37492312383.816,5290.778,5314.218,23.440,22.758,0.682,4685.782,0,0.000,0,12,48,0
45,37492317069.598,37492317334.559,37492322670.496,5334.144,5600.898,266.754,264.961,1.793,4399.102,0,0.000,0,12,48,0
46,37492327069.598,37492327285.175,37492332514.624,5227.346,5445.026,217.680,215.577,2.103,4554.974,0,0.000,0,12,48,0
47,37492337069.598,37492337407.525,37492347279.969,5719.120,10210.371,4491.251,337.927,4153.324,-210.371,1,210.371,1,12,48,1
48,37492357069.598,37492357087.482,37492362151.090,5062.686,5081.492,18.806,17.884,0.922,4918.508,0,0.000,0,12,48,0
49,37492367069.598,37492367091.357,37492372266.107,5173.706,5196.509,22.803,21.759,1.044,4803.491,0,0.000,0,12,48,0
50,37492377069.598,37492377111.847,37492382872.995,5758.388,5803.397,45.009,42.249,2.760,4196.603,0,0.000,0,12,48,0
51,37492387069.598,37492387110.197,37492397478.428,7332.628,10408.830,3076.202,40.599,3035.603,-408.830,1,408.830,1,12,48,1
52,37492407069.598,37492407104.174,37492412235.768,5130.250,5166.170,35.920,34.576,1.344,4833.830,0,0.000,0,12,48,0
