# probe kind=ptrchase M=48 K=104 buf_kb=131072 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,19421182509.556,19421182688.219,19421190269.528,7578.729,7759.972,181.243,178.663,2.580,92240.028,0,0.000,0,104,48,0
1,19421282509.556,19421282679.023,19421290264.540,7583.288,7754.984,171.696,169.467,2.229,92245.016,0,0.000,0,104,48,0
2,19421382509.556,19421382729.439,19421390279.504,7547.586,7769.948,222.362,219.883,2.479,92230.052,0,0.000,0,104,48,0
3,19421482509.556,19421482683.901,19421490281.514,7594.820,7771.958,177.138,174.345,2.793,92228.042,0,0.000,0,104,48,0
4,19421582509.556,19421582678.652,19421590271.342,7590.057,7761.786,171.729,169.096,2.633,92238.214,0,0.000,0,104,48,0
5,19421682509.556,19421682679.082,19421690252.382,7571.329,7742.826,171.497,169.526,1.971,92257.174,0,0.000,0,104,48,0
6,19421782509.556,19421782684.090,19421790288.708,7601.871,7779.152,177.281,174.534,2.747,92220.848,0,0.000,0,104,48,0
7,19421882509.556,19421882684.381,19421890249.021,7562.160,7739.465,177.305,174.825,2.480,92260.535,0,0.000,0,104,48,0
8,19421982509.556,19421982677.853,19421990252.662,7572.487,7743.106,170.619,168.297,2.322,92256.894,0,0.000,0,104,48,0
9,19422082509.556,19422082690.460,19422090298.517,7605.588,7788.961,183.373,180.904,2.469,92211.039,0,0.000,0,104,48,0
10,19422182509.556,19422182694.228,19422190279.415,7582.384,7769.859,187.475,184.672,2.803,92230.141,0,0.000,0,104,48,0
11,19422282509.556,19422282677.398,19422290314.900,7634.974,7805.344,170.370,167.842,2.528,92194.656,0,0.000,0,104,48,0
12,19422382509.556,19422382678.788,19422390360.714,7679.243,7851.158,171.915,169.232,2.683,92148.842,0,0.000,0,104,48,0
13,19422482509.556,19422482679.107,19422490263.098,7581.583,7753.542,171.959,169.551,2.408,92246.458,0,0.000,0,104,48,0
14,19422582509.556,19422582674.475,19422590245.700,7568.669,7736.144,167.475,164.919,2.556,92263.856,0,0.000,0,104,48,0
15,19422682509.556,19422682770.862,19422690387.791,7614.332,7878.235,263.903,261.306,2.597,92121.765,0,0.000,0,104,48,0
16,19422782509.556,19422782679.568,19422790269.833,7587.728,7760.277,172.549,170.012,2.537,92239.723,0,0.000,0,104,48,0
17,19422882509.556,19422882682.197,19422890246.809,7562.329,7737.253,174.924,172.641,2.283,92262.747,0,0.000,0,104,48,0
18,19422982509.556,19422982753.952,19422990307.432,7551.317,7797.876,246.559,244.396,2.163,92202.124,0,0.000,0,104,48,0
19,19423082509.556,19423082725.467,19423090277.665,7549.842,7768.109,218.267,215.911,2.356,92231.891,0,0.000,0,104,48,0
20,19423182509.556,19423182680.980,19423190271.529,7588.032,7761.973,173.941,171.424,2.517,92238.027,0,0.000,0,104,48,0
21,19423282509.556,19423282713.823,19423290382.120,7665.647,7872.564,206.917,204.267,2.650,92127.436,0,0.000,0,104,48,0
22,19423382509.556,19423382782.933,19423390372.992,7587.885,7863.436,275.551,273.377,2.174,92136.564,0,0.000,0,104,48,0
23,19423482509.556,19423482726.432,19423490337.388,7608.435,7827.832,219.397,216.876,2.521,92172.168,0,0.000,0,104,48,0
24,19423582509.556,19423582681.921,19423590329.490,7644.801,7819.934,175.133,172.365,2.768,92180.066,0,0.000,0,104,48,0
25,19423682509.556,19423682689.501,19423690286.132,7594.108,7776.576,182.468,179.945,2.523,92223.424,0,0.000,0,104,48,0
26,19423782509.556,19423782675.103,19423790266.304,7588.769,7756.748,167.979,165.547,2.432,92243.252,0,0.000,0,104,48,0
27,19423882509.556,19423882679.864,19423890375.212,7692.873,7865.656,172.783,170.308,2.475,92134.344,0,0.000,0,104,48,0
28,19423982509.556,19423982684.407,19423990312.254,7624.994,7802.698,177.704,174.851,2.853,92197.302,0,0.000,0,104,48,0
29,19424082509.556,19424082685.115,19424090341.218,7653.636,7831.662,178.026,175.559,2.467,92168.338,0,0.000,0,104,48,0
30,19424182509.556,19424182686.287,19424190305.640,7616.781,7796.084,179.303,176.731,2.572,92203.916,0,0.000,0,104,48,0
31,19424282509.556,19424282682.355,19424290333.350,7648.523,7823.794,175.271,172.799,2.472,92176.206,0,0.000,0,104,48,0
32,19424382509.556,19424382709.983,19424390333.746,7621.023,7824.190,203.167,200.427,2.740,92175.810,0,0.000,0,104,48,0
33,19424482509.556,19424482675.263,19424490265.651,7587.989,7756.095,168.106,165.707,2.399,92243.905,0,0.000,0,104,48,0
34,19424582509.556,19424582749.658,19424590368.787,7616.557,7859.231,242.674,240.102,2.572,92140.769,0,0.000,0,104,48,0
35,19424682509.556,19424682678.333,19424690266.963,7586.162,7757.407,171.245,168.777,2.468,92242.593,0,0.000,0,104,48,0
36,19424782509.556,19424782719.328,19424790308.614,7586.992,7799.058,212.066,209.772,2.294,92200.942,0,0.000,0,104,48,0
37,19424882509.556,19424882672.351,19424890298.355,7623.739,7788.799,165.060,162.795,2.265,92211.201,0,0.000,0,104,48,0
38,19424982509.556,19424982725.070,19424990340.617,7612.939,7831.061,218.122,215.514,2.608,92168.939,0,0.000,0,104,48,0
39,19425082509.556,19425082700.353,19425090265.492,7562.588,7755.936,193.348,190.797,2.551,92244.064,0,0.000,0,104,48,0
40,19425182509.556,19425182762.176,19425190320.049,7555.381,7810.493,255.112,252.620,2.492,92189.507,0,0.000,0,104,48,0
41,19425282509.556,19425282726.339,19425290324.917,7596.089,7815.361,219.272,216.783,2.489,92184.639,0,0.000,0,104,48,0
42,19425382509.556,19425382678.958,19425390329.908,7647.775,7820.352,172.577,169.402,3.175,92179.648,0,0.000,0,104,48,0
43,19425482509.556,19425482682.180,19425490371.372,7686.555,7861.816,175.261,172.624,2.637,92138.184,0,0.000,0,104,48,0
44,19425582509.556,19425582682.903,19425590275.385,7589.983,7765.829,175.846,173.347,2.499,92234.171,0,0.000,0,104,48,0
45,19425682509.556,19425682673.890,19425690253.807,7577.318,7744.251,166.933,164.334,2.599,92255.749,0,0.000,0,104,48,0
46,19425782509.556,19425782687.144,19425790272.471,7582.987,7762.915,179.928,177.588,2.340,92237.085,0,0.000,0,104,48,0
47,19425882509.556,19425882678.975,19425890229.405,7548.022,7719.849,171.827,169.419,2.408,92280.151,0,0.000,0,104,48,0
48,19425982509.556,19425982678.216,19425990270.317,7589.641,7760.761,171.120,168.660,2.460,92239.239,0,0.000,0,104,48,0
49,19426082509.556,19426082694.431,19426090276.575,7579.918,7767.019,187.101,184.875,2.226,92232.981,0,0.000,0,104,48,0
50,19426182509.556,19426182675.236,19426190261.336,7583.944,7751.780,167.836,165.680,2.156,92248.220,0,0.000,0,104,48,0
51,19426282509.556,19426282731.823,19426290320.968,7586.717,7811.412,224.695,222.267,2.428,92188.588,0,0.000,0,104,48,0
52,19426382509.556,19426382726.451,19426390346.610,7617.663,7837.054,219.391,216.895,2.496,92162.946,0,0.000,0,104,48,0
53,19426482509.556,19426482739.197,19426490342.665,7601.071,7833.109,232.038,229.641,2.397,92166.891,0,0.000,0,104,48,0
54,19426582509.556,19426582689.098,19426590237.211,7545.599,7727.655,182.056,179.542,2.514,92272.345,0,0.000,0,104,48,0
55,19426682509.556,19426682696.941,19426690285.363,7586.178,7775.807,189.629,187.385,2.244,92224.193,0,0.000,0,104,48,0
56,19426782509.556,19426782685.534,19426790271.990,7583.855,7762.434,178.579,175.978,2.601,92237.566,0,0.000,0,104,48,0
57,19426882509.556,19426882708.276,19426890334.600,7623.740,7825.044,201.304,198.720,2.584,92174.956,0,0.000,0,104,48,0
58,19426982509.556,19426982680.506,19426990294.161,7611.265,7784.605,173.340,170.950,2.390,92215.395,0,0.000,0,104,48,0
59,19427082509.556,19427082684.481,19427090296.459,7609.162,7786.903,177.741,174.925,2.816,92213.097,0,0.000,0,104,48,0
60,19427182509.556,19427182685.867,19427190307.097,7618.763,7797.541,178.778,176.311,2.467,92202.459,0,0.000,0,104,48,0
61,19427282509.556,19427282721.617,19427290366.072,7641.547,7856.516,214.969,212.061,2.908,92143.484,0,0.000,0,104,48,0
62,19427382509.556,19427382694.043,19427390340.695,7643.797,7831.139,187.342,184.487,2.855,92168.861,0,0.000,0,104,48,0
63,19427482509.556,19427482683.232,19427490287.480,7601.493,7777.924,176.431,173.676,2.755,92222.076,0,0.000,0,104,48,0
64,19427582509.556,19427582674.981,19427590271.938,7594.592,7762.382,167.790,165.425,2.365,92237.618,0,0.000,0,104,48,0
65,19427682509.556,19427682739.366,19427690374.554,7632.351,7864.998,232.647,229.810,2.837,92135.002,0,0.000,0,104,48,0
66,19427782509.556,19427782691.706,19427790310.989,7616.702,7801.433,184.731,182.150,2.581,92198.567,0,0.000,0,104,48,0
67,19427882509.556,19427882725.280,19427890295.600,7567.736,7786.044,218.308,215.724,2.584,92213.956,0,0.000,0,104,48,0
68,19427982509.556,19427982715.594,19427990317.701,7599.815,7808.145,208.330,206.038,2.292,92191.855,0,0.000,0,104,48,0
69,19428082509.556,19428082675.281,19428090232.478,7555.035,7722.922,167.887,165.725,2.162,92277.078,0,0.000,0,104,48,0
70,19428182509.556,19428182687.503,19428190290.075,7600.056,7780.519,180.463,177.947,2.516,92219.481,0,0.000,0,104,48,0
71,19428282509.556,19428282682.202,19428290286.297,7602.000,7776.741,174.741,172.646,2.095,92223.259,0,0.000,0,104,48,0
72,19428382509.556,19428382558.953,19428390179.939,7618.436,7670.383,51.947,49.397,2.550,92329.617,0,0.000,0,104,48,0
73,19428482509.556,19428482545.350,19428490113.267,7565.542,7603.711,38.169,35.794,2.375,92396.289,0,0.000,0,104,48,0
74,19428582509.556,19428582681.329,19428590270.012,7586.367,7760.456,174.089,171.773,2.316,92239.544,0,0.000,0,104,48,0
75,19428682509.556,19428682693.366,19428690247.232,7551.325,7737.676,186.351,183.810,2.541,92262.324,0,0.000,0,104,48,0
76,19428782509.556,19428782674.267,19428790217.681,7541.050,7708.125,167.075,164.711,2.364,92291.875,0,0.000,0,104,48,0
77,19428882509.556,19428882697.812,19428890308.191,7607.662,7798.635,190.973,188.256,2.717,92201.365,0,0.000,0,104,48,0
78,19428982509.556,19428982731.104,19428990311.856,7578.349,7802.300,223.951,221.548,2.403,92197.700,0,0.000,0,104,48,0
79,19429082509.556,19429082684.581,19429090271.659,7584.505,7762.103,177.598,175.025,2.573,92237.897,0,0.000,0,104,48,0
80,19429182509.556,19429182674.108,19429190250.227,7573.657,7740.671,167.014,164.552,2.462,92259.329,0,0.000,0,104,48,0
81,19429282509.556,19429282678.610,19429290279.726,7598.868,7770.170,171.302,169.054,2.248,92229.830,0,0.000,0,104,48,0
82,19429382509.556,19429382734.470,19429390344.213,7606.824,7834.657,227.833,224.914,2.919,92165.343,0,0.000,0,104,48,0
83,19429482509.556,19429482675.042,19429490274.791,7597.184,7765.235,168.051,165.486,2.565,92234.765,0,0.000,0,104,48,0
84,19429582509.556,19429582677.082,19429590298.775,7619.143,7789.219,170.076,167.526,2.550,92210.781,0,0.000,0,104,48,0
85,19429682509.556,19429682752.093,19429690368.826,7614.216,7859.270,245.054,242.537,2.517,92140.730,0,0.000,0,104,48,0
86,19429782509.556,19429782683.218,19429790305.174,7619.425,7795.618,176.193,173.662,2.531,92204.382,0,0.000,0,104,48,0
87,19429882509.556,19429882674.483,19429890276.421,7599.377,7766.865,167.488,164.927,2.561,92233.135,0,0.000,0,104,48,0
88,19429982509.556,19429982561.201,19429990154.905,7590.952,7645.349,54.397,51.645,2.752,92354.651,0,0.000,0,104,48,0
89,19430082509.556,19430082680.468,19430090283.818,7600.626,7774.262,173.636,170.912,2.724,92225.738,0,0.000,0,104,48,0
90,19430182509.556,19430182701.092,19430190282.746,7579.098,7773.190,194.092,191.536,2.556,92226.810,0,0.000,0,104,48,0
91,19430282509.556,19430282718.784,19430290386.531,7664.960,7876.975,212.015,209.228,2.787,92123.025,0,0.000,0,104,48,0
92,19430382509.556,19430382679.797,19430390362.416,7680.072,7852.860,172.788,170.241,2.547,92147.140,0,0.000,0,104,48,0
