# probe kind=ptrchase M=48 K=73 buf_kb=131072 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,30370558017.301,30370558047.725,30370563071.850,5022.621,5054.549,31.928,30.424,1.504,4945.451,0,0.000,0,73,48,0
1,30370568017.301,30370568036.968,30370573026.036,4988.281,5008.735,20.454,19.667,0.787,4991.265,0,0.000,0,73,48,0
2,30370578017.301,30370578043.789,30370583060.470,5015.895,5043.169,27.274,26.488,0.786,4956.831,0,0.000,0,73,48,0
3,30370588017.301,30370588039.398,30370593031.484,4991.307,5014.183,22.876,22.097,0.779,4985.817,0,0.000,0,73,48,0
4,30370598017.301,30370598040.594,30370603013.032,4971.593,4995.731,24.138,23.293,0.845,5004.269,0,0.000,0,73,48,0
5,30370608017.301,30370608047.622,30370613105.151,5056.744,5087.850,31.106,30.321,0.785,4912.150,0,0.000,0,73,48,0
6,30370618017.301,30370618043.708,30370623067.905,5023.478,5050.604,27.126,26.407,0.719,4949.396,0,0.000,0,73,48,0
7,30370628017.301,30370628038.533,30370633027.336,4988.180,5010.035,21.855,21.232,0.623,4989.965,0,0.000,0,73,48,0
8,30370638017.301,30370638042.807,30370643040.436,4996.964,5023.135,26.171,25.506,0.665,4976.865,0,0.000,0,73,48,0
9,30370648017.301,30370648049.355,30370653046.147,4996.063,5028.846,32.783,32.054,0.729,4971.154,0,0.000,0,73,48,0
10,30370658017.301,30370658046.214,30370663063.578,5016.500,5046.277,29.777,28.913,0.864,4953.723,0,0.000,0,73,48,0
11,30370668017.301,30370668042.476,30370673041.620,4998.376,5024.319,25.943,25.175,0.768,4975.681,0,0.000,0,73,48,0
12,30370678017.301,30370678043.861,30370683055.589,5010.888,5038.288,27.400,26.560,0.840,4961.712,0,0.000,0,73,48,0
13,30370688017.301,30370688037.454,30370693029.822,4991.707,5012.521,20.814,20.153,0.661,4987.479,0,0.000,0,73,48,0
14,30370698017.301,30370698037.178,30370703082.999,5044.643,5065.698,21.055,19.877,1.178,4934.302,0,0.000,0,73,48,0
15,30370708017.301,30370708038.906,30370713071.655,5031.871,5054.354,22.483,21.605,0.878,4945.646,0,0.000,0,73,48,0
16,30370718017.301,30370718043.794,30370723057.827,5013.059,5040.526,27.467,26.493,0.974,4959.474,0,0.000,0,73,48,0
17,30370728017.301,30370728045.899,30370733069.255,5022.431,5051.954,29.523,28.598,0.925,4948.046,0,0.000,0,73,48,0
18,30370738017.301,30370738044.260,30370743070.598,5025.298,5053.297,27.999,26.959,1.040,4946.703,0,0.000,0,73,48,0
19,30370748017.301,30370748037.295,30370753056.357,5018.202,5039.056,20.854,19.994,0.860,4960.944,0,0.000,0,73,48,0
20,30370758017.301,30370758036.415,30370763063.426,5026.160,5046.125,19.965,19.114,0.851,4953.875,0,0.000,0,73,48,0
21,30370768017.301,30370768044.859,30370773120.403,5074.802,5103.102,28.300,27.558,0.742,4896.898,0,0.000,0,73,48,0
22,30370778017.301,30370778047.583,30370783079.649,5031.263,5062.348,31.085,30.282,0.803,4937.652,0,0.000,0,73,48,0
23,30370788017.301,30370788039.301,30370793043.289,5003.251,5025.988,22.737,22.000,0.737,4974.012,0,0.000,0,73,48,0
24,30370798017.301,30370798039.566,30370803085.770,5045.279,5068.469,23.190,22.265,0.925,4931.531,0,0.000,0,73,48,0
25,30370808017.301,30370808042.610,30370813074.080,5030.637,5056.779,26.142,25.309,0.833,4943.221,0,0.000,0,73,48,0
26,30370818017.301,30370818044.819,30370823078.545,5032.964,5061.244,28.280,27.518,0.762,4938.756,0,0.000,0,73,48,0
27,30370828017.301,30370828039.359,30370833039.863,4999.784,5022.562,22.778,22.058,0.720,4977.438,0,0.000,0,73,48,0
28,30370838017.301,30370838053.736,30370843038.464,4983.829,5021.163,37.334,36.435,0.899,4978.837,0,0.000,0,73,48,0
29,30370848017.301,30370848035.413,30370853034.295,4998.107,5016.994,18.887,18.112,0.775,4983.006,0,0.000,0,73,48,0
30,30370858017.301,30370858036.182,30370863045.556,5008.549,5028.255,19.706,18.881,0.825,4971.745,0,0.000,0,73,48,0
31,30370868017.301,30370868045.766,30370873084.230,5037.604,5066.929,29.325,28.465,0.860,4933.071,0,0.000,0,73,48,0
32,30370878017.301,30370878044.236,30370883031.538,4986.592,5014.237,27.645,26.935,0.710,4985.763,0,0.000,0,73,48,0
33,30370888017.301,30370888042.663,30370893047.901,5004.502,5030.600,26.098,25.362,0.736,4969.400,0,0.000,0,73,48,0
34,30370898017.301,30370898048.890,30370903038.497,4988.962,5021.196,32.234,31.589,0.645,4978.804,0,0.000,0,73,48,0
35,30370908017.301,30370908037.233,30370913024.351,4986.428,5007.050,20.622,19.932,0.690,4992.950,0,0.000,0,73,48,0
36,30370918017.301,30370918043.088,30370923033.389,4989.490,5016.088,26.598,25.787,0.811,4983.912,0,0.000,0,73,48,0
37,30370928017.301,30370928037.533,30370933038.620,5000.284,5021.319,21.035,20.232,0.803,4978.681,0,0.000,0,73,48,0
38,30370938017.301,30370938047.122,30370943047.434,4999.474,5030.133,30.659,29.821,0.838,4969.867,0,0.000,0,73,48,0
39,30370948017.301,30370948039.675,30370953024.492,4984.162,5007.191,23.029,22.374,0.655,4992.809,0,0.000,0,73,48,0
40,30370958017.301,30370958037.649,30370963031.878,4993.575,5014.577,21.002,20.348,0.654,4985.423,0,0.000,0,73,48,0
41,30370968017.301,30370968047.057,30370973086.169,5038.243,5068.868,30.625,29.756,0.869,4931.132,0,0.000,0,73,48,0
42,30370978017.301,30370978042.949,30370983065.111,5021.105,5047.810,26.705,25.648,1.057,4952.190,0,0.000,0,73,48,0
43,30370988017.301,30370988038.218,30370993042.290,5003.183,5024.989,21.806,20.917,0.889,4975.011,0,0.000,0,73,48,0
44,30370998017.301,30370998042.300,30371003045.366,5002.165,5028.065,25.900,24.999,0.901,4971.935,0,0.000,0,73,48,0
45,30371008017.301,30371008038.272,30371013063.244,5024.134,5045.943,21.809,20.971,0.838,4954.057,0,0.000,0,73,48,0
46,30371018017.301,30371018036.944,30371023049.660,5012.028,5032.359,20.331,19.643,0.688,4967.641,0,0.000,0,73,48,0
47,30371028017.301,30371028037.351,30371033079.974,5041.859,5062.673,20.814,20.050,0.764,4937.327,0,0.000,0,73,48,0
48,30371038017.301,30371038044.386,30371043181.350,5136.048,5164.049,28.001,27.085,0.916,4835.951,0,0.000,0,73,48,0
49,30371048017.301,30371048041.083,30371053066.194,5024.320,5048.893,24.573,23.782,0.791,4951.107,0,0.000,0,73,48,0
50,30371058017.301,30371058043.423,30371063039.092,4994.930,5021.791,26.861,26.122,0.739,4978.209,0,0.000,0,73,48,0
51,30371068017.301,30371068043.967,30371073052.765,5008.136,5035.464,27.328,26.666,0.662,4964.536,0,0.000,0,73,48,0
52,30371078017.301,30371078041.311,30371083054.018,5011.898,5036.717,24.819,24.010,0.809,4963.283,0,0.000,0,73,48,0
53,30371088017.301,30371088036.556,30371093055.434,5018.150,5038.133,19.983,19.255,0.728,4961.867,0,0.000,0,73,48,0
54,30371098017.301,30371098036.555,30371103064.271,5026.962,5046.970,20.008,19.254,0.754,4953.030,0,0.000,0,73,48,0
55,30371108017.301,30371108038.086,30371113064.424,5025.383,5047.123,21.740,20.785,0.955,4952.877,0,0.000,0,73,48,0
56,30371118017.301,30371118037.018,30371123085.913,5048.081,5068.612,20.531,19.717,0.814,4931.388,0,0.000,0,73,48,0
57,30371128017.301,30371128037.935,30371133101.710,5062.946,5084.409,21.463,20.634,0.829,4915.591,0,0.000,0,73,48,0
58,30371138017.301,30371138036.558,30371143097.741,5060.293,5080.440,20.147,19.257,0.890,4919.560,0,0.000,0,73,48,0
59,30371148017.301,30371148045.119,30371153134.087,5088.261,5116.786,28.525,27.818,0.707,4883.214,0,0.000,0,73,48,0
60,30371158017.301,30371158043.543,30371163074.031,5029.788,5056.730,26.942,26.242,0.700,4943.270,0,0.000,0,73,48,0
61,30371168017.301,30371168045.428,30371173062.476,5016.250,5045.175,28.925,28.127,0.798,4954.825,0,0.000,0,73,48,0
62,30371178017.301,30371178042.605,30371183065.286,5021.689,5047.985,26.296,25.304,0.992,4952.015,0,0.000,0,73,48,0
63,30371188017.301,30371188044.283,30371193061.456,5016.346,5044.155,27.809,26.982,0.827,4955.845,0,0.000,0,73,48,0
64,30371198017.301,30371198036.902,30371203047.202,5009.429,5029.901,20.472,19.601,0.871,4970.099,0,0.000,0,73,48,0
65,30371208017.301,30371208039.169,30371213039.164,4999.078,5021.863,22.785,21.868,0.917,4978.137,0,0.000,0,73,48,0
66,30371218017.301,30371218038.955,30371223048.135,5008.408,5030.834,22.426,21.654,0.772,4969.166,0,0.000,0,73,48,0
67,30371228017.301,30371228042.611,30371233072.430,5028.899,5055.129,26.230,25.310,0.920,4944.871,0,0.000,0,73,48,0
68,30371238017.301,30371238036.544,30371243049.113,5011.633,5031.812,20.179,19.243,0.936,4968.188,0,0.000,0,73,48,0
69,30371248017.301,30371248044.366,30371253078.169,5033.117,5060.868,27.751,27.065,0.686,4939.132,0,0.000,0,73,48,0
70,30371258017.301,30371258037.459,30371263091.494,5053.245,5074.193,20.948,20.158,0.790,4925.807,0,0.000,0,73,48,0
71,30371268017.301,30371268042.669,30371273081.221,5037.739,5063.920,26.181,25.368,0.813,4936.080,0,0.000,0,73,48,0
72,30371278017.301,30371278046.144,30371283079.988,5032.631,5062.687,30.056,28.843,1.213,4937.313,0,0.000,0,73,48,0
73,30371288017.301,30371288041.613,30371293070.828,5028.436,5053.527,25.091,24.312,0.779,4946.473,0,0.000,0,73,48,0
