# probe kind=matmul M=48 K=57 buf_kb=0 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,51134405319.894,51134405339.500,51134410918.567,5578.075,5598.673,20.598,19.606,0.992,4401.327,0,0.000,0,57,48,0
1,51134415319.894,51134415337.347,51134421226.285,5888.283,5906.391,18.108,17.453,0.655,4093.609,0,0.000,0,57,48,0
2,51134425319.894,51134425340.293,51134431122.379,5781.454,5802.485,21.031,20.399,0.632,4197.515,0,0.000,0,57,48,0
3,51134435319.894,51134435338.202,51134440991.097,5651.882,5671.203,19.321,18.308,1.013,4328.797,0,0.000,0,57,48,0
4,51134445319.894,51134445340.387,51134451120.808,5779.508,5800.914,21.406,20.493,0.913,4199.086,0,0.000,0,57,48,0
5,51134455319.894,51134455338.518,51134461230.325,5891.092,5910.431,19.339,18.624,0.715,4089.569,0,0.000,0,57,48,0
6,51134465319.894,51134465337.148,51134471228.947,5891.048,5909.053,18.005,17.254,0.751,4090.947,0,0.000,0,57,48,0
7,51134475319.894,51134475339.878,51134485342.410,6138.629,10022.516,3883.887,19.984,3863.903,-22.516,1,22.516,1,57,48,1
8,51134495319.894,51134495338.989,51134501074.255,5734.412,5754.361,19.949,19.095,0.854,4245.639,0,0.000,0,57,48,0
9,51134505319.894,51134505338.386,51134510557.472,5218.112,5237.578,19.466,18.492,0.974,4762.422,0,0.000,0,57,48,0
10,51134515319.894,51134515337.435,51134521312.951,5974.845,5993.057,18.212,17.541,0.671,4006.943,0,0.000,0,57,48,0
11,51134525319.894,51134525339.228,51134531045.186,5705.266,5725.292,20.026,19.334,0.692,4274.708,0,0.000,0,57,48,0
12,51134535319.894,51134535338.318,51134540926.109,5586.999,5606.215,19.216,18.424,0.792,4393.785,0,0.000,0,57,48,0
13,51134545319.894,51134545337.877,51134551032.734,5694.059,5712.840,18.781,17.983,0.798,4287.160,0,0.000,0,57,48,0
14,51134555319.894,51134555336.570,51134560556.250,5218.941,5236.356,17.415,16.676,0.739,4763.644,0,0.000,0,57,48,0
15,51134565319.894,51134565339.641,51134571060.364,5719.920,5740.470,20.550,19.747,0.803,4259.530,0,0.000,0,57,48,0
16,51134575319.894,51134575338.008,51134581057.236,5718.466,5737.342,18.876,18.114,0.762,4262.658,0,0.000,0,57,48,0
17,51134585319.894,51134585339.933,51134591288.419,5947.756,5968.525,20.769,20.039,0.730,4031.475,0,0.000,0,57,48,0
18,51134595319.894,51134595353.075,51134601056.908,5702.469,5737.014,34.545,33.181,1.364,4262.986,0,0.000,0,57,48,0
19,51134605319.894,51134605342.105,51134611024.863,5681.893,5704.969,23.076,22.211,0.865,4295.031,0,0.000,0,57,48,0
20,51134615319.894,51134615341.826,51134620569.827,5227.351,5249.933,22.582,21.932,0.650,4750.067,0,0.000,0,57,48,0
21,51134625319.894,51134625337.171,51134630612.797,5274.692,5292.903,18.211,17.277,0.934,4707.097,0,0.000,0,57,48,0
22,51134635319.894,51134635342.743,51134640948.544,5605.018,5628.650,23.632,22.849,0.783,4371.350,0,0.000,0,57,48,0
23,51134645319.894,51134645341.686,51134651178.203,5835.816,5858.309,22.493,21.792,0.701,4141.691,0,0.000,0,57,48,0
24,51134655319.894,51134655342.535,51134661157.582,5813.845,5837.688,23.843,22.641,1.202,4162.312,0,0.000,0,57,48,0
25,51134665319.894,51134665479.772,51134675341.925,6004.195,10022.031,4017.836,159.878,3857.958,-22.031,1,22.031,1,57,48,1
26,51134685319.894,51134685342.712,51134691072.318,5728.689,5752.424,23.735,22.818,0.917,4247.576,0,0.000,0,57,48,0
27,51134695319.894,51134695337.200,51134705516.201,6255.683,10196.307,3940.624,17.306,3923.318,-196.307,1,196.307,1,57,48,1
28,51134715319.894,51134715345.042,51134725492.552,6073.151,10172.658,4099.507,25.148,4074.359,-172.658,1,172.658,1,57,48,1
29,51134735319.894,51134735344.992,51134740805.282,5459.490,5485.388,25.898,25.098,0.800,4514.612,0,0.000,0,57,48,0
30,51134745319.894,51134745336.735,51134751221.435,5883.997,5901.541,17.544,16.841,0.703,4098.459,0,0.000,0,57,48,0
31,51134755319.894,51134755355.823,51134761018.030,5661.039,5698.136,37.097,35.929,1.168,4301.864,0,0.000,0,57,48,0
32,51134765319.894,51134765339.696,51134771137.420,5797.038,5817.526,20.488,19.802,0.686,4182.474,0,0.000,0,57,48,0
33,51134775319.894,51134775351.680,51134781095.249,5742.783,5775.355,32.572,31.786,0.786,4224.645,0,0.000,0,57,48,0
34,51134785319.894,51134785350.631,51134791229.861,5878.159,5909.967,31.808,30.737,1.071,4090.033,0,0.000,0,57,48,0
35,51134795319.894,51134795338.326,51134801016.434,5677.431,5696.540,19.109,18.432,0.677,4303.460,0,0.000,0,57,48,0
36,51134805319.894,51134805335.652,51134811054.727,5718.526,5734.833,16.307,15.758,0.549,4265.167,0,0.000,0,57,48,0
37,51134815319.894,51134815338.566,51134820917.926,5578.723,5598.032,19.309,18.672,0.637,4401.968,0,0.000,0,57,48,0
38,51134825319.894,51134825339.748,51134831020.698,5680.205,5700.804,20.599,19.854,0.745,4299.196,0,0.000,0,57,48,0
39,51134835319.894,51134835339.861,51134840565.467,5224.863,5245.573,20.710,19.967,0.743,4754.427,0,0.000,0,57,48,0
40,51134845319.894,51134845340.280,51134851245.731,5904.709,5925.837,21.128,20.386,0.742,4074.163,0,0.000,0,57,48,0
41,51134855319.894,51134855440.330,51134861182.907,5741.306,5863.013,121.707,120.436,1.271,4136.987,0,0.000,0,57,48,0
42,51134865319.894,51134865337.579,51134871050.381,5712.143,5730.487,18.344,17.685,0.659,4269.513,0,0.000,0,57,48,0
43,51134875319.894,51134875352.363,51134885341.498,6045.868,10021.604,3975.736,32.469,3943.267,-21.604,1,21.604,1,57,48,1
44,51134895319.894,51134895352.373,51134901323.863,5970.497,6003.969,33.472,32.479,0.993,3996.031,0,0.000,0,57,48,0
45,51134905319.894,51134905340.934,51134910918.095,5576.339,5598.201,21.862,21.040,0.822,4401.799,0,0.000,0,57,48,0
46,51134915319.894,51134915337.920,51134920907.737,5568.975,5587.843,18.868,18.026,0.842,4412.157,0,0.000,0,57,48,0
47,51134925319.894,51134925337.842,51134930564.057,5225.534,5244.163,18.629,17.948,0.681,4755.837,0,0.000,0,57,48,0
48,51134935319.894,51134935521.396,51134945352.113,5914.954,10032.219,4117.265,201.502,3915.763,-32.219,1,32.219,1,57,48,1
49,51134955319.894,51134955340.299,51134965341.799,6206.415,10021.905,3815.490,20.405,3795.085,-21.905,1,21.905,1,57,48,1
50,51134975319.894,51134975346.007,51134985574.679,6895.836,10254.785,3358.949,26.113,3332.836,-254.785,1,254.785,1,57,48,1
51,51134995319.894,51134995345.915,51135000952.235,5605.326,5632.341,27.015,26.021,0.994,4367.659,0,0.000,0,57,48,0
52,51135005319.894,51135005339.767,51135015665.078,6412.572,10345.184,3932.612,19.873,3912.739,-345.184,1,345.184,1,57,48,1
53,51135025319.894,51135025359.706,51135030855.027,5494.081,5535.133,41.052,39.812,1.240,4464.867,0,0.000,0,57,48,0
54,51135035319.894,51135035499.743,51135045376.608,6542.754,10056.714,3513.960,179.849,3334.111,-56.714,1,56.714,1,57,48,1
55,51135055319.894,51135055344.406,51135065342.983,6191.870,10023.089,3831.219,24.512,3806.707,-23.089,1,23.089,1,57,48,1
56,51135075319.894,51135075346.963,51135085348.072,6071.568,10028.178,3956.610,27.069,3929.541,-28.178,1,28.178,1,57,48,1
57,51135095319.894,51135095349.027,51135101274.626,5924.344,5954.732,30.388,29.133,1.255,4045.268,0,0.000,0,57,48,0
58,51135105319.894,51135105340.262,51135110576.777,5235.497,5256.883,21.386,20.368,1.018,4743.117,0,0.000,0,57,48,0
59,51135115319.894,51135115338.842,51135120578.698,5238.980,5258.804,19.824,18.948,0.876,4741.196,0,0.000,0,57,48,0
60,51135125319.894,51135125526.718,51135135487.039,6335.655,10167.145,3831.490,206.824,3624.666,-167.145,1,167.145,1,57,48,1
61,51135145319.894,51135145350.534,51135151098.182,5746.608,5778.288,31.680,30.640,1.040,4221.712,0,0.000,0,57,48,0
62,51135155319.894,51135155337.587,51135161191.340,5853.002,5871.446,18.444,17.693,0.751,4128.554,0,0.000,0,57,48,0
63,51135165319.894,51135165343.656,51135170578.952,5234.417,5259.058,24.641,23.762,0.879,4740.942,0,0.000,0,57,48,0
64,51135175319.894,51135175357.004,51135185341.835,6072.793,10021.941,3949.148,37.110,3912.038,-21.941,1,21.941,1,57,48,1
65,51135195319.894,51135195342.716,51135205340.910,6210.895,10021.016,3810.121,22.822,3787.299,-21.016,1,21.016,1,57,48,1
66,51135215319.894,51135215339.899,51135221106.671,5765.987,5786.777,20.790,20.005,0.785,4213.223,0,0.000,0,57,48,0
67,51135225319.894,51135225493.223,51135231265.833,5771.369,5945.939,174.570,173.329,1.241,4054.061,0,0.000,0,57,48,0
68,51135235319.894,51135235337.330,51135241034.484,5696.438,5714.590,18.152,17.436,0.716,4285.410,0,0.000,0,57,48,0
69,51135245319.894,51135245491.661,51135251214.327,5721.004,5894.433,173.429,171.767,1.662,4105.567,0,0.000,0,57,48,0
70,51135255319.894,51135255336.624,51135261070.727,5733.349,5750.833,17.484,16.730,0.754,4249.167,0,0.000,0,57,48,0
71,51135265319.894,51135265336.406,51135275493.335,6000.736,10173.441,4172.705,16.512,4156.193,-173.441,1,173.441,1,57,48,1
72,51135285319.894,51135285343.362,51135295340.840,6133.448,10020.946,3887.498,23.468,3864.030,-20.946,1,20.946,1,57,48,1
73,51135305319.894,51135305341.579,51135311102.881,5760.434,5782.987,22.553,21.685,0.868,4217.013,0,0.000,0,57,48,0
74,51135315319.894,51135315335.944,51135321118.643,5781.982,5798.749,16.767,16.050,0.717,4201.251,0,0.000,0,57,48,0
75,51135325319.894,51135325348.627,51135330582.346,5232.644,5262.452,29.808,28.733,1.075,4737.548,0,0.000,0,57,48,0
76,51135335319.894,51135335339.163,51135340555.416,5215.589,5235.522,19.933,19.269,0.664,4764.478,0,0.000,0,57,48,0
77,51135345319.894,51135345503.603,51135351136.371,5631.677,5816.477,184.800,183.709,1.091,4183.523,0,0.000,0,57,48,0
78,51135355319.894,51135355345.408,51135360613.157,5266.600,5293.263,26.663,25.514,1.149,4706.737,0,0.000,0,57,48,0
79,51135365319.894,51135365352.417,51135376108.067,7408.144,10788.173,3380.029,32.523,3347.506,-788.173,1,788.173,1,57,48,1
80,51135385319.894,51135385347.844,51135395408.060,6727.989,10088.166,3360.177,27.950,3332.227,-88.166,1,88.166,1,57,48,1
81,51135405319.894,51135405349.888,51135415505.788,6176.982,10185.894,4008.912,29.994,3978.918,-185.894,1,185.894,1,57,48,1
82,51135425319.894,51135425347.860,51135435344.221,6296.011,10024.327,3728.316,27.966,3700.350,-24.327,1,24.327,1,57,48,1
83,51135445319.894,51135445347.593,51135455343.881,6082.820,10023.987,3941.167,27.699,3913.468,-23.987,1,23.987,1,57,48,1
84,51135465319.894,51135465348.244,51135471111.004,5761.675,5791.110,29.435,28.350,1.085,4208.890,0,0.000,0,57,48,0
85,51135475319.894,51135475552.798,51135485341.745,6355.855,10021.851,3665.996,232.904,3433.092,-21.851,1,21.851,1,57,48,1
86,51135495319.894,51135495345.855,51135505341.037,6021.342,10021.143,3999.801,25.961,3973.840,-21.143,1,21.143,1,57,48,1
87,51135515319.894,51135515345.211,51135521164.322,5818.082,5844.428,26.346,25.317,1.029,4155.572,0,0.000,0,57,48,0
88,51135525319.894,51135525336.100,51135531279.502,5942.644,5959.608,16.964,16.206,0.758,4040.392,0,0.000,0,57,48,0
89,51135535319.894,51135535439.676,51135545343.902,5925.461,10024.008,4098.547,119.782,3978.765,-24.008,1,24.008,1,57,48,1
90,51135555319.894,51135555342.001,51135565350.827,6202.624,10030.933,3828.309,22.107,3806.202,-30.933,1,30.933,1,57,48,1
91,51135575319.894,51135575350.231,51135581227.841,5876.641,5907.947,31.306,30.337,0.969,4092.053,0,0.000,0,57,48,0
92,51135585319.894,51135585338.407,51135591050.565,5711.345,5730.671,19.326,18.513,0.813,4269.329,0,0.000,0,57,48,0
93,51135595319.894,51135595493.208,51135605435.757,5886.409,10115.863,4229.454,173.314,4056.140,-115.863,1,115.863,1,57,48,1
94,51135615319.894,51135615339.208,51135621092.857,5752.750,5772.963,20.213,19.314,0.899,4227.037,0,0.000,0,57,48,0
95,51135625319.894,51135625342.618,51135630959.268,5615.251,5639.374,24.123,22.724,1.399,4360.626,0,0.000,0,57,48,0
96,51135635319.894,51135635366.514,51135641194.810,5827.071,5874.916,47.845,46.620,1.225,4125.084,0,0.000,0,57,48,0
