# probe kind=matmul M=48 K=174 buf_kb=0 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,58889660930.958,58889660976.178,58889761416.673,10482.798,100485.715,90002.917,45.220,89957.697,-485.715,1,485.715,1,174,48,1
1,58889860930.958,58889860970.575,58889962360.480,11427.978,101429.522,90001.544,39.617,89961.927,-1429.522,1,1429.522,1,174,48,1
2,58890060930.958,58890060972.995,58890161508.420,10574.879,100577.462,90002.583,42.037,89960.546,-577.462,1,577.462,1,174,48,1
3,58890260930.958,58890260972.007,58890361914.359,10983.313,100983.401,90000.088,41.049,89959.039,-983.401,1,983.401,1,174,48,1
4,58890460930.958,58890460975.634,58890561717.993,10780.665,100787.035,90006.370,44.676,89961.694,-787.035,1,787.035,1,174,48,1
5,58890660930.958,58890660974.079,58890762091.118,11154.521,101160.160,90005.639,43.121,89962.518,-1160.160,1,1160.160,1,174,48,1
6,58890860930.958,58890860973.212,58890961130.438,10193.744,100199.480,90005.736,42.254,89963.482,-199.480,1,199.480,1,174,48,1
7,58891060930.958,58891060979.268,58891160982.064,9971.276,100051.106,90079.830,48.310,90031.520,-51.106,1,51.106,1,174,48,1
8,58891260930.958,58891260980.938,58891361217.420,10273.254,100286.462,90013.208,49.980,89963.228,-286.462,1,286.462,1,174,48,1
9,58891460930.958,58891460978.341,58891561648.047,10703.149,100717.089,90013.940,47.383,89966.557,-717.089,1,717.089,1,174,48,1
10,58891660930.958,58891660978.543,58891762016.034,11075.614,101085.076,90009.462,47.585,89961.877,-1085.076,1,1085.076,1,174,48,1
11,58891860930.958,58891860974.851,58891870550.155,9574.330,9619.197,44.867,43.893,0.974,90380.803,0,0.000,0,174,48,0
12,58891960930.958,58891960975.378,58892061677.368,10741.442,100746.410,90004.968,44.420,89960.548,-746.410,1,746.410,1,174,48,1
13,58892160930.958,58892160975.003,58892262197.204,11263.664,101266.246,90002.582,44.045,89958.537,-1266.246,1,1266.246,1,174,48,1
14,58892360930.958,58892360971.568,58892370695.051,9722.337,9764.093,41.756,40.610,1.146,90235.907,0,0.000,0,174,48,0
15,58892460930.958,58892460972.971,58892561555.033,10623.564,100624.075,90000.511,42.013,89958.498,-624.075,1,624.075,1,174,48,1
16,58892660930.958,58892660969.538,58892761079.651,10152.346,100148.693,89996.347,38.580,89957.767,-148.693,1,148.693,1,174,48,1
17,58892860930.958,58892860973.991,58892961729.875,10796.290,100798.917,90002.627,43.033,89959.594,-798.917,1,798.917,1,174,48,1
18,58893060930.958,58893060970.838,58893161676.922,10744.125,100745.964,90001.839,39.880,89961.959,-745.964,1,745.964,1,174,48,1
19,58893260930.958,58893260974.020,58893361928.435,10997.979,100997.477,89999.498,43.062,89956.436,-997.477,1,997.477,1,174,48,1
20,58893460930.958,58893460970.117,58893560976.222,10022.450,100045.264,90022.814,39.159,89983.655,-45.264,1,45.264,1,174,48,1
21,58893660930.958,58893660969.839,58893761143.664,10215.186,100212.706,89997.520,38.881,89958.639,-212.706,1,212.706,1,174,48,1
22,58893860930.958,58893860969.390,58893961890.288,10963.593,100959.330,89995.737,38.432,89957.305,-959.330,1,959.330,1,174,48,1
23,58894060930.958,58894060971.579,58894161640.760,10706.859,100709.802,90002.943,40.621,89962.322,-709.802,1,709.802,1,174,48,1
24,58894260930.958,58894260974.842,58894270785.337,9809.392,9854.379,44.987,43.884,1.103,90145.621,0,0.000,0,174,48,0
25,58894360930.958,58894360972.187,58894461867.229,10933.493,100936.271,90002.778,41.229,89961.549,-936.271,1,936.271,1,174,48,1
26,58894560930.958,58894560978.056,58894661042.433,10105.887,100111.475,90005.588,47.098,89958.490,-111.475,1,111.475,1,174,48,1
27,58894760930.958,58894760969.765,58894861147.590,10219.124,100216.632,89997.508,38.807,89958.701,-216.632,1,216.632,1,174,48,1
28,58894960930.958,58894960972.422,58895062354.927,11425.196,101423.969,89998.773,41.464,89957.309,-1423.969,1,1423.969,1,174,48,1
29,58895160930.958,58895160972.190,58895261821.205,10900.083,100890.247,89990.164,41.232,89948.932,-890.247,1,890.247,1,174,48,1
30,58895360930.958,58895360972.349,58895461037.176,10097.862,100106.218,90008.356,41.391,89966.965,-106.218,1,106.218,1,174,48,1
31,58895560930.958,58895560981.846,58895661855.012,10903.949,100924.054,90020.105,50.888,89969.217,-924.054,1,924.054,1,174,48,1
32,58895760930.958,58895760970.630,58895861719.042,10792.840,100788.084,89995.244,39.672,89955.572,-788.084,1,788.084,1,174,48,1
33,58895960930.958,58895960971.029,58896061658.944,10729.014,100727.986,89998.972,40.071,89958.901,-727.986,1,727.986,1,174,48,1
34,58896160930.958,58896160972.482,58896260973.307,10023.102,100042.349,90019.247,41.524,89977.723,-42.349,1,42.349,1,174,48,1
35,58896360930.958,58896360974.099,58896461477.560,10544.078,100546.602,90002.524,43.141,89959.383,-546.602,1,546.602,1,174,48,1
36,58896560930.958,58896560976.600,58896662315.201,11378.114,101384.243,90006.129,45.642,89960.487,-1384.243,1,1384.243,1,174,48,1
37,58896760930.958,58896760974.035,58896861260.159,10326.941,100329.201,90002.260,43.077,89959.183,-329.201,1,329.201,1,174,48,1
