# probe kind=matmul M=48 K=87 buf_kb=0 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,23894096289.358,23894096311.553,23894099805.933,3492.434,3516.575,24.141,22.195,1.946,6483.425,0,0.000,0,87,48,0
1,23894106289.358,23894106307.341,23894109836.795,3528.874,3547.437,18.563,17.983,0.580,6452.563,0,0.000,0,87,48,0
2,23894116289.358,23894116307.561,23894119917.621,3609.389,3628.263,18.874,18.203,0.671,6371.737,0,0.000,0,87,48,0
3,23894126289.358,23894126308.035,23894129814.382,3505.493,3525.024,19.531,18.677,0.854,6474.976,0,0.000,0,87,48,0
4,23894136289.358,23894136308.203,23894139884.418,3575.610,3595.060,19.450,18.845,0.605,6404.940,0,0.000,0,87,48,0
5,23894146289.358,23894146310.041,23894149923.136,3612.419,3633.778,21.359,20.683,0.676,6366.222,0,0.000,0,87,48,0
6,23894156289.358,23894156308.587,23894159855.879,3546.472,3566.521,20.049,19.229,0.820,6433.479,0,0.000,0,87,48,0
7,23894166289.358,23894166308.778,23894169926.741,3617.184,3637.383,20.199,19.420,0.779,6362.617,0,0.000,0,87,48,0
8,23894176289.358,23894176307.179,23894179876.413,3568.344,3587.055,18.711,17.821,0.890,6412.945,0,0.000,0,87,48,0
9,23894186289.358,23894186309.395,23894189881.814,3571.717,3592.456,20.739,20.037,0.702,6407.544,0,0.000,0,87,48,0
10,23894196289.358,23894196309.204,23894199878.027,3568.008,3588.669,20.661,19.846,0.815,6411.331,0,0.000,0,87,48,0
11,23894206289.358,23894206308.674,23894209814.112,3504.784,3524.754,19.970,19.316,0.654,6475.246,0,0.000,0,87,48,0
12,23894216289.358,23894216311.324,23894219792.971,3480.895,3503.613,22.718,21.966,0.752,6496.387,0,0.000,0,87,48,0
13,23894226289.358,23894226310.543,23894229927.628,3616.464,3638.270,21.806,21.185,0.621,6361.730,0,0.000,0,87,48,0
14,23894236289.358,23894236311.296,23894239856.513,3544.441,3567.155,22.714,21.938,0.776,6432.845,0,0.000,0,87,48,0
15,23894246289.358,23894246330.169,23894249883.428,3552.665,3594.070,41.405,40.811,0.594,6405.930,0,0.000,0,87,48,0
16,23894256289.358,23894256311.561,23894259925.493,3613.297,3636.135,22.838,22.203,0.635,6363.865,0,0.000,0,87,48,0
17,23894266289.358,23894266309.114,23894269914.834,3605.015,3625.476,20.461,19.756,0.705,6374.524,0,0.000,0,87,48,0
18,23894276289.358,23894276308.353,23894279925.862,3616.969,3636.504,19.535,18.995,0.540,6363.496,0,0.000,0,87,48,0
19,23894286289.358,23894286308.636,23894289842.359,3533.030,3553.001,19.971,19.278,0.693,6446.999,0,0.000,0,87,48,0
20,23894296289.358,23894296307.782,23894299781.476,3472.934,3492.118,19.184,18.424,0.760,6507.882,0,0.000,0,87,48,0
21,23894306289.358,23894306310.092,23894309896.744,3585.846,3607.386,21.540,20.734,0.806,6392.614,0,0.000,0,87,48,0
22,23894316289.358,23894316311.698,23894319841.300,3528.728,3551.942,23.214,22.340,0.874,6448.058,0,0.000,0,87,48,0
23,23894326289.358,23894326309.231,23894329742.219,3432.386,3452.861,20.475,19.873,0.602,6547.139,0,0.000,0,87,48,0
24,23894336289.358,23894336312.065,23894339927.864,3615.087,3638.506,23.419,22.707,0.712,6361.494,0,0.000,0,87,48,0
25,23894346289.358,23894346308.855,23894349799.348,3489.705,3509.990,20.285,19.497,0.788,6490.010,0,0.000,0,87,48,0
26,23894356289.358,23894356306.333,23894359887.739,3580.691,3598.381,17.690,16.975,0.715,6401.619,0,0.000,0,87,48,0
27,23894366289.358,23894366309.107,23894369994.982,3685.247,3705.624,20.377,19.749,0.628,6294.376,0,0.000,0,87,48,0
28,23894376289.358,23894376309.447,23894379771.952,3461.921,3482.594,20.673,20.089,0.584,6517.406,0,0.000,0,87,48,0
29,23894386289.358,23894386320.339,23894389941.867,3620.077,3652.509,32.432,30.981,1.451,6347.491,0,0.000,0,87,48,0
30,23894396289.358,23894396311.806,23894399850.104,3537.657,3560.746,23.089,22.448,0.641,6439.254,0,0.000,0,87,48,0
31,23894406289.358,23894406309.811,23894409876.964,3566.597,3587.606,21.009,20.453,0.556,6412.394,0,0.000,0,87,48,0
