# probe kind=matmul activation=event M=48 K=688 period_us=100000 priority=90 target_cpu=1 generator_cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,11395892675.146,11395892710.959,11395919879.482,27167.214,27204.336,37.122,35.813,1.309,72795.664,0,0.000,0,688,48,0
1,11395961441.263,11395961475.772,11395988616.938,27140.269,27175.675,35.406,34.509,0.897,72824.325,0,0.000,0,688,48,0
2,11396108511.992,11396108549.168,11396135746.446,27195.856,27234.454,38.598,37.176,1.422,72765.546,0,0.000,0,688,48,0
3,11396195109.378,11396195143.875,11396222294.575,27149.598,27185.197,35.599,34.497,1.102,72814.803,0,0.000,0,688,48,0
4,11396294814.358,11396294858.690,11396322058.892,27199.238,27244.534,45.296,44.332,0.964,72755.466,0,0.000,0,688,48,0
5,11396368305.064,11396368334.277,11396395531.406,27196.082,27226.342,30.260,29.213,1.047,72773.658,0,0.000,0,688,48,0
6,11396448974.823,11396449030.856,11396476140.803,27108.845,27165.980,57.135,56.033,1.102,72834.020,0,0.000,0,688,48,0
7,11396518974.312,11396519012.017,11396546293.894,27280.879,27319.582,38.703,37.705,0.998,72680.418,0,0.000,0,688,48,0
8,11396569321.259,11396569352.339,11396633583.924,27207.650,64262.665,37055.015,31.080,37023.935,35737.335,0,0.000,1,688,48,0
9,11396667934.414,11396667966.065,11396695258.210,27291.130,27323.796,32.666,31.651,1.015,72676.204,0,0.000,0,688,48,0
10,11396807588.712,11396807630.876,11396834762.805,27130.448,27174.093,43.645,42.164,1.481,72825.907,0,0.000,0,688,48,0
11,11396905837.082,11396905877.406,11396933006.559,27128.098,27169.477,41.379,40.324,1.055,72830.523,0,0.000,0,688,48,0
12,11396985696.843,11396985726.916,11397012935.354,27207.711,27238.511,30.800,30.073,0.727,72761.489,0,0.000,0,688,48,0
13,11397096891.632,11397096928.715,11397124077.472,27147.618,27185.840,38.222,37.083,1.139,72814.160,0,0.000,0,688,48,0
14,11397242127.142,11397242164.458,11397269410.523,27244.986,27283.381,38.395,37.316,1.079,72716.619,0,0.000,0,688,48,0
15,11397355226.509,11397355263.528,11397382872.464,27607.776,27645.955,38.179,37.019,1.160,72354.045,0,0.000,0,688,48,0
16,11397491955.954,11397492027.463,11397519310.263,27281.008,27354.309,73.301,71.509,1.792,72645.691,0,0.000,0,688,48,0
17,11397601600.590,11397601636.751,11397628900.080,27262.283,27299.490,37.207,36.161,1.046,72700.510,0,0.000,0,688,48,0
18,11397673580.082,11397673614.758,11397700811.801,27196.335,27231.719,35.384,34.676,0.708,72768.281,0,0.000,0,688,48,0
19,11397808080.688,11397808129.098,11397835226.153,27095.842,27145.465,49.623,48.410,1.213,72854.535,0,0.000,0,688,48,0
20,11397899807.835,11397899845.611,11397926962.967,27115.740,27155.132,39.392,37.776,1.616,72844.868,0,0.000,0,688,48,0
21,11397965728.017,11397965765.035,11398013833.283,27237.097,48105.266,20868.169,37.018,20831.151,51894.734,0,0.000,1,688,48,0
22,11398078613.234,11398078655.307,11398106064.339,27407.869,27451.105,43.236,42.073,1.163,72548.895,0,0.000,0,688,48,0
23,11398216597.301,11398216633.755,11398243882.475,27247.497,27285.174,37.677,36.454,1.223,72714.826,0,0.000,0,688,48,0
24,11398338284.094,11398338318.319,11398365724.475,27405.045,27440.381,35.336,34.225,1.111,72559.619,0,0.000,0,688,48,0
25,11398398840.770,11398398876.571,11398453184.925,28004.519,54344.155,26339.636,35.801,26303.835,45655.845,0,0.000,1,688,48,0
26,11398450981.094,11398453198.549,11398540917.129,27411.140,89936.035,62524.895,2217.455,60307.440,10063.965,0,0.000,1,688,48,0
27,11398506709.264,11398540931.762,11398568099.853,27167.888,61390.589,34222.701,34222.498,0.203,38609.411,0,0.000,0,688,48,0
28,11398655983.203,11398656031.117,11398683102.262,27069.857,27119.059,49.202,47.914,1.288,72880.941,0,0.000,0,688,48,0
29,11398737149.704,11398737183.469,11398764376.077,27191.563,27226.373,34.810,33.765,1.045,72773.627,0,0.000,0,688,48,0
30,11398799955.244,11398799982.209,11398852631.283,28470.288,52676.039,24205.751,26.965,24178.786,47323.961,0,0.000,1,688,48,0
31,11398890087.968,11398890122.196,11398917342.653,27219.829,27254.685,34.856,34.228,0.628,72745.315,0,0.000,0,688,48,0
32,11399018304.680,11399018337.630,11399045614.542,27275.755,27309.862,34.107,32.950,1.157,72690.138,0,0.000,0,688,48,0
33,11399120968.181,11399121019.311,11399148168.771,27148.412,27200.590,52.178,51.130,1.048,72799.410,0,0.000,0,688,48,0
34,11399255081.936,11399255121.337,11399287114.898,31992.428,32032.962,40.534,39.401,1.133,67967.038,0,0.000,0,688,48,0
35,11399352172.394,11399352202.286,11399379408.217,27205.210,27235.823,30.613,29.892,0.721,72764.177,0,0.000,0,688,48,0
36,11399415385.107,11399415416.137,11399465780.717,27163.652,50395.610,23231.958,31.030,23200.928,49604.390,0,0.000,1,688,48,0
37,11399468131.368,11399468165.577,11399553465.856,27100.091,85334.488,58234.397,34.209,58200.188,14665.512,0,0.000,1,688,48,0
38,11399561296.519,11399561318.727,11399588483.585,27164.572,27187.066,22.494,22.208,0.286,72812.934,0,0.000,0,688,48,0
39,11399680802.683,11399680845.006,11399708039.759,27193.261,27237.076,43.815,42.323,1.492,72762.924,0,0.000,0,688,48,0
40,11399778533.314,11399778568.445,11399806398.108,27828.485,27864.794,36.309,35.131,1.178,72135.206,0,0.000,0,688,48,0
41,11399870822.338,11399870852.931,11399897976.852,27123.054,27154.514,31.460,30.593,0.867,72845.486,0,0.000,0,688,48,0
42,11399950551.554,11399950601.884,11399977665.733,27062.403,27114.179,51.776,50.330,1.446,72885.821,0,0.000,0,688,48,0
43,11400073328.361,11400073366.781,11400100650.312,27281.906,27321.951,40.045,38.420,1.625,72678.049,0,0.000,0,688,48,0
44,11400223094.162,11400223133.719,11400250456.191,27320.984,27362.029,41.045,39.557,1.488,72637.971,0,0.000,0,688,48,0
45,11400326058.686,11400326091.137,11400353391.055,27298.672,27332.369,33.697,32.451,1.246,72667.631,0,0.000,0,688,48,0
46,11400404577.942,11400404610.378,11400431884.876,27273.562,27306.934,33.372,32.436,0.936,72693.066,0,0.000,0,688,48,0
47,11400479035.407,11400479076.271,11400506191.215,27113.478,27155.808,42.330,40.864,1.466,72844.192,0,0.000,0,688,48,0
48,11400529974.539,11400530027.559,11400593281.688,27188.457,63307.149,36118.692,53.020,36065.672,36692.851,0,0.000,1,688,48,0
49,11400676273.409,11400676306.463,11400703402.582,27095.086,27129.173,34.087,33.054,1.033,72870.827,0,0.000,0,688,48,0
50,11400819946.740,11400819990.693,11400847613.412,27620.978,27666.672,45.694,43.953,1.741,72333.328,0,0.000,0,688,48,0
51,11400952687.254,11400952726.210,11400979876.436,27148.800,27189.182,40.382,38.956,1.426,72810.818,0,0.000,0,688,48,0
52,11401007268.129,11401007309.743,11401066293.071,27264.396,59024.942,31760.546,41.614,31718.932,40975.058,0,0.000,1,688,48,0
53,11401072014.239,11401072047.541,11401153917.567,27150.809,81903.328,54752.519,33.302,54719.217,18096.672,0,0.000,1,688,48,0
54,11401159743.612,11401159766.797,11401187108.698,27341.640,27365.086,23.446,23.185,0.261,72634.914,0,0.000,0,688,48,0
55,11401245881.736,11401245918.931,11401273377.468,27457.332,27495.732,38.400,37.195,1.205,72504.268,0,0.000,0,688,48,0
56,11401318474.591,11401318503.855,11401345564.774,27059.768,27090.183,30.415,29.264,1.151,72909.817,0,0.000,0,688,48,0
57,11401453348.916,11401453384.808,11401480662.945,27276.612,27314.029,37.417,35.892,1.525,72685.971,0,0.000,0,688,48,0
58,11401541609.422,11401541647.782,11401568767.731,27118.589,27158.309,39.720,38.360,1.360,72841.691,0,0.000,0,688,48,0
59,11401614730.836,11401614771.520,11401641944.777,27172.075,27213.941,41.866,40.684,1.182,72786.059,0,0.000,0,688,48,0
60,11401707615.336,11401707658.262,11401734849.142,27189.799,27233.806,44.007,42.926,1.081,72766.194,0,0.000,0,688,48,0
61,11401856073.379,11401856123.235,11401883348.328,27223.834,27274.949,51.115,49.856,1.259,72725.051,0,0.000,0,688,48,0
62,11401927215.522,11401927244.468,11401954403.236,27157.830,27187.714,29.884,28.946,0.938,72812.286,0,0.000,0,688,48,0
63,11402023712.851,11402023752.001,11402051041.905,27288.408,27329.054,40.646,39.150,1.496,72670.946,0,0.000,0,688,48,0
64,11402106334.949,11402106369.084,11402133530.569,27160.404,27195.620,35.216,34.135,1.081,72804.380,0,0.000,0,688,48,0
65,11402208459.104,11402208493.634,11402235748.563,27253.475,27289.459,35.984,34.530,1.454,72710.541,0,0.000,0,688,48,0
66,11402298249.484,11402298283.848,11402325556.448,27271.347,27306.964,35.617,34.364,1.253,72693.036,0,0.000,0,688,48,0
67,11402378414.369,11402378451.440,11402405552.730,27100.405,27138.361,37.956,37.071,0.885,72861.639,0,0.000,0,688,48,0
68,11402439875.226,11402439902.869,11402493231.599,27891.010,53356.373,25465.363,27.643,25437.720,46643.627,0,0.000,1,688,48,0
69,11402499614.336,11402499642.304,11402580334.259,27258.992,80719.923,53460.931,27.968,53432.963,19280.077,0,0.000,1,688,48,0
70,11402589438.838,11402589459.949,11402616580.423,27120.184,27141.585,21.401,21.111,0.290,72858.415,0,0.000,0,688,48,0
71,11402691318.595,11402691354.665,11402718600.329,27244.288,27281.734,37.446,36.070,1.376,72718.266,0,0.000,0,688,48,0
72,11402836460.447,11402836498.670,11402864799.545,28299.204,28339.098,39.894,38.223,1.671,71660.902,0,0.000,0,688,48,0
73,11402911801.620,11402911839.330,11402939124.237,27284.099,27322.617,38.518,37.710,0.808,72677.383,0,0.000,0,688,48,0
74,11403056159.253,11403056201.970,11403085358.508,29155.011,29199.255,44.244,42.717,1.527,70800.745,0,0.000,0,688,48,0
75,11403198350.122,11403198389.649,11403225593.439,27202.378,27243.317,40.939,39.527,1.412,72756.683,0,0.000,0,688,48,0
76,11403266512.643,11403266543.872,11403294009.280,27464.078,27496.637,32.559,31.229,1.330,72503.363,0,0.000,0,688,48,0
77,11403362346.529,11403362379.349,11403389616.145,27235.884,27269.616,33.732,32.820,0.912,72730.384,0,0.000,0,688,48,0
78,11403470235.349,11403470270.317,11403497516.003,27244.392,27280.654,36.262,34.968,1.294,72719.346,0,0.000,0,688,48,0
79,11403617267.131,11403617308.262,11403644496.183,27186.342,27229.052,42.710,41.131,1.579,72770.948,0,0.000,0,688,48,0
80,11403740163.355,11403740202.784,11403767356.301,27152.353,27192.946,40.593,39.429,1.164,72807.054,0,0.000,0,688,48,0
81,11403878849.879,11403878890.404,11403906123.828,27231.997,27273.949,41.952,40.525,1.427,72726.051,0,0.000,0,688,48,0
82,11403930689.234,11403930718.702,11403992898.578,27305.601,62209.344,34903.743,29.468,34874.275,37790.656,0,0.000,1,688,48,0
83,11404042326.840,11404042364.596,11404069511.509,27145.766,27184.669,38.903,37.756,1.147,72815.331,0,0.000,0,688,48,0
84,11404165895.780,11404165932.963,11404193229.194,27294.713,27333.414,38.701,37.183,1.518,72666.586,0,0.000,0,688,48,0
85,11404299983.030,11404300034.364,11404330170.571,30134.587,30187.541,52.954,51.334,1.620,69812.459,0,0.000,0,688,48,0
86,11404416028.319,11404416075.123,11404443499.807,27423.002,27471.488,48.486,46.804,1.682,72528.512,0,0.000,0,688,48,0
87,11404552995.593,11404553044.221,11404580216.140,27170.560,27220.547,49.987,48.628,1.359,72779.453,0,0.000,0,688,48,0
88,11404638488.847,11404638530.448,11404665660.935,27129.035,27172.088,43.053,41.601,1.452,72827.912,0,0.000,0,688,48,0
89,11404785224.237,11404785264.570,11404812458.807,27192.815,27234.570,41.755,40.333,1.422,72765.430,0,0.000,0,688,48,0
90,11404894500.631,11404894538.854,11404921673.710,27133.642,27173.079,39.437,38.223,1.214,72826.921,0,0.000,0,688,48,0
91,11404966339.310,11404966368.718,11404993569.679,27200.017,27230.369,30.352,29.408,0.944,72769.631,0,0.000,0,688,48,0
92,11405108289.530,11405108327.146,11405135582.127,27253.818,27292.597,38.779,37.616,1.163,72707.403,0,0.000,0,688,48,0
93,11405252911.808,11405252952.700,11405280271.092,27316.934,27359.284,42.350,40.892,1.458,72640.716,0,0.000,0,688,48,0
94,11405395323.176,11405395358.676,11405422554.121,27194.133,27230.945,36.812,35.500,1.312,72769.055,0,0.000,0,688,48,0
95,11405520771.682,11405520809.282,11405548034.284,27223.875,27262.602,38.727,37.600,1.127,72737.398,0,0.000,0,688,48,0
96,11405606436.837,11405606470.573,11405633736.781,27265.281,27299.944,34.663,33.736,0.927,72700.056,0,0.000,0,688,48,0
97,11405659776.475,11405659806.474,11405720409.178,27120.342,60632.703,33512.361,29.999,33482.362,39367.297,0,0.000,1,688,48,0
98,11405788768.146,11405788800.547,11405815910.783,27109.042,27142.637,33.595,32.401,1.194,72857.363,0,0.000,0,688,48,0
99,11405923394.764,11405923438.380,11405950885.474,27445.636,27490.710,45.074,43.616,1.458,72509.290,0,0.000,0,688,48,0
100,11406063098.990,11406063143.885,11406090508.939,27363.818,27409.949,46.131,44.895,1.236,72590.051,0,0.000,0,688,48,0
101,11406161294.326,11406161335.793,11406188522.525,27185.347,27228.199,42.852,41.467,1.385,72771.801,0,0.000,0,688,48,0
102,11406310687.494,11406310727.258,11406338101.513,27372.571,27414.019,41.448,39.764,1.684,72585.981,0,0.000,0,688,48,0
103,11406448200.667,11406448238.515,11406475821.101,27581.122,27620.434,39.312,37.848,1.464,72379.566,0,0.000,0,688,48,0
104,11406529827.739,11406529863.599,11406557155.754,27291.066,27328.015,36.949,35.860,1.089,72671.985,0,0.000,0,688,48,0
105,11406602489.878,11406602520.468,11406629707.418,27185.904,27217.540,31.636,30.590,1.046,72782.460,0,0.000,0,688,48,0
106,11406708503.327,11406708537.126,11406735871.039,27332.533,27367.712,35.179,33.799,1.380,72632.288,0,0.000,0,688,48,0
107,11406855808.141,11406855858.627,11406961032.083,45346.485,105223.942,59877.457,50.486,59826.971,-5223.942,1,5223.942,1,688,48,0
108,11406987365.840,11406987388.048,11407014591.644,27203.257,27225.804,22.547,22.208,0.339,72774.196,0,0.000,0,688,48,0
109,11407040116.598,11407040145.001,11407101725.331,27193.771,61608.733,34414.962,28.403,34386.559,38391.267,0,0.000,1,688,48,0
110,11407098904.348,11407101736.930,11407188377.307,27264.807,89472.959,62208.152,2832.582,59375.570,10527.041,0,0.000,1,688,48,0
111,11407216162.959,11407216188.196,11407243400.826,27212.100,27237.867,25.767,25.237,0.530,72762.133,0,0.000,0,688,48,0
112,11407267626.051,11407267654.083,11407330075.341,27240.928,62449.290,35208.362,28.032,35180.330,37550.710,0,0.000,1,688,48,0
113,11407375618.639,11407375649.431,11407402897.115,27246.961,27278.476,31.515,30.792,0.723,72721.524,0,0.000,0,688,48,0
114,11407499595.800,11407499637.145,11407527106.620,27468.012,27510.820,42.808,41.345,1.463,72489.180,0,0.000,0,688,48,0
115,11407559468.061,11407559498.173,11407614415.407,27286.297,54947.346,27661.049,30.112,27630.937,45052.654,0,0.000,1,688,48,0
116,11407679797.878,11407679830.903,11407708747.128,28914.831,28949.250,34.419,33.025,1.394,71050.750,0,0.000,0,688,48,0
117,11407759318.307,11407759352.283,11407786497.752,27144.180,27179.445,35.265,33.976,1.289,72820.555,0,0.000,0,688,48,0
