# probe kind=matmul activation=event M=48 K=118 period_us=10000 priority=90 target_cpu=1 generator_cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,16315439410.794,16315439434.718,16315444192.418,4756.079,4781.624,25.545,23.924,1.621,5218.376,0,0.000,0,118,48,0
1,16315446286.805,16315446307.875,16315451148.057,4839.715,4861.252,21.537,21.070,0.467,5138.748,0,0.000,0,118,48,0
2,16315461118.351,16315461137.933,16315465896.211,4757.822,4777.860,20.038,19.582,0.456,5222.140,0,0.000,0,118,48,0
3,16315469666.419,16315469685.732,16315474487.927,4801.732,4821.508,19.776,19.313,0.463,5178.492,0,0.000,0,118,48,0
4,16315479620.671,16315479640.379,16315484426.591,4785.775,4805.920,20.145,19.708,0.437,5194.080,0,0.000,0,118,48,0
5,16315486976.989,16315486995.681,16315491771.268,4775.101,4794.279,19.178,18.692,0.486,5205.721,0,0.000,0,118,48,0
6,16315495040.500,16315495056.370,16315499844.968,4788.162,4804.468,16.306,15.870,0.436,5195.532,0,0.000,0,118,48,0
7,16315502039.424,16315502059.395,16315506929.182,4869.347,4889.758,20.411,19.971,0.440,5110.242,0,0.000,0,118,48,0
8,16315507072.177,16315507091.076,16315514160.677,5024.065,7088.500,2064.435,18.899,2045.536,2911.500,0,0.000,1,118,48,0
9,16315516933.276,16315516963.021,16315521722.457,4758.967,4789.181,30.214,29.745,0.469,5210.819,0,0.000,0,118,48,0
10,16315531025.178,16315531044.735,16315535846.669,4801.452,4821.491,20.039,19.557,0.482,5178.509,0,0.000,0,118,48,0
11,16315540721.554,16315540735.195,16315546695.572,5959.871,5974.018,14.147,13.641,0.506,4025.982,0,0.000,0,118,48,0
12,16315548710.763,16315548736.391,16315554255.651,4790.153,5544.888,754.735,25.628,729.107,4455.112,0,0.000,1,118,48,0
13,16315559952.386,16315559971.163,16315564768.509,4796.830,4816.123,19.293,18.777,0.516,5183.877,0,0.000,0,118,48,0
14,16315574483.041,16315574509.460,16315579697.176,5186.873,5214.135,27.262,26.419,0.843,4785.865,0,0.000,0,118,48,0
15,16315585787.827,16315585810.746,16315590649.160,4837.880,4861.333,23.453,22.919,0.534,5138.667,0,0.000,0,118,48,0
16,16315599457.809,16315599480.927,16315604638.465,5156.833,5180.656,23.823,23.118,0.705,4819.344,0,0.000,0,118,48,0
17,16315610435.158,16315610457.072,16315616177.466,5719.692,5742.308,22.616,21.914,0.702,4257.692,0,0.000,0,118,48,0
18,16315617501.855,16315617525.563,16315623726.078,4760.949,6224.223,1463.274,23.708,1439.566,3775.777,0,0.000,1,118,48,0
19,16315631068.232,16315631092.633,16315635853.809,4760.364,4785.577,25.213,24.401,0.812,5214.423,0,0.000,0,118,48,0
20,16315640121.553,16315640135.315,16315644877.431,4741.633,4755.878,14.245,13.762,0.483,5244.122,0,0.000,0,118,48,0
21,16315646710.923,16315646724.440,16315652645.046,4791.786,5934.123,1142.337,13.517,1128.820,4065.877,0,0.000,1,118,48,0
22,16315658121.928,16315658140.054,16315663047.111,4906.635,4925.183,18.548,18.126,0.422,5074.817,0,0.000,0,118,48,0
23,16315671925.426,16315671944.426,16315676740.087,4795.180,4814.661,19.481,19.000,0.481,5185.339,0,0.000,0,118,48,0
24,16315684090.275,16315684113.866,16315688901.634,4787.157,4811.359,24.202,23.591,0.611,5188.641,0,0.000,0,118,48,0
25,16315690024.055,16315690038.297,16315695917.059,4780.232,5893.004,1112.772,14.242,1098.530,4106.996,0,0.000,1,118,48,0
26,16315695239.433,16315695921.822,16315704135.896,4765.067,8896.463,4131.396,682.389,3449.007,1103.537,0,0.000,1,118,48,0
