# probe kind=matmul activation=event M=48 K=857 period_us=100000 priority=90 target_cpu=1 generator_cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,15589295923.890,15589295969.833,15589331450.248,35479.892,35526.358,46.466,45.943,0.523,64473.642,0,0.000,0,857,48,0
1,15589364807.074,15589364844.010,15589415960.377,35172.691,51153.303,15980.612,36.936,15943.676,48846.697,0,0.000,1,857,48,0
2,15589511869.050,15589511923.567,15589547311.515,35387.445,35442.465,55.020,54.517,0.503,64557.535,0,0.000,0,857,48,0
3,15589598467.775,15589598514.026,15589633584.263,35069.891,35116.488,46.597,46.251,0.346,64883.512,0,0.000,0,857,48,0
4,15589698172.971,15589698216.572,15589733231.155,35013.971,35058.184,44.213,43.601,0.612,64941.816,0,0.000,0,857,48,0
5,15589771661.540,15589771717.030,15589806771.211,35053.364,35109.671,56.307,55.490,0.817,64890.329,0,0.000,0,857,48,0
6,15589852335.645,15589852389.739,15589887827.591,35437.573,35491.946,54.373,54.094,0.279,64508.054,0,0.000,0,857,48,0
7,15589922340.465,15589922370.800,15589973989.721,36278.578,51649.256,15370.678,30.335,15340.343,48350.744,0,0.000,1,857,48,0
8,15589972759.522,15589974013.287,15590058476.506,35128.199,85716.984,50588.785,1253.765,49335.020,14283.016,0,0.000,1,857,48,0
9,15590071282.213,15590071326.991,15590109868.939,38541.698,38586.726,45.028,44.778,0.250,61413.274,0,0.000,0,857,48,0
10,15590210952.275,15590211016.145,15590246362.935,35346.498,35410.660,64.162,63.870,0.292,64589.340,0,0.000,0,857,48,0
11,15590309157.978,15590309206.931,15590347672.277,38465.009,38514.299,49.290,48.953,0.337,61485.701,0,0.000,0,857,48,0
12,15590389100.342,15590389136.649,15590424390.943,35254.154,35290.601,36.447,36.307,0.140,64709.399,0,0.000,0,857,48,0
13,15590500331.590,15590500380.106,15590535628.217,35247.988,35296.627,48.639,48.516,0.123,64703.373,0,0.000,0,857,48,0
14,15590645489.110,15590645526.786,15590680766.208,35239.684,35277.098,37.414,37.676,-0.262,64722.902,0,0.000,0,857,48,0
15,15590758635.636,15590758680.862,15590793987.618,35306.185,35351.982,45.797,45.226,0.571,64648.018,0,0.000,0,857,48,0
16,15590895312.766,15590895362.287,15590930380.499,35018.013,35067.733,49.720,49.521,0.199,64932.267,0,0.000,0,857,48,0
17,15591004970.406,15591005026.960,15591040252.460,35225.101,35282.054,56.953,56.554,0.399,64717.946,0,0.000,0,857,48,0
18,15591076939.699,15591076984.174,15591112538.734,35554.296,35599.035,44.739,44.475,0.264,64400.965,0,0.000,0,857,48,0
19,15591211481.849,15591211529.242,15591246784.009,35253.901,35302.160,48.259,47.393,0.866,64697.840,0,0.000,0,857,48,0
20,15591303185.480,15591303237.467,15591338613.316,35375.304,35427.836,52.532,51.987,0.545,64572.164,0,0.000,0,857,48,0
21,15591369077.023,15591369125.753,15591423627.639,35287.186,54550.616,19263.430,48.730,19214.700,45449.384,0,0.000,1,857,48,0
22,15591481977.580,15591482042.557,15591517234.569,35191.561,35256.989,65.428,64.977,0.451,64743.011,0,0.000,0,857,48,0
23,15591619955.946,15591620017.408,15591655453.042,35434.856,35497.096,62.240,61.462,0.778,64502.904,0,0.000,0,857,48,0
24,15591741658.187,15591741712.819,15591776654.613,34941.321,34996.426,55.105,54.632,0.473,65003.574,0,0.000,0,857,48,0
25,15591802214.014,15591802255.103,15591860999.401,35071.328,58785.387,23714.059,41.089,23672.970,41214.613,0,0.000,1,857,48,0
26,15591854373.836,15591861030.062,15591947578.089,35869.367,93204.253,57334.886,6656.226,50678.660,6795.747,0,0.000,1,857,48,0
27,15591910069.796,15591947594.595,15591982978.837,35385.238,72909.041,37523.803,37524.799,-0.996,27090.959,0,0.000,0,857,48,0
