# probe kind=primes activation=event M=48 K=13 period_us=10000 priority=90 target_cpu=1 generator_cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,6002397497.469,6002397525.791,6002401878.106,4350.820,4380.637,29.817,28.322,1.495,5619.363,0,0.000,0,13,48,0
1,6002404369.136,6002404386.641,6002408804.334,4417.133,4435.198,18.065,17.505,0.560,5564.802,0,0.000,0,13,48,0
2,6002419077.009,6002419097.206,6002423464.577,4366.816,4387.568,20.752,20.197,0.555,5612.432,0,0.000,0,13,48,0
3,6002427732.385,6002427748.681,6002432223.918,4474.737,4491.533,16.796,16.296,0.500,5508.467,0,0.000,0,13,48,0
4,6002437704.104,6002437722.977,6002441999.787,4275.825,4295.683,19.858,18.873,0.985,5704.317,0,0.000,0,13,48,0
5,6002445052.284,6002445070.741,6002449403.331,4332.016,4351.047,19.031,18.457,0.574,5648.953,0,0.000,0,13,48,0
6,6002453118.370,6002453136.861,6002457528.182,4390.705,4409.812,19.107,18.491,0.616,5590.188,0,0.000,0,13,48,0
7,6002460114.956,6002460129.926,6002464553.511,4422.640,4438.555,15.915,14.970,0.945,5561.445,0,0.000,0,13,48,0
8,6002465154.409,6002465171.234,6002471780.092,4490.728,6625.683,2134.955,16.825,2118.130,3374.317,0,0.000,1,13,48,0
9,6002475015.037,6002475038.918,6002479530.924,4491.329,4515.887,24.558,23.881,0.677,5484.113,0,0.000,0,13,48,0
10,6002488985.706,6002489013.399,6002493427.533,4413.373,4441.827,28.454,27.693,0.761,5558.173,0,0.000,0,13,48,0
11,6002498807.827,6002498828.122,6002503243.503,4414.730,4435.676,20.946,20.295,0.651,5564.324,0,0.000,0,13,48,0
12,6002506792.659,6002506808.262,6002511199.355,4390.433,4406.696,16.263,15.603,0.660,5593.304,0,0.000,0,13,48,0
13,6002517916.165,6002517938.232,6002522325.604,4386.755,4409.439,22.684,22.067,0.617,5590.561,0,0.000,0,13,48,0
14,6002532434.921,6002532453.098,6002536873.513,4419.443,4438.592,19.149,18.177,0.972,5561.408,0,0.000,0,13,48,0
15,6002543751.634,6002543771.943,6002548273.903,4501.190,4522.269,21.079,20.309,0.770,5477.731,0,0.000,0,13,48,0
16,6002557433.801,6002557454.172,6002561918.085,4462.654,4484.284,21.630,20.371,1.259,5515.716,0,0.000,0,13,48,0
17,6002568395.511,6002568416.801,6002572686.359,4268.654,4290.848,22.194,21.290,0.904,5709.152,0,0.000,0,13,48,0
18,6002575581.896,6002575598.619,6002580085.744,4486.616,4503.848,17.232,16.723,0.509,5496.152,0,0.000,0,13,48,0
19,6002589027.312,6002589045.542,6002593391.068,4344.360,4363.756,19.396,18.230,1.166,5636.244,0,0.000,0,13,48,0
20,6002598198.060,6002598214.661,6002602682.736,4467.032,4484.676,17.644,16.601,1.043,5515.324,0,0.000,0,13,48,0
21,6002604789.379,6002604809.707,6002609156.895,4346.584,4367.516,20.932,20.328,0.604,5632.484,0,0.000,0,13,48,0
22,6002616080.478,6002616097.990,6002620538.976,4440.383,4458.498,18.115,17.512,0.603,5541.502,0,0.000,0,13,48,0
23,6002629878.639,6002629894.853,6002634370.220,4474.479,4491.581,17.102,16.214,0.888,5508.419,0,0.000,0,13,48,0
24,6002642045.870,6002642061.318,6002646508.147,4446.233,4462.277,16.044,15.448,0.596,5537.723,0,0.000,0,13,48,0
25,6002648108.699,6002648125.595,6002653607.484,4426.961,5498.785,1071.824,16.896,1054.928,4501.215,0,0.000,1,13,48,0
26,6002653312.721,6002653612.652,6002658018.591,4405.405,4705.870,300.465,299.931,0.534,5294.130,0,0.000,0,13,48,0
