# probe kind=primes activation=event M=48 K=18 period_us=100000 priority=90 target_cpu=1 generator_cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,13321156938.177,13321156978.997,13321164436.521,7455.651,7498.344,42.693,40.820,1.873,92501.656,0,0.000,0,18,48,0
1,13321225607.141,13321225637.881,13321260913.231,7326.555,35306.090,27979.535,30.740,27948.795,64693.910,0,0.000,1,18,48,0
2,13321372665.881,13321372699.980,13321380268.866,7567.652,7602.985,35.333,34.099,1.234,92397.015,0,0.000,0,18,48,0
3,13321459365.704,13321459399.130,13321466932.152,7531.867,7566.448,34.581,33.426,1.155,92433.552,0,0.000,0,18,48,0
4,13321558958.682,13321558991.914,13321566248.438,7255.223,7289.756,34.533,33.232,1.301,92710.244,0,0.000,0,18,48,0
5,13321632563.620,13321632595.636,13321640136.029,7539.443,7572.409,32.966,32.016,0.950,92427.591,0,0.000,0,18,48,0
6,13321713124.627,13321713154.941,13321720331.428,7175.524,7206.801,31.277,30.314,0.963,92793.199,0,0.000,0,18,48,0
7,13321783328.722,13321783358.491,13321816565.755,7077.682,33237.033,26159.351,29.769,26129.582,66762.967,0,0.000,1,18,48,0
8,13321833470.312,13321833491.240,13321913177.711,5963.848,79707.399,73743.551,20.928,73722.623,20292.601,0,0.000,1,18,48,0
9,13321932076.270,13321932111.521,13321938395.703,6282.365,6319.433,37.068,35.251,1.817,93680.567,0,0.000,0,18,48,0
10,13322071742.154,13322071785.553,13322079169.374,7382.396,7427.220,44.824,43.399,1.425,92572.780,0,0.000,0,18,48,0
11,13322169960.667,13322170010.001,13322177249.329,7237.557,7288.662,51.105,49.334,1.771,92711.338,0,0.000,0,18,48,0
12,13322249859.342,13322249889.433,13322257387.968,7497.357,7528.626,31.269,30.091,1.178,92471.374,0,0.000,0,18,48,0
13,13322361045.516,13322361084.368,13322368587.081,7500.787,7541.565,40.778,38.852,1.926,92458.435,0,0.000,0,18,48,0
14,13322506269.713,13322506311.307,13322513942.181,7628.414,7672.468,44.054,41.594,2.460,92327.532,0,0.000,0,18,48,0
