# probe kind=matmul M=48 K=351 buf_kb=0 period_us=100000 priority=90 threads=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,6384292901.903,6384292953.785,6384401932.104,29017.693,109030.201,80012.508,51.882,79960.626,-9030.201,1,9030.201,2,351,48,1
1,6384492901.903,6384492944.900,6384601993.651,29084.374,109091.748,80007.374,42.997,79964.377,-9091.748,1,9091.748,2,351,48,1
2,6384692901.903,6384692959.276,6384800974.953,27998.603,108073.050,80074.447,57.373,80017.074,-8073.050,1,8073.050,2,351,48,1
3,6384892901.903,6384892962.289,6385001711.388,28791.401,108809.485,80018.084,60.386,79957.698,-8809.485,1,8809.485,2,351,48,1
4,6385092901.903,6385092953.708,6385201651.153,28738.735,108749.250,80010.515,51.805,79958.710,-8749.250,1,8749.250,2,351,48,1
5,6385292901.903,6385292944.191,6385402963.487,29996.849,110061.584,80064.735,42.288,80022.447,-10061.584,1,10061.584,2,351,48,1
6,6385492901.903,6385492963.458,6385601871.859,28950.908,108969.956,80019.048,61.555,79957.493,-8969.956,1,8969.956,2,351,48,1
7,6385692901.903,6385692971.987,6385801145.835,28122.800,108243.932,80121.132,70.084,80051.048,-8243.932,1,8243.932,2,351,48,1
8,6385892901.903,6385892973.179,6386002587.280,29587.909,109685.377,80097.468,71.276,80026.192,-9685.377,1,9685.377,2,351,48,1
9,6386092901.903,6386092963.588,6386202407.291,29486.324,109505.388,80019.064,61.685,79957.379,-9505.388,1,9505.388,2,351,48,1
10,6386292901.903,6386292957.366,6386401465.613,28546.114,108563.710,80017.596,55.463,79962.133,-8563.710,1,8563.710,2,351,48,1
11,6386492901.903,6386492944.936,6386603467.608,30505.379,110565.705,80060.326,43.033,80017.293,-10565.705,1,10565.705,2,351,48,1
12,6386692901.903,6386692969.014,6386801934.876,28992.826,109032.973,80040.147,67.111,79973.036,-9032.973,1,9032.973,2,351,48,1
13,6386892901.903,6386892967.190,6387001403.660,28476.392,108501.757,80025.365,65.287,79960.078,-8501.757,1,8501.757,2,351,48,1
14,6387092901.903,6387092949.291,6387201968.669,28876.292,109066.766,80190.474,47.388,80143.086,-9066.766,1,9066.766,2,351,48,1
15,6387292901.903,6387292953.174,6387409330.305,37822.590,116428.402,78605.812,51.271,78554.541,-16428.402,1,16428.402,2,351,48,1
16,6387492901.903,6387492970.229,6387601535.407,28550.532,108633.504,80082.972,68.326,80014.646,-8633.504,1,8633.504,2,351,48,1
17,6387692901.903,6387692957.062,6387804919.236,31746.415,112017.333,80270.918,55.159,80215.759,-12017.333,1,12017.333,2,351,48,1
18,6387892901.903,6387892970.407,6388003346.643,30403.937,110444.740,80040.803,68.504,79972.299,-10444.740,1,10444.740,2,351,48,1
19,6388092901.903,6388092973.549,6388204479.671,31475.247,111577.768,80102.521,71.646,80030.875,-11577.768,1,11577.768,2,351,48,1
20,6388292901.903,6388292950.724,6388401695.957,28790.507,108794.054,80003.547,48.821,79954.726,-8794.054,1,8794.054,2,351,48,1
21,6388492901.903,6388492949.329,6388602976.342,29839.230,110074.439,80235.209,47.426,80187.783,-10074.439,1,10074.439,2,351,48,1
22,6388692901.903,6388692960.633,6388802999.804,30004.080,110097.901,80093.821,58.730,80035.091,-10097.901,1,10097.901,2,351,48,1
23,6388892901.903,6388892961.315,6389001690.546,28773.253,108788.643,80015.390,59.412,79955.978,-8788.643,1,8788.643,2,351,48,1
24,6389092901.903,6389092954.981,6389208551.730,35565.014,115649.827,80084.813,53.078,80031.735,-15649.827,1,15649.827,2,351,48,1
25,6389292901.903,6389292975.052,6389406740.772,33776.177,113838.869,80062.692,73.149,79989.543,-13838.869,1,13838.869,2,351,48,1
26,6389492901.903,6389492966.648,6389601841.000,28867.896,108939.097,80071.201,64.745,80006.456,-8939.097,1,8939.097,2,351,48,1
27,6389692901.903,6389692961.858,6389805437.984,32437.547,112536.081,80098.534,59.955,80038.579,-12536.081,1,12536.081,2,351,48,1
