# probe kind=matmul M=48 K=139 buf_kb=0 period_us=10000 priority=90 threads=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,16843315208.842,16843315245.995,16843326913.233,10433.202,11704.391,1271.189,37.153,1234.036,-1704.391,1,1704.391,2,139,48,1
1,16843335208.842,16843335236.961,16843346857.404,10383.685,11648.562,1264.877,28.119,1236.758,-1648.562,1,1648.562,2,139,48,1
2,16843355208.842,16843355235.203,16843366844.944,10372.587,11636.102,1263.515,26.361,1237.154,-1636.102,1,1636.102,2,139,48,1
3,16843375208.842,16843375237.277,16843386841.093,10369.036,11632.251,1263.215,28.435,1234.780,-1632.251,1,1632.251,2,139,48,1
4,16843395208.842,16843395242.192,16843406844.351,10341.557,11635.509,1293.952,33.350,1260.602,-1635.509,1,1635.509,2,139,48,1
5,16843415208.842,16843415234.693,16843426853.878,10382.067,11645.036,1262.969,25.851,1237.118,-1645.036,1,1645.036,2,139,48,1
6,16843435208.842,16843435238.848,16843446866.853,10359.226,11658.011,1298.785,30.006,1268.779,-1658.011,1,1658.011,2,139,48,1
7,16843455208.842,16843455238.328,16843466849.031,10374.659,11640.189,1265.530,29.486,1236.044,-1640.189,1,1640.189,2,139,48,1
8,16843475208.842,16843475237.340,16843486878.843,10409.505,11670.001,1260.496,28.498,1231.998,-1670.001,1,1670.001,2,139,48,1
9,16843495208.842,16843495239.690,16843507824.800,11287.700,12615.958,1328.258,30.848,1297.410,-2615.958,1,2615.958,2,139,48,1
10,16843515208.842,16843515260.184,16843529498.890,12322.292,14290.048,1967.756,51.342,1916.414,-4290.048,1,4290.048,2,139,48,1
11,16843535208.842,16843535240.997,16843547439.707,10957.748,12230.865,1273.117,32.155,1240.962,-2230.865,1,2230.865,2,139,48,1
12,16843555208.842,16843555236.775,16843567009.176,10523.085,11800.334,1277.249,27.933,1249.316,-1800.334,1,1800.334,2,139,48,1
13,16843575208.842,16843575247.348,16843586916.698,10423.389,11707.856,1284.467,38.506,1245.961,-1707.856,1,1707.856,2,139,48,1
14,16843595208.842,16843595241.989,16843607337.848,10848.593,12129.006,1280.413,33.147,1247.266,-2129.006,1,2129.006,2,139,48,1
15,16843615208.842,16843615236.111,16843626905.416,10375.864,11696.574,1320.710,27.269,1293.441,-1696.574,1,1696.574,2,139,48,1
16,16843635208.842,16843635233.654,16843646884.149,10368.841,11675.307,1306.466,24.812,1281.654,-1675.307,1,1675.307,2,139,48,1
17,16843655208.842,16843655236.380,16843666883.241,10369.370,11674.399,1305.029,27.538,1277.491,-1674.399,1,1674.399,2,139,48,1
18,16843675208.842,16843675249.174,16843686896.083,10376.995,11687.241,1310.246,40.332,1269.914,-1687.241,1,1687.241,2,139,48,1
19,16843695208.842,16843695244.720,16843706856.013,10379.126,11647.171,1268.045,35.878,1232.167,-1647.171,1,1647.171,2,139,48,1
20,16843715208.842,16843715236.132,16843726847.430,10374.116,11638.588,1264.472,27.290,1237.182,-1638.588,1,1638.588,2,139,48,1
21,16843735208.842,16843735233.557,16843746838.215,10374.559,11629.373,1254.814,24.715,1230.099,-1629.373,1,1629.373,2,139,48,1
22,16843755208.842,16843755235.672,16843767063.310,10368.378,11854.468,1486.090,26.830,1459.260,-1854.468,1,1854.468,2,139,48,1
23,16843775208.842,16843775252.901,16843786878.922,10367.923,11670.080,1302.157,44.059,1258.098,-1670.080,1,1670.080,2,139,48,1
24,16843795208.842,16843795247.035,16843807325.611,10619.983,12116.769,1496.786,38.193,1458.593,-2116.769,1,2116.769,2,139,48,1
25,16843815208.842,16843815254.907,16843827983.805,11480.022,12774.963,1294.941,46.065,1248.876,-2774.963,1,2774.963,2,139,48,1
26,16843835208.842,16843835254.591,16843847355.378,10808.526,12146.536,1338.010,45.749,1292.261,-2146.536,1,2146.536,2,139,48,1
27,16843855208.842,16843855237.758,16843866835.897,10367.795,11627.055,1259.260,28.916,1230.344,-1627.055,1,1627.055,2,139,48,1
28,16843875208.842,16843875239.978,16843887180.846,10658.306,11972.004,1313.698,31.136,1282.562,-1972.004,1,1972.004,2,139,48,1
29,16843895208.842,16843895242.609,16843906907.911,10403.544,11699.069,1295.525,33.767,1261.758,-1699.069,1,1699.069,2,139,48,1
30,16843915208.842,16843915243.187,16843926857.522,10376.853,11648.680,1271.827,34.345,1237.482,-1648.680,1,1648.680,2,139,48,1
31,16843935208.842,16843935238.799,16843947130.349,10404.180,11921.507,1517.327,29.957,1487.370,-1921.507,1,1921.507,2,139,48,1
32,16843955208.842,16843955242.992,16843966885.016,10372.213,11676.174,1303.961,34.150,1269.811,-1676.174,1,1676.174,2,139,48,1
33,16843975208.842,16843975246.261,16843986861.669,10378.272,11652.827,1274.555,37.419,1237.136,-1652.827,1,1652.827,2,139,48,1
34,16843995208.842,16843995235.542,16844011399.534,14892.151,16190.692,1298.541,26.700,1271.841,-6190.692,1,6190.692,2,139,48,1
35,16844015208.842,16844016975.588,16844029597.952,10617.224,14389.110,3771.886,1766.746,2005.140,-4389.110,1,4389.110,2,139,48,1
36,16844035208.842,16844035244.050,16844046919.570,10441.472,11710.728,1269.256,35.208,1234.048,-1710.728,1,1710.728,2,139,48,1
37,16844055208.842,16844055240.053,16844066905.318,10387.075,11696.476,1309.401,31.211,1278.190,-1696.476,1,1696.476,2,139,48,1
38,16844075208.842,16844075245.345,16844086972.943,10435.299,11764.101,1328.802,36.503,1292.299,-1764.101,1,1764.101,2,139,48,1
39,16844095208.842,16844095269.678,16844106996.285,10442.428,11787.443,1345.015,60.836,1284.179,-1787.443,1,1787.443,2,139,48,1
40,16844115208.842,16844115251.784,16844126880.853,10364.010,11672.011,1308.001,42.942,1265.059,-1672.011,1,1672.011,2,139,48,1
41,16844135208.842,16844135241.458,16844146847.080,10373.918,11638.238,1264.320,32.616,1231.704,-1638.238,1,1638.238,2,139,48,1
42,16844155208.842,16844155239.415,16844167371.522,10897.394,12162.680,1265.286,30.573,1234.713,-2162.680,1,2162.680,2,139,48,1
43,16844175208.842,16844175234.199,16844186828.505,10364.105,11619.663,1255.558,25.357,1230.201,-1619.663,1,1619.663,2,139,48,1
44,16844195208.842,16844195235.743,16844207820.731,11282.153,12611.889,1329.736,26.901,1302.835,-2611.889,1,2611.889,2,139,48,1
45,16844215208.842,16844215244.600,16844227458.139,10957.568,12249.297,1291.729,35.758,1255.971,-2249.297,1,2249.297,2,139,48,1
46,16844235208.842,16844235262.064,16844248023.384,11502.239,12814.542,1312.303,53.222,1259.081,-2814.542,1,2814.542,2,139,48,1
47,16844255208.842,16844255252.991,16844267015.008,10505.772,11806.166,1300.394,44.149,1256.245,-1806.166,1,1806.166,2,139,48,1
48,16844275208.842,16844275261.161,16844286897.963,10359.182,11689.121,1329.939,52.319,1277.620,-1689.121,1,1689.121,2,139,48,1
49,16844295208.842,16844295236.981,16844307365.275,10890.737,12156.433,1265.696,28.139,1237.557,-2156.433,1,2156.433,2,139,48,1
50,16844315208.842,16844315235.374,16844326930.447,10462.599,11721.605,1259.006,26.532,1232.474,-1721.605,1,1721.605,2,139,48,1
51,16844335208.842,16844335239.119,16844346866.416,10392.330,11657.574,1265.244,30.277,1234.967,-1657.574,1,1657.574,2,139,48,1
52,16844355208.842,16844355234.304,16844366984.030,10510.605,11775.188,1264.583,25.462,1239.121,-1775.188,1,1775.188,2,139,48,1
53,16844375208.842,16844375242.421,16844388599.951,12121.608,13391.109,1269.501,33.579,1235.922,-3391.109,1,3391.109,2,139,48,1
54,16844395208.842,16844395236.761,16844406836.434,10365.547,11627.592,1262.045,27.919,1234.126,-1627.592,1,1627.592,2,139,48,1
55,16844415208.842,16844415232.348,16844426868.487,10378.399,11659.645,1281.246,23.506,1257.740,-1659.645,1,1659.645,2,139,48,1
56,16844435208.842,16844435233.660,16844447069.178,10350.260,11860.336,1510.076,24.818,1485.258,-1860.336,1,1860.336,2,139,48,1
57,16844455208.842,16844455241.219,16844466846.352,10345.851,11637.510,1291.659,32.377,1259.282,-1637.510,1,1637.510,2,139,48,1
58,16844475208.842,16844475237.456,16844486872.205,10404.725,11663.363,1258.638,28.614,1230.024,-1663.363,1,1663.363,2,139,48,1
59,16844495208.842,16844495242.998,16844506843.980,10364.889,11635.138,1270.249,34.156,1236.093,-1635.138,1,1635.138,2,139,48,1
60,16844515208.842,16844515232.984,16844526838.965,10373.534,11630.123,1256.589,24.142,1232.447,-1630.123,1,1630.123,2,139,48,1
61,16844535208.842,16844535242.790,16844546825.518,10348.907,11616.676,1267.769,33.948,1233.821,-1616.676,1,1616.676,2,139,48,1
62,16844555208.842,16844555241.062,16844567188.198,10367.365,11979.356,1611.991,32.220,1579.771,-1979.356,1,1979.356,2,139,48,1
63,16844575208.842,16844575241.399,16844586868.428,10362.446,11659.586,1297.140,32.557,1264.583,-1659.586,1,1659.586,2,139,48,1
64,16844595208.842,16844595235.578,16844606943.459,10465.789,11734.617,1268.828,26.736,1242.092,-1734.617,1,1734.617,2,139,48,1
65,16844615208.842,16844615233.115,16844627177.523,10452.895,11968.681,1515.786,24.273,1491.513,-1968.681,1,1968.681,2,139,48,1
66,16844635208.842,16844635247.358,16844647077.058,10582.917,11868.216,1285.299,38.516,1246.783,-1868.216,1,1868.216,2,139,48,1
67,16844655208.842,16844655247.515,16844666986.919,10607.310,11778.077,1170.767,38.673,1132.094,-1778.077,1,1778.077,2,139,48,1
68,16844675208.842,16844675237.089,16844687291.051,10817.615,12082.209,1264.594,28.247,1236.347,-2082.209,1,2082.209,2,139,48,1
69,16844695208.842,16844695250.092,16844707336.149,10836.664,12127.307,1290.643,41.250,1249.393,-2127.307,1,2127.307,2,139,48,1
70,16844715208.842,16844715248.352,16844726862.881,10347.354,11654.039,1306.685,39.510,1267.175,-1654.039,1,1654.039,2,139,48,1
71,16844735208.842,16844735237.319,16844747434.635,10918.600,12225.793,1307.193,28.477,1278.716,-2225.793,1,2225.793,2,139,48,1
72,16844755208.842,16844755246.329,16844766987.494,10345.673,11778.652,1432.979,37.487,1395.492,-1778.652,1,1778.652,2,139,48,1
73,16844775208.842,16844775237.864,16844787030.427,10543.618,11821.585,1277.967,29.022,1248.945,-1821.585,1,1821.585,2,139,48,1
74,16844795208.842,16844795236.718,16844806974.574,10437.337,11765.732,1328.395,27.876,1300.519,-1765.732,1,1765.732,2,139,48,1
75,16844815208.842,16844815243.388,16844827530.400,11004.386,12321.558,1317.172,34.546,1282.626,-2321.558,1,2321.558,2,139,48,1
76,16844835208.842,16844835245.259,16844848582.736,12086.916,13373.894,1286.978,36.417,1250.561,-3373.894,1,3373.894,2,139,48,1
77,16844855208.842,16844855279.145,16844868902.430,11996.384,13693.588,1697.204,70.303,1626.901,-3693.588,1,3693.588,2,139,48,1
78,16844875208.842,16844875241.902,16844886950.958,10451.366,11742.116,1290.750,33.060,1257.690,-1742.116,1,1742.116,2,139,48,1
79,16844895208.842,16844895241.301,16844906905.202,10377.668,11696.360,1318.692,32.459,1286.233,-1696.360,1,1696.360,2,139,48,1
80,16844915208.842,16844915246.462,16844927065.298,10376.872,11856.456,1479.584,37.620,1441.964,-1856.456,1,1856.456,2,139,48,1
81,16844935208.842,16844935258.192,16844946886.723,10358.011,11677.881,1319.870,49.350,1270.520,-1677.881,1,1677.881,2,139,48,1
82,16844955208.842,16844955237.732,16844967064.894,10381.537,11856.052,1474.515,28.890,1445.625,-1856.052,1,1856.052,2,139,48,1
83,16844975208.842,16844975242.043,16844986963.136,10459.048,11754.294,1295.246,33.201,1262.045,-1754.294,1,1754.294,2,139,48,1
84,16844995208.842,16844995238.110,16845006945.240,10420.498,11736.398,1315.900,29.268,1286.632,-1736.398,1,1736.398,2,139,48,1
85,16845015208.842,16845015241.361,16845027347.442,10801.267,12138.600,1337.333,32.519,1304.814,-2138.600,1,2138.600,2,139,48,1
86,16845035208.842,16845035265.644,16845048025.822,11507.267,12816.980,1309.713,56.802,1252.911,-2816.980,1,2816.980,2,139,48,1
87,16845055208.842,16845055236.646,16845066844.951,10373.969,11636.109,1262.140,27.804,1234.336,-1636.109,1,1636.109,2,139,48,1
88,16845075208.842,16845075247.135,16845086996.301,10468.758,11787.459,1318.701,38.293,1280.408,-1787.459,1,1787.459,2,139,48,1
89,16845095208.842,16845095234.314,16845106867.626,10393.908,11658.784,1264.876,25.472,1239.404,-1658.784,1,1658.784,2,139,48,1
90,16845115208.842,16845115239.345,16845126932.535,10456.450,11723.693,1267.243,30.503,1236.740,-1723.693,1,1723.693,2,139,48,1
91,16845135208.842,16845135239.434,16845146935.220,10377.062,11726.378,1349.316,30.592,1318.724,-1726.378,1,1726.378,2,139,48,1
92,16845155208.842,16845155241.845,16845167037.914,10360.463,11829.072,1468.609,33.003,1435.606,-1829.072,1,1829.072,2,139,48,1
93,16845175208.842,16845175231.871,16845186974.778,10480.140,11765.936,1285.796,23.029,1262.767,-1765.936,1,1765.936,2,139,48,1
94,16845195208.842,16845195232.486,16845208418.464,11948.172,13209.622,1261.450,23.644,1237.806,-3209.622,1,3209.622,2,139,48,1
95,16845215208.842,16845215242.721,16845226833.029,10363.030,11624.187,1261.157,33.879,1227.278,-1624.187,1,1624.187,2,139,48,1
96,16845235208.842,16845235240.640,16845246837.694,10367.984,11628.852,1260.868,31.798,1229.070,-1628.852,1,1628.852,2,139,48,1
97,16845255208.842,16845255234.376,16845266837.551,10375.477,11628.709,1253.232,25.534,1227.698,-1628.709,1,1628.709,2,139,48,1
98,16845275208.842,16845275231.358,16845286912.233,10446.181,11703.391,1257.210,22.516,1234.694,-1703.391,1,1703.391,2,139,48,1
99,16845295208.842,16845295231.825,16845307235.201,10766.503,12026.359,1259.856,22.983,1236.873,-2026.359,1,2026.359,2,139,48,1
100,16845315208.842,16845315233.140,16845326961.224,10462.508,11752.382,1289.874,24.298,1265.576,-1752.382,1,1752.382,2,139,48,1
101,16845335208.842,16845335252.513,16845346902.775,10410.415,11693.933,1283.518,43.671,1239.847,-1693.933,1,1693.933,2,139,48,1
102,16845355208.842,16845355254.194,16845366890.878,10359.294,11682.036,1322.742,45.352,1277.390,-1682.036,1,1682.036,2,139,48,1
103,16845375208.842,16845375234.842,16845386919.480,10449.465,11710.638,1261.173,26.000,1235.173,-1710.638,1,1710.638,2,139,48,1
104,16845395208.842,16845395239.141,16845406875.123,10399.776,11666.281,1266.505,30.299,1236.206,-1666.281,1,1666.281,2,139,48,1
105,16845415208.842,16845415242.013,16845426832.858,10357.100,11624.016,1266.916,33.171,1233.745,-1624.016,1,1624.016,2,139,48,1
106,16845435208.842,16845435230.784,16845446818.206,10355.918,11609.364,1253.446,21.942,1231.504,-1609.364,1,1609.364,2,139,48,1
107,16845455208.842,16845455231.502,16845466808.298,10350.663,11599.456,1248.793,22.660,1226.133,-1599.456,1,1599.456,2,139,48,1
108,16845475208.842,16845475239.274,16845486953.136,10480.487,11744.294,1263.807,30.432,1233.375,-1744.294,1,1744.294,2,139,48,1
109,16845495208.842,16845495244.942,16845506844.238,10364.483,11635.396,1270.913,36.100,1234.813,-1635.396,1,1635.396,2,139,48,1
110,16845515208.842,16845515234.172,16845527054.320,10550.175,11845.478,1295.303,25.330,1269.973,-1845.478,1,1845.478,2,139,48,1
111,16845535208.842,16845535245.081,16845546855.432,10350.368,11646.590,1296.222,36.239,1259.983,-1646.590,1,1646.590,2,139,48,1
112,16845555208.842,16845555238.575,16845567145.129,10366.239,11936.287,1570.048,29.733,1540.315,-1936.287,1,1936.287,2,139,48,1
113,16845575208.842,16845575238.533,16845586958.145,10462.188,11749.303,1287.115,29.691,1257.424,-1749.303,1,1749.303,2,139,48,1
114,16845595208.842,16845595239.536,16845606878.764,10391.818,11669.922,1278.104,30.694,1247.410,-1669.922,1,1669.922,2,139,48,1
115,16845615208.842,16845615238.515,16845626887.833,10412.288,11678.991,1266.703,29.673,1237.030,-1678.991,1,1678.991,2,139,48,1
116,16845635208.842,16845635237.156,16845646975.382,10358.395,11766.540,1408.145,28.314,1379.831,-1766.540,1,1766.540,2,139,48,1
117,16845655208.842,16845655242.810,16845666833.527,10355.621,11624.685,1269.064,33.968,1235.096,-1624.685,1,1624.685,2,139,48,1
118,16845675208.842,16845675238.381,16845686938.691,10463.408,11729.849,1266.441,29.539,1236.902,-1729.849,1,1729.849,2,139,48,1
119,16845695208.842,16845695248.864,16845706854.908,10367.642,11646.066,1278.424,40.022,1238.402,-1646.066,1,1646.066,2,139,48,1
120,16845715208.842,16845715238.866,16845726901.332,10386.164,11692.490,1306.326,30.024,1276.302,-1692.490,1,1692.490,2,139,48,1
121,16845735208.842,16845735291.689,16845747339.204,10785.188,12130.362,1345.174,82.847,1262.327,-2130.362,1,2130.362,2,139,48,1
122,16845755208.842,16845755241.486,16845766837.110,10348.958,11628.268,1279.310,32.644,1246.666,-1628.268,1,1628.268,2,139,48,1
123,16845775208.842,16845775236.118,16845786969.219,10502.129,11760.377,1258.248,27.276,1230.972,-1760.377,1,1760.377,2,139,48,1
124,16845795208.842,16845795241.309,16845806840.303,10364.471,11631.461,1266.990,32.467,1234.523,-1631.461,1,1631.461,2,139,48,1
125,16845815208.842,16845815231.754,16845826839.312,10374.236,11630.470,1256.234,22.912,1233.322,-1630.470,1,1630.470,2,139,48,1
126,16845835208.842,16845835233.528,16845846867.508,10374.012,11658.666,1284.654,24.686,1259.968,-1658.666,1,1658.666,2,139,48,1
127,16845855208.842,16845855258.085,16845866886.529,10349.364,11677.687,1328.323,49.243,1279.080,-1677.687,1,1677.687,2,139,48,1
128,16845875208.842,16845875238.490,16845886977.407,10485.121,11768.565,1283.444,29.648,1253.796,-1768.565,1,1768.565,2,139,48,1
129,16845895208.842,16845895244.770,16845906858.687,10375.610,11649.845,1274.235,35.928,1238.307,-1649.845,1,1649.845,2,139,48,1
130,16845915208.842,16845915242.791,16845928055.906,11555.978,12847.064,1291.086,33.949,1257.137,-2847.064,1,2847.064,2,139,48,1
131,16845935208.842,16845935260.795,16845946919.196,10381.065,11710.354,1329.289,51.953,1277.336,-1710.354,1,1710.354,2,139,48,1
132,16845955208.842,16845955252.013,16845966852.608,10365.913,11643.766,1277.853,43.171,1234.682,-1643.766,1,1643.766,2,139,48,1
133,16845975208.842,16845975248.569,16845987014.574,10522.825,11805.732,1282.907,39.727,1243.180,-1805.732,1,1805.732,2,139,48,1
134,16845995208.842,16845995250.904,16846006902.129,10385.595,11693.287,1307.692,42.062,1265.630,-1693.287,1,1693.287,2,139,48,1
135,16846015208.842,16846015249.478,16846026876.411,10393.374,11667.569,1274.195,40.636,1233.559,-1667.569,1,1667.569,2,139,48,1
136,16846035208.842,16846035236.945,16846048925.369,12450.430,13716.527,1266.097,28.103,1237.994,-3716.527,1,3716.527,2,139,48,1
137,16846055208.842,16846055241.598,16846066851.381,10377.106,11642.539,1265.433,32.756,1232.677,-1642.539,1,1642.539,2,139,48,1
138,16846075208.842,16846075240.179,16846086991.325,10518.240,11782.483,1264.243,31.337,1232.906,-1782.483,1,1782.483,2,139,48,1
139,16846095208.842,16846095244.580,16846107148.507,10616.488,11939.665,1323.177,35.738,1287.439,-1939.665,1,1939.665,2,139,48,1
140,16846115208.842,16846115238.469,16846126861.623,10365.572,11652.781,1287.209,29.627,1257.582,-1652.781,1,1652.781,2,139,48,1
141,16846135208.842,16846135242.050,16846147959.483,11422.068,12750.641,1328.573,33.208,1295.365,-2750.641,1,2750.641,2,139,48,1
142,16846155208.842,16846155232.992,16846167050.419,10349.997,11841.577,1491.580,24.150,1467.430,-1841.577,1,1841.577,2,139,48,1
143,16846175208.842,16846175241.186,16846188592.415,12151.283,13383.573,1232.290,32.344,1199.946,-3383.573,1,3383.573,2,139,48,1
144,16846195208.842,16846195231.279,16846206925.593,10419.520,11716.751,1297.231,22.437,1274.794,-1716.751,1,1716.751,2,139,48,1
145,16846215208.842,16846215389.891,16846227169.598,10373.035,11960.756,1587.721,181.049,1406.672,-1960.756,1,1960.756,2,139,48,1
146,16846235208.842,16846235231.383,16846247043.941,10539.922,11835.099,1295.177,22.541,1272.636,-1835.099,1,1835.099,2,139,48,1
147,16846255208.842,16846255251.277,16846266903.972,10407.854,11695.130,1287.276,42.435,1244.841,-1695.130,1,1695.130,2,139,48,1
148,16846275208.842,16846275465.483,16846287416.955,10466.521,12208.113,1741.592,256.641,1484.951,-2208.113,1,2208.113,2,139,48,1
