# probe kind=matmul M=48 K=714 buf_kb=0 period_us=100000 priority=90 threads=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,16881904812.645,16881905053.359,16882020685.851,55577.250,115873.206,60295.956,240.714,60055.242,-15873.206,1,15873.206,2,714,48,1
1,16882104812.645,16882104933.496,16882219908.604,55091.436,115095.959,60004.523,120.851,59883.672,-15095.959,1,15095.959,2,714,48,1
2,16882304812.645,16882304873.806,16882419106.764,54380.600,114294.119,59913.519,61.161,59852.358,-14294.119,1,14294.119,2,714,48,1
3,16882504812.645,16882504947.698,16882619648.376,54808.825,114835.731,60026.906,135.053,59891.853,-14835.731,1,14835.731,2,714,48,1
4,16882704812.645,16882704870.401,16882819504.686,54766.245,114692.041,59925.796,57.756,59868.040,-14692.041,1,14692.041,2,714,48,1
5,16882904812.645,16882904863.331,16883019251.852,54519.663,114439.207,59919.544,50.686,59868.858,-14439.207,1,14439.207,2,714,48,1
6,16883104812.645,16883104872.393,16883219405.511,54678.880,114592.866,59913.986,59.748,59854.238,-14592.866,1,14592.866,2,714,48,1
7,16883304812.645,16883304874.916,16883419929.997,55128.502,115117.352,59988.850,62.271,59926.579,-15117.352,1,15117.352,2,714,48,1
8,16883504812.645,16883504945.161,16883619586.611,54755.180,114773.966,60018.786,132.516,59886.270,-14773.966,1,14773.966,2,714,48,1
9,16883704812.645,16883704869.106,16883820362.977,55629.928,115550.332,59920.404,56.461,59863.943,-15550.332,1,15550.332,2,714,48,1
10,16883904812.645,16883904870.987,16884019119.305,54385.100,114306.660,59921.560,58.342,59863.218,-14306.660,1,14306.660,2,714,48,1
11,16884104812.645,16884104864.708,16884219262.721,54533.755,114450.076,59916.321,52.063,59864.258,-14450.076,1,14450.076,2,714,48,1
12,16884304812.645,16884304864.504,16884418994.545,54016.173,114181.900,60165.727,51.859,60113.868,-14181.900,1,14181.900,2,714,48,1
13,16884504812.645,16884504882.239,16884619135.773,54327.263,114323.128,59995.865,69.594,59926.271,-14323.128,1,14323.128,2,714,48,1
14,16884704812.645,16884704871.445,16884819347.904,54609.095,114535.259,59926.164,58.800,59867.364,-14535.259,1,14535.259,2,714,48,1
15,16884904812.645,16884904932.686,16885020258.863,55398.994,115446.218,60047.224,120.041,59927.183,-15446.218,1,15446.218,2,714,48,1
16,16885104812.645,16885104865.836,16885218849.523,54120.123,114036.878,59916.755,53.191,59863.564,-14036.878,1,14036.878,2,714,48,1
17,16885304812.645,16885304874.554,16885419111.456,54372.739,114298.811,59926.072,61.909,59864.163,-14298.811,1,14298.811,2,714,48,1
18,16885504812.645,16885504870.124,16885619634.175,54850.478,114821.530,59971.052,57.479,59913.573,-14821.530,1,14821.530,2,714,48,1
19,16885704812.645,16885704864.400,16885822245.752,57517.261,117433.107,59915.846,51.755,59864.091,-17433.107,1,17433.107,2,714,48,1
20,16885904812.645,16885904867.722,16886019326.757,54537.424,114514.112,59976.688,55.077,59921.611,-14514.112,1,14514.112,2,714,48,1
21,16886104812.645,16886104935.211,16886222607.987,57786.831,117795.342,60008.511,122.566,59885.945,-17795.342,1,17795.342,2,714,48,1
22,16886304812.645,16886304866.269,16886420498.333,55753.952,115685.688,59931.736,53.624,59878.112,-15685.688,1,15685.688,2,714,48,1
23,16886504812.645,16886504944.625,16886620440.517,55451.973,115627.872,60175.899,131.980,60043.919,-15627.872,1,15627.872,2,714,48,1
24,16886704812.645,16886705018.424,16886819537.856,54459.809,114725.211,60265.402,205.779,60059.623,-14725.211,1,14725.211,2,714,48,1
25,16886904812.645,16886904866.258,16887019357.072,54570.058,114544.427,59974.369,53.613,59920.756,-14544.427,1,14544.427,2,714,48,1
26,16887104812.645,16887104873.630,16887220127.969,55349.422,115315.324,59965.902,60.985,59904.917,-15315.324,1,15315.324,2,714,48,1
27,16887304812.645,16887304868.692,16887420728.261,56000.249,115915.616,59915.367,56.047,59859.320,-15915.616,1,15915.616,2,714,48,1
28,16887504812.645,16887504866.362,16887619187.889,54466.584,114375.244,59908.660,53.717,59854.943,-14375.244,1,14375.244,2,714,48,1
29,16887704812.645,16887704870.793,16887826156.618,61417.333,121343.973,59926.640,58.148,59868.492,-21343.973,1,21343.973,2,714,48,1
30,16887904812.645,16887904865.728,16888018936.450,53886.063,114123.805,60237.742,53.083,60184.659,-14123.805,1,14123.805,2,714,48,1
31,16888104812.645,16888104996.728,16888219487.182,54437.634,114674.537,60236.903,184.083,60052.820,-14674.537,1,14674.537,2,714,48,1
32,16888304812.645,16888304866.787,16888419191.250,54455.879,114378.605,59922.726,54.142,59868.584,-14378.605,1,14378.605,2,714,48,1
33,16888504812.645,16888504932.511,16888619279.190,54477.575,114466.545,59988.970,119.866,59869.104,-14466.545,1,14466.545,2,714,48,1
34,16888704812.645,16888704943.362,16888820344.656,55475.451,115532.011,60056.560,130.717,59925.843,-15532.011,1,15532.011,2,714,48,1
35,16888904812.645,16888904863.411,16889018834.606,53818.803,114021.961,60203.158,50.766,60152.392,-14021.961,1,14021.961,2,714,48,1
36,16889104812.645,16889104962.331,16889219582.195,54628.311,114769.550,60141.239,149.686,59991.553,-14769.550,1,14769.550,2,714,48,1
37,16889304812.645,16889304851.867,16889419395.876,54676.426,114583.231,59906.805,39.222,59867.583,-14583.231,1,14583.231,2,714,48,1
38,16889504812.645,16889504866.861,16889619214.559,54483.460,114401.914,59918.454,54.216,59864.238,-14401.914,1,14401.914,2,714,48,1
39,16889704812.645,16889704872.571,16889819949.602,55220.616,115136.957,59916.341,59.926,59856.415,-15136.957,1,15136.957,2,714,48,1
40,16889904812.645,16889904875.808,16890019554.050,54752.231,114741.405,59989.174,63.163,59926.011,-14741.405,1,14741.405,2,714,48,1
41,16890104812.645,16890104868.672,16890219856.917,55068.761,115044.272,59975.511,56.027,59919.484,-15044.272,1,15044.272,2,714,48,1
42,16890304812.645,16890304868.853,16890419803.260,55016.127,114990.615,59974.488,56.208,59918.280,-14990.615,1,14990.615,2,714,48,1
43,16890504812.645,16890504912.932,16890619168.091,54377.958,114355.446,59977.488,100.287,59877.201,-14355.446,1,14355.446,2,714,48,1
44,16890704812.645,16890704943.342,16890820183.128,55311.319,115370.483,60059.164,130.697,59928.467,-15370.483,1,15370.483,2,714,48,1
45,16890904812.645,16890904865.275,16891019048.708,54321.024,114236.063,59915.039,52.630,59862.409,-14236.063,1,14236.063,2,714,48,1
46,16891104812.645,16891104858.542,16891218995.530,54272.041,114182.885,59910.844,45.897,59864.947,-14182.885,1,14182.885,2,714,48,1
47,16891304812.645,16891304877.216,16891419111.011,54370.639,114298.366,59927.727,64.571,59863.156,-14298.366,1,14298.366,2,714,48,1
48,16891504812.645,16891504865.378,16891619111.294,54348.557,114298.649,59950.092,52.733,59897.359,-14298.649,1,14298.649,2,714,48,1
49,16891704812.645,16891704855.182,16891818966.909,54238.928,114154.264,59915.336,42.537,59872.799,-14154.264,1,14154.264,2,714,48,1
50,16891904812.645,16891904871.518,16892020305.364,55562.825,115492.719,59929.894,58.873,59871.021,-15492.719,1,15492.719,2,714,48,1
51,16892104812.645,16892104861.324,16892219061.585,54338.747,114248.940,59910.193,48.679,59861.514,-14248.940,1,14248.940,2,714,48,1
52,16892304812.645,16892304863.277,16892419232.227,54505.931,114419.582,59913.651,50.632,59863.019,-14419.582,1,14419.582,2,714,48,1
53,16892504812.645,16892504863.958,16892619144.123,54075.398,114331.478,60256.080,51.313,60204.767,-14331.478,1,14331.478,2,714,48,1
54,16892704812.645,16892705147.666,16892818849.758,54361.401,114037.113,59675.712,335.021,59340.691,-14037.113,1,14037.113,2,714,48,1
55,16892904812.645,16892904970.695,16893019484.998,54509.004,114672.353,60163.349,158.050,60005.299,-14672.353,1,14672.353,2,714,48,1
56,16893104812.645,16893104930.489,16893219416.592,54555.638,114603.947,60048.309,117.844,59930.465,-14603.947,1,14603.947,2,714,48,1
57,16893304812.645,16893304936.171,16893419410.176,54596.733,114597.531,60000.798,123.526,59877.272,-14597.531,1,14597.531,2,714,48,1
58,16893504812.645,16893504866.530,16893619311.370,54583.249,114498.725,59915.476,53.885,59861.591,-14498.725,1,14498.725,2,714,48,1
59,16893704812.645,16893704870.771,16893820259.663,55521.376,115447.018,59925.642,58.126,59867.516,-15447.018,1,15447.018,2,714,48,1
60,16893904812.645,16893904868.447,16894019394.386,54657.197,114581.741,59924.544,55.802,59868.742,-14581.741,1,14581.741,2,714,48,1
61,16894104812.645,16894104871.626,16894219325.597,54591.424,114512.952,59921.528,58.981,59862.547,-14512.952,1,14512.952,2,714,48,1
62,16894304812.645,16894304940.623,16894419554.242,54734.857,114741.597,60006.740,127.978,59878.762,-14741.597,1,14741.597,2,714,48,1
63,16894504812.645,16894504871.266,16894619173.250,54439.763,114360.605,59920.842,58.621,59862.221,-14360.605,1,14360.605,2,714,48,1
