# probe kind=matmul M=48 K=53 buf_kb=0 period_us=10000 priority=90 threads=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,12625615237.108,12625615268.158,12625625567.317,3971.593,10330.209,6358.616,31.050,6327.566,-330.209,1,330.209,2,53,48,1
1,12625635237.108,12625635269.750,12625645610.768,3948.435,10373.660,6425.225,32.642,6392.583,-373.660,1,373.660,2,53,48,1
2,12625655237.108,12625655265.871,12625665646.841,3989.432,10409.733,6420.301,28.763,6391.538,-409.733,1,409.733,2,53,48,1
3,12625675237.108,12625675266.395,12625685573.520,3952.924,10336.412,6383.488,29.287,6354.201,-336.412,1,336.412,2,53,48,1
4,12625695237.108,12625695260.336,12625705661.820,3984.028,10424.712,6440.684,23.228,6417.456,-424.712,1,424.712,2,53,48,1
5,12625715237.108,12625715259.469,12625726453.293,4868.666,11216.185,6347.519,22.361,6325.158,-1216.185,1,1216.185,2,53,48,1
6,12625735237.108,12625735264.535,12625745467.213,3943.526,10230.105,6286.579,27.427,6259.152,-230.105,1,230.105,2,53,48,1
7,12625755237.108,12625755265.401,12625765572.960,3946.835,10335.852,6389.017,28.293,6360.724,-335.852,1,335.852,2,53,48,1
8,12625775237.108,12625775257.451,12625785614.151,4011.553,10377.043,6365.490,20.343,6345.147,-377.043,1,377.043,2,53,48,1
9,12625795237.108,12625795259.534,12625805570.908,3936.176,10333.800,6397.624,22.426,6375.198,-333.800,1,333.800,2,53,48,1
10,12625815237.108,12625815260.198,12625825639.335,3930.264,10402.227,6471.963,23.090,6448.873,-402.227,1,402.227,2,53,48,1
11,12625835237.108,12625835258.711,12625845545.085,3950.385,10307.977,6357.592,21.603,6335.989,-307.977,1,307.977,2,53,48,1
12,12625855237.108,12625855260.082,12625865663.526,3959.725,10426.418,6466.693,22.974,6443.719,-426.418,1,426.418,2,53,48,1
13,12625875237.108,12625875262.407,12625885645.318,4102.353,10408.210,6305.857,25.299,6280.558,-408.210,1,408.210,2,53,48,1
14,12625895237.108,12625895269.503,12625905626.389,3936.552,10389.281,6452.729,32.395,6420.334,-389.281,1,389.281,2,53,48,1
15,12625915237.108,12625915259.190,12625925565.804,3936.366,10328.696,6392.330,22.082,6370.248,-328.696,1,328.696,2,53,48,1
16,12625935237.108,12625935266.110,12625945584.251,3945.237,10347.143,6401.906,29.002,6372.904,-347.143,1,347.143,2,53,48,1
17,12625955237.108,12625955262.991,12625965558.024,3933.521,10320.916,6387.395,25.883,6361.512,-320.916,1,320.916,2,53,48,1
18,12625975237.108,12625975263.530,12625985560.094,4022.399,10322.986,6300.587,26.422,6274.165,-322.986,1,322.986,2,53,48,1
