# probe kind=ptrchase M=48 K=477 buf_kb=131072 period_us=100000 priority=90 threads=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,26266809479.806,26266809539.669,26266837990.043,28397.076,28510.237,113.161,59.863,53.298,71489.763,0,0.000,0,477,48,0
1,26266909479.806,26266909537.870,26266938389.308,28791.041,28909.502,118.461,58.064,60.397,71090.498,0,0.000,0,477,48,0
2,26267009479.806,26267009536.262,26267038022.987,28447.548,28543.181,95.633,56.456,39.177,71456.819,0,0.000,0,477,48,0
3,26267109479.806,26267109542.531,26267138012.849,28425.096,28533.043,107.947,62.725,45.222,71466.957,0,0.000,0,477,48,0
4,26267209479.806,26267209527.249,26267238033.696,28475.466,28553.890,78.424,47.443,30.981,71446.110,0,0.000,0,477,48,0
5,26267309479.806,26267309529.487,26267338047.743,28488.393,28567.937,79.544,49.681,29.863,71432.063,0,0.000,0,477,48,0
6,26267409479.806,26267409522.135,26267437795.276,28247.830,28315.470,67.640,42.329,25.311,71684.530,0,0.000,0,477,48,0
7,26267509479.806,26267509532.815,26267538186.350,28624.449,28706.544,82.095,53.009,29.086,71293.456,0,0.000,0,477,48,0
8,26267609479.806,26267609530.211,26267638046.830,28469.751,28567.024,97.273,50.405,46.868,71432.976,0,0.000,0,477,48,0
9,26267709479.806,26267709535.970,26267737859.677,28292.609,28379.871,87.262,56.164,31.098,71620.129,0,0.000,0,477,48,0
10,26267809479.806,26267809541.526,26267837866.307,28298.159,28386.501,88.342,61.720,26.622,71613.499,0,0.000,0,477,48,0
11,26267909479.806,26267909539.081,26267938902.623,29328.400,29422.817,94.417,59.275,35.142,70577.183,0,0.000,0,477,48,0
12,26268009479.806,26268009534.559,26268037944.211,28378.838,28464.405,85.567,54.753,30.814,71535.595,0,0.000,0,477,48,0
13,26268109479.806,26268109537.638,26268138087.905,28520.320,28608.099,87.779,57.832,29.947,71391.901,0,0.000,0,477,48,0
14,26268209479.806,26268209530.299,26268237929.926,28368.703,28450.120,81.417,50.493,30.924,71549.880,0,0.000,0,477,48,0
15,26268309479.806,26268309530.076,26268338414.276,28852.415,28934.470,82.055,50.270,31.785,71065.530,0,0.000,0,477,48,0
16,26268409479.806,26268409562.023,26268438151.667,28555.215,28671.861,116.646,82.217,34.429,71328.139,0,0.000,0,477,48,0
17,26268509479.806,26268509558.930,26268538233.863,28645.541,28754.057,108.516,79.124,29.392,71245.943,0,0.000,0,477,48,0
18,26268609479.806,26268609541.332,26268639078.515,29498.892,29598.709,99.817,61.526,38.291,70401.291,0,0.000,0,477,48,0
19,26268709479.806,26268709542.266,26268738262.225,28686.089,28782.419,96.330,62.460,33.870,71217.581,0,0.000,0,477,48,0
