# probe kind=ptrchase M=48 K=71 buf_kb=131072 period_us=10000 priority=90 threads=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,8132963419.798,8132963477.477,8132968233.354,4719.637,4813.556,93.919,57.679,36.240,5186.444,0,0.000,0,71,48,0
1,8132973419.798,8132973455.754,8132978125.919,4623.442,4706.121,82.679,35.956,46.723,5293.879,0,0.000,0,71,48,0
2,8132983419.798,8132983454.315,8132987927.749,4430.108,4507.951,77.843,34.517,43.326,5492.049,0,0.000,0,71,48,0
3,8132993419.798,8132993453.780,8132997968.365,4472.297,4548.567,76.270,33.982,42.288,5451.433,0,0.000,0,71,48,0
4,8133003419.798,8133003451.941,8133007955.251,4462.376,4535.453,73.077,32.143,40.934,5464.547,0,0.000,0,71,48,0
5,8133013419.798,8133013451.628,8133017934.979,4443.089,4515.181,72.092,31.830,40.262,5484.819,0,0.000,0,71,48,0
6,8133023419.798,8133023448.843,8133027956.678,4470.172,4536.880,66.708,29.045,37.663,5463.120,0,0.000,0,71,48,0
7,8133033419.798,8133033450.601,8133038063.307,4571.346,4643.509,72.163,30.803,41.360,5356.491,0,0.000,0,71,48,0
8,8133043419.798,8133043449.512,8133047867.301,4379.692,4447.503,67.811,29.714,38.097,5552.497,0,0.000,0,71,48,0
9,8133053419.798,8133053449.968,8133057887.467,4398.980,4467.669,68.689,30.170,38.519,5532.331,0,0.000,0,71,48,0
10,8133063419.798,8133063453.241,8133067949.353,4460.541,4529.555,69.014,33.443,35.571,5470.445,0,0.000,0,71,48,0
11,8133073419.798,8133073455.249,8133077963.494,4461.901,4543.696,81.795,35.451,46.344,5456.304,0,0.000,0,71,48,0
12,8133083419.798,8133083455.058,8133088063.116,4559.362,4643.318,83.956,35.260,48.696,5356.682,0,0.000,0,71,48,0
13,8133093419.798,8133093452.801,8133098360.446,4865.058,4940.648,75.590,33.003,42.587,5059.352,0,0.000,0,71,48,0
14,8133103419.798,8133103450.156,8133108239.879,4751.020,4820.081,69.061,30.358,38.703,5179.919,0,0.000,0,71,48,0
15,8133113419.798,8133113451.668,8133118226.753,4735.341,4806.955,71.614,31.870,39.744,5193.045,0,0.000,0,71,48,0
16,8133123419.798,8133123450.872,8133128112.775,4621.814,4692.977,71.163,31.074,40.089,5307.023,0,0.000,0,71,48,0
17,8133133419.798,8133133452.102,8133138048.473,4546.010,4628.675,82.665,32.304,50.361,5371.325,0,0.000,0,71,48,0
18,8133143419.798,8133143456.112,8133148169.921,4661.734,4750.123,88.389,36.314,52.075,5249.877,0,0.000,0,71,48,0
19,8133153419.798,8133153450.303,8133158165.390,4663.801,4745.592,81.791,30.505,51.286,5254.408,0,0.000,0,71,48,0
20,8133163419.798,8133163455.512,8133168111.030,4600.537,4691.232,90.695,35.714,54.981,5308.768,0,0.000,0,71,48,0
21,8133173419.798,8133173455.532,8133178088.697,4583.084,4668.899,85.815,35.734,50.081,5331.101,0,0.000,0,71,48,0
22,8133183419.798,8133183452.522,8133188116.702,4610.969,4696.904,85.935,32.724,53.211,5303.096,0,0.000,0,71,48,0
23,8133193419.798,8133193452.040,8133198704.548,5189.217,5284.750,95.533,32.242,63.291,4715.250,0,0.000,0,71,48,0
24,8133203419.798,8133203450.777,8133208047.206,4556.112,4627.408,71.296,30.979,40.317,5372.592,0,0.000,0,71,48,0
25,8133213419.798,8133213448.607,8133218021.123,4529.011,4601.325,72.314,28.809,43.505,5398.675,0,0.000,0,71,48,0
26,8133223419.798,8133223448.202,8133227966.166,4482.421,4546.368,63.947,28.404,35.543,5453.632,0,0.000,0,71,48,0
27,8133233419.798,8133233447.555,8133237938.926,4453.518,4519.128,65.610,27.757,37.853,5480.872,0,0.000,0,71,48,0
28,8133243419.798,8133243445.539,8133247869.235,4387.967,4449.437,61.470,25.741,35.729,5550.563,0,0.000,0,71,48,0
29,8133253419.798,8133253454.466,8133258174.320,4679.095,4754.522,75.427,34.668,40.759,5245.478,0,0.000,0,71,48,0
30,8133263419.798,8133263455.248,8133268259.154,4745.373,4839.356,93.983,35.450,58.533,5160.644,0,0.000,0,71,48,0
31,8133273419.798,8133273453.752,8133278190.376,4694.410,4770.578,76.168,33.954,42.214,5229.422,0,0.000,0,71,48,0
32,8133283419.798,8133283451.569,8133287907.380,4416.825,4487.582,70.757,31.771,38.986,5512.418,0,0.000,0,71,48,0
33,8133293419.798,8133293453.101,8133298213.254,4721.092,4793.456,72.364,33.303,39.061,5206.544,0,0.000,0,71,48,0
34,8133303419.798,8133303453.312,8133308246.740,4750.343,4826.942,76.599,33.514,43.085,5173.058,0,0.000,0,71,48,0
35,8133313419.798,8133313449.348,8133318042.093,4554.291,4622.295,68.004,29.550,38.454,5377.705,0,0.000,0,71,48,0
36,8133323419.798,8133323450.559,8133328015.325,4524.159,4595.527,71.368,30.761,40.607,5404.473,0,0.000,0,71,48,0
37,8133333419.798,8133333448.926,8133337984.816,4501.378,4565.018,63.640,29.128,34.512,5434.982,0,0.000,0,71,48,0
38,8133343419.798,8133343451.493,8133348239.352,4749.822,4819.554,69.732,31.695,38.037,5180.446,0,0.000,0,71,48,0
39,8133353419.798,8133353449.625,8133357962.897,4478.712,4543.099,64.387,29.827,34.560,5456.901,0,0.000,0,71,48,0
40,8133363419.798,8133363446.367,8133367961.535,4481.147,4541.737,60.590,26.569,34.021,5458.263,0,0.000,0,71,48,0
41,8133373419.798,8133373445.501,8133377941.392,4461.736,4521.594,59.858,25.703,34.155,5478.406,0,0.000,0,71,48,0
42,8133383419.798,8133383444.822,8133387907.746,4427.220,4487.948,60.728,25.024,35.704,5512.052,0,0.000,0,71,48,0
43,8133393419.798,8133393442.711,8133397965.655,4489.160,4545.857,56.697,22.913,33.784,5454.143,0,0.000,0,71,48,0
44,8133403419.798,8133403442.606,8133407939.094,4461.542,4519.296,57.754,22.808,34.946,5480.704,0,0.000,0,71,48,0
45,8133413419.798,8133413449.487,8133417979.063,4504.503,4559.265,54.762,29.689,25.073,5440.735,0,0.000,0,71,48,0
46,8133423419.798,8133423449.331,8133428012.888,4539.774,4593.090,53.316,29.533,23.783,5406.910,0,0.000,0,71,48,0
47,8133433419.798,8133433444.849,8133437851.433,4373.923,4431.635,57.712,25.051,32.661,5568.365,0,0.000,0,71,48,0
48,8133443419.798,8133443446.895,8133447844.027,4365.379,4424.229,58.850,27.097,31.753,5575.771,0,0.000,0,71,48,0
49,8133453419.798,8133453445.503,8133457845.124,4368.419,4425.326,56.907,25.705,31.202,5574.674,0,0.000,0,71,48,0
50,8133463419.798,8133463447.887,8133467944.412,4463.619,4524.614,60.995,28.089,32.906,5475.386,0,0.000,0,71,48,0
51,8133473419.798,8133473443.201,8133477985.180,4510.477,4565.382,54.905,23.403,31.502,5434.618,0,0.000,0,71,48,0
52,8133483419.798,8133483448.996,8133488217.093,4704.386,4797.295,92.909,29.198,63.711,5202.705,0,0.000,0,71,48,0
53,8133493419.798,8133493445.301,8133498217.450,4735.833,4797.652,61.819,25.503,36.316,5202.348,0,0.000,0,71,48,0
54,8133503419.798,8133503444.471,8133508221.042,4745.273,4801.244,55.971,24.673,31.298,5198.756,0,0.000,0,71,48,0
55,8133513419.798,8133513443.520,8133518173.001,4690.657,4753.203,62.546,23.722,38.824,5246.797,0,0.000,0,71,48,0
56,8133523419.798,8133523468.000,8133527951.056,4454.167,4531.258,77.091,48.202,28.889,5468.742,0,0.000,0,71,48,0
57,8133533419.798,8133533446.959,8133538226.189,4735.174,4806.391,71.217,27.161,44.056,5193.609,0,0.000,0,71,48,0
58,8133543419.798,8133543446.206,8133548191.870,4703.747,4772.072,68.325,26.408,41.917,5227.928,0,0.000,0,71,48,0
59,8133553419.798,8133553448.069,8133558051.959,4556.582,4632.161,75.579,28.271,47.308,5367.839,0,0.000,0,71,48,0
60,8133563419.798,8133563443.358,8133567909.399,4429.909,4489.601,59.692,23.560,36.132,5510.399,0,0.000,0,71,48,0
61,8133573419.798,8133573448.995,8133577958.926,4467.857,4539.128,71.271,29.197,42.074,5460.872,0,0.000,0,71,48,0
62,8133583419.798,8133583451.095,8133587948.786,4459.672,4528.988,69.316,31.297,38.019,5471.012,0,0.000,0,71,48,0
63,8133593419.798,8133593449.684,8133597945.251,4458.982,4525.453,66.471,29.886,36.585,5474.547,0,0.000,0,71,48,0
64,8133603419.798,8133603446.700,8133607895.991,4412.848,4476.193,63.345,26.902,36.443,5523.807,0,0.000,0,71,48,0
65,8133613419.798,8133613447.171,8133617831.180,4346.427,4411.382,64.955,27.373,37.582,5588.618,0,0.000,0,71,48,0
66,8133623419.798,8133623446.915,8133627827.715,4348.181,4407.917,59.736,27.117,32.619,5592.083,0,0.000,0,71,48,0
67,8133633419.798,8133633444.825,8133637923.793,4444.513,4503.995,59.482,25.027,34.455,5496.005,0,0.000,0,71,48,0
68,8133643419.798,8133643446.696,8133647894.607,4414.211,4474.809,60.598,26.898,33.700,5525.191,0,0.000,0,71,48,0
69,8133653419.798,8133653446.813,8133657958.810,4476.150,4539.012,62.862,27.015,35.847,5460.988,0,0.000,0,71,48,0
70,8133663419.798,8133663451.616,8133668200.427,4714.998,4780.629,65.631,31.818,33.813,5219.371,0,0.000,0,71,48,0
71,8133673419.798,8133673448.002,8133677952.477,4471.094,4532.679,61.585,28.204,33.381,5467.321,0,0.000,0,71,48,0
72,8133683419.798,8133683445.956,8133687878.400,4397.285,4458.602,61.317,26.158,35.159,5541.398,0,0.000,0,71,48,0
73,8133693419.798,8133693445.944,8133697891.240,4412.184,4471.442,59.258,26.146,33.112,5528.558,0,0.000,0,71,48,0
74,8133703419.798,8133703442.705,8133707894.612,4422.405,4474.814,52.409,22.907,29.502,5525.186,0,0.000,0,71,48,0
75,8133713419.798,8133713447.234,8133718009.687,4521.059,4589.889,68.830,27.436,41.394,5410.111,0,0.000,0,71,48,0
76,8133723419.798,8133723447.860,8133727905.880,4422.569,4486.082,63.513,28.062,35.451,5513.918,0,0.000,0,71,48,0
77,8133733419.798,8133733448.083,8133737875.989,4393.715,4456.191,62.476,28.285,34.191,5543.809,0,0.000,0,71,48,0
78,8133743419.798,8133743446.852,8133748084.381,4598.684,4664.583,65.899,27.054,38.845,5335.417,0,0.000,0,71,48,0
79,8133753419.798,8133753457.545,8133758047.123,4559.521,4627.325,67.804,37.747,30.057,5372.675,0,0.000,0,71,48,0
80,8133763419.798,8133763452.188,8133768161.356,4672.608,4741.558,68.950,32.390,36.560,5258.442,0,0.000,0,71,48,0
81,8133773419.798,8133773448.928,8133778147.580,4660.575,4727.782,67.207,29.130,38.077,5272.218,0,0.000,0,71,48,0
82,8133783419.798,8133783450.505,8133787975.613,4485.208,4555.815,70.607,30.707,39.900,5444.185,0,0.000,0,71,48,0
83,8133793419.798,8133793447.225,8133797848.898,4366.182,4429.100,62.918,27.427,35.491,5570.900,0,0.000,0,71,48,0
84,8133803419.798,8133803445.242,8133807883.065,4402.230,4463.267,61.037,25.444,35.593,5536.733,0,0.000,0,71,48,0
85,8133813419.798,8133813444.521,8133817923.501,4447.994,4503.703,55.709,24.723,30.986,5496.297,0,0.000,0,71,48,0
86,8133823419.798,8133823444.079,8133827903.014,4426.655,4483.216,56.561,24.281,32.280,5516.784,0,0.000,0,71,48,0
87,8133833419.798,8133833443.798,8133837970.269,4494.169,4550.471,56.302,24.000,32.302,5449.529,0,0.000,0,71,48,0
88,8133843419.798,8133843445.391,8133847851.943,4375.692,4432.145,56.453,25.593,30.860,5567.855,0,0.000,0,71,48,0
89,8133853419.798,8133853445.679,8133858025.418,4536.913,4605.620,68.707,25.881,42.826,5394.380,0,0.000,0,71,48,0
