# probe kind=ptrchase M=48 K=96 buf_kb=131072 period_us=10000 priority=90 threads=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,51378452497.908,51378452524.436,51378458792.525,6247.597,6294.617,47.020,26.528,20.492,3705.383,0,0.000,0,96,48,0
1,51378462497.908,51378462524.519,51378468692.401,6150.902,6194.493,43.591,26.611,16.980,3805.507,0,0.000,0,96,48,0
2,51378472497.908,51378472519.506,51378478733.687,6197.676,6235.779,38.103,21.598,16.505,3764.221,0,0.000,0,96,48,0
3,51378482497.908,51378482530.461,51378488728.861,6181.878,6230.953,49.075,32.553,16.522,3769.047,0,0.000,0,96,48,0
4,51378492497.908,51378492531.190,51378498744.295,6197.043,6246.387,49.344,33.282,16.062,3753.613,0,0.000,0,96,48,0
5,51378502497.908,51378502528.605,51378508733.496,6188.785,6235.588,46.803,30.697,16.106,3764.412,0,0.000,0,96,48,0
6,51378512497.908,51378512532.786,51378519120.186,6571.784,6622.278,50.494,34.878,15.616,3377.722,0,0.000,0,96,48,0
7,51378522497.908,51378522532.499,51378528760.369,6210.240,6262.461,52.221,34.591,17.630,3737.539,0,0.000,0,96,48,0
8,51378532497.908,51378532534.519,51378538736.703,6185.742,6238.795,53.053,36.611,16.442,3761.205,0,0.000,0,96,48,0
9,51378542497.908,51378542529.653,51378548710.523,6164.775,6212.615,47.840,31.745,16.095,3787.385,0,0.000,0,96,48,0
10,51378552497.908,51378552521.369,51378558762.452,6224.242,6264.544,40.302,23.461,16.841,3735.456,0,0.000,0,96,48,0
11,51378562497.908,51378562533.744,51378568759.209,6209.569,6261.301,51.732,35.836,15.896,3738.699,0,0.000,0,96,48,0
12,51378572497.908,51378572519.373,51378578847.240,6311.419,6349.332,37.913,21.465,16.448,3650.668,0,0.000,0,96,48,0
13,51378582497.908,51378582521.634,51378588772.043,6234.565,6274.135,39.570,23.726,15.844,3725.865,0,0.000,0,96,48,0
14,51378592497.908,51378592519.459,51378598755.881,6220.370,6257.973,37.603,21.551,16.052,3742.027,0,0.000,0,96,48,0
15,51378602497.908,51378602529.224,51378608800.771,6255.642,6302.863,47.221,31.316,15.905,3697.137,0,0.000,0,96,48,0
16,51378612497.908,51378612519.643,51378618793.064,6256.998,6295.156,38.158,21.735,16.423,3704.844,0,0.000,0,96,48,0
17,51378622497.908,51378622530.108,51378628738.605,6185.623,6240.697,55.074,32.200,22.874,3759.303,0,0.000,0,96,48,0
18,51378632497.908,51378632522.827,51378638785.726,6234.783,6287.818,53.035,24.919,28.116,3712.182,0,0.000,0,96,48,0
19,51378642497.908,51378642523.262,51378648743.845,6204.327,6245.937,41.610,25.354,16.256,3754.063,0,0.000,0,96,48,0
20,51378652497.908,51378652521.266,51378658803.243,6264.467,6305.335,40.868,23.358,17.510,3694.665,0,0.000,0,96,48,0
21,51378662497.908,51378662530.079,51378668738.298,6192.230,6240.390,48.160,32.171,15.989,3759.610,0,0.000,0,96,48,0
22,51378672497.908,51378672519.352,51378678688.054,6152.624,6190.146,37.522,21.444,16.078,3809.854,0,0.000,0,96,48,0
23,51378682497.908,51378682521.717,51378688715.491,6177.471,6217.583,40.112,23.809,16.303,3782.417,0,0.000,0,96,48,0
24,51378692497.908,51378692519.700,51378698683.364,6147.568,6185.456,37.888,21.792,16.096,3814.544,0,0.000,0,96,48,0
25,51378702497.908,51378702519.284,51378708711.604,6175.931,6213.696,37.765,21.376,16.389,3786.304,0,0.000,0,96,48,0
26,51378712497.908,51378712529.469,51378718724.216,6178.081,6226.308,48.227,31.561,16.666,3773.692,0,0.000,0,96,48,0
27,51378722497.908,51378722532.529,51378728658.962,6109.934,6161.054,51.120,34.621,16.499,3838.946,0,0.000,0,96,48,0
28,51378732497.908,51378732521.171,51378738649.694,6111.920,6151.786,39.866,23.263,16.603,3848.214,0,0.000,0,96,48,0
29,51378742497.908,51378742520.443,51378748628.214,6091.425,6130.306,38.881,22.535,16.346,3869.694,0,0.000,0,96,48,0
30,51378752497.908,51378752533.227,51378758662.315,6112.789,6164.407,51.618,35.319,16.299,3835.593,0,0.000,0,96,48,0
31,51378762497.908,51378762531.228,51378768602.428,6054.954,6104.520,49.566,33.320,16.246,3895.480,0,0.000,0,96,48,0
32,51378772497.908,51378772518.125,51378778552.477,6018.362,6054.569,36.207,20.217,15.990,3945.431,0,0.000,0,96,48,0
33,51378782497.908,51378782530.807,51378788592.076,6045.222,6094.168,48.946,32.899,16.047,3905.832,0,0.000,0,96,48,0
34,51378792497.908,51378792525.867,51378798648.690,6106.627,6150.782,44.155,27.959,16.196,3849.218,0,0.000,0,96,48,0
35,51378802497.908,51378802523.837,51378808672.736,6132.413,6174.828,42.415,25.929,16.486,3825.172,0,0.000,0,96,48,0
36,51378812497.908,51378812519.461,51378818772.846,6236.828,6274.938,38.110,21.553,16.557,3725.062,0,0.000,0,96,48,0
37,51378822497.908,51378822527.522,51378828838.260,6294.079,6340.352,46.273,29.614,16.659,3659.648,0,0.000,0,96,48,0
