# probe kind=ptrchase M=48 K=1080 buf_kb=131072 period_us=100000 priority=90 threads=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,5287381593.875,5287381646.888,5287456888.093,75205.985,75294.218,88.233,53.013,35.220,24705.782,0,0.000,0,1080,48,0
1,5287481593.875,5287481630.699,5287556234.875,74574.510,74641.000,66.490,36.824,29.666,25359.000,0,0.000,0,1080,48,0
2,5287581593.875,5287581640.018,5287657085.832,75412.938,75491.957,79.019,46.143,32.876,24508.043,0,0.000,0,1080,48,0
3,5287681593.875,5287681635.089,5287756669.888,74998.945,75076.013,77.068,41.214,35.854,24923.987,0,0.000,0,1080,48,0
4,5287781593.875,5287781637.862,5287858413.339,76723.339,76819.464,96.125,43.987,52.138,23180.536,0,0.000,0,1080,48,0
5,5287881593.875,5287881636.366,5287957645.204,75956.147,76051.329,95.182,42.491,52.691,23948.671,0,0.000,0,1080,48,0
6,5287981593.875,5287981633.029,5288056856.394,75187.409,75262.519,75.110,39.154,35.956,24737.481,0,0.000,0,1080,48,0
7,5288081593.875,5288081634.335,5288156043.409,74371.657,74449.534,77.877,40.460,37.417,25550.466,0,0.000,0,1080,48,0
8,5288181593.875,5288181648.848,5288256724.853,75041.501,75130.978,89.477,54.973,34.504,24869.022,0,0.000,0,1080,48,0
9,5288281593.875,5288281633.117,5288355671.650,74001.215,74077.775,76.560,39.242,37.318,25922.225,0,0.000,0,1080,48,0
10,5288381593.875,5288381629.456,5288456710.291,75046.894,75116.416,69.522,35.581,33.941,24883.584,0,0.000,0,1080,48,0
11,5288481593.875,5288481630.945,5288555841.552,74176.915,74247.677,70.762,37.070,33.692,25752.323,0,0.000,0,1080,48,0
12,5288581593.875,5288581630.009,5288655696.788,74031.286,74102.913,71.627,36.134,35.493,25897.087,0,0.000,0,1080,48,0
13,5288681593.875,5288681643.511,5288756816.840,75139.975,75222.965,82.990,49.636,33.354,24777.035,0,0.000,0,1080,48,0
14,5288781593.875,5288781631.607,5288856604.898,74931.072,75011.023,79.951,37.732,42.219,24988.977,0,0.000,0,1080,48,0
15,5288881593.875,5288881647.359,5288956268.135,74589.510,74674.260,84.750,53.484,31.266,25325.740,0,0.000,0,1080,48,0
16,5288981593.875,5288981630.240,5289056844.613,75174.594,75250.738,76.144,36.365,39.779,24749.262,0,0.000,0,1080,48,0
17,5289081593.875,5289081630.188,5289156970.848,75302.511,75376.973,74.462,36.313,38.149,24623.027,0,0.000,0,1080,48,0
18,5289181593.875,5289181633.276,5289255167.857,73497.906,73573.982,76.076,39.401,36.675,26426.018,0,0.000,0,1080,48,0
19,5289281593.875,5289281634.893,5289356204.861,74537.901,74610.986,73.085,41.018,32.067,25389.014,0,0.000,0,1080,48,0
20,5289381593.875,5289381633.563,5289456273.593,74604.092,74679.718,75.626,39.688,35.938,25320.282,0,0.000,0,1080,48,0
21,5289481593.875,5289481631.127,5289556365.975,74705.750,74772.100,66.350,37.252,29.098,25227.900,0,0.000,0,1080,48,0
22,5289581593.875,5289581633.525,5289656518.167,74851.052,74924.292,73.240,39.650,33.590,25075.708,0,0.000,0,1080,48,0
23,5289681593.875,5289681629.017,5289756171.664,74506.808,74577.789,70.981,35.142,35.839,25422.211,0,0.000,0,1080,48,0
24,5289781593.875,5289781634.179,5289856684.211,75013.319,75090.336,77.017,40.304,36.713,24909.664,0,0.000,0,1080,48,0
25,5289881593.875,5289881636.336,5289957687.922,75998.118,76094.047,95.929,42.461,53.468,23905.953,0,0.000,0,1080,48,0
26,5289981593.875,5289981632.441,5290056596.713,74924.472,75002.838,78.366,38.566,39.800,24997.162,0,0.000,0,1080,48,0
27,5290081593.875,5290081633.250,5290156777.642,75106.896,75183.767,76.871,39.375,37.496,24816.233,0,0.000,0,1080,48,0
28,5290181593.875,5290181631.895,5290255837.061,74165.809,74243.186,77.377,38.020,39.357,25756.814,0,0.000,0,1080,48,0
29,5290281593.875,5290281634.611,5290356722.224,75055.567,75128.349,72.782,40.736,32.046,24871.651,0,0.000,0,1080,48,0
30,5290381593.875,5290381640.698,5290455689.346,74014.016,74095.471,81.455,46.823,34.632,25904.529,0,0.000,0,1080,48,0
31,5290481593.875,5290481647.079,5290556609.857,74925.762,75015.982,90.220,53.204,37.016,24984.018,0,0.000,0,1080,48,0
32,5290581593.875,5290581633.318,5290656462.270,74793.708,74868.395,74.687,39.443,35.244,25131.605,0,0.000,0,1080,48,0
33,5290681593.875,5290681630.472,5290756179.227,74513.315,74585.352,72.037,36.597,35.440,25414.648,0,0.000,0,1080,48,0
34,5290781593.875,5290781637.114,5290857102.760,75432.216,75508.885,76.669,43.239,33.430,24491.115,0,0.000,0,1080,48,0
35,5290881593.875,5290881632.646,5290956792.359,75121.303,75198.484,77.181,38.771,38.410,24801.516,0,0.000,0,1080,48,0
36,5290981593.875,5290981631.208,5291056432.700,74770.879,74838.825,67.946,37.333,30.613,25161.175,0,0.000,0,1080,48,0
37,5291081593.875,5291081630.713,5291156730.842,75068.432,75136.967,68.535,36.838,31.697,24863.033,0,0.000,0,1080,48,0
38,5291181593.875,5291181640.831,5291256336.013,74662.805,74742.138,79.333,46.956,32.377,25257.862,0,0.000,0,1080,48,0
39,5291281593.875,5291281627.935,5291356861.944,75202.864,75268.069,65.205,34.060,31.145,24731.931,0,0.000,0,1080,48,0
40,5291381593.875,5291381630.896,5291456153.401,74493.092,74559.526,66.434,37.021,29.413,25440.474,0,0.000,0,1080,48,0
41,5291481593.875,5291481642.790,5291556712.343,75039.020,75118.468,79.448,48.915,30.533,24881.532,0,0.000,0,1080,48,0
42,5291581593.875,5291581633.764,5291656401.202,74726.878,74807.327,80.449,39.889,40.560,25192.673,0,0.000,0,1080,48,0
