# probe kind=matmul M=48 K=155 period_us=10000 priority=90 cpu=1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,8026165378.109,8026165398.184,8026172094.819,6694.658,6716.710,22.052,20.075,1.977,3283.290,0,0.000,0,155,48,0
1,8026175378.109,8026175393.887,8026181895.336,6498.585,6517.227,18.642,15.778,2.864,3482.773,0,0.000,0,155,48,0
2,8026185378.109,8026185394.693,8026191894.102,6499.003,6515.993,16.990,16.584,0.406,3484.007,0,0.000,0,155,48,0
3,8026195378.109,8026195406.840,8026202010.321,6603.029,6632.212,29.183,28.731,0.452,3367.788,0,0.000,0,155,48,0
4,8026205378.109,8026205395.633,8026211992.408,6596.298,6614.299,18.001,17.524,0.477,3385.701,0,0.000,0,155,48,0
5,8026215378.109,8026215401.294,8026222697.993,7296.173,7319.884,23.711,23.185,0.526,2680.116,0,0.000,0,155,48,0
6,8026225378.109,8026225402.971,8026232071.307,6667.842,6693.198,25.356,24.862,0.494,3306.802,0,0.000,0,155,48,0
7,8026235378.109,8026235406.891,8026241986.218,6578.868,6608.109,29.241,28.782,0.459,3391.891,0,0.000,0,155,48,0
8,8026245378.109,8026245406.962,8026252034.154,6626.759,6656.045,29.286,28.853,0.433,3343.955,0,0.000,0,155,48,0
9,8026255378.109,8026255392.944,8026262204.618,6811.207,6826.509,15.302,14.835,0.467,3173.491,0,0.000,0,155,48,0
10,8026265378.109,8026265394.477,8026272059.212,6664.298,6681.103,16.805,16.368,0.437,3318.897,0,0.000,0,155,48,0
11,8026275378.109,8026275394.047,8026281778.486,6384.006,6400.377,16.371,15.938,0.433,3599.623,0,0.000,0,155,48,0
12,8026285378.109,8026285392.367,8026291960.875,6564.518,6582.766,18.248,14.258,3.990,3417.234,0,0.000,0,155,48,0
13,8026295378.109,8026295394.739,8026302117.746,6722.572,6739.637,17.065,16.630,0.435,3260.363,0,0.000,0,155,48,0
14,8026305378.109,8026305407.441,8026312112.023,6704.098,6733.914,29.816,29.332,0.484,3266.086,0,0.000,0,155,48,0
15,8026315378.109,8026315399.759,8026321887.511,6487.336,6509.402,22.066,21.650,0.416,3490.598,0,0.000,0,155,48,0
16,8026325378.109,8026325393.792,8026331795.384,6401.148,6417.275,16.127,15.683,0.444,3582.725,0,0.000,0,155,48,0
17,8026335378.109,8026335403.204,8026341906.906,6503.261,6528.797,25.536,25.095,0.441,3471.203,0,0.000,0,155,48,0
18,8026345378.109,8026345393.136,8026352067.077,6673.497,6688.968,15.471,15.027,0.444,3311.032,0,0.000,0,155,48,0
19,8026355378.109,8026355399.046,8026362961.878,7561.804,7583.769,21.965,20.937,1.028,2416.231,0,0.000,0,155,48,0
20,8026365378.109,8026365411.070,8026372398.800,6986.432,7020.691,34.259,32.961,1.298,2979.309,0,0.000,0,155,48,0
21,8026375378.109,8026375395.581,8026381761.797,6365.721,6383.688,17.967,17.472,0.495,3616.312,0,0.000,0,155,48,0
22,8026385378.109,8026385393.804,8026392014.203,6619.959,6636.094,16.135,15.695,0.440,3363.906,0,0.000,0,155,48,0
23,8026395378.109,8026395399.487,8026402225.450,6825.504,6847.341,21.837,21.378,0.459,3152.659,0,0.000,0,155,48,0
24,8026405378.109,8026405398.028,8026412072.643,6674.111,6694.534,20.423,19.919,0.504,3305.466,0,0.000,0,155,48,0
25,8026415378.109,8026415397.111,8026421870.324,6472.784,6492.215,19.431,19.002,0.429,3507.785,0,0.000,0,155,48,0
26,8026425378.109,8026425396.175,8026431942.191,6545.573,6564.082,18.509,18.066,0.443,3435.918,0,0.000,0,155,48,0
