# probe kind=matmul M=48 K=833 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,4776385557.811,4776385603.930,4776498010.848,62600.568,112453.037,49852.469,46.119,49806.350,-12453.037,1,12453.037,1,833,48,1
1,4776585557.811,4776585608.320,4776698008.996,62815.267,112451.185,49635.918,50.509,49585.409,-12451.185,1,12451.185,1,833,48,1
2,4776785557.811,4776785604.525,4776897631.128,62443.640,112073.317,49629.677,46.714,49582.963,-12073.317,1,12073.317,1,833,48,1
3,4776985557.811,4776985603.660,4777097740.502,62550.656,112182.691,49632.035,45.849,49586.186,-12182.691,1,12182.691,1,833,48,1
4,4777185557.811,4777185620.836,4777298862.916,63625.090,113305.105,49680.015,63.025,49616.990,-13305.105,1,13305.105,1,833,48,1
5,4777385557.811,4777385606.847,4777496786.130,61592.680,111228.319,49635.639,49.036,49586.603,-11228.319,1,11228.319,1,833,48,1
6,4777585557.811,4777585603.308,4777696888.413,61698.115,111330.602,49632.487,45.497,49586.990,-11330.602,1,11330.602,1,833,48,1
7,4777785557.811,4777785753.101,4777898187.315,62844.604,112629.504,49784.900,195.290,49589.610,-12629.504,1,12629.504,1,833,48,1
8,4777985557.811,4777985602.390,4778096814.971,61621.823,111257.160,49635.337,44.579,49590.758,-11257.160,1,11257.160,1,833,48,1
9,4778185557.811,4778185601.580,4778298504.996,63314.965,112947.185,49632.220,43.769,49588.451,-12947.185,1,12947.185,1,833,48,1
10,4778385557.811,4778385601.695,4778497584.275,62399.898,112026.464,49626.566,43.884,49582.682,-12026.464,1,12026.464,1,833,48,1
11,4778585557.811,4778585604.640,4778697859.698,62679.592,112301.887,49622.295,46.829,49575.466,-12301.887,1,12301.887,1,833,48,1
12,4778785557.811,4778785609.770,4778896631.885,61448.696,111074.074,49625.378,51.959,49573.419,-11074.074,1,11074.074,1,833,48,1
13,4778985557.811,4778985605.047,4779098125.508,62935.849,112567.697,49631.848,47.236,49584.612,-12567.697,1,12567.697,1,833,48,1
14,4779185557.811,4779185599.863,4779297946.754,62761.438,112388.943,49627.505,42.052,49585.453,-12388.943,1,12388.943,1,833,48,1
15,4779385557.811,4779385740.832,4779498505.178,63177.182,112947.367,49770.185,183.021,49587.164,-12947.367,1,12947.367,1,833,48,1
16,4779585557.811,4779585596.153,4779698038.274,62848.304,112480.463,49632.159,38.342,49593.817,-12480.463,1,12480.463,1,833,48,1
17,4779785557.811,4779785606.064,4779896782.644,61588.541,111224.833,49636.292,48.253,49588.039,-11224.833,1,11224.833,1,833,48,1
18,4779985557.811,4779985603.600,4780096754.725,61569.178,111196.914,49627.736,45.789,49581.947,-11196.914,1,11196.914,1,833,48,1
19,4780185557.811,4780185754.519,4780298161.306,62693.399,112603.495,49910.096,196.708,49713.388,-12603.495,1,12603.495,1,833,48,1
20,4780385557.811,4780385600.654,4780496861.404,61492.818,111303.593,49810.775,42.843,49767.932,-11303.593,1,11303.593,1,833,48,1
