# probe kind=primes M=48 K=92 period_us=100000 priority=90 cpu=1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,9032429626.462,9032429681.166,9032465823.168,36140.472,36196.706,56.234,54.704,1.530,63803.294,0,0.000,0,92,48,0
1,9032529626.462,9032529677.891,9032565784.160,36104.426,36157.698,53.272,51.429,1.843,63842.302,0,0.000,0,92,48,0
2,9032629626.462,9032629674.376,9032665530.539,35854.592,35904.077,49.485,47.914,1.571,64095.923,0,0.000,0,92,48,0
3,9032729626.462,9032729686.392,9032765266.971,35579.249,35640.509,61.260,59.930,1.330,64359.491,0,0.000,0,92,48,0
4,9032829626.462,9032829684.276,9032866029.431,36343.844,36402.969,59.125,57.814,1.311,63597.031,0,0.000,0,92,48,0
5,9032929626.462,9032929668.910,9032965249.063,35578.368,35622.601,44.233,42.448,1.785,64377.399,0,0.000,0,92,48,0
6,9033029626.462,9033029678.887,9033065205.684,35525.614,35579.222,53.608,52.425,1.183,64420.778,0,0.000,0,92,48,0
7,9033129626.462,9033129685.641,9033165055.621,35368.278,35429.159,60.881,59.179,1.702,64570.841,0,0.000,0,92,48,0
8,9033229626.462,9033229669.348,9033265261.742,35591.142,35635.280,44.138,42.886,1.252,64364.720,0,0.000,0,92,48,0
9,9033329626.462,9033329670.350,9033365190.037,35518.535,35563.575,45.040,43.888,1.152,64436.425,0,0.000,0,92,48,0
10,9033429626.462,9033429680.686,9033465572.699,35890.448,35946.237,55.789,54.224,1.565,64053.763,0,0.000,0,92,48,0
11,9033529626.462,9033529673.909,9033565305.157,35630.041,35678.695,48.654,47.447,1.207,64321.305,0,0.000,0,92,48,0
12,9033629626.462,9033629673.336,9033665795.577,36120.713,36169.115,48.402,46.874,1.528,63830.885,0,0.000,0,92,48,0
13,9033729626.462,9033729684.374,9033765868.373,36182.439,36241.911,59.472,57.912,1.560,63758.089,0,0.000,0,92,48,0
14,9033829626.462,9033829686.110,9033865873.327,36185.998,36246.865,60.867,59.648,1.219,63753.135,0,0.000,0,92,48,0
