# probe kind=primes M=48 K=6 period_us=10000 priority=90 cpu=0 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,18760108605.849,18760108616.095,18760110910.929,2293.072,2305.080,12.008,10.246,1.762,7694.920,0,0.000,0,6,48,0
1,18760118605.849,18760118612.209,18760120845.927,2233.363,2240.078,6.715,6.360,0.355,7759.922,0,0.000,0,6,48,0
2,18760128605.849,18760128612.801,18760130815.498,2202.330,2209.649,7.319,6.952,0.367,7790.351,0,0.000,0,6,48,0
3,18760138605.849,18760138613.461,18760140897.040,2283.215,2291.191,7.976,7.612,0.364,7708.809,0,0.000,0,6,48,0
4,18760148605.849,18760148613.250,18760150911.561,2297.928,2305.712,7.784,7.401,0.383,7694.288,0,0.000,0,6,48,0
5,18760158605.849,18760158613.600,18760160863.595,2249.661,2257.746,8.085,7.751,0.334,7742.254,0,0.000,0,6,48,0
6,18760168605.849,18760168613.145,18760170976.883,2363.406,2371.034,7.628,7.296,0.332,7628.966,0,0.000,0,6,48,0
7,18760178605.849,18760178613.502,18760180974.379,2360.542,2368.530,7.988,7.653,0.335,7631.470,0,0.000,0,6,48,0
8,18760188605.849,18760188612.426,18760190910.372,2297.590,2304.523,6.933,6.577,0.356,7695.477,0,0.000,0,6,48,0
9,18760198605.849,18760198613.167,18760200868.428,2254.925,2262.579,7.654,7.318,0.336,7737.421,0,0.000,0,6,48,0
10,18760208605.849,18760208613.359,18760210832.260,2218.364,2226.411,8.047,7.510,0.537,7773.589,0,0.000,0,6,48,0
11,18760218605.849,18760218612.325,18760220899.372,2286.708,2293.523,6.815,6.476,0.339,7706.477,0,0.000,0,6,48,0
12,18760228605.849,18760228612.124,18760230795.273,2182.816,2189.424,6.608,6.275,0.333,7810.576,0,0.000,0,6,48,0
13,18760238605.849,18760238613.060,18760240809.149,2195.757,2203.300,7.543,7.211,0.332,7796.700,0,0.000,0,6,48,0
14,18760248605.849,18760248612.323,18760250943.964,2331.309,2338.115,6.806,6.474,0.332,7661.885,0,0.000,0,6,48,0
15,18760258605.849,18760258612.134,18760260853.610,2241.144,2247.761,6.617,6.285,0.332,7752.239,0,0.000,0,6,48,0
16,18760268605.849,18760268612.696,18760270963.235,2350.212,2357.386,7.174,6.847,0.327,7642.614,0,0.000,0,6,48,0
17,18760278605.849,18760278612.282,18760280909.333,2296.737,2303.484,6.747,6.433,0.314,7696.516,0,0.000,0,6,48,0
18,18760288605.849,18760288612.717,18760290872.066,2259.040,2266.217,7.177,6.868,0.309,7733.783,0,0.000,0,6,48,0
19,18760298605.849,18760298612.533,18760300905.434,2292.578,2299.585,7.007,6.684,0.323,7700.415,0,0.000,0,6,48,0
20,18760308605.849,18760308612.704,18760310960.428,2347.381,2354.579,7.198,6.855,0.343,7645.421,0,0.000,0,6,48,0
21,18760318605.849,18760318612.531,18760320878.266,2265.398,2272.417,7.019,6.682,0.337,7727.583,0,0.000,0,6,48,0
22,18760328605.849,18760328612.123,18760330922.462,2310.012,2316.613,6.601,6.274,0.327,7683.387,0,0.000,0,6,48,0
23,18760338605.849,18760338612.151,18760340829.098,2216.631,2223.249,6.618,6.302,0.316,7776.751,0,0.000,0,6,48,0
24,18760348605.849,18760348612.098,18760350925.034,2312.603,2319.185,6.582,6.249,0.333,7680.815,0,0.000,0,6,48,0
25,18760358605.849,18760358612.089,18760361131.311,2518.879,2525.462,6.583,6.240,0.343,7474.538,0,0.000,0,6,48,0
26,18760368605.849,18760368612.512,18760370791.366,2178.530,2185.517,6.987,6.663,0.324,7814.483,0,0.000,0,6,48,0
27,18760378605.849,18760378612.544,18760380986.835,2373.975,2380.986,7.011,6.695,0.316,7619.014,0,0.000,0,6,48,0
28,18760388605.849,18760388613.986,18760390807.523,2193.185,2201.674,8.489,8.137,0.352,7798.326,0,0.000,0,6,48,0
29,18760398605.849,18760398612.082,18760400919.518,2307.096,2313.669,6.573,6.233,0.340,7686.331,0,0.000,0,6,48,0
30,18760408605.849,18760408612.045,18760410924.455,2312.059,2318.606,6.547,6.196,0.351,7681.394,0,0.000,0,6,48,0
31,18760418605.849,18760418612.284,18760420865.597,2252.995,2259.748,6.753,6.435,0.318,7740.252,0,0.000,0,6,48,0
32,18760428605.849,18760428613.307,18760430925.240,2311.611,2319.391,7.780,7.458,0.322,7680.609,0,0.000,0,6,48,0
33,18760438605.849,18760438612.991,18760440872.559,2259.242,2266.710,7.468,7.142,0.326,7733.290,0,0.000,0,6,48,0
34,18760448605.849,18760448612.246,18760450862.658,2250.078,2256.809,6.731,6.397,0.334,7743.191,0,0.000,0,6,48,0
35,18760458605.849,18760458612.413,18760460948.067,2335.322,2342.218,6.896,6.564,0.332,7657.782,0,0.000,0,6,48,0
36,18760468605.849,18760468613.063,18760470918.982,2305.604,2313.133,7.529,7.214,0.315,7686.867,0,0.000,0,6,48,0
37,18760478605.849,18760478612.007,18760480814.862,2202.508,2209.013,6.505,6.158,0.347,7790.987,0,0.000,0,6,48,0
38,18760488605.849,18760488612.002,18760490835.156,2222.800,2229.307,6.507,6.153,0.354,7770.693,0,0.000,0,6,48,0
39,18760498605.849,18760498613.164,18760500907.892,2294.358,2302.043,7.685,7.315,0.370,7697.957,0,0.000,0,6,48,0
40,18760508605.849,18760508612.518,18760510966.697,2353.864,2360.848,6.984,6.669,0.315,7639.152,0,0.000,0,6,48,0
41,18760518605.849,18760518612.576,18760520866.724,2253.796,2260.875,7.079,6.727,0.352,7739.125,0,0.000,0,6,48,0
42,18760528605.849,18760528612.346,18760530930.477,2317.803,2324.628,6.825,6.497,0.328,7675.372,0,0.000,0,6,48,0
43,18760538605.849,18760538612.492,18760541018.870,2406.049,2413.021,6.972,6.643,0.329,7586.979,0,0.000,0,6,48,0
44,18760548605.849,18760548612.396,18760550911.674,2298.964,2305.825,6.861,6.547,0.314,7694.175,0,0.000,0,6,48,0
45,18760558605.849,18760558613.263,18760560807.677,2194.077,2201.828,7.751,7.414,0.337,7798.172,0,0.000,0,6,48,0
46,18760568605.849,18760568612.088,18760570931.717,2319.303,2325.868,6.565,6.239,0.326,7674.132,0,0.000,0,6,48,0
47,18760578605.849,18760578612.529,18760580895.048,2282.207,2289.199,6.992,6.680,0.312,7710.801,0,0.000,0,6,48,0
48,18760588605.849,18760588613.160,18760590953.615,2340.135,2347.766,7.631,7.311,0.320,7652.234,0,0.000,0,6,48,0
49,18760598605.849,18760598613.373,18760600872.448,2258.719,2266.599,7.880,7.524,0.356,7733.401,0,0.000,0,6,48,0
50,18760608605.849,18760608612.281,18760610968.698,2356.095,2362.849,6.754,6.432,0.322,7637.151,0,0.000,0,6,48,0
51,18760618605.849,18760618618.781,18760620946.634,2326.686,2340.785,14.099,12.932,1.167,7659.215,0,0.000,0,6,48,0
52,18760628605.849,18760628612.661,18760630913.822,2300.811,2307.973,7.162,6.812,0.350,7692.027,0,0.000,0,6,48,0
53,18760638605.849,18760638612.442,18760640973.752,2360.979,2367.903,6.924,6.593,0.331,7632.097,0,0.000,0,6,48,0
54,18760648605.849,18760648613.524,18760651006.400,2392.539,2400.551,8.012,7.675,0.337,7599.449,0,0.000,0,6,48,0
55,18760658605.849,18760658612.222,18760660953.263,2340.707,2347.414,6.707,6.373,0.334,7652.586,0,0.000,0,6,48,0
56,18760668605.849,18760668611.893,18760670971.148,2358.898,2365.299,6.401,6.044,0.357,7634.701,0,0.000,0,6,48,0
57,18760678605.849,18760678612.838,18760680925.647,2312.477,2319.798,7.321,6.989,0.332,7680.202,0,0.000,0,6,48,0
58,18760688605.849,18760688612.231,18760690887.417,2274.843,2281.568,6.725,6.382,0.343,7718.432,0,0.000,0,6,48,0
59,18760698605.849,18760698612.838,18760700836.774,2223.598,2230.925,7.327,6.989,0.338,7769.075,0,0.000,0,6,48,0
60,18760708605.849,18760708612.377,18760710811.361,2198.655,2205.512,6.857,6.528,0.329,7794.488,0,0.000,0,6,48,0
61,18760718605.849,18760718612.788,18760720948.532,2335.392,2342.683,7.291,6.939,0.352,7657.317,0,0.000,0,6,48,0
62,18760728605.849,18760728612.147,18760730967.242,2354.772,2361.393,6.621,6.298,0.323,7638.607,0,0.000,0,6,48,0
63,18760738605.849,18760738612.692,18760740907.333,2294.287,2301.484,7.197,6.843,0.354,7698.516,0,0.000,0,6,48,0
64,18760748605.849,18760748613.174,18760750916.920,2303.419,2311.071,7.652,7.325,0.327,7688.929,0,0.000,0,6,48,0
65,18760758605.849,18760758613.097,18760760901.544,2288.117,2295.695,7.578,7.248,0.330,7704.305,0,0.000,0,6,48,0
66,18760768605.849,18760768612.221,18760770882.497,2269.941,2276.648,6.707,6.372,0.335,7723.352,0,0.000,0,6,48,0
67,18760778605.849,18760778612.282,18760780938.908,2326.312,2333.059,6.747,6.433,0.314,7666.941,0,0.000,0,6,48,0
68,18760788605.849,18760788612.236,18760790863.532,2250.954,2257.683,6.729,6.387,0.342,7742.317,0,0.000,0,6,48,0
69,18760798605.849,18760798612.334,18760800839.281,2226.608,2233.432,6.824,6.485,0.339,7766.568,0,0.000,0,6,48,0
70,18760808605.849,18760808612.965,18760811030.894,2417.591,2425.045,7.454,7.116,0.338,7574.955,0,0.000,0,6,48,0
71,18760818605.849,18760818612.345,18760820874.433,2261.749,2268.584,6.835,6.496,0.339,7731.416,0,0.000,0,6,48,0
72,18760828605.849,18760828612.341,18760830932.180,2319.500,2326.331,6.831,6.492,0.339,7673.669,0,0.000,0,6,48,0
73,18760838605.849,18760838613.219,18760841022.603,2409.040,2416.754,7.714,7.370,0.344,7583.246,0,0.000,0,6,48,0
74,18760848605.849,18760848613.953,18760850900.575,2286.294,2294.726,8.432,8.104,0.328,7705.274,0,0.000,0,6,48,0
75,18760858605.849,18760858612.058,18760860929.936,2317.549,2324.087,6.538,6.209,0.329,7675.913,0,0.000,0,6,48,0
76,18760868605.849,18760868619.671,18760871018.782,2398.432,2412.933,14.501,13.822,0.679,7587.067,0,0.000,0,6,48,0
77,18760878605.849,18760878613.866,18760880858.518,2244.102,2252.669,8.567,8.017,0.550,7747.331,0,0.000,0,6,48,0
78,18760888605.849,18760888613.226,18760890883.040,2269.470,2277.191,7.721,7.377,0.344,7722.809,0,0.000,0,6,48,0
79,18760898605.849,18760898613.101,18760900841.106,2227.664,2235.257,7.593,7.252,0.341,7764.743,0,0.000,0,6,48,0
80,18760908605.849,18760908612.584,18760910970.341,2357.433,2364.492,7.059,6.735,0.324,7635.508,0,0.000,0,6,48,0
81,18760918605.849,18760918618.511,18760920922.829,2303.498,2316.980,13.482,12.662,0.820,7683.020,0,0.000,0,6,48,0
82,18760928605.849,18760928617.328,18760931034.959,2416.838,2429.110,12.272,11.479,0.793,7570.890,0,0.000,0,6,48,0
83,18760938605.849,18760938617.910,18760940816.366,2197.512,2210.517,13.005,12.061,0.944,7789.483,0,0.000,0,6,48,0
84,18760948605.849,18760948612.617,18760950904.939,2292.006,2299.090,7.084,6.768,0.316,7700.910,0,0.000,0,6,48,0
85,18760958605.849,18760958613.170,18760960940.484,2326.976,2334.635,7.659,7.321,0.338,7665.365,0,0.000,0,6,48,0
86,18760968605.849,18760968612.534,18760970901.922,2289.065,2296.073,7.008,6.685,0.323,7703.927,0,0.000,0,6,48,0
87,18760978605.849,18760978612.632,18760980898.862,2285.918,2293.013,7.095,6.783,0.312,7706.987,0,0.000,0,6,48,0
88,18760988605.849,18760988612.619,18760990883.327,2270.375,2277.478,7.103,6.770,0.333,7722.522,0,0.000,0,6,48,0
89,18760998605.849,18760998612.872,18761000897.470,2284.232,2291.621,7.389,7.023,0.366,7708.379,0,0.000,0,6,48,0
90,18761008605.849,18761008612.081,18761010834.401,2221.991,2228.552,6.561,6.232,0.329,7771.448,0,0.000,0,6,48,0
91,18761018605.849,18761018612.098,18761020849.081,2236.667,2243.232,6.565,6.249,0.316,7756.768,0,0.000,0,6,48,0
92,18761028605.849,18761028612.916,18761030867.525,2254.295,2261.676,7.381,7.067,0.314,7738.324,0,0.000,0,6,48,0
93,18761038605.849,18761038612.303,18761041076.154,2463.523,2470.305,6.782,6.454,0.328,7529.695,0,0.000,0,6,48,0
94,18761048605.849,18761048612.199,18761050905.328,2292.802,2299.479,6.677,6.350,0.327,7700.521,0,0.000,0,6,48,0
95,18761058605.849,18761058612.777,18761060771.320,2158.221,2165.471,7.250,6.928,0.322,7834.529,0,0.000,0,6,48,0
96,18761068605.849,18761068612.124,18761070886.416,2273.982,2280.567,6.585,6.275,0.310,7719.433,0,0.000,0,6,48,0
97,18761078605.849,18761078612.282,18761080841.039,2228.444,2235.190,6.746,6.433,0.313,7764.810,0,0.000,0,6,48,0
98,18761088605.849,18761088612.432,18761090972.338,2359.575,2366.489,6.914,6.583,0.331,7633.511,0,0.000,0,6,48,0
99,18761098605.849,18761098614.009,18761100975.249,2360.847,2369.400,8.553,8.160,0.393,7630.600,0,0.000,0,6,48,0
100,18761108605.849,18761108612.380,18761111041.235,2428.510,2435.386,6.876,6.531,0.345,7564.614,0,0.000,0,6,48,0
101,18761118605.849,18761118613.271,18761120889.624,2276.044,2283.775,7.731,7.422,0.309,7716.225,0,0.000,0,6,48,0
102,18761128605.849,18761128612.807,18761130870.895,2257.768,2265.046,7.278,6.958,0.320,7734.954,0,0.000,0,6,48,0
103,18761138605.849,18761138613.204,18761140893.519,2279.986,2287.670,7.684,7.355,0.329,7712.330,0,0.000,0,6,48,0
104,18761148605.849,18761148612.068,18761150931.051,2318.668,2325.202,6.534,6.219,0.315,7674.798,0,0.000,0,6,48,0
105,18761158605.849,18761158612.225,18761160742.618,2130.063,2136.769,6.706,6.376,0.330,7863.231,0,0.000,0,6,48,0
106,18761168605.849,18761168612.339,18761170956.757,2344.069,2350.908,6.839,6.490,0.349,7649.092,0,0.000,0,6,48,0
107,18761178605.849,18761178612.748,18761180825.942,2212.867,2220.093,7.226,6.899,0.327,7779.907,0,0.000,0,6,48,0
108,18761188605.849,18761188612.375,18761190832.484,2219.772,2226.635,6.863,6.526,0.337,7773.365,0,0.000,0,6,48,0
109,18761198605.849,18761198612.341,18761200951.919,2339.251,2346.070,6.819,6.492,0.327,7653.930,0,0.000,0,6,48,0
110,18761208605.849,18761208613.248,18761210820.667,2207.064,2214.818,7.754,7.399,0.355,7785.182,0,0.000,0,6,48,0
111,18761218605.849,18761218613.290,18761220877.267,2263.647,2271.418,7.771,7.441,0.330,7728.582,0,0.000,0,6,48,0
112,18761228605.849,18761228613.116,18761230899.433,2285.965,2293.584,7.619,7.267,0.352,7706.416,0,0.000,0,6,48,0
113,18761238605.849,18761238612.907,18761240805.538,2192.293,2199.689,7.396,7.058,0.338,7800.311,0,0.000,0,6,48,0
114,18761248605.849,18761248612.840,18761250941.418,2328.249,2335.569,7.320,6.991,0.329,7664.431,0,0.000,0,6,48,0
115,18761258605.849,18761258613.054,18761260933.735,2320.359,2327.886,7.527,7.205,0.322,7672.114,0,0.000,0,6,48,0
116,18761268605.849,18761268612.640,18761270865.048,2252.056,2259.199,7.143,6.791,0.352,7740.801,0,0.000,0,6,48,0
117,18761278605.849,18761278612.241,18761280902.337,2289.748,2296.488,6.740,6.392,0.348,7703.512,0,0.000,0,6,48,0
118,18761288605.849,18761288612.052,18761290834.210,2221.818,2228.361,6.543,6.203,0.340,7771.639,0,0.000,0,6,48,0
119,18761298605.849,18761298612.913,18761300747.153,2133.886,2141.304,7.418,7.064,0.354,7858.696,0,0.000,0,6,48,0
120,18761308605.849,18761308613.330,18761310903.583,2289.918,2297.734,7.816,7.481,0.335,7702.266,0,0.000,0,6,48,0
121,18761318605.849,18761318612.278,18761321036.550,2423.943,2430.701,6.758,6.429,0.329,7569.299,0,0.000,0,6,48,0
122,18761328605.849,18761333198.909,18761335415.982,2216.551,6810.133,4593.582,4593.060,0.522,3189.867,0,0.000,0,6,48,0
123,18761338605.849,18761338614.044,18761344120.467,2312.424,5514.618,3202.194,8.195,3193.999,4485.382,0,0.000,1,6,48,0
124,18761348605.849,18761348613.515,18761350885.832,2271.907,2279.983,8.076,7.666,0.410,7720.017,0,0.000,0,6,48,0
125,18761358605.849,18761358612.368,18761361023.030,2410.335,2417.181,6.846,6.519,0.327,7582.819,0,0.000,0,6,48,0
126,18761368605.849,18761368612.990,18761370910.738,2297.380,2304.889,7.509,7.141,0.368,7695.111,0,0.000,0,6,48,0
127,18761378605.849,18761378612.835,18761380829.799,2216.618,2223.950,7.332,6.986,0.346,7776.050,0,0.000,0,6,48,0
128,18761388605.849,18761388612.235,18761390863.796,2251.205,2257.947,6.742,6.386,0.356,7742.053,0,0.000,0,6,48,0
129,18761398605.849,18761398612.413,18761400836.866,2224.113,2231.017,6.904,6.564,0.340,7768.983,0,0.000,0,6,48,0
130,18761408605.849,18761408612.048,18761410970.750,2358.352,2364.901,6.549,6.199,0.350,7635.099,0,0.000,0,6,48,0
131,18761418605.849,18761418612.714,18761420869.747,2256.694,2263.898,7.204,6.865,0.339,7736.102,0,0.000,0,6,48,0
132,18761428605.849,18761428612.185,18761430873.981,2261.473,2268.132,6.659,6.336,0.323,7731.868,0,0.000,0,6,48,0
133,18761438605.849,18761438612.505,18761440913.125,2300.297,2307.276,6.979,6.656,0.323,7692.724,0,0.000,0,6,48,0
134,18761448605.849,18761448614.971,18761450851.058,2235.410,2245.209,9.799,9.122,0.677,7754.791,0,0.000,0,6,48,0
135,18761458605.849,18761458612.707,18761460898.995,2285.959,2293.146,7.187,6.858,0.329,7706.854,0,0.000,0,6,48,0
136,18761468605.849,18761468612.224,18761470876.459,2263.891,2270.610,6.719,6.375,0.344,7729.390,0,0.000,0,6,48,0
137,18761478605.849,18761478612.396,18761480923.484,2310.762,2317.635,6.873,6.547,0.326,7682.365,0,0.000,0,6,48,0
138,18761488605.849,18761488613.349,18761490983.868,2370.202,2378.019,7.817,7.500,0.317,7621.981,0,0.000,0,6,48,0
139,18761498605.849,18761498612.687,18761500876.323,2263.293,2270.474,7.181,6.838,0.343,7729.526,0,0.000,0,6,48,0
140,18761508605.849,18761508614.110,18761510969.678,2355.252,2363.829,8.577,8.261,0.316,7636.171,0,0.000,0,6,48,0
141,18761518605.849,18761518612.109,18761520827.069,2214.643,2221.220,6.577,6.260,0.317,7778.780,0,0.000,0,6,48,0
