# matmul M=48 K=502 period_us=100000 priority=90 cpu=0 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,5856566714.878,5856566753.021,5856587592.115,20837.362,20877.237,39.875,38.143,1.732,79122.763,0,0.000,0,502,48,0
1,5856666714.878,5856666834.319,5856687885.821,21049.215,21170.943,121.728,119.441,2.287,78829.057,0,0.000,0,502,48,0
2,5856766714.878,5856766763.061,5856787805.312,21040.443,21090.434,49.991,48.183,1.808,78909.566,0,0.000,0,502,48,0
3,5856866714.878,5856866761.363,5856887555.658,20792.309,20840.780,48.471,46.485,1.986,79159.220,0,0.000,0,502,48,0
4,5856966714.878,5856966758.907,5856987543.492,20782.359,20828.614,46.255,44.029,2.226,79171.386,0,0.000,0,502,48,0
5,5857066714.878,5857066747.971,5857088163.809,21414.093,21448.931,34.838,33.093,1.745,78551.069,0,0.000,0,502,48,0
6,5857166714.878,5857166757.901,5857188131.906,21371.841,21417.028,45.187,43.023,2.164,78582.972,0,0.000,0,502,48,0
7,5857266714.878,5857266753.808,5857287857.141,21101.377,21142.263,40.886,38.930,1.956,78857.737,0,0.000,0,502,48,0
8,5857366714.878,5857366757.274,5857388094.479,21335.153,21379.601,44.448,42.396,2.052,78620.399,0,0.000,0,502,48,0
9,5857466714.878,5857466765.491,5857487678.506,20911.221,20963.628,52.407,50.613,1.794,79036.372,0,0.000,0,502,48,0
10,5857566714.878,5857566763.821,5857587905.142,21139.260,21190.264,51.004,48.943,2.061,78809.736,0,0.000,0,502,48,0
11,5857666714.878,5857666751.396,5857687794.670,21040.880,21079.792,38.912,36.518,2.394,78920.208,0,0.000,0,502,48,0
12,5857766714.878,5857766747.957,5857787940.358,21190.306,21225.480,35.174,33.079,2.095,78774.520,0,0.000,0,502,48,0
13,5857866714.878,5857866759.720,5857887603.202,20841.089,20888.324,47.235,44.842,2.393,79111.676,0,0.000,0,502,48,0
14,5857966714.878,5857966749.313,5857987826.494,21075.288,21111.616,36.328,34.435,1.893,78888.384,0,0.000,0,502,48,0
15,5858066714.878,5858066754.137,5858087601.388,20845.311,20886.510,41.199,39.259,1.940,79113.490,0,0.000,0,502,48,0
16,5858166714.878,5858166746.313,5858187901.037,21152.124,21186.159,34.035,31.435,2.600,78813.841,0,0.000,0,502,48,0
17,5858266714.878,5858266749.396,5858287891.559,21140.430,21176.681,36.251,34.518,1.733,78823.319,0,0.000,0,502,48,0
18,5858366714.878,5858366758.165,5858388670.087,21909.658,21955.209,45.551,43.287,2.264,78044.791,0,0.000,0,502,48,0
19,5858466714.878,5858466762.355,5858488113.902,21349.074,21399.024,49.950,47.477,2.473,78600.976,0,0.000,0,502,48,0
20,5858566714.878,5858566751.802,5858587954.517,21200.543,21239.639,39.096,36.924,2.172,78760.361,0,0.000,0,502,48,0
21,5858666714.878,5858666761.668,5858687760.876,20997.140,21045.998,48.858,46.790,2.068,78954.002,0,0.000,0,502,48,0
22,5858766714.878,5858766765.351,5858793781.929,27014.621,27067.051,52.430,50.473,1.957,72932.949,0,0.000,0,502,48,0
23,5858866714.878,5858866762.260,5858887811.307,21047.079,21096.429,49.350,47.382,1.968,78903.571,0,0.000,0,502,48,0
24,5858966714.878,5858966760.750,5858987789.388,21026.680,21074.510,47.830,45.872,1.958,78925.490,0,0.000,0,502,48,0
25,5859066714.878,5859066748.981,5859087671.063,20920.209,20956.185,35.976,34.103,1.873,79043.815,0,0.000,0,502,48,0
26,5859166714.878,5859166743.684,5859187740.635,20994.835,21025.757,30.922,28.806,2.116,78974.243,0,0.000,0,502,48,0
