model,scale,U,n,miss_rate,R_p50,R_p99,R_p999,R_max,C_p50,C_p99,RoverD_p50,RoverD_p99,RoverD_p999,alpha_p50,alpha_p99,delta_p50,delta_p99
model4_off,tight,0.1,5000,0.0114,717.6695,10017.38501,10037.964307,10056.493,707.7105,1048.8439700000015,0.07176695,1.001738501,1.0037964307,0.7077105,1.0488439700000016,0.0006059722222222237,0.48686417166666673
model4_off,tight,0.2,5000,0.0076,1397.0495,1821.9736900000005,10040.688706,10051.938,1386.7035,1813.01563,0.13970495,0.18219736900000005,1.0040688706,0.69335175,0.906507815,0.000624062500000008,0.00174785375000001
model4_off,tight,0.3,5000,0.0074,2109.4809999999998,2606.30645,10047.445981000004,10120.484,2097.438,2586.4013300000024,0.2109481,0.260630645,1.0047445981000003,0.6991459999999999,0.8621337766666675,0.0008046428571428481,0.002055343571428584
model4_off,tight,0.4,5000,0.0014,2813.6875,3178.9315600000004,10039.712822000032,17957.878,2800.1855,3158.7761100000002,0.28136875,0.31789315600000007,1.0039712822000033,0.700046375,0.7896940275000002,0.0010619166666666615,0.0024235883333333405
model4_off,tight,0.5,5000,0.0,2234.842,2343.6475499999997,2694.3240520000054,4131.507,2219.2955,2326.95254,0.22348420000000002,0.23436475499999998,0.26943240520000056,0.4438591,0.46539050800000004,0.001662799999999993,0.003128100999999995
model4_off,tight,0.6,5000,0.0018,4143.7725,4451.97487,10358.678997000005,16257.404,4128.9605,4438.418090000001,0.41437725000000003,0.445197487,1.0358678997000004,0.6881600833333333,0.7397363483333335,0.0016940000000000169,0.0038061762500000667
model4_off,tight,0.7,5000,0.0024,4841.129,5278.460300000001,10194.566630000003,11015.891,4828.34,5265.80792,0.48411289999999996,0.5278460300000001,1.0194566630000002,0.6897628571428571,0.7522582742857142,0.002124333333333349,0.0037170750000000688
model4_off,tight,0.8,5000,0.0012,5569.53,5889.012100000002,10020.783586000149,13443.341,5556.695,5866.411970000002,0.556953,0.5889012100000002,1.0020783586000148,0.694586875,0.7333014962500003,0.003119000000000028,0.004604782500000193
model4_off,tight,0.9,5000,0.0024,6226.836499999999,6517.146080000005,10022.776828,11146.665,6214.866,6500.501180000006,0.6226836499999999,0.6517146080000005,1.0022776828,0.6905406666666667,0.7222779088888895,0.006095749999999953,0.011983664999999828
model4_off,tight,0.94,5000,0.001,6557.0545,6854.08644,8720.399411000302,12249.87,6546.604,6839.913890000001,0.6557054499999999,0.685408644,0.8720399411000301,0.6964472340425532,0.7276504138297872,0.008568749999999833,0.013560624999999809
model4_off,soft,0.1,5000,0.0028,7014.245000000001,7551.643240000001,100198.04689800003,100706.492,6961.547,7466.469610000004,0.07014245,0.07551643240000001,1.0019804689800003,0.6961546999999999,0.7466469610000004,0.00025627500000000004,0.0012351508333333355
model4_off,soft,0.2,5000,0.0006,14050.985,15076.813920000013,18736.448490000046,102716.233,14007.048999999999,15004.80070000002,0.14050985,0.15076813920000015,0.18736448490000046,0.70035245,0.7502400350000009,0.000239778124999998,0.0010788965625000042
model4_off,soft,0.3,5000,0.0004,20950.6385,21804.883370000003,24983.34020000009,102494.429,20903.0905,21761.43164,0.209506385,0.21804883370000006,0.2498334020000009,0.6967696833333333,0.7253810546666667,0.0002727571428571407,0.0013525567142857117
model4_off,soft,0.4,5000,0.0002,28054.338499999998,29180.205910000008,34485.07978300004,102641.4,27999.118,29128.212400000004,0.280543385,0.2918020591000001,0.3448507978300004,0.69997795,0.7282053100000001,0.0004046166666666674,0.0017823143333333352
model4_off,soft,0.5,5000,0.0002,34744.2635,37260.65107,40738.7340490001,112525.478,34698.519,37201.14301000001,0.34744263499999994,0.3726065107,0.407387340490001,0.6939703799999999,0.7440228602000001,0.0003809799999999814,0.0018986221000000022
model4_off,soft,0.6,5000,0.0146,41595.19,105562.87901000009,113673.95394500009,117924.341,41558.581999999995,65966.32666,0.4159519,1.055628790100001,1.1367395394500008,0.6926430333333333,1.099438777666667,0.0004818062500000451,0.5005925539999999
model4_off,soft,0.7,5000,0.0,48907.742,51676.60462000002,57210.09608300001,58468.949,48878.378,51637.23457000001,0.48907742,0.5167660462000002,0.5721009608300002,0.6982625428571427,0.7376747795714286,0.0004993416666667447,0.0009149491666667167
model4_off,soft,0.8,5000,0.0,56193.1065,59310.81499000001,63687.401423000214,69124.527,56176.601500000004,59288.207360000015,0.561931065,0.5931081499000002,0.6368740142300022,0.70220751875,0.7411025920000002,0.0003839500000000953,0.0008780182500001512
model4_off,soft,0.9,5000,0.0,62579.932,66706.86630000001,71418.67468,88216.663,62561.979999999996,66690.40527000002,0.62579932,0.6670686630000001,0.7141867468,0.6951331111111112,0.7410045030000002,0.0008442000000000918,0.0017852000000000672
model4_off,soft,0.94,5000,0.0004,65577.0265,69238.78757000001,75599.90750300002,104879.457,65560.506,69220.99127000001,0.655770265,0.6923878757,0.7559990750300003,0.6974521914893617,0.7363935241489363,0.001373458333333474,0.0028282008333328857
