# matmul M=48 K=157 period_us=10000 priority=90 cpu=0 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,12140751520.704,12140751533.385,12140758238.280,6703.159,6717.576,14.417,12.681,1.736,3282.424,0,0.000,0,157,48,0
1,12140761520.704,12140761531.462,12140768056.516,6524.663,6535.812,11.149,10.758,0.391,3464.188,0,0.000,0,157,48,0
2,12140771520.704,12140771532.009,12140778089.129,6556.475,6568.425,11.950,11.305,0.645,3431.575,0,0.000,0,157,48,0
3,12140781520.704,12140781529.576,12140788012.395,6482.250,6491.691,9.441,8.872,0.569,3508.309,0,0.000,0,157,48,0
4,12140791520.704,12140791534.770,12140798198.566,6662.804,6677.862,15.058,14.066,0.992,3322.138,0,0.000,0,157,48,0
5,12140801520.704,12140801533.142,12140808318.171,6784.031,6797.467,13.436,12.438,0.998,3202.533,0,0.000,0,157,48,0
6,12140811520.704,12140811530.792,12140818043.433,6512.168,6522.729,10.561,10.088,0.473,3477.271,0,0.000,0,157,48,0
7,12140821520.704,12140821532.167,12140827892.391,6359.527,6371.687,12.160,11.463,0.697,3628.313,0,0.000,0,157,48,0
8,12140831520.704,12140831530.879,12140838153.367,6622.116,6632.663,10.547,10.175,0.372,3367.337,0,0.000,0,157,48,0
9,12140841520.704,12140841532.816,12140848142.456,6608.974,6621.752,12.778,12.112,0.666,3378.248,0,0.000,0,157,48,0
10,12140851520.704,12140851528.733,12140860080.070,8550.707,8559.366,8.659,8.029,0.630,1440.634,0,0.000,0,157,48,0
11,12140861520.704,12140861532.503,12140868069.854,6536.826,6549.150,12.324,11.799,0.525,3450.850,0,0.000,0,157,48,0
12,12140871520.704,12140871530.313,12140877873.687,6342.643,6352.983,10.340,9.609,0.731,3647.017,0,0.000,0,157,48,0
13,12140881520.704,12140881538.940,12140888610.529,7070.632,7089.825,19.193,18.236,0.957,2910.175,0,0.000,0,157,48,0
14,12140891520.704,12140891532.661,12140898141.415,6608.309,6620.711,12.402,11.957,0.445,3379.289,0,0.000,0,157,48,0
15,12140901520.704,12140901531.150,12140908047.950,6516.274,6527.246,10.972,10.446,0.526,3472.754,0,0.000,0,157,48,0
16,12140911520.704,12140911531.276,12140918098.136,6566.065,6577.432,11.367,10.572,0.795,3422.568,0,0.000,0,157,48,0
17,12140921520.704,12140921530.173,12140928127.462,6596.740,6606.758,10.018,9.469,0.549,3393.242,0,0.000,0,157,48,0
18,12140931520.704,12140931531.298,12140938237.135,6705.235,6716.431,11.196,10.594,0.602,3283.569,0,0.000,0,157,48,0
19,12140941520.704,12140941533.014,12140948170.922,6637.455,6650.218,12.763,12.310,0.453,3349.782,0,0.000,0,157,48,0
20,12140951520.704,12140951531.370,12140957932.671,6400.714,6411.967,11.253,10.666,0.587,3588.033,0,0.000,0,157,48,0
21,12140961520.704,12140961531.945,12140968903.886,7371.407,7383.182,11.775,11.241,0.534,2616.818,0,0.000,0,157,48,0
22,12140971520.704,12140971533.618,12140978191.123,6656.709,6670.419,13.710,12.914,0.796,3329.581,0,0.000,0,157,48,0
