model,scale,U,n,miss_rate,R_p50,R_p99,R_p999,R_max,C_p50,C_p99,RoverD_p50,RoverD_p99,RoverD_p999,alpha_p50,alpha_p99,delta_p50,delta_p99
model4_on,tight,0.1,5000,0.0062,723.604,910.574450000002,10144.113672000005,10578.245,711.5219999999999,890.1363000000002,0.07236039999999999,0.0910574450000002,1.0144113672000006,0.711522,0.8901363000000002,0.0005814166666666615,0.0026080711111111424
model4_on,tight,0.2,5000,0.0042,1382.2265,1686.5556600000004,10045.098105000006,11091.052,1368.6495,1670.7002800000002,0.13822265,0.16865556600000006,1.0045098105000005,0.68432475,0.8353501400000002,0.000756093749999998,0.0024150375000000154
model4_on,tight,0.4,5000,0.003,2769.9480000000003,3236.9597000000012,10379.448588000005,10912.79,2757.6769999999997,3169.667810000002,0.2769948,0.3236959700000001,1.0379448588000004,0.68941925,0.7924169525000005,0.0009502500000000017,0.0026357991666666977
model4_on,tight,0.5,5000,0.0002,2198.5135,2677.3875500000013,4024.553461000012,11737.318,2185.1965,2543.5061500000033,0.21985135,0.2677387550000001,0.40245534610000117,0.4370393,0.5087012300000007,0.001000200000000018,0.0034467529999999925
model4_on,tight,0.6,5000,0.0018,4095.182,4666.868860000004,10076.48668700001,10949.038,4082.5085,4656.555960000004,0.4095182,0.4666868860000004,1.007648668700001,0.6804180833333333,0.7760926600000008,0.0014780625000000215,0.003671010000000049
model4_on,tight,0.7,5000,0.0022,4803.2925,5469.13367000001,10211.99016600005,11038.378,4791.191000000001,5458.445640000008,0.48032925000000004,0.546913367000001,1.0211990166000051,0.6844558571428572,0.7797779485714298,0.001888083333333346,0.004663788333333332
model4_on,tight,0.8,5000,0.0014,5456.2029999999995,6200.305710000001,10013.671337,11845.066,5443.656000000001,6167.652100000002,0.5456203,0.6200305710000001,1.0013671337,0.6804570000000001,0.7709565125000003,0.0028706249999999045,0.008333617499999963
model4_on,tight,0.9,5000,0.0014,6149.0355,6650.633560000003,10412.474438000012,11765.605,6137.950000000001,6630.392020000002,0.61490355,0.6650633560000003,1.041247443800001,0.6819944444444445,0.7367102244444447,0.005215250000000197,0.00987905500000027
model4_on,tight,0.94,5000,0.0012,6517.262000000001,7099.41863,10017.226198000057,11312.334,6506.571,7083.2883600000005,0.6517261999999999,0.7099418630000001,1.0017226198000058,0.6921884042553191,0.7535413148936171,0.009034999999999703,0.022257266666666973
model4_on,soft,0.1,5000,0.0014,6915.6145,8213.440670000002,100034.14527600001,101255.897,6888.469999999999,7977.480560000023,0.069156145,0.08213440670000002,1.00034145276,0.688847,0.7977480560000023,0.0001465194444444453,0.00047775194444444886
model4_on,soft,0.2,5000,0.0,13883.1315,15141.43207,17625.212022000054,19743.702,13849.217499999999,15072.24536,0.138831315,0.1514143207,0.17625212022000053,0.692460875,0.7536122680000001,0.00018941249999999743,0.00036489737499999545
model4_on,soft,0.5,5000,0.0,34781.4405,37933.19951,41967.221280000354,45403.56,34741.7235,37910.148230000006,0.347814405,0.3793319951,0.4196722128000036,0.69483447,0.7582029646,0.0002900700000000142,0.001419930599999997
model4_on,soft,0.7,5000,0.0,48319.875,50169.49529000001,54851.88805400002,56270.708,48290.0795,50153.144190000006,0.48319875,0.5016949529000001,0.5485188805400002,0.6898582785714286,0.7164734884285715,0.00041015833333337163,0.0025896873333333737
model4_on,soft,0.8,5000,0.0,55359.812,59678.60735000004,64722.092747000024,68251.447,55346.0695,59595.33757000001,0.55359812,0.5967860735000003,0.6472209274700003,0.69182586875,0.7449417196250001,0.00030412499999993086,0.0010298819999999943
model4_on,soft,0.9,5000,0.0,62064.313500000004,65226.24515,70661.7805780001,75886.217,62051.960999999996,65214.69309000001,0.620643135,0.6522624515000001,0.706617805780001,0.6894662333333333,0.724607701,0.0005287999999998648,0.001977787500000014
model4_on,soft,0.94,5000,0.0,65049.244999999995,68833.12519,75366.80646600071,88188.255,65033.123999999996,68818.27822,0.65049245,0.6883312519,0.753668064660007,0.691841744680851,0.7321093427659574,0.0010950000000002546,0.0031527516666659274
