model,scale,U,n,miss_rate,R_p50,R_p99,R_p999,R_max,C_p50,C_p99,RoverD_p50,RoverD_p99,RoverD_p999,alpha_p50,alpha_p99,delta_p50,delta_p99
model1,tight,0.1,5000,0.0,400.56399999999996,466.30035000000004,662.9014620000072,8820.906,383.7935,444.2519900000002,0.0400564,0.04663003500000001,0.06629014620000072,0.3837935,0.4442519900000002,0.000951055555555554,0.0017460327777777784
model1,tight,0.2,5000,0.0104,1419.6745,10016.74665,10177.439762000002,15461.549,1405.9625,1995.738980000002,0.14196745,1.001674665,1.0177439762000002,0.70298125,0.997869490000001,0.0007450312500000038,0.4252723662500086
model1,tight,0.3,5000,0.0082,2131.2160000000003,4665.845740000161,10682.042003000055,11576.045,2116.527,2850.838450000004,0.21312160000000002,0.46658457400001613,1.0682042003000056,0.7055089999999999,0.9502794833333346,0.0009143928571428432,0.17627118285715232
model1,tight,0.4,5000,0.0052,2782.2515,3555.8753100000026,10041.174281000001,11104.652,2767.6555,3433.5412300000016,0.27822515,0.35558753100000023,1.0041174281,0.691913875,0.8583853075000003,0.0010292916666666656,0.0050518991666667085
model1,tight,0.5,5000,0.0022,3526.6605,3939.39704,10033.405634,11537.869,3514.051,3884.2703700000015,0.35266605,0.393939704,1.0033405633999999,0.7028102,0.7768540740000003,0.001165350000000012,0.003463345000000027
model1,tight,0.6,5000,0.003,4286.69,5064.752320000001,10132.776950000005,10744.184,4273.249,4919.21332,0.42866899999999997,0.5064752320000002,1.0132776950000006,0.7122081666666666,0.8198688866666667,0.0014259999999999876,0.0050587612500000104
model1,tight,0.7,5000,0.002,4945.776,5781.568850000001,10194.870698000015,10931.349,4930.7435,5670.908700000003,0.49457759999999995,0.5781568850000001,1.0194870698000016,0.7043919285714285,0.8101298142857147,0.002302250000000034,0.0070068550000000574
model1,soft,0.1,5000,0.0012,6970.8265,7959.407980000001,100029.869333,100275.737,6938.798500000001,7846.648300000004,0.069708265,0.07959407980000001,1.00029869333,0.6938798500000001,0.7846648300000004,0.00015815277777777637,0.0007337932222222282
model1,soft,0.2,5000,0.0002,13855.483,15149.127300000007,17509.87844500006,100037.74,13823.824,15121.94965,0.13855483000000002,0.15149127300000007,0.17509878445000057,0.6911912,0.7560974825000001,0.00018221250000000284,0.0005620980000000139
model1,soft,0.3,5000,0.0,21495.67,24225.29358,27213.504328000025,27937.494,21462.951,24151.60847000001,0.2149567,0.2422529358,0.27213504328000027,0.7154317000000001,0.805053615666667,0.00020645000000000177,0.0010024235714285916
model1,soft,0.4,5000,0.0006,27721.688000000002,31212.159250000004,38018.53723300032,108850.511,27689.396999999997,31187.154870000002,0.27721688,0.31212159250000004,0.3801853723300032,0.692234925,0.7796788717500001,0.00024362916666667236,0.0007301494166666626
model1,soft,0.5,5000,0.0,34672.3655,37751.728490000016,41567.88599500006,46406.74,34637.844,37672.57223000001,0.346723655,0.37751728490000014,0.41567885995000065,0.69275688,0.7534514446000002,0.0002966000000000349,0.0016544234000000235
model1,soft,0.6,5000,0.0,41552.510500000004,47444.24266000001,51434.08204,57259.074,41502.1725,45024.22164000001,0.415525105,0.47444242660000013,0.5143408204000001,0.691702875,0.7504036940000002,0.00032711874999999965,0.06361335749999997
model1,soft,0.7,5000,0.0,48556.124500000005,52706.90571000001,56467.98367400067,62438.715,48529.581000000006,52692.22386,0.485561245,0.5270690571000001,0.5646798367400068,0.6932797285714286,0.7527460551428571,0.0004175249999999627,0.0024108113333333606
model1,soft,0.8,5000,0.0,56790.989,60244.16337,64930.28941000053,71893.257,56771.9825,60222.86512,0.5679098899999999,0.6024416336999999,0.6493028941000053,0.70964978125,0.752785814,0.00036221249999998694,0.0013968022500000217
model1,soft,0.9,5000,0.0,62245.4695,66740.5148,73771.691898,75387.289,62229.124500000005,66716.92531,0.6224546950000001,0.667405148,0.7377169189800001,0.6914347166666668,0.7412991701111112,0.0006667500000001383,0.0022356444999997896
model1,soft,0.94,5000,0.0,65622.656,69157.97052000002,72606.834646,75529.077,65610.5925,69124.41578000001,0.65622656,0.6915797052000001,0.7260683464600001,0.6979850265957446,0.735366125319149,0.0009291249999999612,0.003386174166666802
