model,mode,utilization,jobs,deadline_miss_rate,C_count,C_mean,C_std,C_min,C_p50,C_p90,C_p95,C_p99,C_max,R_count,R_mean,R_std,R_min,R_p50,R_p90,R_p95,R_p99,R_max,delay_count,delay_mean,delay_std,delay_min,delay_p50,delay_p90,delay_p95,delay_p99,delay_max,tardiness_us_count,tardiness_us_mean,tardiness_us_std,tardiness_us_min,tardiness_us_p50,tardiness_us_p90,tardiness_us_p95,tardiness_us_p99,tardiness_us_max,compute_ratio_count,compute_ratio_mean,compute_ratio_std,compute_ratio_min,compute_ratio_p50,compute_ratio_p90,compute_ratio_p95,compute_ratio_p99,compute_ratio_max,delay_ratio_count,delay_ratio_mean,delay_ratio_std,delay_ratio_min,delay_ratio_p50,delay_ratio_p90,delay_ratio_p95,delay_ratio_p99,delay_ratio_max
model1,soft,0.1,5000,0.0,5000,6822.9446732,110.0119133392421,6490.53,6788.228499999999,6984.948200000001,7011.74665,7088.709070000001,7748.365,5000,6839.027930000001,290.98471938271393,6507.657,6800.3745,6997.535800000001,7024.57815,7102.698550000001,25880.529,5000,16.0832568,268.3601934620868,6.896,10.408000000000001,18.5741,19.75225,21.518260000000005,18985.191,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,0.9980558440124653,0.010372316114694994,0.26642956177595906,0.9984786828086738,0.9988076923711605,0.9988449792480231,0.9988920880855231,0.999005403359706,5000,0.00194415598753476,0.010372316114694994,0.0009945966402940868,0.0015213171913262265,0.0027169704362466417,0.002890217812353096,0.003144726209758546,0.7335704382240409
model1,soft,0.2,5000,0.0,5000,13658.690111000002,245.79312175900262,13226.249,13615.4475,13922.676800000001,13968.262200000001,14062.65011,17782.945,5000,13774.209218,307.922309653171,13343.057,13737.895499999999,14019.1041,14066.06545,14199.9981,24232.242,5000,115.519107,197.83695580405475,32.115,59.1775,189.808,216.22270000000003,242.95891000000015,10281.633,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,0.9917264153748929,0.009203167258549095,0.5757044271842449,0.9956852487138994,0.9962819972326232,0.9963970835228596,0.9966249991941314,0.9976656584743866,5000,0.008273584625107097,0.009203167258549095,0.0023343415256133924,0.004314751286100634,0.013746958936483334,0.01560191609141096,0.01754414031710375,0.42429557281575514
model1,soft,0.3,5000,0.0,5000,20641.810202,285.80036911986554,20116.315,20589.79,21044.927,21088.083799999997,21153.96328,24600.83,5000,20662.8219016,290.6448215592526,20135.743,20610.217,21065.408900000002,21108.494899999998,21175.123919999998,24636.573,5000,21.0116996,51.21761658909142,13.888,19.958,21.628,22.448050000000002,27.994290000000007,3620.441,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,0.9989883993071725,0.0021214528308393502,0.8501346988345502,0.9990330604381505,0.9991068922054214,0.9991283145317804,0.9991744574804197,0.9993245592175003,5000,0.001011600692827309,0.002121452830839351,0.0006754407824997029,0.0009669395618493231,0.001044326940908693,0.001084254019098622,0.0013544023380804842,0.14986530116544988
model1,soft,0.4,5000,0.0,5000,27057.604354000003,339.43970462855395,26386.661,26954.5105,27572.928799999998,27678.1841,27810.65725,30631.562,5000,27187.059651999996,339.19125526210684,26494.223,27095.6555,27685.771,27782.57425,27944.15038,30681.34,5000,129.455298,69.5904743444237,30.058,162.1055,182.81130000000002,203.19015000000002,233.7396700000001,2174.302,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,0.9952407408533198,0.0025115921478580253,0.9257464459463618,0.9940261553506007,0.9981991261985925,0.9982701049003627,0.9984253084664995,0.9988789234741258,5000,0.0047592591466802305,0.002511592147858026,0.0011210765258741799,0.005973844649399318,0.006711859818910676,0.007464649728609403,0.00856163553758685,0.07425355405363825
model1,soft,0.5,5000,0.0,5000,33857.2538286,384.64912714390675,32841.357,33739.563500000004,34482.519700000004,34638.385,34784.533780000005,35728.764,5000,33878.7268384,385.05430020781324,32865.077,33760.8925,34504.7331,34660.4552,34805.7897,35748.304,5000,21.4730098,4.405545595235885,14.373,21.302,23.568600000000004,24.736050000000002,28.33549000000001,264.639,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,0.9993662421714953,0.0001294716361283291,0.9921810925374916,0.999371009095499,0.9994339819588448,0.9994570768407367,0.9995211313735005,0.9995728580202705,5000,0.0006337578285047028,0.00012947163612832635,0.00042714197972952306,0.0006289909045009349,0.0006940066187708329,0.0007291691848495206,0.000832845130609309,0.007818907462508235
model1,soft,0.6,5000,0.0,5000,40725.378565399995,437.535553184139,39445.968,40624.407999999996,41438.5059,41613.994049999994,41745.443660000004,43610.567,5000,40756.0419844,486.7020661594246,39471.063,40651.784,41467.952099999995,41640.628000000004,41773.06206,54230.561,5000,30.663419000000005,216.58404543195644,8.876,26.5245,30.299,31.904,38.70556000000008,13828.619,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,0.9992690437250467,0.004107237309441313,0.7450032095371464,0.9993492338029814,0.9994271981750532,0.9996377625862426,0.9996780135974578,0.9997809256429646,5000,0.0007309562749533198,0.004107237309441313,0.00021907435703552014,0.0006507661970186207,0.0007423461976258871,0.0007812186912068202,0.0009531403393364859,0.2549967904628536
model1,soft,0.7,5000,0.0,5000,47579.0110404,511.25177536423143,46485.65,47452.6955,48356.3051,48563.51075,48784.520220000006,55627.948,5000,47603.5961664,520.1534808857449,46504.268,47476.285,48379.35140000001,48589.140450000006,48819.353670000004,55659.96,5000,24.585126000000002,95.29603159655565,8.047,18.4135,24.907300000000003,49.86905,160.83130000000006,6569.771,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,0.9994871300701972,0.0017912439411134362,0.8773197688960004,0.9996126494204468,0.999686349387522,0.9997112880141672,0.9997370774404687,0.999846195072126,5000,0.0005128699298026858,0.001791243941113436,0.00015380492787395606,0.00038735057955328433,0.0005221147390818678,0.0010398786418385174,0.0033345273240661145,0.1226802311039996
model1,soft,0.8,5000,0.0,5000,55937.115115199995,558.7922710330951,54610.985,55825.7885,56819.4237,57059.3962,57228.17672,59871.183,5000,56000.676348,578.5454577594863,54635.795,55888.592000000004,56889.3384,57129.05805,57302.42544,66385.771,5000,63.5612328,161.21842680045296,19.11,25.4215,167.41110000000003,179.33475000000004,225.3905600000001,10530.11,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,0.9988715155122689,0.0025016898804207555,0.8413800150035164,0.9995463681035018,0.9996145016555527,0.9996232733064501,0.9996383493648862,0.9996569858750312,5000,0.0011284844877312097,0.0025016898804207576,0.0003430141249688762,0.0004536318964981746,0.0029839533295902792,0.00319660155431448,0.0040127688246400905,0.1586199849964837
model1,soft,0.9,5000,0.0,5000,61082.38931979999,623.4631563374631,59728.852,60945.613,62108.3897,62314.03615,62510.102869999995,67329.666,5000,61109.0902382,630.251776112367,59776.282,60970.8095,62135.1854,62341.904500000004,62544.93704,67353.109,5000,26.700918400000003,74.69366338433332,18.786,23.999,29.015700000000002,33.8337,49.564030000000045,5213.124,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,0.9995647728342794,0.0011246496728834928,0.9216188325633603,0.9996068692506517,0.999648274728433,0.9996556756794327,0.9996682422066514,0.9996894679329321,5000,0.00043522716572064456,0.0011246496728834928,0.0003105320670679664,0.0003931307493484029,0.000474592595637435,0.0005516643244297376,0.0008021842162472926,0.0783811674366397
model1,soft,0.94,5000,0.0,5000,64360.068954999995,657.0900702728444,63196.801,64187.183,65417.6665,65631.0292,65832.94129,69488.809,5000,64387.03112359999,665.9122014644412,63224.629,64212.88,65444.5386,65659.11375,65863.24152,71274.9,5000,26.9621686,99.5267049623683,18.559,23.976,29.170500000000004,34.3739,49.379180000000005,7001.811,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,0.9995835808877084,0.001398191016608217,0.9017632995626792,0.9996274370175362,0.9996686197947707,0.999676400362701,0.9996875203619847,0.999711475603528,5000,0.00041641911229152136,0.0013981910166082179,0.00028852439647191516,0.00037256298246386157,0.0004520688156631426,0.0005295443411933701,0.0007531134286406429,0.09823670043732086
