,count,mean,std,min,25%,50%,75%,max
utilization,10.0,0.5439999999999999,0.2933030287376294,0.1,0.325,0.55,0.775,0.94
jobs,10.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0
deadline_miss_rate,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_count,10.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0
C_mean,10.0,38423.59558712,20885.952526058933,7311.454852,22867.6974252,38459.291169599994,54212.77703005,68870.4489034
C_std,10.0,264.26708523990214,440.07867617354066,55.69724753832963,102.3070221321673,127.75285559328331,165.17503596828283,1510.4528426385887
C_min,10.0,37570.4305,20277.381676978763,7057.428,22436.5925,37866.2905,53340.0795,65637.359
C_p50,10.0,38500.81425,21001.069338129633,7314.6645,22875.893,38471.65125,54220.53525,69570.03899999999
C_p90,10.0,38696.02158,21168.241543733802,7365.8202,22961.480774999996,38600.5744,54377.91165,70496.64270000001
C_p95,10.0,38731.271109999994,21179.919082989494,7391.79495,22985.192525,38633.172674999994,54422.4936,70551.893
C_p99,10.0,38812.427851,21202.86503091522,7447.033940000001,23029.656515000002,38703.026809999996,54535.77121,70672.32989
C_max,10.0,40944.849899999994,21421.823461335993,8461.259,23733.56,39547.013999999996,57493.52225,71360.316
R_count,10.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0
R_mean,10.0,38438.36143244001,20884.38112610545,7323.973718399999,22883.4518514,38474.1602369,54226.40719005,68880.782172
R_std,10.0,291.6203381853573,434.5670899641153,79.21309665096135,105.0746102626098,147.11503087045259,248.94107806859498,1510.7091202235881
R_min,10.0,37582.3938,20276.100168742185,7065.787,22451.24625,37880.647,53349.56825,65645.179
R_p50,10.0,38514.82255,21000.18699160332,7326.5055,22891.37625,38486.53925,54232.996875,69582.2595
R_p90,10.0,38710.13439000001,21166.67828039222,7378.2707,22977.59155,38615.2337,54390.710225,70505.0629
R_p95,10.0,38746.025195,21178.82499409266,7404.82005,23000.5173875,38648.575075,54436.57585,70562.51695
R_p99,10.0,38827.669609,21200.724935425395,7464.854560000001,23047.84704,38718.33332,54549.40663,70684.06299
R_max,10.0,42765.409,19873.93671406898,11327.305,29878.333000000002,39799.53,58326.82025,71372.033
delay_count,10.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0
delay_mean,10.0,14.76584532,4.969642053728592,9.490765600000001,10.87966805,14.869067300000001,15.7544262,25.8781964
delay_std,10.0,52.982807185932835,88.55776374893085,2.141367237010174,2.5276709292727615,8.191797318036762,48.658747155634025,264.85929550661933
delay_min,10.0,7.851699999999998,2.6540211441006516,4.499,5.7905,7.569,9.6445,12.143
delay_p50,10.0,12.661299999999999,2.807837673370738,8.881,9.875875,14.079999999999998,14.977375,15.575
delay_p90,10.0,18.312980000000003,9.049295805604617,12.236,14.618500000000001,16.689550000000004,16.955850000000005,43.474
delay_p95,10.0,20.160035,11.524696890375374,13.244800000000003,16.1908375,17.624650000000003,17.984812500000004,52.52505000000001
delay_p99,10.0,28.058167000000026,27.196001352945757,16.85408,19.217090000000002,19.930030000000013,20.332817500000008,105.34935000000024
delay_max,10.0,3407.6100999999994,5985.084524512218,38.018,61.70375,550.2825,3440.1765,18742.942
tardiness_us_count,10.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0
tardiness_us_mean,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tardiness_us_std,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tardiness_us_min,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tardiness_us_p50,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tardiness_us_p90,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tardiness_us_p95,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tardiness_us_p99,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tardiness_us_max,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
compute_ratio_count,10.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0
compute_ratio_mean,10.0,0.9994080029750213,0.0004941172633730412,0.9983294693738702,0.9993000196644001,0.9995249216231474,0.9997851718714242,0.999849993817609
compute_ratio_std,10.0,0.0017117863035538004,0.002742839343622196,3.6544432291545904e-05,4.945296209887411e-05,0.0003217918671780636,0.0021705543020830755,0.00802637769527563
compute_ratio_min,10.0,0.8851337068378966,0.1934859830681025,0.43147859640570085,0.8845437164858234,0.978645814780053,0.9987864211272297,0.9993948294898899
compute_ratio_p50,10.0,0.9994765671403408,0.0004284930414833041,0.9985804645659297,0.9993139498009931,0.999622532189997,0.9998072628894832,0.9998591813460476
compute_ratio_p90,10.0,0.9995531398454874,0.00035573152890754555,0.9989075092792404,0.9993748242663082,0.9996647926121636,0.9998445617799399,0.9998936046692903
compute_ratio_p95,10.0,0.9995674697455141,0.0003456141296154278,0.9989472515681482,0.9993911865533969,0.9996752835882157,0.9998521604087653,0.9998972230692897
compute_ratio_p99,10.0,0.9995900703376248,0.00033112784179429813,0.9989928648645596,0.9994219757240778,0.9996945320095394,0.9998617540138969,0.9999028356269615
compute_ratio_max,10.0,0.9996664424491067,0.00028365676694692824,0.99919357991455,0.9994809728656691,0.9997887093705924,0.9998918048880933,0.999933278371163
delay_ratio_count,10.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0
delay_ratio_mean,10.0,0.0005919970249787605,0.0004941172633730224,0.00015000618239095377,0.0002148281285758633,0.0004750783768526176,0.0006999803355998484,0.001670530626129718
delay_ratio_std,10.0,0.0017117863035538007,0.0027428393436221958,3.6544432291546826e-05,4.94529620988755e-05,0.000321791867178064,0.0021705543020830755,0.00802637769527563
delay_ratio_min,10.0,0.0003335575508933251,0.000283656766946904,6.672162883705536e-05,0.00010819511190673315,0.00021129062940773371,0.00051902713433094,0.0008064200854500131
delay_ratio_p50,10.0,0.0005234328596592051,0.00042849304148329044,0.00014081865395249547,0.00019273711051692562,0.00037746781000312993,0.0006860501990069195,0.0014195354340703135
delay_ratio_p90,10.0,0.0007259523939890033,0.0006364509344578433,0.00019458095736333457,0.0002625985373672618,0.0005429238914234982,0.0008716719099276592,0.0022787237101214108
delay_ratio_p95,10.0,0.0007863514462324901,0.0006892680245896708,0.0002107324120079117,0.0002829539282331484,0.0005672046151945036,0.0010208635179420284,0.0024599449154705084
delay_ratio_p99,10.0,0.0009920264821578805,0.0008630580784396935,0.0002679737092194158,0.0003644024375401971,0.0006274068171995514,0.0012944129568812125,0.0027813088765981328
