model,mode,utilization,jobs,deadline_miss_rate,C_count,C_mean,C_std,C_min,C_p50,C_p90,C_p95,C_p99,C_max,R_count,R_mean,R_std,R_min,R_p50,R_p90,R_p95,R_p99,R_max,delay_count,delay_mean,delay_std,delay_min,delay_p50,delay_p90,delay_p95,delay_p99,delay_max,tardiness_us_count,tardiness_us_mean,tardiness_us_std,tardiness_us_min,tardiness_us_p50,tardiness_us_p90,tardiness_us_p95,tardiness_us_p99,tardiness_us_max,compute_ratio_count,compute_ratio_mean,compute_ratio_std,compute_ratio_min,compute_ratio_p50,compute_ratio_p90,compute_ratio_p95,compute_ratio_p99,compute_ratio_max,delay_ratio_count,delay_ratio_mean,delay_ratio_std,delay_ratio_min,delay_ratio_p50,delay_ratio_p90,delay_ratio_p95,delay_ratio_p99,delay_ratio_max
model2,tight,0.1,5000,0.0004,5000,712.4412792,14.216106537285912,699.346,710.0545,723.9032,732.55445,739.82135,1354.985,5000,724.4272094,224.52578098575364,706.154,717.6175000000001,732.4418000000001,740.7163,751.85036,13573.074,5000,11.9859302,214.61526447731313,4.69,7.587,8.3863,9.760250000000001,12.823390000000009,12218.089,5000,0.7169754,50.5311394047542,0.0,0.0,0.0,0.0,0.0,3573.074,5000,0.988900528281032,0.01787417874695266,0.09894711272285321,0.9894399463759083,0.9904607660205528,0.9905874089506801,0.9907755034713328,0.993364910136267,5000,0.011099471718967942,0.017874178746952657,0.006635089863733081,0.010560053624091733,0.01163098228846011,0.013324960459918572,0.017388084715621942,0.9010528872771468
model2,tight,0.2,5000,0.0004,5000,1455.2383106,27.128046414126047,1398.826,1456.254,1469.578,1474.63675,1520.5769400000001,2428.973,5000,1467.3334702,252.31541938557513,1405.815,1463.669,1477.2011,1483.1161,1530.1183700000001,17054.426,5000,12.095159599999999,234.1774215066338,5.34,7.458,8.2831,9.923950000000003,12.460320000000008,14625.453,5000,1.4133164,99.76476296720136,0.0,0.0,0.0,0.0,0.0,7054.426,5000,0.9944683246362958,0.016289878090412786,0.14242478755954613,0.9949031828155463,0.99540076945405,0.995461169797309,0.9955672719001702,0.9963731326557296,5000,0.005531675363704174,0.016289878090412786,0.003626867344270534,0.0050968171844536485,0.005674976510554754,0.006725412384779229,0.008469066258259165,0.8575752124404539
model2,tight,0.3,5000,0.0,5000,2156.3047738,28.04109378246749,2095.455,2151.0125,2190.5416,2194.57935,2211.41991,2740.309,5000,2164.7201454,60.99648615305035,2103.269,2158.4235,2198.1731,2202.3815,2220.8839000000003,5460.485,5000,8.4153716,46.2031933075483,4.289,7.326499999999999,8.1271,9.9364,12.599560000000013,2720.176,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,0.9963449786651859,0.009304402016430872,0.5018435175630004,0.9966158627836463,0.9969313494132827,0.9969692838144748,0.9970376729830667,0.9980116620724889,5000,0.0036550213348139934,0.009304402016430872,0.001988337927511198,0.003384137216353827,0.003757279531997833,0.004570720196734489,0.005783214230341638,0.49815648243699967
model2,tight,0.4,5000,0.0,5000,2865.2973842,31.318135729658408,2786.734,2868.488,2902.1115,2915.1034,2929.9651500000004,3462.393,5000,2875.9943903999997,65.03515502975553,2795.763,2877.8779999999997,2912.2001,2925.2526500000004,2945.0593200000003,6364.607,5000,10.6970062,49.03472541272584,7.716,9.319,10.4851,12.334900000000003,19.010320000000007,2902.214,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,0.9964476265810299,0.008450941871513913,0.5440073519071955,0.9967607769552163,0.9969872623499934,0.9970243640577285,0.9970781309166035,0.9973409763606733,5000,0.0035523734189702055,0.008450941871513913,0.00265902363932667,0.0032392230447838865,0.0036488744674234947,0.004266591212314212,0.006521433401067,0.4559926480928045
model2,tight,0.5,5000,0.0,5000,3667.4974730000004,37.238884603706595,3533.089,3673.9665,3695.0463,3703.2943999999998,3760.22564,4200.739,5000,3675.442473599999,37.401175619630585,3540.791,3681.993,3703.0374,3713.17195,3768.62874,4210.552,5000,7.945000599999999,1.8843619296133096,4.658,7.618,8.786100000000005,10.662300000000002,14.929870000000019,46.07,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,0.9978386889643218,0.000507078254331126,0.9877187964260551,0.9979268973189197,0.9981258317466614,0.9981572584333785,0.9982033076552452,0.9987409643650749,5000,0.0021613110356783097,0.0005070782543311256,0.0012590356349250756,0.0020731026810802914,0.0023920474537367183,0.0028968980375927342,0.004054492062491473,0.012281203573944868
model2,tight,0.6,5000,0.0,5000,4392.564924,38.63855062169197,4255.399,4398.111,4424.4249,4430.76995,4487.727500000001,5022.767,5000,4402.2498912,38.750489591215164,4264.787,4407.4905,4434.116,4440.8322,4499.057830000001,5031.805,5000,9.684967199999999,1.788981442677539,7.252,9.348,10.515500000000003,12.29335,17.527660000000015,49.93,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,0.9978001291432691,0.00040317722636496557,0.9888926756171872,0.9978765589054935,0.9980286757837947,0.9980508639475668,0.9980879558106258,0.9983580404621214,5000,0.0021998708567309965,0.0004031772263649662,0.0016419595378785031,0.0021234410945064224,0.0023854231279324244,0.0027864012377287572,0.003949788686331964,0.011107324382812723
model2,tight,0.7,5000,0.0,5000,5211.2437062,179.88246315418843,4969.026,5152.362499999999,5514.0629,5636.786,5812.14357,5916.725,5000,5220.8054222,188.2723351375458,4976.626,5159.9005,5525.2159,5649.32215,5821.96283,8674.77,5000,9.561716,56.29379131575243,5.27,7.67,9.785200000000001,11.4182,25.901710000000016,3627.76,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,0.9982404099096346,0.006857054454953806,0.5818033215866242,0.9985114706875821,0.9986495483798911,0.9986876031777648,0.9987327113053311,0.9989759820177001,5000,0.0017595900903654047,0.006857054454953808,0.0010240179822998392,0.0014885293124179359,0.001843196218724551,0.0021782010154387304,0.004904133859135077,0.4181966784133758
model2,tight,0.8,5000,0.0004,5000,5958.0730714,81.4459026006096,5671.234,5961.7805,6026.1259,6042.9707,6181.766670000001,6820.053,5000,5973.529005400001,461.99689389960963,5678.404,5969.87,6034.163500000001,6051.6481,6189.44147,37408.735,5000,15.455934000000003,445.4429431283942,4.207,7.6825,8.906200000000002,11.31505,14.726020000000002,30872.422,5000,6.032104,389.5589556852904,0.0,0.0,0.0,0.0,0.0,27408.735,5000,0.9983913095307752,0.013576209842086656,0.17472691872633492,0.9987112914105409,0.9988230394021936,0.9988507641035076,0.9988962158216184,0.9992924764702599,5000,0.0016086904692247579,0.013576209842086656,0.0007075235297402059,0.0012887085894590419,0.0014979201885544529,0.0018878342700772673,0.0024817531763192844,0.825273081273665
model2,tight,0.9,5000,0.0002,5000,6776.969219,306.45662780415574,6327.873,6783.1705,7203.2438,7365.4632,7412.803360000001,7568.215,5000,6786.6337576000005,314.9720286084287,6338.267,6792.9195,7212.8634,7374.50785,7421.97277,11762.547,5000,9.6645386,65.1208892801706,5.858,8.555499999999999,10.2222,11.07805,12.877130000000003,4606.88,5000,0.35250940000000003,24.92617871720012,0.0,0.0,0.0,0.0,0.0,1762.547,5000,0.9986347323131315,0.005544287782774136,0.6083433290425959,0.9987581285174276,0.9988989286499403,0.99893395261245,0.9989736735939179,0.9991040535230901,5000,0.0013652676868685532,0.005544287782774134,0.0008959464769099542,0.0012418714825723877,0.0014699393193126447,0.0016318241135075348,0.0018580194038038031,0.39165667095740403
model2,tight,0.94,5000,0.0002,5000,6914.5234866,186.785617451248,6582.736,6969.371999999999,7125.6938,7134.2303,7151.6871200000005,7416.392,5000,6923.413491400001,202.78254451760913,6591.033,6976.668,7133.540599999999,7142.3344,7161.74569,12487.853,5000,8.890004800000002,76.01314426550846,4.076,7.481,8.8094,11.348200000000002,14.353720000000015,5380.882,5000,0.49757060000000003,35.18355453790592,0.0,0.0,0.0,0.0,0.0,2487.853,5000,0.998784709291852,0.0060845464657393435,0.5691107190323269,0.9989216037000921,0.9990346327525503,0.999058280983439,0.9990861882093154,0.9993960267271509,5000,0.0012152907081480167,0.006084546465739344,0.000603973272849075,0.0010783962999079228,0.0012686605399133337,0.0016285066212037317,0.0020818582673670983,0.43088928096767315
