,count,mean,std,min,25%,50%,75%,max
utilization,10.0,0.5439999999999999,0.2933030287376294,0.1,0.325,0.55,0.775,0.94
jobs,10.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0
deadline_miss_rate,10.0,0.00016000000000000004,0.0001837873166945363,0.0,0.0,0.0001,0.00035,0.0004
C_count,10.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0
C_mean,10.0,4011.0153628000007,2204.571889550589,712.4412792,2333.5529264,4030.0311985000003,5771.3657301,6914.5234866
C_std,10.0,93.11514286991381,98.13607229524514,14.216106537285912,28.860354269265223,37.93871761269928,155.27332301579372,306.45662780415574
C_min,10.0,3831.9718000000003,2070.485215332644,699.346,2268.27475,3894.244,5495.682000000001,6582.736
C_p50,10.0,4012.4572,2210.993438051273,710.0545,2330.381375,4036.0387499999997,5759.4259999999995,6969.371999999999
C_p90,10.0,4127.473190000001,2313.1097133853063,723.9032,2368.434075,4059.7356,5898.11015,7203.2438
C_p95,10.0,4163.03885,2345.220303189999,732.55445,2374.7103625,4067.032175,5941.424525,7365.4632
C_p99,10.0,4220.813721,2370.007227370648,739.82135,2391.0562200000004,4123.976570000001,6089.360895000001,7412.803360000001
C_max,10.0,4693.1551,2202.3272457172534,1354.985,2920.83,4611.753,6594.221,7568.215
R_count,10.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0
R_mean,10.0,4021.4549256800005,2204.4100695368347,724.4272094,2342.5387066499998,4038.8461823999996,5785.3481096000005,6923.413491400001
R_std,10.0,184.70483089281737,138.63721003130118,37.401175619630585,62.00615337222664,195.52743982757747,245.36800978561976,461.99689389960963
R_min,10.0,3840.0909,2071.0719522981035,706.154,2276.3925,3902.789,5502.959500000001,6591.033
R_p50,10.0,4020.64295,2211.26399133568,717.6175000000001,2338.287125,4044.74175,5767.377625,6976.668
R_p90,10.0,4136.29529,2313.4363980878215,732.4418000000001,2376.67985,4068.5767,5906.926600000001,7212.8634
R_p95,10.0,4172.32832,2345.5602029975175,740.7163,2383.0992875,4077.002075,5951.066612500001,7374.50785
R_p99,10.0,4231.072128,2369.184794893896,751.85036,2401.927755,4133.843285000001,6097.5718099999995,7421.97277
R_max,10.0,12202.885400000003,9822.421430787637,4210.552,5686.5154999999995,10218.658500000001,13301.76875,37408.735
delay_count,10.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0
delay_mean,10.0,10.43956288,2.236677164255829,7.945000599999999,9.057932600000001,9.6747529,11.6636992,15.455934000000003
delay_std,10.0,119.05747160663377,139.5647944004963,1.788981442677539,46.911076333842686,60.707340297961515,179.96473442436195,445.4429431283942
delay_min,10.0,5.3355999999999995,1.2670069893694789,4.076,4.38125,4.98,5.7284999999999995,7.716
delay_p50,10.0,8.004549999999998,0.7751820377605941,7.326499999999999,7.5075,7.644,8.33725,9.348
delay_p90,10.0,9.23062,0.9323879745637603,8.1271,8.486250000000002,8.857800000000001,10.112950000000001,10.515500000000003
delay_p95,10.0,11.007065000000003,0.9307013956181409,9.760250000000001,10.117875000000002,11.196549999999998,11.4007,12.334900000000003
delay_p99,10.0,15.720970000000008,4.190929239491194,12.460320000000008,12.836825000000008,14.539870000000008,16.878212500000018,25.901710000000016
delay_max,10.0,7704.9876,9438.622612108025,46.07,2765.6855,4117.32,10508.78725,30872.422
tardiness_us_count,10.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0
tardiness_us_mean,10.0,0.90124758,1.8603214480909323,0.0,0.0,0.17625470000000001,0.6621242,6.032104
tardiness_us_std,10.0,59.99645913123521,120.24328567374585,0.0,0.0,12.46308935860006,46.69424318804213,389.5589556852904
tardiness_us_min,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tardiness_us_p50,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tardiness_us_p90,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tardiness_us_p95,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tardiness_us_p99,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tardiness_us_max,10.0,4228.663500000001,8460.69719227068,0.0,0.0,881.2735,3301.76875,27408.735
compute_ratio_count,10.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0
compute_ratio_mean,10.0,0.9965851437316529,0.003012924680141907,0.988900528281032,0.9963706406441469,0.9978194090537955,0.9983535846254901,0.998784709291852
compute_ratio_std,10.0,0.008489175475156025,0.005978562530836472,0.00040317722636496557,0.005679352453515437,0.007653998163233859,0.01250825788567271,0.01787417874695266
compute_ratio_min,10.0,0.5197818530183719,0.31492942443102917,0.09894711272285321,0.2565060684355013,0.5565590354697612,0.601708327178603,0.9888926756171872
compute_ratio_p50,10.0,0.9968425719470373,0.0028892932430986847,0.9894399463759083,0.9966520913265389,0.9979017281122067,0.9986613362298012,0.9989216037000921
compute_ratio_p90,10.0,0.9971340803952911,0.0026089596259524597,0.9904607660205528,0.9969453276474604,0.998077253765228,0.998779666646618,0.9990346327525503
compute_ratio_p95,10.0,0.9971780949878299,0.002579131397439776,0.9905874089506801,0.9969830538752882,0.9981040611904727,0.9988099738720719,0.999058280983439
compute_ratio_p99,10.0,0.9972438631667228,0.0025317316617773583,0.9907755034713328,0.9970477874664508,0.9981456317329356,0.9988553396925466,0.9990861882093154
compute_ratio_max,10.0,0.9978958224790556,0.001853667724503742,0.993364910136267,0.9975086477886272,0.9985495024135982,0.9990720356467426,0.9993960267271509
delay_ratio_count,10.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0
delay_ratio_mean,10.0,0.0034148562683472355,0.003012924680141882,0.0012152907081480167,0.0016464153745099196,0.0021805909462046533,0.0036293593558530462,0.011099471718967942
delay_ratio_std,10.0,0.008489175475156025,0.005978562530836472,0.0004031772263649662,0.0056793524535154365,0.007653998163233861,0.01250825788567271,0.017874178746952657
delay_ratio_min,10.0,0.0021041775209444135,0.001853667724503789,0.000603973272849075,0.0009279643532574255,0.0014504975864017894,0.002491352211372802,0.006635089863733081
delay_ratio_p50,10.0,0.0031574280529627096,0.002889293243098688,0.0010783962999079228,0.0013386637701987654,0.0020982718877933567,0.003347908673461342,0.010560053624091733
delay_ratio_p90,10.0,0.003556929964661032,0.0031485892236853543,0.0012686605399133337,0.0015842391960969775,0.002388735290834571,0.0037301782658542486,0.01163098228846011
delay_ratio_p95,10.0,0.004189734954929526,0.0035919918416369243,0.0016285066212037317,0.001960425956417633,0.0028416496376607457,0.00449468795062942,0.013324960459918572
