kubelet-plugin,centralise-controller
2.77,13.5
2.9,33.39
19.2,52.66
2.0,1.96
49.7,3.19
114.9,3.57
3.5,3.54
97.7,4.6
368.4,5.8
7.9,6.7
9.1,7.19
9.8,6.9
11.4,7.4
11.6,6.5
11.84,4.8
11.79,3.4
16.00,3.8
20.80,4
26.25,4.9
29.78,5.9
30.18,6.0
31.81,5.4
31.98,5.0
32.19,4.8
33.58,4.18
33.78,4.81
34.20,3.8
23.66,3.6
28.05,4.3
32.23,5.6
32.41,5.9
32.62,5.3
32.81,5.4
32.00,4.8
32.16,4.3
32.35,4.2
32.56,3.6
32.97,4.4
150.353.97,4.9
49.27,6.2
49.69,5.3
62.56,5.4
54.12,4.8
42.78,4.7
43.54,4.2
55.38,3.9
44.56,5.6
44.56,6.6
45.81,5.8
46.90,6.0
44.83,5.8
46.12,5.4
50.83,4.6
43.92,3.9
50.83,3.8
43.92,3.0
82.68,2.3
466.08,2.2
