#Fixed C = 15000
#T = 200000
#CPU Speed: 1
#PID: 9
#Cycles: 1040825
#Start: 114437834370
0 0	114437851505	17135	17092	-0.914325
0 1	114438049047	14677	14633	-0.926615
0 2	114438248408	14038	13953	-0.929810
0 3	114438447434	13064	12989	-0.934680
0 4	114438647312	12942	12854	-0.935290
0 5	114438849141	14771	14697	-0.926145
0 6	114439050376	16006	15927	-0.919970
0 7	114439250628	16258	16205	-0.918710
0 8	114439447167	12797	12747	-0.936015
0 9	114439648305	13935	13859	-0.930325
0 10	114439849513	15143	15038	-0.924285
0 11	114440048843	14473	14436	-0.927635
0 12	114440249425	15055	15008	-0.924725
0 13	114440447710	13340	13289	-0.933300
0 14	114440648012	13642	13595	-0.931790
0 15	114440847662	13292	13215	-0.933540
0 16	114441047277	12907	12806	-0.935465
0 17	114441248493	14123	14035	-0.929385
0 18	114441448763	14393	14300	-0.928035
0 19	114441648814	14444	14360	-0.927780
0 20	114441848914	14544	14467	-0.927280
0 21	114442048736	14366	14281	-0.928170
0 22	114442248591	14221	14121	-0.928895
0 23	114442447217	12847	12759	-0.935765
0 24	114442648887	14517	14438	-0.927415
